Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.057400,NaN,NaN
1325721600,NaN,NaN,NaN
1325808000,NaN,NaN,NaN
1325894400,0.057800,NaN,NaN
1325980800,NaN,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,NaN,NaN,NaN
1326240000,0.056800,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,0.062000,NaN,NaN
1326585600,NaN,0.059632,NaN
1326672000,0.066600,0.059370,0.007230
1326758400,0.065800,0.059108,0.006692
1326844800,0.061300,0.058846,0.002454
1326931200,NaN,0.058583,NaN
1327017600,NaN,0.058321,NaN
1327104000,NaN,0.058059,NaN
1327190400,NaN,0.057797,NaN
1327276800,NaN,0.057535,NaN
1327363200,0.045400,0.057273,-0.011873
1327449600,NaN,0.057010,NaN
1327536000,NaN,0.056748,NaN
1327622400,0.056000,0.056486,-0.000486
1327708800,NaN,0.056224,NaN
1327795200,0.055800,0.055962,-0.000162
1327881600,NaN,0.055700,NaN
1327968000,NaN,0.055437,NaN
1328054400,NaN,0.055175,NaN
1328140800,NaN,0.054913,NaN
1328227200,NaN,0.054651,NaN
1328313600,0.045200,0.054389,-0.009189
1328400000,NaN,0.054127,NaN
1328486400,NaN,0.053864,NaN
1328572800,NaN,0.053602,NaN
1328659200,NaN,0.053340,NaN
1328745600,NaN,0.053078,NaN
1328832000,NaN,0.052816,NaN
1328918400,0.068000,0.052554,0.015446
1329004800,NaN,0.052291,NaN
1329091200,NaN,0.052029,NaN
1329177600,NaN,0.051767,NaN
1329264000,NaN,0.051505,NaN
1329350400,NaN,0.051486,NaN
1329436800,NaN,0.051466,NaN
1329523200,NaN,0.051447,NaN
1329609600,NaN,0.051427,NaN
1329696000,NaN,0.051408,NaN
1329782400,NaN,0.051389,NaN
1329868800,NaN,0.051369,NaN
1329955200,NaN,0.051350,NaN
1330041600,NaN,0.051330,NaN
1330128000,NaN,0.051311,NaN
1330214400,NaN,0.051292,NaN
1330300800,NaN,0.051272,NaN
1330387200,0.064000,0.051253,0.012747
1330473600,NaN,0.051233,NaN
1330560000,0.048400,0.051214,-0.002814
1330646400,0.045000,0.051195,-0.006195
1330732800,NaN,0.051175,NaN
1330819200,0.055600,0.051156,0.004444
1330905600,0.062600,0.051136,0.011464
1330992000,NaN,0.051117,NaN
1331078400,NaN,0.051098,NaN
1331164800,NaN,0.051078,NaN
1331251200,NaN,0.051059,NaN
1331337600,NaN,0.051040,NaN
1331424000,NaN,0.051020,NaN
1331510400,NaN,0.051001,NaN
1331596800,NaN,0.050981,NaN
1331683200,NaN,0.050962,NaN
1331769600,NaN,0.050568,NaN
1331856000,0.033250,0.050175,-0.016925
1331942400,NaN,0.049781,NaN
1332028800,NaN,0.049387,NaN
1332115200,NaN,0.048994,NaN
1332201600,NaN,0.048600,NaN
1332288000,NaN,0.048206,NaN
1332374400,NaN,0.047813,NaN
1332460800,NaN,0.047419,NaN
1332720000,0.032600,0.046238,-0.013638
1332806400,NaN,0.045844,NaN
1332892800,0.034100,0.045451,-0.011351
1332979200,0.033800,0.045057,-0.011257
1333065600,NaN,0.044663,NaN
1333152000,NaN,0.044270,NaN
1333238400,0.040600,0.043876,-0.003276
1333324800,NaN,0.043482,NaN
1333411200,NaN,0.043089,NaN
1333497600,NaN,0.042695,NaN
1333584000,NaN,0.042301,NaN
1333670400,NaN,0.041908,NaN
1333756800,0.036400,0.041514,-0.005114
1333843200,0.032700,0.041120,-0.008420
1333929600,0.031800,0.040727,-0.008927
1334016000,NaN,0.040333,NaN
1334102400,0.030800,0.039939,-0.009139
1334188800,NaN,0.039546,NaN
1334275200,0.031200,0.039152,-0.007952
1334361600,NaN,0.038758,NaN
1334448000,NaN,0.038761,NaN
1334534400,NaN,0.038764,NaN
1334620800,NaN,0.038766,NaN
1334707200,NaN,0.038769,NaN
1334793600,0.033200,0.038772,-0.005572
1334880000,NaN,0.038775,NaN
1334966400,NaN,0.038777,NaN
1335052800,0.033400,0.038780,-0.005380
1335139200,0.031200,0.038783,-0.007583
1335225600,0.031000,0.038785,-0.007785
1335312000,0.034800,0.038788,-0.003988
1335398400,NaN,0.038791,NaN
1335484800,NaN,0.038794,NaN
1335571200,0.025600,0.038796,-0.013196
1335657600,NaN,0.038799,NaN
1335744000,NaN,0.038802,NaN
1335830400,NaN,0.038805,NaN
1335916800,0.033800,0.038807,-0.005007
1336003200,0.031200,0.038810,-0.007610
1336089600,0.032000,0.038813,-0.006813
1336176000,0.039000,0.038815,0.000185
1336262400,NaN,0.038818,NaN
1336348800,NaN,0.038821,NaN
1336435200,0.032400,0.038824,-0.006424
1336521600,NaN,0.038826,NaN
1336608000,0.036400,0.038829,-0.002429
1336694400,NaN,0.038832,NaN
1336780800,NaN,0.038835,NaN
1336867200,NaN,0.038837,NaN
1336953600,0.039400,0.038840,0.000560
1337040000,NaN,0.038871,NaN
1337126400,NaN,0.038902,NaN
1337212800,NaN,0.038933,NaN
1337299200,0.038600,0.038963,-0.000363
1337385600,NaN,0.038994,NaN
1337472000,0.033700,0.039025,-0.005325
1337558400,0.035800,0.039056,-0.003256
1337644800,NaN,0.039087,NaN
1337731200,NaN,0.039118,NaN
1337817600,0.036400,0.039149,-0.002749
1337904000,NaN,0.039179,NaN
1337990400,NaN,0.039210,NaN
1338076800,NaN,0.039241,NaN
1338163200,NaN,0.039272,NaN
1338249600,0.035400,0.039303,-0.003903
1338336000,NaN,0.039334,NaN
1338422400,0.031200,0.039365,-0.008165
1338508800,0.040200,0.039395,0.000805
1338595200,NaN,0.039426,NaN
1338681600,0.033000,0.039457,-0.006457
1338768000,NaN,0.039488,NaN
1338854400,0.033200,0.039519,-0.006319
1338940800,0.037800,0.039550,-0.001750
1339027200,NaN,0.039581,NaN
1339113600,NaN,0.039612,NaN
1339200000,NaN,0.039642,NaN
1339286400,NaN,0.039673,NaN
1339372800,NaN,0.039704,NaN
1339459200,NaN,0.039735,NaN
1339545600,NaN,0.039766,NaN
1339632000,NaN,0.039797,NaN
1339718400,NaN,0.040206,NaN
1339804800,NaN,0.040615,NaN
1339891200,0.036300,0.041024,-0.004724
1339977600,NaN,0.041434,NaN
1340064000,NaN,0.041843,NaN
1340150400,NaN,0.042252,NaN
1340323200,0.039800,0.043070,-0.003270
1340409600,NaN,0.043480,NaN
1340496000,NaN,0.043889,NaN
