Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.057400,NaN,NaN
2012-01-05,NaN,NaN,NaN
2012-01-06,NaN,NaN,NaN
2012-01-07,0.057800,NaN,NaN
2012-01-08,NaN,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,NaN,NaN,NaN
2012-01-11,0.056800,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,0.062000,NaN,NaN
2012-01-15,NaN,0.059632,NaN
2012-01-16,0.066600,0.059370,0.007230
2012-01-17,0.065800,0.059108,0.006692
2012-01-18,0.061300,0.058846,0.002454
2012-01-19,NaN,0.058583,NaN
2012-01-20,NaN,0.058321,NaN
2012-01-21,NaN,0.058059,NaN
2012-01-22,NaN,0.057797,NaN
2012-01-23,NaN,0.057535,NaN
2012-01-24,0.045400,0.057273,-0.011873
2012-01-25,NaN,0.057010,NaN
2012-01-26,NaN,0.056748,NaN
2012-01-27,0.056000,0.056486,-0.000486
2012-01-28,NaN,0.056224,NaN
2012-01-29,0.055800,0.055962,-0.000162
2012-01-30,NaN,0.055700,NaN
2012-01-31,NaN,0.055437,NaN
2012-02-01,NaN,0.055175,NaN
2012-02-02,NaN,0.054913,NaN
2012-02-03,NaN,0.054651,NaN
2012-02-04,0.045200,0.054389,-0.009189
2012-02-05,NaN,0.054127,NaN
2012-02-06,NaN,0.053864,NaN
2012-02-07,NaN,0.053602,NaN
2012-02-08,NaN,0.053340,NaN
2012-02-09,NaN,0.053078,NaN
2012-02-10,NaN,0.052816,NaN
2012-02-11,0.068000,0.052554,0.015446
2012-02-12,NaN,0.052291,NaN
2012-02-13,NaN,0.052029,NaN
2012-02-14,NaN,0.051767,NaN
2012-02-15,NaN,0.051505,NaN
2012-02-16,NaN,0.051486,NaN
2012-02-17,NaN,0.051466,NaN
2012-02-18,NaN,0.051447,NaN
2012-02-19,NaN,0.051427,NaN
2012-02-20,NaN,0.051408,NaN
2012-02-21,NaN,0.051389,NaN
2012-02-22,NaN,0.051369,NaN
2012-02-23,NaN,0.051350,NaN
2012-02-24,NaN,0.051330,NaN
2012-02-25,NaN,0.051311,NaN
2012-02-26,NaN,0.051292,NaN
2012-02-27,NaN,0.051272,NaN
2012-02-28,0.064000,0.051253,0.012747
2012-02-29,NaN,0.051233,NaN
2012-03-01,0.048400,0.051214,-0.002814
2012-03-02,0.045000,0.051195,-0.006195
2012-03-03,NaN,0.051175,NaN
2012-03-04,0.055600,0.051156,0.004444
2012-03-05,0.062600,0.051136,0.011464
2012-03-06,NaN,0.051117,NaN
2012-03-07,NaN,0.051098,NaN
2012-03-08,NaN,0.051078,NaN
2012-03-09,NaN,0.051059,NaN
2012-03-10,NaN,0.051040,NaN
2012-03-11,NaN,0.051020,NaN
2012-03-12,NaN,0.051001,NaN
2012-03-13,NaN,0.050981,NaN
2012-03-14,NaN,0.050962,NaN
2012-03-15,NaN,0.050568,NaN
2012-03-16,0.033250,0.050175,-0.016925
2012-03-17,NaN,0.049781,NaN
2012-03-18,NaN,0.049387,NaN
2012-03-19,NaN,0.048994,NaN
2012-03-20,NaN,0.048600,NaN
2012-03-21,NaN,0.048206,NaN
2012-03-22,NaN,0.047813,NaN
2012-03-23,NaN,0.047419,NaN
2012-03-26,0.032600,0.046238,-0.013638
2012-03-27,NaN,0.045844,NaN
2012-03-28,0.034100,0.045451,-0.011351
2012-03-29,0.033800,0.045057,-0.011257
2012-03-30,NaN,0.044663,NaN
2012-03-31,NaN,0.044270,NaN
2012-04-01,0.040600,0.043876,-0.003276
2012-04-02,NaN,0.043482,NaN
2012-04-03,NaN,0.043089,NaN
2012-04-04,NaN,0.042695,NaN
2012-04-05,NaN,0.042301,NaN
2012-04-06,NaN,0.041908,NaN
2012-04-07,0.036400,0.041514,-0.005114
2012-04-08,0.032700,0.041120,-0.008420
2012-04-09,0.031800,0.040727,-0.008927
2012-04-10,NaN,0.040333,NaN
2012-04-11,0.030800,0.039939,-0.009139
2012-04-12,NaN,0.039546,NaN
2012-04-13,0.031200,0.039152,-0.007952
2012-04-14,NaN,0.038758,NaN
2012-04-15,NaN,0.038761,NaN
2012-04-16,NaN,0.038764,NaN
2012-04-17,NaN,0.038766,NaN
2012-04-18,NaN,0.038769,NaN
2012-04-19,0.033200,0.038772,-0.005572
2012-04-20,NaN,0.038775,NaN
2012-04-21,NaN,0.038777,NaN
2012-04-22,0.033400,0.038780,-0.005380
2012-04-23,0.031200,0.038783,-0.007583
2012-04-24,0.031000,0.038785,-0.007785
2012-04-25,0.034800,0.038788,-0.003988
2012-04-26,NaN,0.038791,NaN
2012-04-27,NaN,0.038794,NaN
2012-04-28,0.025600,0.038796,-0.013196
2012-04-29,NaN,0.038799,NaN
2012-04-30,NaN,0.038802,NaN
2012-05-01,NaN,0.038805,NaN
2012-05-02,0.033800,0.038807,-0.005007
2012-05-03,0.031200,0.038810,-0.007610
2012-05-04,0.032000,0.038813,-0.006813
2012-05-05,0.039000,0.038815,0.000185
2012-05-06,NaN,0.038818,NaN
2012-05-07,NaN,0.038821,NaN
2012-05-08,0.032400,0.038824,-0.006424
2012-05-09,NaN,0.038826,NaN
2012-05-10,0.036400,0.038829,-0.002429
2012-05-11,NaN,0.038832,NaN
2012-05-12,NaN,0.038835,NaN
2012-05-13,NaN,0.038837,NaN
2012-05-14,0.039400,0.038840,0.000560
2012-05-15,NaN,0.038871,NaN
2012-05-16,NaN,0.038902,NaN
2012-05-17,NaN,0.038933,NaN
2012-05-18,0.038600,0.038963,-0.000363
2012-05-19,NaN,0.038994,NaN
2012-05-20,0.033700,0.039025,-0.005325
2012-05-21,0.035800,0.039056,-0.003256
2012-05-22,NaN,0.039087,NaN
2012-05-23,NaN,0.039118,NaN
2012-05-24,0.036400,0.039149,-0.002749
2012-05-25,NaN,0.039179,NaN
2012-05-26,NaN,0.039210,NaN
2012-05-27,NaN,0.039241,NaN
2012-05-28,NaN,0.039272,NaN
2012-05-29,0.035400,0.039303,-0.003903
2012-05-30,NaN,0.039334,NaN
2012-05-31,0.031200,0.039365,-0.008165
2012-06-01,0.040200,0.039395,0.000805
2012-06-02,NaN,0.039426,NaN
2012-06-03,0.033000,0.039457,-0.006457
2012-06-04,NaN,0.039488,NaN
2012-06-05,0.033200,0.039519,-0.006319
2012-06-06,0.037800,0.039550,-0.001750
2012-06-07,NaN,0.039581,NaN
2012-06-08,NaN,0.039612,NaN
2012-06-09,NaN,0.039642,NaN
2012-06-10,NaN,0.039673,NaN
2012-06-11,NaN,0.039704,NaN
2012-06-12,NaN,0.039735,NaN
2012-06-13,NaN,0.039766,NaN
2012-06-14,NaN,0.039797,NaN
2012-06-15,NaN,0.040206,NaN
2012-06-16,NaN,0.040615,NaN
2012-06-17,0.036300,0.041024,-0.004724
2012-06-18,NaN,0.041434,NaN
2012-06-19,NaN,0.041843,NaN
2012-06-20,NaN,0.042252,NaN
2012-06-22,0.039800,0.043070,-0.003270
2012-06-23,NaN,0.043480,NaN
