Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.165000,NaN,NaN
1325721600,0.092800,NaN,NaN
1325808000,0.096000,NaN,NaN
1325894400,NaN,NaN,NaN
1325980800,0.078600,NaN,NaN
1326067200,0.079000,NaN,NaN
1326153600,0.159200,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,0.077200,NaN,NaN
1326412800,0.080000,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.121400,0.096727,0.024673
1326672000,NaN,0.096740,NaN
1326758400,NaN,0.096754,NaN
1326844800,0.098000,0.096767,0.001233
1326931200,0.118600,0.096781,0.021819
1327017600,0.167200,0.096794,0.070406
1327104000,0.103200,0.096808,0.006392
1327190400,NaN,0.096822,NaN
1327276800,NaN,0.096835,NaN
1327363200,0.101900,0.096849,0.005051
1327449600,0.110600,0.096862,0.013738
1327536000,0.080600,0.096876,-0.016276
1327622400,NaN,0.096890,NaN
1327708800,0.057900,0.096903,-0.039003
1327795200,NaN,0.096917,NaN
1327881600,NaN,0.096930,NaN
1327968000,0.063800,0.096944,-0.033144
1328054400,0.051200,0.096957,-0.045757
1328140800,NaN,0.096971,NaN
1328227200,NaN,0.096985,NaN
1328313600,NaN,0.096998,NaN
1328400000,NaN,0.097012,NaN
1328486400,NaN,0.097025,NaN
1328572800,NaN,0.097039,NaN
1328659200,NaN,0.097052,NaN
1328745600,NaN,0.097066,NaN
1328832000,NaN,0.097080,NaN
1328918400,0.060000,0.097093,-0.037093
1329004800,NaN,0.097107,NaN
1329091200,NaN,0.097120,NaN
1329177600,0.091200,0.097134,-0.005934
1329264000,NaN,0.097147,NaN
1329350400,NaN,0.097598,NaN
1329436800,NaN,0.098048,NaN
1329523200,NaN,0.098498,NaN
1329609600,NaN,0.098948,NaN
1329696000,NaN,0.099398,NaN
1329782400,NaN,0.099848,NaN
1329868800,0.067000,0.100298,-0.033298
1329955200,0.064700,0.100749,-0.036049
1330041600,0.075800,0.101199,-0.025399
1330128000,NaN,0.101649,NaN
1330214400,NaN,0.102099,NaN
1330300800,NaN,0.102549,NaN
1330387200,0.075500,0.102999,-0.027499
1330473600,NaN,0.103449,NaN
1330560000,NaN,0.103900,NaN
1330646400,NaN,0.104350,NaN
1330732800,NaN,0.104800,NaN
1330819200,NaN,0.105250,NaN
1330905600,0.185200,0.105700,0.079500
1330992000,NaN,0.106150,NaN
1331078400,NaN,0.106601,NaN
1331164800,NaN,0.107051,NaN
1331251200,0.057300,0.107501,-0.050201
1331337600,NaN,0.107951,NaN
1331424000,NaN,0.108401,NaN
1331510400,0.076600,0.108851,-0.032251
1331596800,NaN,0.109301,NaN
1331683200,0.049100,0.109752,-0.060652
1331769600,NaN,0.108528,NaN
1331856000,0.053400,0.107305,-0.053905
1331942400,0.064600,0.106081,-0.041481
1332028800,0.062200,0.104858,-0.042658
1332115200,0.041600,0.103635,-0.062035
1332201600,0.055800,0.102411,-0.046611
1332288000,0.056000,0.101188,-0.045188
1332374400,NaN,0.099964,NaN
1332460800,0.069200,0.098741,-0.029541
1332720000,0.068600,0.095071,-0.026471
1332806400,NaN,0.093847,NaN
1332892800,NaN,0.092624,NaN
1332979200,0.062600,0.091400,-0.028800
1333065600,0.081500,0.090177,-0.008677
1333152000,NaN,0.088954,NaN
1333238400,0.088400,0.087730,0.000670
1333324800,NaN,0.086507,NaN
1333411200,NaN,0.085283,NaN
1333497600,0.072400,0.084060,-0.011660
1333584000,NaN,0.082837,NaN
1333670400,0.079000,0.081613,-0.002613
1333756800,NaN,0.080390,NaN
1333843200,NaN,0.079166,NaN
1333929600,0.044450,0.077943,-0.033493
1334016000,0.063400,0.076720,-0.013320
1334102400,0.050200,0.075496,-0.025296
1334188800,NaN,0.074273,NaN
1334275200,NaN,0.073049,NaN
1334361600,NaN,0.071826,NaN
1334448000,NaN,0.072252,NaN
1334534400,NaN,0.072678,NaN
1334620800,NaN,0.073105,NaN
1334707200,NaN,0.073531,NaN
1334793600,NaN,0.073957,NaN
1334880000,NaN,0.074383,NaN
1334966400,NaN,0.074810,NaN
1335052800,0.152600,0.075236,0.077364
1335139200,NaN,0.075662,NaN
1335225600,0.114200,0.076088,0.038112
1335312000,0.098100,0.076514,0.021586
1335398400,0.138800,0.076941,0.061859
1335484800,0.093600,0.077367,0.016233
1335571200,NaN,0.077793,NaN
1335657600,NaN,0.078219,NaN
1335744000,NaN,0.078645,NaN
1335830400,NaN,0.079072,NaN
1335916800,0.077000,0.079498,-0.002498
1336003200,NaN,0.079924,NaN
1336089600,NaN,0.080350,NaN
1336176000,0.053600,0.080777,-0.027177
1336262400,0.054550,0.081203,-0.026653
1336348800,0.071000,0.081629,-0.010629
1336435200,NaN,0.082055,NaN
1336521600,NaN,0.082481,NaN
1336608000,NaN,0.082908,NaN
1336694400,NaN,0.083334,NaN
1336780800,NaN,0.083760,NaN
1336867200,NaN,0.084186,NaN
1336953600,NaN,0.084612,NaN
1337040000,NaN,0.084996,NaN
1337126400,NaN,0.085379,NaN
1337212800,NaN,0.085762,NaN
1337299200,0.047200,0.086145,-0.038945
1337385600,NaN,0.086529,NaN
1337472000,NaN,0.086912,NaN
1337558400,0.070800,0.087295,-0.016495
1337644800,0.092700,0.087678,0.005022
1337731200,0.070000,0.088062,-0.018062
1337817600,NaN,0.088445,NaN
1337904000,NaN,0.088828,NaN
1337990400,0.059700,0.089211,-0.029511
1338076800,NaN,0.089595,NaN
1338163200,NaN,0.089978,NaN
1338249600,NaN,0.090361,NaN
1338336000,NaN,0.090744,NaN
1338422400,NaN,0.091128,NaN
1338508800,NaN,0.091511,NaN
1338595200,NaN,0.091894,NaN
1338681600,NaN,0.092277,NaN
1338768000,NaN,0.092661,NaN
1338854400,NaN,0.093044,NaN
1338940800,NaN,0.093427,NaN
1339027200,NaN,0.093810,NaN
1339113600,NaN,0.094194,NaN
1339200000,NaN,0.094577,NaN
1339286400,NaN,0.094960,NaN
1339372800,0.102000,0.095343,0.006657
1339459200,0.114300,0.095727,0.018573
1339545600,NaN,0.096110,NaN
1339632000,0.059400,0.096493,-0.037093
1339718400,NaN,0.096814,NaN
1339804800,NaN,0.097135,NaN
1339891200,NaN,0.097456,NaN
1339977600,0.086200,0.097778,-0.011578
1340064000,NaN,0.098099,NaN
1340150400,NaN,0.098420,NaN
1340323200,NaN,0.099062,NaN
1340409600,NaN,0.099383,NaN
1340496000,NaN,0.099704,NaN
1340582400,NaN,0.100025,NaN
1340668800,NaN,0.100346,NaN
1340755200,NaN,0.100667,NaN
1340841600,1.107450,0.100988,1.006462
1340928000,0.163800,0.101309,0.062491
1341014400,0.113000,0.101630,0.011370
1341100800,NaN,0.101951,NaN
1341187200,NaN,0.102273,NaN
1341273600,NaN,0.102594,NaN
1341360000,NaN,0.102915,NaN
1341446400,0.067200,0.103236,-0.036036
1341532800,NaN,0.103557,NaN
1341619200,NaN,0.103878,NaN
1341705600,0.086300,0.104199,-0.017899
1341792000,NaN,0.104520,NaN
1341878400,0.121800,0.104841,0.016959
1341964800,NaN,0.105162,NaN
1342051200,NaN,0.105483,NaN
1342137600,0.124800,0.105804,0.018996
1342224000,0.078300,0.106125,-0.027825
1342310400,NaN,0.106205,NaN
1342396800,NaN,0.106285,NaN
1342483200,NaN,0.106364,NaN
1342569600,NaN,0.106444,NaN
1342656000,NaN,0.106524,NaN
1342742400,0.095000,0.106603,-0.011603
1342828800,NaN,0.106683,NaN
1342915200,NaN,0.106762,NaN
1343001600,NaN,0.106842,NaN
1343088000,NaN,0.106922,NaN
1343174400,NaN,0.107001,NaN
1343260800,NaN,0.107081,NaN
1343347200,NaN,0.107160,NaN
1343433600,NaN,0.107240,NaN
1343520000,NaN,0.107320,NaN
1343606400,NaN,0.107399,NaN
1343692800,0.099000,0.107479,-0.008479
1343779200,0.135600,0.107559,0.028041
1343865600,NaN,0.107638,NaN
1343952000,NaN,0.107718,NaN
1344038400,NaN,0.107797,NaN
1344124800,NaN,0.107877,NaN
1344211200,0.089800,0.107957,-0.018157
1344297600,NaN,0.108036,NaN
1344384000,NaN,0.108116,NaN
1344470400,0.069800,0.108196,-0.038396
1344556800,NaN,0.108275,NaN
1344643200,NaN,0.108355,NaN
1344729600,NaN,0.108434,NaN
1344816000,NaN,0.108514,NaN
1344902400,NaN,0.108594,NaN
1344988800,NaN,0.109578,NaN
1345075200,NaN,0.110562,NaN
1345161600,0.081600,0.111546,-0.029946
1345248000,NaN,0.112530,NaN
1345334400,NaN,0.113514,NaN
1345420800,0.074200,0.114498,-0.040298
1345507200,0.089850,0.115482,-0.025632
1345593600,0.087600,0.116466,-0.028866
1345680000,NaN,0.117451,NaN
1345766400,NaN,0.118435,NaN
1345852800,NaN,0.119419,NaN
1345939200,NaN,0.120403,NaN
1346025600,NaN,0.121387,NaN
1346112000,NaN,0.122371,NaN
1346198400,NaN,0.123355,NaN
1346284800,NaN,0.124339,NaN
1346371200,NaN,0.125323,NaN
1346457600,0.249900,0.126307,0.123593
1346544000,0.150800,0.127291,0.023508
1346630400,NaN,0.128276,NaN
1346716800,NaN,0.129260,NaN
1346803200,0.112000,0.130244,-0.018244
1346889600,NaN,0.131228,NaN
1346976000,0.151500,0.132212,0.019288
1347062400,0.060800,0.133196,-0.072396
1347148800,NaN,0.134180,NaN
1347235200,NaN,0.135164,NaN
1347321600,NaN,0.136148,NaN
1347408000,0.316800,0.137132,0.179668
1347494400,NaN,0.138117,NaN
1347580800,NaN,0.139101,NaN
