Time,mean,climatology,anomaly
1325548800,0.224000,NaN,NaN
1325635200,0.331100,NaN,NaN
1325721600,0.337400,NaN,NaN
1325808000,0.414200,NaN,NaN
1325894400,0.410400,NaN,NaN
1325980800,0.430000,NaN,NaN
1326067200,0.779600,NaN,NaN
1326153600,0.390400,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.339600,0.289027,0.050573
1326672000,NaN,0.288651,NaN
1326758400,0.391900,0.288275,0.103625
1326844800,0.416000,0.287900,0.128100
1326931200,0.434400,0.287524,0.146876
1327017600,0.617200,0.287148,0.330052
1327104000,0.425400,0.286772,0.138628
1327190400,0.590300,0.286396,0.303904
1327276800,0.337200,0.286020,0.051180
1327363200,0.287000,0.285645,0.001355
1327449600,0.284900,0.285269,-0.000369
1327536000,0.285000,0.284893,0.000107
1327622400,NaN,0.284517,NaN
1327708800,0.292600,0.284141,0.008459
1327795200,NaN,0.283765,NaN
1327881600,NaN,0.283390,NaN
1327968000,0.321400,0.283014,0.038386
1328054400,NaN,0.282638,NaN
1328140800,NaN,0.282262,NaN
1328227200,NaN,0.281886,NaN
1328313600,0.331100,0.281510,0.049590
1328400000,NaN,0.281135,NaN
1328486400,NaN,0.280759,NaN
1328572800,0.424000,0.280383,0.143617
1328659200,NaN,0.280007,NaN
1328745600,0.305000,0.279631,0.025369
1328832000,0.358000,0.279255,0.078745
1328918400,NaN,0.278880,NaN
1329004800,0.220800,0.278504,-0.057704
1329091200,NaN,0.278128,NaN
1329177600,0.233200,0.277752,-0.044552
1329264000,0.295700,0.277376,0.018324
1329350400,NaN,0.276405,NaN
1329436800,NaN,0.275433,NaN
1329523200,NaN,0.274462,NaN
1329609600,0.294000,0.273491,0.020509
1329696000,NaN,0.272519,NaN
1329782400,NaN,0.271548,NaN
1329868800,0.358000,0.270576,0.087424
1329955200,0.370600,0.269605,0.100995
1330041600,0.466600,0.268634,0.197966
1330128000,0.380400,0.267662,0.112738
1330214400,NaN,0.266691,NaN
1330300800,0.425400,0.265719,0.159681
1330387200,0.424400,0.264748,0.159652
1330473600,0.508200,0.263776,0.244424
1330560000,0.266000,0.262805,0.003195
1330646400,0.268900,0.261834,0.007066
1330732800,0.515400,0.260862,0.254538
1330819200,NaN,0.259891,NaN
1330905600,0.250200,0.258919,-0.008719
1330992000,NaN,0.257948,NaN
1331078400,NaN,0.256976,NaN
1331164800,0.187700,0.256005,-0.068305
1331251200,NaN,0.255034,NaN
1331337600,0.345100,0.254062,0.091038
1331424000,NaN,0.253091,NaN
1331510400,0.337200,0.252119,0.085081
1331596800,NaN,0.251148,NaN
1331683200,0.271300,0.250177,0.021123
1331769600,0.249600,0.249302,0.000298
1331856000,NaN,0.248428,NaN
1331942400,0.220600,0.247554,-0.026954
1332028800,0.261800,0.246680,0.015120
1332115200,0.263600,0.245805,0.017795
1332201600,0.257200,0.244931,0.012269
1332288000,NaN,0.244057,NaN
1332374400,NaN,0.243183,NaN
1332460800,0.201600,0.242308,-0.040708
1332720000,0.236000,0.239686,-0.003686
1332806400,NaN,0.238811,NaN
1332892800,0.213400,0.237937,-0.024537
1332979200,0.227400,0.237063,-0.009663
1333065600,NaN,0.236189,NaN
1333152000,0.288300,0.235315,0.052985
1333238400,NaN,0.234440,NaN
1333324800,0.253100,0.233566,0.019534
1333411200,0.279600,0.232692,0.046908
1333497600,0.261000,0.231818,0.029182
1333584000,0.244000,0.230943,0.013057
1333670400,NaN,0.230069,NaN
1333756800,NaN,0.229195,NaN
1333843200,0.147200,0.228321,-0.081121
1333929600,0.243500,0.227446,0.016054
1334016000,0.198400,0.226572,-0.028172
1334102400,0.232000,0.225698,0.006302
1334188800,NaN,0.224824,NaN
1334275200,0.193800,0.223949,-0.030149
1334361600,NaN,0.223075,NaN
1334448000,NaN,0.223086,NaN
1334534400,0.192000,0.223097,-0.031097
1334620800,NaN,0.223107,NaN
1334707200,NaN,0.223118,NaN
1334793600,NaN,0.223129,NaN
1334880000,0.206700,0.223139,-0.016439
1334966400,NaN,0.223150,NaN
1335052800,NaN,0.223161,NaN
1335139200,NaN,0.223171,NaN
1335225600,0.192600,0.223182,-0.030582
1335312000,0.181350,0.223193,-0.041843
1335398400,0.185200,0.223203,-0.038003
1335484800,NaN,0.223214,NaN
1335571200,NaN,0.223225,NaN
1335657600,NaN,0.223235,NaN
1335744000,NaN,0.223246,NaN
1335830400,NaN,0.223257,NaN
1335916800,0.268200,0.223267,0.044933
1336003200,NaN,0.223278,NaN
1336089600,NaN,0.223289,NaN
1336176000,0.203100,0.223299,-0.020199
1336262400,0.203300,0.223310,-0.020010
1336348800,0.202400,0.223321,-0.020921
1336435200,NaN,0.223331,NaN
1336521600,NaN,0.223342,NaN
1336608000,0.303000,0.223353,0.079647
1336694400,0.311400,0.223363,0.088037
1336780800,NaN,0.223374,NaN
1336867200,NaN,0.223385,NaN
1336953600,NaN,0.223396,NaN
1337040000,0.172600,0.224693,-0.052093
1337126400,NaN,0.225990,NaN
1337212800,NaN,0.227287,NaN
1337299200,0.300800,0.228585,0.072215
1337385600,NaN,0.229882,NaN
1337472000,NaN,0.231179,NaN
1337558400,0.316800,0.232477,0.084323
1337644800,0.189800,0.233774,-0.043974
1337731200,0.322000,0.235071,0.086929
1337817600,NaN,0.236369,NaN
1337904000,NaN,0.237666,NaN
1337990400,0.247100,0.238963,0.008137
1338076800,0.329800,0.240261,0.089539
1338163200,0.277400,0.241558,0.035842
1338249600,0.316000,0.242855,0.073145
1338336000,NaN,0.244153,NaN
1338422400,NaN,0.245450,NaN
1338508800,NaN,0.246747,NaN
1338595200,NaN,0.248045,NaN
1338681600,NaN,0.249342,NaN
1338768000,NaN,0.250639,NaN
1338854400,NaN,0.251937,NaN
1338940800,NaN,0.253234,NaN
1339027200,NaN,0.254531,NaN
1339113600,0.301800,0.255829,0.045971
1339200000,NaN,0.257126,NaN
1339286400,NaN,0.258423,NaN
1339372800,NaN,0.259721,NaN
1339459200,0.563300,0.261018,0.302282
1339545600,NaN,0.262315,NaN
1339632000,0.307200,0.263613,0.043587
1339718400,NaN,0.263537,NaN
1339804800,0.213400,0.263462,-0.050062
1339891200,NaN,0.263386,NaN
1339977600,0.185200,0.263311,-0.078111
1340064000,NaN,0.263235,NaN
1340150400,NaN,0.263160,NaN
1340323200,NaN,0.263009,NaN
1340409600,NaN,0.262933,NaN
1340496000,NaN,0.262858,NaN
1340582400,NaN,0.262782,NaN
1340668800,NaN,0.262707,NaN
1340755200,NaN,0.262631,NaN
1340841600,NaN,0.262556,NaN
1340928000,0.207000,0.262480,-0.055480
1341014400,NaN,0.262405,NaN
1341100800,NaN,0.262329,NaN
1341187200,0.241600,0.262254,-0.020654
1341273600,0.165600,0.262178,-0.096578
1341360000,NaN,0.262103,NaN
1341446400,NaN,0.262028,NaN
1341532800,NaN,0.261952,NaN
1341619200,NaN,0.261877,NaN
1341705600,NaN,0.261801,NaN
1341792000,NaN,0.261726,NaN
1341878400,NaN,0.261650,NaN
1341964800,NaN,0.261575,NaN
1342051200,NaN,0.261499,NaN
1342137600,NaN,0.261424,NaN
1342224000,NaN,0.261348,NaN
1342310400,NaN,0.262212,NaN
1342396800,0.251200,0.263076,-0.011876
1342483200,NaN,0.263939,NaN
1342569600,NaN,0.264803,NaN
1342656000,NaN,0.265667,NaN
1342742400,0.206600,0.266531,-0.059931
1342828800,NaN,0.267394,NaN
1342915200,NaN,0.268258,NaN
1343001600,0.208600,0.269122,-0.060522
1343088000,NaN,0.269985,NaN
1343174400,NaN,0.270849,NaN
1343260800,0.219800,0.271713,-0.051913
1343347200,NaN,0.272577,NaN
1343433600,NaN,0.273440,NaN
1343520000,NaN,0.274304,NaN
1343606400,0.285000,0.275168,0.009832
1343692800,0.214000,0.276032,-0.062032
1343779200,0.198200,0.276895,-0.078695
1343865600,NaN,0.277759,NaN
1343952000,NaN,0.278623,NaN
1344038400,0.225200,0.279487,-0.054287
1344124800,NaN,0.280350,NaN
1344211200,NaN,0.281214,NaN
1344297600,NaN,0.282078,NaN
1344384000,NaN,0.282941,NaN
1344470400,0.348600,0.283805,0.064795
1344556800,NaN,0.284669,NaN
1344643200,NaN,0.285533,NaN
1344729600,NaN,0.286396,NaN
1344816000,NaN,0.287260,NaN
1344902400,NaN,0.288124,NaN
1344988800,NaN,0.291348,NaN
1345075200,NaN,0.294573,NaN
1345161600,0.220400,0.297797,-0.077397
1345248000,NaN,0.301021,NaN
1345334400,0.214800,0.304246,-0.089446
1345420800,0.232400,0.307470,-0.075070
1345507200,0.217700,0.310695,-0.092995
1345593600,NaN,0.313919,NaN
1345680000,NaN,0.317143,NaN
1345766400,NaN,0.320368,NaN
1345852800,NaN,0.323592,NaN
1345939200,NaN,0.326817,NaN
1346025600,NaN,0.330041,NaN
1346112000,NaN,0.333265,NaN
1346198400,NaN,0.336490,NaN
1346284800,NaN,0.339714,NaN
1346371200,NaN,0.342939,NaN
1346457600,0.211700,0.346163,-0.134463
1346544000,NaN,0.349387,NaN
1346630400,NaN,0.352612,NaN
1346716800,0.191800,0.355836,-0.164036
1346803200,NaN,0.359060,NaN
1346889600,0.199600,0.362285,-0.162685
1346976000,0.219400,0.365509,-0.146109
1347062400,NaN,0.368734,NaN
1347148800,0.206800,0.371958,-0.165158
1347235200,0.220700,0.375182,-0.154482
1347321600,0.415000,0.378407,0.036593
1347408000,NaN,0.381631,NaN
1347494400,NaN,0.384856,NaN
1347580800,NaN,0.388080,NaN
1347667200,0.246200,0.391189,-0.144989
1347753600,NaN,0.394299,NaN
1347840000,NaN,0.397408,NaN
1347926400,0.275500,0.400518,-0.125018
1348012800,NaN,0.403627,NaN
1348099200,0.242800,0.406737,-0.163937
1348185600,NaN,0.409846,NaN
1348272000,NaN,0.412955,NaN
1348358400,NaN,0.416065,NaN
1348444800,NaN,0.419174,NaN
1348531200,NaN,0.422284,NaN
1348617600,NaN,0.425393,NaN
1348704000,0.522200,0.428502,0.093698
1348790400,0.451300,0.431612,0.019688
1348876800,0.386100,0.434721,-0.048621
1348963200,NaN,0.437831,NaN
1349049600,NaN,0.440940,NaN
1349136000,NaN,0.444050,NaN
1349222400,0.328100,0.447159,-0.119059
1349308800,0.485300,0.450268,0.035032
1349395200,0.495400,0.453378,0.042022
1349481600,NaN,0.456487,NaN
1349568000,NaN,0.459597,NaN
1349654400,NaN,0.462706,NaN
1349740800,0.941600,0.465815,0.475784
1349827200,0.896000,0.468925,0.427075
1349913600,0.390600,0.472034,-0.081434
1350000000,NaN,0.475144,NaN
1350086400,NaN,0.478253,NaN
1350172800,0.339800,0.481363,-0.141563
1350259200,0.413200,0.480271,-0.067071
1350345600,0.376000,0.479180,-0.103180
1350432000,NaN,0.478088,NaN
1350518400,0.340400,0.476997,-0.136597
1350604800,0.373600,0.475905,-0.102305
1350691200,0.387700,0.474814,-0.087114
1350777600,0.340200,0.473722,-0.133522
1350864000,0.337900,0.472631,-0.134731
1350950400,0.470000,0.471539,-0.001539
1351036800,NaN,0.470448,NaN
1351123200,NaN,0.469356,NaN
1351209600,NaN,0.468265,NaN
1351296000,NaN,0.467174,NaN
1351382400,NaN,0.466082,NaN
1351468800,NaN,0.464991,NaN
1351555200,0.295800,0.463899,-0.168099
1351641600,0.314400,0.462808,-0.148408
1351728000,0.346000,0.461716,-0.115716
1351814400,0.376400,0.460625,-0.084225
1351900800,0.553900,0.459533,0.094367
1351987200,0.759800,0.458442,0.301358
1352073600,0.917800,0.457350,0.460450
1352160000,0.838800,0.456259,0.382541
1352246400,0.337000,0.455167,-0.118167
1352332800,0.346200,0.454076,-0.107876
1352419200,0.342500,0.452985,-0.110485
1352505600,NaN,0.451893,NaN
1352592000,0.369500,0.450802,-0.081302
1352678400,NaN,0.449710,NaN
1352764800,NaN,0.448619,NaN
1352851200,NaN,0.447527,NaN
1352937600,0.571100,0.446946,0.124154
1353024000,0.468800,0.446365,0.022435
1353110400,0.441200,0.445784,-0.004584
1353196800,0.434800,0.445203,-0.010403
1353283200,0.582300,0.444622,0.137678
1353369600,NaN,0.444041,NaN
1353456000,0.400600,0.443460,-0.042860
1353628800,0.342400,0.442298,-0.099898
1353715200,1.013800,0.441717,0.572083
1353801600,0.570200,0.441136,0.129064
1353888000,0.602400,0.440555,0.161845
1353974400,NaN,0.439974,NaN
1354060800,NaN,0.439393,NaN
1354147200,NaN,0.438812,NaN
1354233600,NaN,0.438231,NaN
1354320000,0.618200,0.437650,0.180550
1354406400,0.428000,0.437069,-0.009069
1354492800,0.308100,0.436488,-0.128388
1354579200,NaN,0.435907,NaN
1354665600,NaN,0.435326,NaN
1354752000,NaN,0.434745,NaN
1354838400,1.066900,0.434164,0.632736
1354924800,NaN,0.433583,NaN
1355011200,0.471600,0.433002,0.038598
1355097600,NaN,0.432421,NaN
1355184000,0.581000,0.431840,0.149160
1355270400,NaN,0.431259,NaN
1355356800,NaN,0.430678,NaN
1355443200,0.253500,0.430097,-0.176597
1355529600,NaN,0.425689,NaN
1355616000,NaN,0.421281,NaN
1355702400,0.487800,0.416872,0.070928
1355788800,0.530800,0.412464,0.118336
