Time,mean,climatology,anomaly
1325548800,0.143600,NaN,NaN
1325635200,0.101800,NaN,NaN
1325721600,0.084800,NaN,NaN
1325808000,NaN,NaN,NaN
1325894400,NaN,NaN,NaN
1325980800,NaN,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,NaN,NaN,NaN
1326240000,0.086200,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,0.148900,NaN,NaN
1326585600,NaN,0.124432,NaN
1326672000,0.112800,0.124162,-0.011362
1326758400,NaN,0.123891,NaN
1326844800,0.110300,0.123621,-0.013321
1326931200,NaN,0.123351,NaN
1327017600,0.108500,0.123080,-0.014580
1327104000,0.071600,0.122810,-0.051210
1327190400,NaN,0.122539,NaN
1327276800,NaN,0.122269,NaN
1327363200,NaN,0.121999,NaN
1327449600,NaN,0.121728,NaN
1327536000,NaN,0.121458,NaN
1327622400,0.133200,0.121187,0.012012
1327708800,0.128800,0.120917,0.007883
1327795200,NaN,0.120647,NaN
1327881600,NaN,0.120376,NaN
1327968000,NaN,0.120106,NaN
1328054400,NaN,0.119836,NaN
1328140800,NaN,0.119565,NaN
1328227200,NaN,0.119295,NaN
1328313600,NaN,0.119024,NaN
1328400000,NaN,0.118754,NaN
1328486400,NaN,0.118484,NaN
1328572800,0.092700,0.118213,-0.025513
1328659200,0.119500,0.117943,0.001557
1328745600,NaN,0.117672,NaN
1328832000,NaN,0.117402,NaN
1328918400,NaN,0.117132,NaN
1329004800,NaN,0.116861,NaN
1329091200,NaN,0.116591,NaN
1329177600,0.117300,0.116320,0.000980
1329264000,NaN,0.116050,NaN
1329350400,NaN,0.116299,NaN
1329436800,NaN,0.116548,NaN
1329523200,NaN,0.116797,NaN
1329609600,NaN,0.117047,NaN
1329696000,NaN,0.117296,NaN
1329782400,NaN,0.117545,NaN
1329868800,NaN,0.117794,NaN
1329955200,NaN,0.118043,NaN
1330041600,NaN,0.118292,NaN
1330128000,NaN,0.118542,NaN
1330214400,NaN,0.118791,NaN
1330300800,NaN,0.119040,NaN
1330387200,0.090600,0.119289,-0.028689
1330473600,NaN,0.119538,NaN
1330560000,0.079600,0.119787,-0.040187
1330646400,0.061400,0.120037,-0.058637
1330732800,NaN,0.120286,NaN
1330819200,0.097800,0.120535,-0.022735
1330905600,0.173400,0.120784,0.052616
1330992000,0.122600,0.121033,0.001567
1331078400,NaN,0.121282,NaN
1331164800,0.066600,0.121532,-0.054932
1331251200,NaN,0.121781,NaN
1331337600,NaN,0.122030,NaN
1331424000,NaN,0.122279,NaN
1331510400,NaN,0.122528,NaN
1331596800,0.099600,0.122777,-0.023177
1331683200,NaN,0.123027,NaN
1331769600,0.107200,0.121982,-0.014782
1331856000,0.109400,0.120938,-0.011538
1331942400,NaN,0.119894,NaN
1332028800,NaN,0.118850,NaN
1332115200,NaN,0.117806,NaN
1332201600,NaN,0.116762,NaN
1332288000,NaN,0.115718,NaN
1332374400,NaN,0.114674,NaN
1332460800,0.086400,0.113630,-0.027230
1332720000,0.055600,0.110498,-0.054898
1332806400,NaN,0.109453,NaN
1332892800,NaN,0.108409,NaN
1332979200,0.044400,0.107365,-0.062965
1333065600,NaN,0.106321,NaN
1333152000,NaN,0.105277,NaN
1333238400,0.046500,0.104233,-0.057733
1333324800,NaN,0.103189,NaN
1333411200,0.038600,0.102145,-0.063545
1333497600,NaN,0.101101,NaN
1333584000,NaN,0.100057,NaN
1333670400,NaN,0.099013,NaN
1333756800,0.027600,0.097969,-0.070369
