Date,Mean,Climatology,Anomaly
2012-01-03,0.117000,NaN,NaN
2012-01-04,0.068600,NaN,NaN
2012-01-05,NaN,NaN,NaN
2012-01-06,NaN,NaN,NaN
2012-01-07,NaN,NaN,NaN
2012-01-08,NaN,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,NaN,NaN,NaN
2012-01-11,0.079200,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,0.119200,NaN,NaN
2012-01-14,0.090200,NaN,NaN
2012-01-15,NaN,0.099153,NaN
2012-01-16,0.067000,0.098841,-0.031841
2012-01-17,NaN,0.098528,NaN
2012-01-18,0.088300,0.098215,-0.009915
2012-01-19,NaN,0.097903,NaN
2012-01-20,0.063600,0.097590,-0.033990
2012-01-21,NaN,0.097277,NaN
2012-01-22,NaN,0.096965,NaN
2012-01-23,NaN,0.096652,NaN
2012-01-24,NaN,0.096339,NaN
2012-01-25,NaN,0.096027,NaN
2012-01-26,NaN,0.095714,NaN
2012-01-27,0.160900,0.095401,0.065499
2012-01-28,0.159200,0.095088,0.064112
2012-01-29,NaN,0.094776,NaN
2012-01-30,NaN,0.094463,NaN
2012-01-31,NaN,0.094150,NaN
2012-02-01,NaN,0.093838,NaN
2012-02-02,NaN,0.093525,NaN
2012-02-03,NaN,0.093212,NaN
2012-02-04,0.060700,0.092900,-0.032200
2012-02-05,NaN,0.092587,NaN
2012-02-06,NaN,0.092274,NaN
2012-02-07,0.067400,0.091962,-0.024562
2012-02-08,NaN,0.091649,NaN
2012-02-09,NaN,0.091336,NaN
2012-02-10,NaN,0.091023,NaN
2012-02-11,NaN,0.090711,NaN
2012-02-12,NaN,0.090398,NaN
2012-02-13,NaN,0.090085,NaN
2012-02-14,NaN,0.089773,NaN
2012-02-15,NaN,0.089460,NaN
2012-02-16,NaN,0.089457,NaN
2012-02-17,NaN,0.089454,NaN
2012-02-18,NaN,0.089452,NaN
2012-02-19,NaN,0.089449,NaN
2012-02-20,NaN,0.089446,NaN
2012-02-21,NaN,0.089443,NaN
2012-02-22,NaN,0.089441,NaN
2012-02-23,NaN,0.089438,NaN
2012-02-24,NaN,0.089435,NaN
2012-02-25,NaN,0.089432,NaN
2012-02-26,NaN,0.089430,NaN
2012-02-27,NaN,0.089427,NaN
2012-02-28,NaN,0.089424,NaN
2012-02-29,NaN,0.089421,NaN
2012-03-01,0.064700,0.089419,-0.024719
2012-03-02,0.058200,0.089416,-0.031216
2012-03-03,NaN,0.089413,NaN
2012-03-04,0.076400,0.089410,-0.013010
2012-03-05,0.105000,0.089408,0.015592
2012-03-06,0.061800,0.089405,-0.027605
2012-03-07,NaN,0.089402,NaN
2012-03-08,0.055400,0.089399,-0.033999
2012-03-09,NaN,0.089397,NaN
2012-03-10,NaN,0.089394,NaN
2012-03-11,NaN,0.089391,NaN
2012-03-12,NaN,0.089388,NaN
2012-03-13,0.038000,0.089386,-0.051386
2012-03-14,NaN,0.089383,NaN
2012-03-15,NaN,0.088781,NaN
2012-03-16,0.033800,0.088180,-0.054380
2012-03-17,NaN,0.087579,NaN
2012-03-18,NaN,0.086977,NaN
2012-03-19,NaN,0.086376,NaN
2012-03-20,NaN,0.085774,NaN
2012-03-21,NaN,0.085173,NaN
2012-03-22,NaN,0.084571,NaN
2012-03-23,NaN,0.083970,NaN
2012-03-26,0.035800,0.082166,-0.046366
2012-03-27,0.031000,0.081564,-0.050564
2012-03-28,NaN,0.080963,NaN
2012-03-29,0.036800,0.080361,-0.043561
2012-03-30,NaN,0.079760,NaN
2012-03-31,NaN,0.079159,NaN
2012-04-01,0.043200,0.078557,-0.035357
2012-04-02,NaN,0.077956,NaN
2012-04-03,0.037000,0.077354,-0.040354
2012-04-04,NaN,0.076753,NaN
2012-04-05,NaN,0.076151,NaN
2012-04-06,0.035400,0.075550,-0.040150
2012-04-07,0.029100,0.074949,-0.045849
2012-04-08,0.031600,0.074347,-0.042747
2012-04-09,0.031200,0.073746,-0.042546
2012-04-10,NaN,0.073144,NaN
2012-04-11,0.032800,0.072543,-0.039743
2012-04-12,NaN,0.071941,NaN
2012-04-13,NaN,0.071340,NaN
2012-04-14,0.034600,0.070739,-0.036139
2012-04-15,NaN,0.069954,NaN
2012-04-16,NaN,0.069169,NaN
2012-04-17,NaN,0.068384,NaN
2012-04-18,NaN,0.067599,NaN
2012-04-19,0.033400,0.066814,-0.033414
2012-04-20,0.033400,0.066030,-0.032630
2012-04-21,NaN,0.065245,NaN
2012-04-22,0.039000,0.064460,-0.025460
2012-04-23,0.072300,0.063675,0.008625
2012-04-24,0.051800,0.062890,-0.011090
2012-04-25,0.050600,0.062106,-0.011506
2012-04-26,NaN,0.061321,NaN
2012-04-27,NaN,0.060536,NaN
2012-04-28,0.048400,0.059751,-0.011351
2012-04-29,0.037800,0.058966,-0.021166
2012-04-30,NaN,0.058181,NaN
2012-05-01,NaN,0.057397,NaN
2012-05-02,NaN,0.056612,NaN
2012-05-03,0.025900,0.055827,-0.029927
2012-05-04,NaN,0.055042,NaN
2012-05-05,0.033600,0.054257,-0.020657
2012-05-06,NaN,0.053472,NaN
2012-05-07,0.034200,0.052688,-0.018488
2012-05-08,NaN,0.051903,NaN
2012-05-09,0.039800,0.051118,-0.011318
2012-05-10,0.042600,0.050333,-0.007733
2012-05-11,NaN,0.049548,NaN
2012-05-12,NaN,0.048763,NaN
2012-05-13,0.046400,0.047979,-0.001579
2012-05-14,NaN,0.047194,NaN
2012-05-15,NaN,0.047891,NaN
2012-05-16,NaN,0.048589,NaN
2012-05-17,NaN,0.049286,NaN
2012-05-18,NaN,0.049984,NaN
2012-05-19,NaN,0.050681,NaN
2012-05-20,0.034200,0.051379,-0.017179
2012-05-21,0.039200,0.052076,-0.012876
2012-05-22,NaN,0.052774,NaN
2012-05-23,NaN,0.053471,NaN
2012-05-24,NaN,0.054169,NaN
2012-05-25,NaN,0.054866,NaN
2012-05-26,0.051700,0.055564,-0.003864
2012-05-27,NaN,0.056261,NaN
