Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.058200,NaN,NaN
2012-01-05,0.050100,NaN,NaN
2012-01-06,NaN,NaN,NaN
2012-01-07,NaN,NaN,NaN
2012-01-08,NaN,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,NaN,NaN,NaN
2012-01-11,0.058600,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,0.081200,NaN,NaN
2012-01-14,0.053600,NaN,NaN
2012-01-15,NaN,0.071067,NaN
2012-01-16,0.074200,0.071226,0.002974
2012-01-17,NaN,0.071384,NaN
2012-01-18,0.090600,0.071542,0.019058
2012-01-19,NaN,0.071701,NaN
2012-01-20,NaN,0.071859,NaN
2012-01-21,NaN,0.072017,NaN
2012-01-22,NaN,0.072176,NaN
2012-01-23,NaN,0.072334,NaN
2012-01-24,NaN,0.072492,NaN
2012-01-25,NaN,0.072651,NaN
2012-01-26,NaN,0.072809,NaN
2012-01-27,0.060000,0.072967,-0.012967
2012-01-28,0.058000,0.073126,-0.015126
2012-01-29,NaN,0.073284,NaN
2012-01-30,NaN,0.073442,NaN
2012-01-31,NaN,0.073601,NaN
2012-02-01,NaN,0.073759,NaN
2012-02-02,NaN,0.073917,NaN
2012-02-03,NaN,0.074076,NaN
2012-02-04,NaN,0.074234,NaN
2012-02-05,NaN,0.074392,NaN
2012-02-06,NaN,0.074550,NaN
2012-02-07,NaN,0.074709,NaN
2012-02-08,NaN,0.074867,NaN
2012-02-09,NaN,0.075025,NaN
2012-02-10,NaN,0.075184,NaN
2012-02-11,NaN,0.075342,NaN
2012-02-12,NaN,0.075500,NaN
2012-02-13,NaN,0.075659,NaN
2012-02-14,0.072600,0.075817,-0.003217
2012-02-15,NaN,0.075975,NaN
2012-02-16,NaN,0.075347,NaN
2012-02-17,NaN,0.074718,NaN
2012-02-18,NaN,0.074090,NaN
2012-02-19,NaN,0.073461,NaN
2012-02-20,NaN,0.072832,NaN
2012-02-21,0.056800,0.072204,-0.015404
2012-02-22,NaN,0.071575,NaN
2012-02-23,NaN,0.070947,NaN
2012-02-24,NaN,0.070318,NaN
2012-02-25,NaN,0.069690,NaN
2012-02-26,NaN,0.069061,NaN
2012-02-27,NaN,0.068432,NaN
2012-02-28,NaN,0.067804,NaN
2012-02-29,NaN,0.067175,NaN
2012-03-01,NaN,0.066547,NaN
2012-03-02,NaN,0.065918,NaN
2012-03-03,NaN,0.065289,NaN
2012-03-04,0.056400,0.064661,-0.008261
2012-03-05,0.054600,0.064032,-0.009432
2012-03-06,0.053600,0.063404,-0.009804
2012-03-07,NaN,0.062775,NaN
2012-03-08,NaN,0.062147,NaN
2012-03-09,NaN,0.061518,NaN
2012-03-10,NaN,0.060889,NaN
2012-03-11,NaN,0.060261,NaN
2012-03-12,NaN,0.059632,NaN
2012-03-13,0.047000,0.059004,-0.012004
2012-03-14,NaN,0.058375,NaN
2012-03-15,0.041800,0.058138,-0.016338
2012-03-16,0.034000,0.057900,-0.023900
2012-03-17,NaN,0.057663,NaN
2012-03-18,NaN,0.057425,NaN
2012-03-19,NaN,0.057188,NaN
2012-03-20,NaN,0.056951,NaN
2012-03-21,NaN,0.056713,NaN
2012-03-22,NaN,0.056476,NaN
2012-03-23,0.039800,0.056238,-0.016438
2012-03-26,0.041100,0.055526,-0.014426
2012-03-27,NaN,0.055289,NaN
2012-03-28,0.035400,0.055051,-0.019651
2012-03-29,NaN,0.054814,NaN
2012-03-30,NaN,0.054576,NaN
2012-03-31,NaN,0.054339,NaN
2012-04-01,0.038200,0.054102,-0.015902
2012-04-02,0.041000,0.053864,-0.012864
2012-04-03,NaN,0.053627,NaN
2012-04-04,NaN,0.053389,NaN
2012-04-05,NaN,0.053152,NaN
2012-04-06,NaN,0.052915,NaN
2012-04-07,NaN,0.052677,NaN
2012-04-08,0.040000,0.052440,-0.012440
2012-04-09,NaN,0.052202,NaN
2012-04-10,NaN,0.051965,NaN
2012-04-11,0.027900,0.051728,-0.023828
2012-04-12,NaN,0.051490,NaN
2012-04-13,0.037800,0.051253,-0.013453
2012-04-14,NaN,0.051015,NaN
2012-04-15,NaN,0.051159,NaN
2012-04-16,NaN,0.051303,NaN
2012-04-17,NaN,0.051448,NaN
2012-04-18,0.036400,0.051592,-0.015192
2012-04-19,0.034200,0.051736,-0.017536
2012-04-20,NaN,0.051880,NaN
2012-04-21,NaN,0.052024,NaN
2012-04-22,0.033600,0.052168,-0.018568
2012-04-23,0.033600,0.052312,-0.018712
2012-04-24,0.032400,0.052456,-0.020056
2012-04-25,NaN,0.052600,NaN
2012-04-26,NaN,0.052744,NaN
2012-04-27,0.041500,0.052888,-0.011388
2012-04-28,0.037800,0.053032,-0.015232
2012-04-29,NaN,0.053176,NaN
2012-04-30,NaN,0.053320,NaN
2012-05-01,NaN,0.053464,NaN
2012-05-02,NaN,0.053608,NaN
2012-05-03,0.049800,0.053752,-0.003952
