Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.111200,NaN,NaN
1325721600,0.098200,NaN,NaN
1325808000,0.084000,NaN,NaN
1325894400,0.086700,NaN,NaN
1325980800,0.149100,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,0.107300,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,0.063200,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.065400,0.082321,-0.016921
1326672000,NaN,0.082321,NaN
1326758400,0.079600,0.082321,-0.002721
1326844800,0.049400,0.082322,-0.032922
1326931200,NaN,0.082322,NaN
1327017600,0.069700,0.082322,-0.012622
1327104000,0.063800,0.082322,-0.018522
1327190400,0.054000,0.082323,-0.028323
1327276800,0.040000,0.082323,-0.042323
1327363200,0.048800,0.082323,-0.033523
1327449600,0.121200,0.082323,0.038877
1327536000,NaN,0.082324,NaN
1327622400,0.052500,0.082324,-0.029824
1327708800,0.146800,0.082324,0.064476
1327795200,NaN,0.082324,NaN
1327881600,NaN,0.082325,NaN
1327968000,NaN,0.082325,NaN
1328054400,NaN,0.082325,NaN
1328140800,NaN,0.082325,NaN
1328227200,NaN,0.082326,NaN
1328313600,NaN,0.082326,NaN
1328400000,NaN,0.082326,NaN
1328486400,NaN,0.082326,NaN
1328572800,NaN,0.082327,NaN
1328659200,NaN,0.082327,NaN
1328745600,NaN,0.082327,NaN
1328832000,NaN,0.082327,NaN
1328918400,NaN,0.082327,NaN
1329004800,0.074900,0.082328,-0.007428
1329091200,0.119000,0.082328,0.036672
1329177600,0.067400,0.082328,-0.014928
1329264000,0.059650,0.082328,-0.022678
1329350400,NaN,0.082263,NaN
1329436800,0.056100,0.082197,-0.026097
1329523200,0.069600,0.082131,-0.012531
1329609600,0.081000,0.082065,-0.001065
1329696000,NaN,0.081999,NaN
1329782400,NaN,0.081933,NaN
1329868800,0.044300,0.081868,-0.037568
1329955200,0.057900,0.081802,-0.023902
1330041600,0.094700,0.081736,0.012964
1330128000,NaN,0.081670,NaN
1330214400,NaN,0.081604,NaN
1330300800,NaN,0.081539,NaN
1330387200,0.102600,0.081473,0.021127
1330473600,NaN,0.081407,NaN
1330560000,0.079200,0.081341,-0.002141
1330646400,0.042900,0.081275,-0.038375
1330732800,0.070700,0.081209,-0.010509
1330819200,NaN,0.081144,NaN
1330905600,NaN,0.081078,NaN
1330992000,NaN,0.081012,NaN
1331078400,NaN,0.080946,NaN
1331164800,0.107000,0.080880,0.026120
1331251200,NaN,0.080814,NaN
1331337600,0.047100,0.080749,-0.033649
1331424000,NaN,0.080683,NaN
