Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.111200,NaN,NaN
2012-01-05,0.098200,NaN,NaN
2012-01-06,0.084000,NaN,NaN
2012-01-07,0.086700,NaN,NaN
2012-01-08,0.149100,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,0.107300,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,0.063200,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.065400,0.082321,-0.016921
2012-01-16,NaN,0.082321,NaN
2012-01-17,0.079600,0.082321,-0.002721
2012-01-18,0.049400,0.082322,-0.032922
2012-01-19,NaN,0.082322,NaN
2012-01-20,0.069700,0.082322,-0.012622
2012-01-21,0.063800,0.082322,-0.018522
2012-01-22,0.054000,0.082323,-0.028323
2012-01-23,0.040000,0.082323,-0.042323
2012-01-24,0.048800,0.082323,-0.033523
2012-01-25,0.121200,0.082323,0.038877
2012-01-26,NaN,0.082324,NaN
2012-01-27,0.052500,0.082324,-0.029824
2012-01-28,0.146800,0.082324,0.064476
2012-01-29,NaN,0.082324,NaN
2012-01-30,NaN,0.082325,NaN
2012-01-31,NaN,0.082325,NaN
2012-02-01,NaN,0.082325,NaN
2012-02-02,NaN,0.082325,NaN
2012-02-03,NaN,0.082326,NaN
2012-02-04,NaN,0.082326,NaN
2012-02-05,NaN,0.082326,NaN
2012-02-06,NaN,0.082326,NaN
2012-02-07,NaN,0.082327,NaN
2012-02-08,NaN,0.082327,NaN
2012-02-09,NaN,0.082327,NaN
2012-02-10,NaN,0.082327,NaN
2012-02-11,NaN,0.082327,NaN
2012-02-12,0.074900,0.082328,-0.007428
2012-02-13,0.119000,0.082328,0.036672
2012-02-14,0.067400,0.082328,-0.014928
2012-02-15,0.059650,0.082328,-0.022678
2012-02-16,NaN,0.082263,NaN
2012-02-17,0.056100,0.082197,-0.026097
2012-02-18,0.069600,0.082131,-0.012531
2012-02-19,0.081000,0.082065,-0.001065
2012-02-20,NaN,0.081999,NaN
2012-02-21,NaN,0.081933,NaN
2012-02-22,0.044300,0.081868,-0.037568
2012-02-23,0.057900,0.081802,-0.023902
2012-02-24,0.094700,0.081736,0.012964
2012-02-25,NaN,0.081670,NaN
2012-02-26,NaN,0.081604,NaN
2012-02-27,NaN,0.081539,NaN
2012-02-28,0.102600,0.081473,0.021127
2012-02-29,NaN,0.081407,NaN
2012-03-01,0.079200,0.081341,-0.002141
2012-03-02,0.042900,0.081275,-0.038375
2012-03-03,0.070700,0.081209,-0.010509
2012-03-04,NaN,0.081144,NaN
2012-03-05,NaN,0.081078,NaN
2012-03-06,NaN,0.081012,NaN
2012-03-07,NaN,0.080946,NaN
2012-03-08,0.107000,0.080880,0.026120
2012-03-09,NaN,0.080814,NaN
