Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.063000,NaN,NaN
2012-01-05,NaN,NaN,NaN
2012-01-06,NaN,NaN,NaN
2012-01-07,0.047800,NaN,NaN
2012-01-08,NaN,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,NaN,NaN,NaN
2012-01-11,0.061600,NaN,NaN
2012-01-12,0.087500,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,0.063800,NaN,NaN
2012-01-15,NaN,0.058567,NaN
2012-01-16,0.062600,0.058407,0.004193
2012-01-17,NaN,0.058247,NaN
2012-01-18,0.062450,0.058086,0.004364
2012-01-19,NaN,0.057926,NaN
2012-01-20,0.058100,0.057766,0.000334
2012-01-21,NaN,0.057606,NaN
2012-01-22,NaN,0.057446,NaN
2012-01-23,NaN,0.057286,NaN
2012-01-24,0.048200,0.057125,-0.008925
2012-01-25,0.051200,0.056965,-0.005765
2012-01-26,NaN,0.056805,NaN
2012-01-27,0.055200,0.056645,-0.001445
2012-01-28,NaN,0.056485,NaN
2012-01-29,0.064100,0.056324,0.007776
2012-01-30,NaN,0.056164,NaN
2012-01-31,NaN,0.056004,NaN
2012-02-01,NaN,0.055844,NaN
2012-02-02,NaN,0.055684,NaN
2012-02-03,NaN,0.055524,NaN
2012-02-04,0.046600,0.055363,-0.008763
2012-02-05,NaN,0.055203,NaN
2012-02-06,NaN,0.055043,NaN
2012-02-07,NaN,0.054883,NaN
2012-02-08,0.053800,0.054723,-0.000923
2012-02-09,NaN,0.054562,NaN
2012-02-10,NaN,0.054402,NaN
2012-02-11,NaN,0.054242,NaN
2012-02-12,NaN,0.054082,NaN
2012-02-13,NaN,0.053922,NaN
2012-02-14,NaN,0.053762,NaN
2012-02-15,NaN,0.053601,NaN
2012-02-16,NaN,0.053415,NaN
2012-02-17,NaN,0.053229,NaN
2012-02-18,NaN,0.053043,NaN
2012-02-19,NaN,0.052856,NaN
2012-02-20,NaN,0.052670,NaN
2012-02-21,NaN,0.052484,NaN
2012-02-22,NaN,0.052298,NaN
2012-02-23,NaN,0.052111,NaN
2012-02-24,NaN,0.051925,NaN
2012-02-25,NaN,0.051739,NaN
2012-02-26,NaN,0.051553,NaN
2012-02-27,NaN,0.051366,NaN
2012-02-28,0.066800,0.051180,0.015620
2012-02-29,NaN,0.050994,NaN
2012-03-01,0.049000,0.050808,-0.001808
2012-03-02,0.045800,0.050621,-0.004821
2012-03-03,NaN,0.050435,NaN
2012-03-04,0.058000,0.050249,0.007751
2012-03-05,0.060700,0.050063,0.010637
2012-03-06,NaN,0.049876,NaN
2012-03-07,NaN,0.049690,NaN
2012-03-08,0.046800,0.049504,-0.002704
2012-03-09,NaN,0.049318,NaN
2012-03-10,NaN,0.049131,NaN
