Time,mean,climatology,anomaly
1325548800,0.206000,NaN,NaN
1325635200,0.157500,NaN,NaN
1325721600,0.154900,NaN,NaN
1325808000,0.128500,NaN,NaN
1325894400,0.121000,NaN,NaN
1325980800,0.119200,NaN,NaN
1326067200,0.122400,NaN,NaN
1326153600,0.105900,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,0.080800,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.133000,0.120738,0.012262
1326672000,0.132600,0.120045,0.012555
1326758400,0.106200,0.119351,-0.013151
1326844800,0.097100,0.118658,-0.021558
1326931200,0.104400,0.117965,-0.013565
1327017600,0.106100,0.117272,-0.011172
1327104000,0.096200,0.116578,-0.020378
1327190400,0.095400,0.115885,-0.020485
1327276800,0.093000,0.115192,-0.022192
1327363200,0.094400,0.114498,-0.020098
1327449600,0.097000,0.113805,-0.016805
1327536000,0.102400,0.113112,-0.010712
1327622400,NaN,0.112419,NaN
1327708800,0.101000,0.111725,-0.010725
1327795200,0.067800,0.111032,-0.043232
1327881600,NaN,0.110339,NaN
1327968000,0.101800,0.109645,-0.007845
1328054400,0.096200,0.108952,-0.012752
1328140800,0.109900,0.108259,0.001641
1328227200,NaN,0.107566,NaN
1328313600,0.105400,0.106872,-0.001472
1328400000,NaN,0.106179,NaN
1328486400,0.116000,0.105486,0.010514
1328572800,0.111000,0.104792,0.006208
1328659200,NaN,0.104099,NaN
1328745600,0.115200,0.103406,0.011794
1328832000,0.119600,0.102713,0.016887
1328918400,0.073200,0.102019,-0.028819
1329004800,0.168200,0.101326,0.066874
1329091200,0.190500,0.100633,0.089867
1329177600,0.124000,0.099939,0.024061
1329264000,0.128400,0.099246,0.029154
1329350400,NaN,0.098798,NaN
1329436800,0.096700,0.098350,-0.001650
1329523200,0.104200,0.097902,0.006298
1329609600,0.101600,0.097454,0.004146
1329696000,0.128600,0.097006,0.031594
1329782400,0.135900,0.096558,0.039342
1329868800,0.114000,0.096110,0.017890
1329955200,0.107200,0.095662,0.011538
1330041600,0.105800,0.095214,0.010586
1330128000,0.095400,0.094766,0.000634
1330214400,NaN,0.094318,NaN
1330300800,0.111200,0.093870,0.017330
1330387200,0.101800,0.093422,0.008378
1330473600,0.101800,0.092974,0.008826
1330560000,0.088200,0.092526,-0.004326
1330646400,0.093200,0.092078,0.001122
1330732800,0.094000,0.091630,0.002370
1330819200,0.135000,0.091182,0.043818
1330905600,0.151600,0.090734,0.060866
1330992000,0.096800,0.090286,0.006514
1331078400,0.117800,0.089838,0.027962
1331164800,0.109500,0.089390,0.020110
1331251200,0.104000,0.088942,0.015058
1331337600,0.104200,0.088494,0.015706
1331424000,0.070100,0.088046,-0.017946
1331510400,0.106000,0.087598,0.018402
1331596800,0.096200,0.087150,0.009050
1331683200,0.094600,0.086702,0.007898
1331769600,0.087000,0.086476,0.000524
1331856000,NaN,0.086249,NaN
1331942400,0.094800,0.086022,0.008778
1332028800,0.093000,0.085796,0.007204
1332115200,0.094600,0.085569,0.009031
1332201600,0.091000,0.085343,0.005657
1332288000,NaN,0.085116,NaN
1332374400,NaN,0.084889,NaN
1332460800,0.089000,0.084663,0.004337
1332720000,0.092400,0.083983,0.008417
1332806400,NaN,0.083756,NaN
1332892800,0.087000,0.083530,0.003470
1332979200,0.095000,0.083303,0.011697
1333065600,0.082000,0.083076,-0.001076
1333152000,0.093800,0.082850,0.010950
1333238400,NaN,0.082623,NaN
1333324800,0.082800,0.082397,0.000403
1333411200,0.083150,0.082170,0.000980
1333497600,0.082400,0.081943,0.000457
1333584000,0.084200,0.081717,0.002483
1333670400,NaN,0.081490,NaN
1333756800,NaN,0.081264,NaN
1333843200,0.087400,0.081037,0.006363
1333929600,0.102600,0.080810,0.021790
1334016000,0.083400,0.080584,0.002816
1334102400,0.079400,0.080357,-0.000957
1334188800,NaN,0.080131,NaN
1334275200,0.077800,0.079904,-0.002104
1334361600,0.059900,0.079677,-0.019777
1334448000,0.084800,0.079897,0.004903
1334534400,0.083800,0.080116,0.003684
1334620800,NaN,0.080335,NaN
1334707200,0.085400,0.080555,0.004845
1334793600,0.070800,0.080774,-0.009974
1334880000,0.089100,0.080993,0.008107
1334966400,NaN,0.081213,NaN
1335052800,NaN,0.081432,NaN
1335139200,NaN,0.081651,NaN
1335225600,0.129000,0.081871,0.047129
1335312000,0.111400,0.082090,0.029310
1335398400,0.101000,0.082309,0.018691
1335484800,0.088200,0.082528,0.005672
1335571200,NaN,0.082748,NaN
1335657600,NaN,0.082967,NaN
1335744000,0.076200,0.083186,-0.006986
1335830400,0.112900,0.083406,0.029494
1335916800,0.092800,0.083625,0.009175
1336003200,NaN,0.083844,NaN
1336089600,NaN,0.084064,NaN
1336176000,0.081000,0.084283,-0.003283
1336262400,0.094200,0.084502,0.009698
1336348800,0.079200,0.084722,-0.005522
1336435200,NaN,0.084941,NaN
1336521600,NaN,0.085160,NaN
1336608000,0.078400,0.085380,-0.006980
1336694400,0.087700,0.085599,0.002101
1336780800,0.077800,0.085818,-0.008018
1336867200,NaN,0.086037,NaN
1336953600,NaN,0.086257,NaN
1337040000,0.081000,0.086205,-0.005205
1337126400,NaN,0.086154,NaN
1337212800,NaN,0.086103,NaN
1337299200,0.093200,0.086051,0.007149
1337385600,NaN,0.086000,NaN
1337472000,0.088400,0.085949,0.002451
1337558400,0.115400,0.085897,0.029503
1337644800,0.092400,0.085846,0.006554
1337731200,0.081600,0.085794,-0.004194
1337817600,NaN,0.085743,NaN
1337904000,NaN,0.085692,NaN
1337990400,0.079000,0.085640,-0.006640
1338076800,0.084200,0.085589,-0.001389
1338163200,0.066400,0.085538,-0.019138
1338249600,0.078300,0.085486,-0.007186
1338336000,NaN,0.085435,NaN
1338422400,NaN,0.085384,NaN
1338508800,NaN,0.085332,NaN
1338595200,NaN,0.085281,NaN
1338681600,0.067500,0.085229,-0.017729
1338768000,NaN,0.085178,NaN
1338854400,NaN,0.085127,NaN
1338940800,NaN,0.085075,NaN
1339027200,NaN,0.085024,NaN
1339113600,0.066400,0.084973,-0.018573
1339200000,NaN,0.084921,NaN
1339286400,NaN,0.084870,NaN
1339372800,0.079400,0.084819,-0.005419
1339459200,0.099000,0.084767,0.014233
1339545600,0.102100,0.084716,0.017384
1339632000,0.112400,0.084664,0.027736
1339718400,NaN,0.085041,NaN
1339804800,0.076400,0.085417,-0.009017
1339891200,0.092200,0.085793,0.006407
1339977600,0.104800,0.086169,0.018631
1340064000,NaN,0.086545,NaN
1340150400,NaN,0.086921,NaN
1340323200,NaN,0.087674,NaN
1340409600,NaN,0.088050,NaN
1340496000,NaN,0.088426,NaN
1340582400,NaN,0.088802,NaN
1340668800,NaN,0.089178,NaN
1340755200,0.108600,0.089555,0.019045
1340841600,0.121000,0.089931,0.031069
1340928000,0.101000,0.090307,0.010693
1341014400,0.079200,0.090683,-0.011483
1341100800,NaN,0.091059,NaN
1341187200,0.085800,0.091435,-0.005635
1341273600,0.073700,0.091811,-0.018111
1341360000,0.100600,0.092188,0.008412
1341446400,0.094000,0.092564,0.001436
1341532800,NaN,0.092940,NaN
1341619200,0.084400,0.093316,-0.008916
1341705600,0.116800,0.093692,0.023108
1341792000,0.067400,0.094068,-0.026668
1341878400,NaN,0.094445,NaN
1341964800,NaN,0.094821,NaN
1342051200,NaN,0.095197,NaN
1342137600,0.099200,0.095573,0.003627
1342224000,0.096800,0.095949,0.000851
1342310400,NaN,0.096454,NaN
1342396800,0.085600,0.096959,-0.011359
1342483200,NaN,0.097463,NaN
1342569600,NaN,0.097968,NaN
1342656000,NaN,0.098473,NaN
1342742400,0.082200,0.098977,-0.016777
1342828800,0.061600,0.099482,-0.037882
1342915200,NaN,0.099987,NaN
1343001600,0.095200,0.100491,-0.005291
1343088000,NaN,0.100996,NaN
1343174400,NaN,0.101501,NaN
1343260800,0.086800,0.102005,-0.015205
1343347200,NaN,0.102510,NaN
1343433600,0.085400,0.103015,-0.017615
1343520000,NaN,0.103519,NaN
1343606400,0.096600,0.104024,-0.007424
1343692800,0.087800,0.104529,-0.016729
1343779200,0.081400,0.105033,-0.023633
1343865600,0.079000,0.105538,-0.026538
1343952000,0.096400,0.106043,-0.009643
1344038400,0.093400,0.106547,-0.013147
1344124800,0.100600,0.107052,-0.006452
1344211200,NaN,0.107557,NaN
1344297600,NaN,0.108062,NaN
1344384000,0.221200,0.108566,0.112634
1344470400,0.093600,0.109071,-0.015471
1344556800,0.065800,0.109576,-0.043776
1344643200,NaN,0.110080,NaN
1344729600,NaN,0.110585,NaN
1344816000,0.157800,0.111090,0.046710
1344902400,NaN,0.111594,NaN
1344988800,0.097800,0.111911,-0.014111
1345075200,0.064400,0.112227,-0.047827
1345161600,0.078200,0.112543,-0.034343
1345248000,NaN,0.112860,NaN
1345334400,0.087200,0.113176,-0.025976
1345420800,0.083100,0.113492,-0.030392
1345507200,0.083600,0.113809,-0.030209
1345593600,0.090200,0.114125,-0.023925
1345680000,NaN,0.114441,NaN
1345766400,0.080400,0.114758,-0.034358
1345852800,NaN,0.115074,NaN
1345939200,NaN,0.115390,NaN
1346025600,0.139200,0.115707,0.023493
1346112000,NaN,0.116023,NaN
1346198400,NaN,0.116340,NaN
1346284800,0.107700,0.116656,-0.008956
1346371200,NaN,0.116972,NaN
1346457600,0.108400,0.117289,-0.008889
1346544000,0.090800,0.117605,-0.026805
1346630400,NaN,0.117921,NaN
