Date,Mean,Climatology,Anomaly
2012-01-03,0.206000,NaN,NaN
2012-01-04,0.157500,NaN,NaN
2012-01-05,0.154900,NaN,NaN
2012-01-06,0.128500,NaN,NaN
2012-01-07,0.121000,NaN,NaN
2012-01-08,0.119200,NaN,NaN
2012-01-09,0.122400,NaN,NaN
2012-01-10,0.105900,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,0.080800,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.133000,0.120738,0.012262
2012-01-16,0.132600,0.120045,0.012555
2012-01-17,0.106200,0.119351,-0.013151
2012-01-18,0.097100,0.118658,-0.021558
2012-01-19,0.104400,0.117965,-0.013565
2012-01-20,0.106100,0.117272,-0.011172
2012-01-21,0.096200,0.116578,-0.020378
2012-01-22,0.095400,0.115885,-0.020485
2012-01-23,0.093000,0.115192,-0.022192
2012-01-24,0.094400,0.114498,-0.020098
2012-01-25,0.097000,0.113805,-0.016805
2012-01-26,0.102400,0.113112,-0.010712
2012-01-27,NaN,0.112419,NaN
2012-01-28,0.101000,0.111725,-0.010725
2012-01-29,0.067800,0.111032,-0.043232
2012-01-30,NaN,0.110339,NaN
2012-01-31,0.101800,0.109645,-0.007845
2012-02-01,0.096200,0.108952,-0.012752
2012-02-02,0.109900,0.108259,0.001641
2012-02-03,NaN,0.107566,NaN
2012-02-04,0.105400,0.106872,-0.001472
2012-02-05,NaN,0.106179,NaN
2012-02-06,0.116000,0.105486,0.010514
2012-02-07,0.111000,0.104792,0.006208
2012-02-08,NaN,0.104099,NaN
2012-02-09,0.115200,0.103406,0.011794
2012-02-10,0.119600,0.102713,0.016887
2012-02-11,0.073200,0.102019,-0.028819
2012-02-12,0.168200,0.101326,0.066874
2012-02-13,0.190500,0.100633,0.089867
2012-02-14,0.124000,0.099939,0.024061
2012-02-15,0.128400,0.099246,0.029154
2012-02-16,NaN,0.098798,NaN
2012-02-17,0.096700,0.098350,-0.001650
2012-02-18,0.104200,0.097902,0.006298
2012-02-19,0.101600,0.097454,0.004146
2012-02-20,0.128600,0.097006,0.031594
2012-02-21,0.135900,0.096558,0.039342
2012-02-22,0.114000,0.096110,0.017890
2012-02-23,0.107200,0.095662,0.011538
2012-02-24,0.105800,0.095214,0.010586
2012-02-25,0.095400,0.094766,0.000634
2012-02-26,NaN,0.094318,NaN
2012-02-27,0.111200,0.093870,0.017330
2012-02-28,0.101800,0.093422,0.008378
2012-02-29,0.101800,0.092974,0.008826
2012-03-01,0.088200,0.092526,-0.004326
2012-03-02,0.093200,0.092078,0.001122
2012-03-03,0.094000,0.091630,0.002370
2012-03-04,0.135000,0.091182,0.043818
2012-03-05,0.151600,0.090734,0.060866
2012-03-06,0.096800,0.090286,0.006514
2012-03-07,0.117800,0.089838,0.027962
2012-03-08,0.109500,0.089390,0.020110
2012-03-09,0.104000,0.088942,0.015058
2012-03-10,0.104200,0.088494,0.015706
2012-03-11,0.070100,0.088046,-0.017946
2012-03-12,0.106000,0.087598,0.018402
2012-03-13,0.096200,0.087150,0.009050
2012-03-14,0.094600,0.086702,0.007898
2012-03-15,0.087000,0.086476,0.000524
2012-03-16,NaN,0.086249,NaN
2012-03-17,0.094800,0.086022,0.008778
2012-03-18,0.093000,0.085796,0.007204
2012-03-19,0.094600,0.085569,0.009031
2012-03-20,0.091000,0.085343,0.005657
2012-03-21,NaN,0.085116,NaN
2012-03-22,NaN,0.084889,NaN
2012-03-23,0.089000,0.084663,0.004337
2012-03-26,0.092400,0.083983,0.008417
2012-03-27,NaN,0.083756,NaN
2012-03-28,0.087000,0.083530,0.003470
2012-03-29,0.095000,0.083303,0.011697
2012-03-30,0.082000,0.083076,-0.001076
2012-03-31,0.093800,0.082850,0.010950
2012-04-01,NaN,0.082623,NaN
2012-04-02,0.082800,0.082397,0.000403
2012-04-03,0.083150,0.082170,0.000980
2012-04-04,0.082400,0.081943,0.000457
2012-04-05,0.084200,0.081717,0.002483
2012-04-06,NaN,0.081490,NaN
2012-04-07,NaN,0.081264,NaN
2012-04-08,0.087400,0.081037,0.006363
2012-04-09,0.102600,0.080810,0.021790
2012-04-10,0.083400,0.080584,0.002816
2012-04-11,0.079400,0.080357,-0.000957
2012-04-12,NaN,0.080131,NaN
2012-04-13,0.077800,0.079904,-0.002104
2012-04-14,0.059900,0.079677,-0.019777
2012-04-15,0.084800,0.079897,0.004903
2012-04-16,0.083800,0.080116,0.003684
2012-04-17,NaN,0.080335,NaN
2012-04-18,0.085400,0.080555,0.004845
2012-04-19,0.070800,0.080774,-0.009974
2012-04-20,0.089100,0.080993,0.008107
2012-04-21,NaN,0.081213,NaN
2012-04-22,NaN,0.081432,NaN
2012-04-23,NaN,0.081651,NaN
2012-04-24,0.129000,0.081871,0.047129
2012-04-25,0.111400,0.082090,0.029310
2012-04-26,0.101000,0.082309,0.018691
2012-04-27,0.088200,0.082528,0.005672
2012-04-28,NaN,0.082748,NaN
2012-04-29,NaN,0.082967,NaN
2012-04-30,0.076200,0.083186,-0.006986
2012-05-01,0.112900,0.083406,0.029494
2012-05-02,0.092800,0.083625,0.009175
2012-05-03,NaN,0.083844,NaN
2012-05-04,NaN,0.084064,NaN
2012-05-05,0.081000,0.084283,-0.003283
2012-05-06,0.094200,0.084502,0.009698
2012-05-07,0.079200,0.084722,-0.005522
2012-05-08,NaN,0.084941,NaN
2012-05-09,NaN,0.085160,NaN
2012-05-10,0.078400,0.085380,-0.006980
2012-05-11,0.087700,0.085599,0.002101
