Time,mean,climatology,anomaly
1025740800,NaN,0.003316,NaN
1025827200,NaN,0.003298,NaN
1025913600,NaN,0.003280,NaN
1026000000,NaN,0.003262,NaN
1026086400,0.002508,0.003244,-0.000736
1026172800,0.001676,0.003226,-0.001550
1026259200,0.000398,0.003208,-0.002810
1026345600,NaN,0.003190,NaN
1026432000,NaN,0.003172,NaN
1026518400,NaN,0.003154,NaN
1026691200,NaN,0.003118,NaN
1026777600,NaN,0.003123,NaN
1026864000,0.001246,0.003128,-0.001882
1026950400,0.004304,0.003133,0.001171
1027036800,0.001244,0.003138,-0.001894
1027209600,0.001444,0.003147,-0.001703
1027296000,0.001324,0.003152,-0.001828
1027382400,0.000986,0.003157,-0.002171
1027468800,0.001048,0.003161,-0.002113
1027555200,NaN,0.003166,NaN
1027641600,NaN,0.003171,NaN
1027728000,NaN,0.003176,NaN
1027814400,0.000716,0.003181,-0.002465
1027900800,NaN,0.003185,NaN
1028678400,NaN,0.003228,NaN
1028851200,NaN,0.003238,NaN
1028937600,0.004921,0.003243,0.001678
1029024000,0.002822,0.003248,-0.000426
1029110400,NaN,0.003252,NaN
1029196800,0.005128,0.003257,0.001871
1029283200,NaN,0.003262,NaN
1029456000,0.005736,0.003285,0.002451
1029542400,0.005502,0.003303,0.002199
1029628800,0.005206,0.003322,0.001884
1029715200,NaN,0.003340,NaN
1029888000,NaN,0.003377,NaN
1029974400,0.002954,0.003395,-0.000441
1030060800,0.001070,0.003413,-0.002343
1030233600,0.002390,0.003450,-0.001060
1030320000,NaN,0.003468,NaN
1030406400,NaN,0.003486,NaN
1030492800,NaN,0.003505,NaN
1030579200,NaN,0.003523,NaN
1030665600,NaN,0.003541,NaN
1030752000,NaN,0.003560,NaN
1030924800,NaN,0.003596,NaN
1031011200,NaN,0.003615,NaN
1031097600,NaN,0.003633,NaN
1031270400,NaN,0.003669,NaN
1031356800,NaN,0.003688,NaN
1031443200,NaN,0.003706,NaN
1031616000,0.010502,0.003743,0.006759
1031702400,0.006318,0.003761,0.002557
1031875200,NaN,0.003798,NaN
1031961600,NaN,0.003816,NaN
1032048000,NaN,0.003834,NaN
1032134400,NaN,0.003860,NaN
1032220800,NaN,0.003885,NaN
1032307200,0.004600,0.003910,0.000690
1032393600,NaN,0.003935,NaN
1032480000,0.010164,0.003961,0.006203
1032566400,0.003644,0.003986,-0.000342
1032652800,NaN,0.004011,NaN
1032739200,NaN,0.004037,NaN
1032825600,NaN,0.004062,NaN
1032912000,NaN,0.004087,NaN
1032998400,NaN,0.004112,NaN
1033084800,0.009224,0.004138,0.005086
1033171200,0.005250,0.004163,0.001087
1033257600,0.003294,0.004188,-0.000894
1033344000,0.002190,0.004214,-0.002024
1033430400,0.003258,0.004239,-0.000981
1033516800,NaN,0.004264,NaN
1033603200,NaN,0.004289,NaN
1033689600,0.009022,0.004315,0.004707
1033776000,NaN,0.004340,NaN
1033862400,0.004376,0.004365,0.000011
1033948800,NaN,0.004391,NaN
1034035200,0.008320,0.004416,0.003904
1034121600,NaN,0.004441,NaN
1034208000,0.014818,0.004466,0.010352
1034294400,0.005754,0.004492,0.001262
1034380800,0.003874,0.004517,-0.000643
1034467200,0.009732,0.004542,0.005190
1034553600,0.001438,0.004568,-0.003130
1034640000,0.001730,0.004593,-0.002863
1034726400,0.001552,0.004614,-0.003062
1034812800,0.001682,0.004636,-0.002954
1034899200,0.001724,0.004658,-0.002934
1034985600,NaN,0.004679,NaN
1035072000,0.005750,0.004701,0.001049
1035158400,NaN,0.004723,NaN
1035244800,NaN,0.004744,NaN
1035331200,NaN,0.004766,NaN
1035417600,0.015100,0.004788,0.010312
1035504000,NaN,0.004809,NaN
1035590400,NaN,0.004831,NaN
1035676800,0.002958,0.004853,-0.001895
1035763200,NaN,0.004874,NaN
1035849600,NaN,0.004896,NaN
1035936000,0.006524,0.004918,0.001606
1036022400,0.021834,0.004939,0.016895
1036108800,0.007360,0.004961,0.002399
1036195200,NaN,0.004983,NaN
1036281600,NaN,0.005004,NaN
1036368000,NaN,0.005026,NaN
1036454400,0.007546,0.005048,0.002498
1036540800,0.008373,0.005069,0.003304
1036627200,0.005766,0.005091,0.000675
1036713600,NaN,0.005113,NaN
1036800000,0.003774,0.005134,-0.001360
1036886400,NaN,0.005156,NaN
1036972800,0.009064,0.005178,0.003886
1037059200,0.005774,0.005199,0.000575
1037145600,0.004016,0.005221,-0.001205
1037232000,0.004514,0.005242,-0.000728
1037318400,NaN,0.005264,NaN
1037404800,0.005828,0.005273,0.000555
1037491200,0.004248,0.005282,-0.001034
1037577600,0.012730,0.005291,0.007439
1037664000,0.002418,0.005300,-0.002882
1037750400,0.001874,0.005309,-0.003435
1037836800,0.006438,0.005318,0.001120
1037923200,0.003554,0.005327,-0.001773
1038009600,0.002324,0.005336,-0.003012
1038096000,0.005612,0.005345,0.000267
1038182400,0.008770,0.005354,0.003416
1038268800,NaN,0.005363,NaN
1038355200,NaN,0.005372,NaN
1038441600,0.007554,0.005381,0.002173
1038528000,0.001934,0.005390,-0.003456
1038614400,0.001238,0.005399,-0.004161
1038700800,NaN,0.005408,NaN
1038787200,0.002579,0.005417,-0.002838
1038873600,NaN,0.005425,NaN
1038960000,NaN,0.005434,NaN
1039046400,NaN,0.005443,NaN
1039132800,0.005106,0.005452,-0.000346
1039219200,0.004492,0.005461,-0.000969
1039305600,NaN,0.005470,NaN
1039392000,NaN,0.005479,NaN
1039478400,0.004734,0.005488,-0.000754
1039564800,NaN,0.005497,NaN
1039651200,NaN,0.005506,NaN
1039737600,0.013420,0.005515,0.007905
1039824000,0.006870,0.005524,0.001346
1039910400,0.004566,0.005533,-0.000967
1039996800,0.004910,0.005520,-0.000610
1040083200,0.003276,0.005507,-0.002231
1040169600,0.013274,0.005493,0.007781
1040256000,0.003764,0.005480,-0.001716
1040342400,0.006402,0.005467,0.000935
1040428800,0.003364,0.005454,-0.002090
1040515200,NaN,0.005441,NaN
1040601600,NaN,0.005428,NaN
1040688000,NaN,0.005414,NaN
1040774400,0.009054,0.005401,0.003653
1040860800,NaN,0.005388,NaN
1040947200,0.002970,0.005375,-0.002405
1041033600,0.002088,0.005362,-0.003274
1041120000,0.008268,0.005348,0.002920
1041206400,NaN,0.005335,NaN
1041292800,NaN,0.005322,NaN
1041379200,0.005414,0.005309,0.000105
1041465600,0.004454,0.005296,-0.000842
1041552000,0.004651,0.005283,-0.000632
1041638400,0.003258,0.005269,-0.002011
1041724800,0.002720,0.005256,-0.002536
1041811200,0.002222,0.005243,-0.003021
1041897600,0.002470,0.005230,-0.002760
1041984000,0.002680,0.005217,-0.002537
1042070400,NaN,0.005203,NaN
1042156800,NaN,0.005190,NaN
1042243200,NaN,0.005177,NaN
1042329600,NaN,0.005164,NaN
1042416000,0.003005,0.005151,-0.002146
1042502400,0.004513,0.005138,-0.000625
1042588800,0.001970,0.005124,-0.003154
1042675200,0.001494,0.005108,-0.003614
1042761600,0.003640,0.005091,-0.001451
1042848000,0.002668,0.005074,-0.002406
1042934400,0.002824,0.005058,-0.002234
1043020800,0.006316,0.005041,0.001275
1043107200,NaN,0.005024,NaN
1043193600,NaN,0.005008,NaN
1043280000,0.006586,0.004991,0.001595
1043366400,0.006522,0.004975,0.001547
1043452800,0.001442,0.004958,-0.003516
1043539200,NaN,0.004941,NaN
1043625600,NaN,0.004925,NaN
1043712000,0.006938,0.004908,0.002030
1043798400,0.001596,0.004891,-0.003295
1043884800,NaN,0.004875,NaN
1043971200,NaN,0.004858,NaN
1044057600,0.002680,0.004841,-0.002161
1044144000,0.002440,0.004825,-0.002385
1044230400,NaN,0.004808,NaN
1044316800,0.004211,0.004791,-0.000580
1044403200,NaN,0.004775,NaN
1044489600,NaN,0.004758,NaN
1044576000,NaN,0.004741,NaN
1044662400,NaN,0.004725,NaN
1044748800,NaN,0.004708,NaN
1044835200,0.003018,0.004691,-0.001673
1044921600,0.003405,0.004675,-0.001270
1045008000,0.002048,0.004658,-0.002610
1045094400,NaN,0.004641,NaN
1045180800,0.003300,0.004625,-0.001325
1045267200,NaN,0.004608,NaN
1045353600,NaN,0.004585,NaN
1045440000,0.004760,0.004562,0.000198
1045526400,0.003710,0.004539,-0.000829
1045612800,0.000900,0.004517,-0.003617
1045699200,NaN,0.004494,NaN
1045785600,NaN,0.004471,NaN
1045872000,0.012816,0.004448,0.008368
1045958400,0.007084,0.004425,0.002659
1046044800,0.003699,0.004402,-0.000703
1046131200,NaN,0.004379,NaN
1046217600,NaN,0.004356,NaN
1046304000,NaN,0.004333,NaN
1046390400,NaN,0.004310,NaN
1046476800,NaN,0.004288,NaN
1046563200,NaN,0.004265,NaN
1046649600,NaN,0.004242,NaN
1046736000,NaN,0.004219,NaN
1046822400,NaN,0.004196,NaN
1046908800,NaN,0.004173,NaN
1046995200,0.001764,0.004150,-0.002386
1047081600,NaN,0.004127,NaN
1047168000,0.010190,0.004104,0.006086
1047254400,0.004970,0.004082,0.000888
1047340800,NaN,0.004059,NaN
1047427200,NaN,0.004036,NaN
1047513600,NaN,0.004013,NaN
1047600000,0.002678,0.003990,-0.001312
1047686400,0.002542,0.003967,-0.001425
1047772800,NaN,0.003962,NaN
1047859200,0.002082,0.003957,-0.001875
1047945600,NaN,0.003953,NaN
1048032000,0.001103,0.003948,-0.002845
1048118400,0.002788,0.003943,-0.001155
1048204800,0.003377,0.003938,-0.000561
1048291200,0.005210,0.003933,0.001277
1048377600,0.000994,0.003928,-0.002934
1048464000,NaN,0.003924,NaN
1048550400,NaN,0.003919,NaN
1048636800,NaN,0.003914,NaN
1048723200,0.001126,0.003909,-0.002783
1048809600,0.009320,0.003904,0.005416
1048896000,NaN,0.003899,NaN
1048982400,0.001256,0.003895,-0.002639
1049068800,0.001088,0.003890,-0.002802
1049155200,0.000480,0.003885,-0.003405
1049241600,NaN,0.003880,NaN
1049328000,0.000502,0.003875,-0.003373
1049414400,NaN,0.003870,NaN
1049500800,0.001270,0.003866,-0.002596
1049587200,NaN,0.003861,NaN
1049673600,NaN,0.003856,NaN
1049760000,NaN,0.003851,NaN
1049846400,NaN,0.003846,NaN
1049932800,NaN,0.003841,NaN
1050019200,NaN,0.003837,NaN
1050105600,0.001762,0.003832,-0.002070
1050192000,0.001495,0.003827,-0.002332
1050278400,0.000518,0.003822,-0.003304
1050364800,0.002608,0.003817,-0.001209
1050451200,0.002991,0.003821,-0.000830
1050537600,0.000950,0.003825,-0.002875
1050624000,NaN,0.003829,NaN
