Time,mean,climatology,anomaly
1025740800,NaN,0.000464,NaN
1025827200,NaN,0.000464,NaN
1025913600,NaN,0.000464,NaN
1026000000,NaN,0.000464,NaN
1026086400,NaN,0.000464,NaN
1026172800,NaN,0.000464,NaN
1026259200,NaN,0.000464,NaN
1026345600,NaN,0.000465,NaN
1026432000,NaN,0.000465,NaN
1026518400,NaN,0.000465,NaN
1026691200,0.000633,0.000465,0.000168
1026777600,0.000442,0.000465,-0.000023
1026864000,NaN,0.000466,NaN
1026950400,NaN,0.000466,NaN
1027036800,NaN,0.000466,NaN
1027209600,NaN,0.000467,NaN
1027296000,0.000590,0.000468,0.000122
1027382400,NaN,0.000468,NaN
1027468800,NaN,0.000468,NaN
1027555200,0.000654,0.000469,0.000185
1027641600,NaN,0.000469,NaN
1027728000,NaN,0.000469,NaN
1027814400,NaN,0.000470,NaN
1027900800,NaN,0.000470,NaN
1028678400,NaN,0.000473,NaN
1028851200,NaN,0.000474,NaN
1028937600,NaN,0.000474,NaN
1029024000,NaN,0.000475,NaN
1029110400,NaN,0.000475,NaN
1029196800,NaN,0.000475,NaN
1029283200,0.000590,0.000476,0.000114
1029456000,NaN,0.000479,NaN
1029542400,NaN,0.000482,NaN
1029628800,NaN,0.000485,NaN
1029715200,NaN,0.000489,NaN
1029888000,NaN,0.000495,NaN
1029974400,0.000490,0.000498,-0.000008
1030060800,0.000552,0.000501,0.000051
1030233600,0.000424,0.000507,-0.000083
1030320000,NaN,0.000511,NaN
1030406400,NaN,0.000514,NaN
1030492800,NaN,0.000517,NaN
1030579200,0.000218,0.000520,-0.000302
1030665600,NaN,0.000523,NaN
1030752000,0.000520,0.000526,-0.000006
1030924800,NaN,0.000533,NaN
1031011200,NaN,0.000536,NaN
1031097600,NaN,0.000539,NaN
1031270400,NaN,0.000545,NaN
1031356800,0.001370,0.000548,0.000822
1031443200,NaN,0.000551,NaN
1031616000,NaN,0.000558,NaN
1031702400,NaN,0.000561,NaN
1031875200,NaN,0.000567,NaN
1031961600,NaN,0.000570,NaN
1032048000,0.000684,0.000573,0.000111
1032134400,0.000774,0.000582,0.000192
1032220800,0.000658,0.000591,0.000067
1032307200,0.000868,0.000600,0.000268
1032393600,NaN,0.000609,NaN
1032480000,NaN,0.000618,NaN
1032566400,NaN,0.000627,NaN
1032652800,NaN,0.000636,NaN
1032739200,NaN,0.000645,NaN
1032825600,NaN,0.000654,NaN
1032912000,NaN,0.000663,NaN
1032998400,0.002241,0.000672,0.001569
1033084800,NaN,0.000681,NaN
1033171200,NaN,0.000690,NaN
1033257600,0.000833,0.000699,0.000134
1033344000,NaN,0.000708,NaN
1033430400,NaN,0.000717,NaN
1033516800,NaN,0.000726,NaN
1033603200,0.001624,0.000735,0.000889
1033689600,0.000632,0.000744,-0.000112
1033776000,0.000970,0.000753,0.000217
1033862400,NaN,0.000762,NaN
1033948800,0.000660,0.000771,-0.000111
1034035200,0.000514,0.000780,-0.000266
1034121600,NaN,0.000789,NaN
1034208000,0.000666,0.000798,-0.000132
1034294400,0.000612,0.000807,-0.000195
1034380800,0.000518,0.000816,-0.000298
1034467200,0.000614,0.000825,-0.000211
1034553600,0.000090,0.000834,-0.000744
1034640000,0.000532,0.000843,-0.000311
1034726400,0.000694,0.000857,-0.000163
1034812800,NaN,0.000870,NaN
1034899200,0.000848,0.000884,-0.000036
1034985600,0.000634,0.000897,-0.000263
1035072000,NaN,0.000910,NaN
1035158400,0.000507,0.000924,-0.000417
1035244800,0.000474,0.000937,-0.000463
1035331200,0.000655,0.000951,-0.000296
1035417600,0.000437,0.000964,-0.000527
1035504000,0.000344,0.000978,-0.000634
1035590400,0.000480,0.000991,-0.000511
1035676800,0.000436,0.001004,-0.000568
1035763200,0.000400,0.001018,-0.000618
1035849600,0.000364,0.001031,-0.000667
1035936000,0.000422,0.001045,-0.000623
1036022400,NaN,0.001058,NaN
1036108800,0.000334,0.001072,-0.000738
1036195200,NaN,0.001085,NaN
1036281600,0.000668,0.001098,-0.000430
1036368000,0.000502,0.001112,-0.000610
1036454400,NaN,0.001125,NaN
1036540800,0.000692,0.001139,-0.000447
1036627200,NaN,0.001152,NaN
1036713600,NaN,0.001166,NaN
1036800000,NaN,0.001179,NaN
1036886400,NaN,0.001192,NaN
1036972800,0.000464,0.001206,-0.000742
1037059200,0.000260,0.001219,-0.000959
1037145600,NaN,0.001233,NaN
1037232000,0.000804,0.001246,-0.000442
1037318400,NaN,0.001260,NaN
1037404800,NaN,0.001263,NaN
1037491200,NaN,0.001267,NaN
1037577600,NaN,0.001271,NaN
