Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.003205,NaN
2002-07-05,NaN,0.003201,NaN
2002-07-06,NaN,0.003198,NaN
2002-07-07,NaN,0.003194,NaN
2002-07-08,NaN,0.003191,NaN
2002-07-09,NaN,0.003188,NaN
2002-07-10,NaN,0.003184,NaN
2002-07-11,NaN,0.003181,NaN
2002-07-12,NaN,0.003177,NaN
2002-07-13,0.003286,0.003174,0.000112
2002-07-15,0.005430,0.003167,0.002263
2002-07-16,0.002546,0.003160,-0.000614
2002-07-17,0.004998,0.003154,0.001844
2002-07-18,NaN,0.003148,NaN
2002-07-19,NaN,0.003141,NaN
2002-07-21,NaN,0.003129,NaN
2002-07-22,0.003208,0.003122,0.000086
2002-07-23,NaN,0.003116,NaN
2002-07-24,NaN,0.003110,NaN
2002-07-25,NaN,0.003103,NaN
2002-07-26,NaN,0.003097,NaN
2002-07-27,NaN,0.003091,NaN
2002-07-28,NaN,0.003085,NaN
2002-07-29,NaN,0.003078,NaN
2002-08-07,NaN,0.003021,NaN
2002-08-09,0.002668,0.003009,-0.000341
2002-08-10,NaN,0.003002,NaN
2002-08-11,NaN,0.002996,NaN
2002-08-12,NaN,0.002990,NaN
2002-08-13,NaN,0.002984,NaN
2002-08-14,0.002918,0.002977,-0.000059
2002-08-16,NaN,0.002972,NaN
2002-08-17,NaN,0.002973,NaN
2002-08-18,0.004934,0.002974,0.001960
2002-08-19,NaN,0.002974,NaN
2002-08-21,NaN,0.002976,NaN
2002-08-22,NaN,0.002977,NaN
2002-08-23,0.003730,0.002978,0.000752
2002-08-25,0.005318,0.002980,0.002338
2002-08-26,NaN,0.002980,NaN
2002-08-27,NaN,0.002981,NaN
2002-08-28,NaN,0.002982,NaN
2002-08-29,NaN,0.002983,NaN
2002-08-30,NaN,0.002984,NaN
2002-08-31,NaN,0.002985,NaN
2002-09-02,NaN,0.002986,NaN
2002-09-03,NaN,0.002987,NaN
2002-09-04,NaN,0.002988,NaN
2002-09-06,NaN,0.002990,NaN
2002-09-07,NaN,0.002991,NaN
2002-09-08,NaN,0.002992,NaN
2002-09-10,NaN,0.002993,NaN
2002-09-11,NaN,0.002994,NaN
2002-09-13,NaN,0.002996,NaN
2002-09-14,NaN,0.002997,NaN
2002-09-15,0.004160,0.002998,0.001162
2002-09-16,0.002588,0.003023,-0.000435
2002-09-17,0.004374,0.003047,0.001327
2002-09-18,0.001078,0.003072,-0.001994
2002-09-19,NaN,0.003097,NaN
2002-09-20,NaN,0.003122,NaN
2002-09-21,NaN,0.003147,NaN
2002-09-22,NaN,0.003172,NaN
2002-09-23,NaN,0.003197,NaN
2002-09-24,NaN,0.003221,NaN
2002-09-25,NaN,0.003246,NaN
2002-09-26,0.004859,0.003271,0.001588
2002-09-27,NaN,0.003296,NaN
2002-09-28,0.004654,0.003321,0.001333
2002-09-29,NaN,0.003346,NaN
2002-09-30,NaN,0.003371,NaN
2002-10-01,NaN,0.003395,NaN
2002-10-02,0.003064,0.003420,-0.000356
2002-10-03,0.004224,0.003445,0.000779
2002-10-04,0.001864,0.003470,-0.001606
2002-10-05,0.003844,0.003495,0.000349
2002-10-06,NaN,0.003520,NaN
2002-10-07,0.004176,0.003545,0.000631
2002-10-08,NaN,0.003569,NaN
2002-10-09,0.002870,0.003594,-0.000724
2002-10-10,0.004868,0.003619,0.001249
2002-10-11,NaN,0.003644,NaN
2002-10-12,0.004771,0.003669,0.001102
2002-10-13,NaN,0.003694,NaN
2002-10-14,NaN,0.003719,NaN
2002-10-15,NaN,0.003744,NaN
2002-10-16,NaN,0.003757,NaN
2002-10-17,NaN,0.003770,NaN
2002-10-18,0.004584,0.003783,0.000801
2002-10-19,0.004406,0.003797,0.000609
2002-10-20,NaN,0.003810,NaN
2002-10-21,NaN,0.003823,NaN
2002-10-22,0.002140,0.003836,-0.001696
2002-10-23,0.003923,0.003850,0.000073
2002-10-24,0.003686,0.003863,-0.000177
2002-10-25,0.004302,0.003876,0.000426
2002-10-26,0.004504,0.003890,0.000614
2002-10-27,0.004550,0.003903,0.000647
2002-10-28,0.003902,0.003916,-0.000014
2002-10-29,NaN,0.003929,NaN
2002-10-30,0.003877,0.003943,-0.000066
2002-10-31,NaN,0.003956,NaN
2002-11-01,0.003812,0.003969,-0.000157
2002-11-02,0.003997,0.003982,0.000015
2002-11-03,NaN,0.003996,NaN
2002-11-04,0.002883,0.004009,-0.001126
2002-11-05,NaN,0.004022,NaN
2002-11-06,0.004870,0.004036,0.000834
2002-11-07,0.004504,0.004049,0.000455
2002-11-08,NaN,0.004062,NaN
2002-11-09,0.003888,0.004075,-0.000187
2002-11-10,NaN,0.004089,NaN
2002-11-11,0.004779,0.004102,0.000677
2002-11-12,0.003198,0.004115,-0.000917
2002-11-13,0.011838,0.004128,0.007710
2002-11-14,0.006692,0.004142,0.002550
2002-11-15,0.005076,0.004155,0.000921
2002-11-16,NaN,0.004158,NaN
2002-11-17,NaN,0.004160,NaN
2002-11-18,0.009332,0.004163,0.005169
2002-11-19,NaN,0.004166,NaN
2002-11-20,0.005795,0.004168,0.001627
2002-11-21,NaN,0.004171,NaN
2002-11-22,0.005303,0.004174,0.001129
2002-11-23,0.005142,0.004176,0.000966
2002-11-24,0.005462,0.004179,0.001283
2002-11-25,NaN,0.004182,NaN
2002-11-26,NaN,0.004184,NaN
2002-11-27,NaN,0.004187,NaN
2002-11-28,NaN,0.004190,NaN
2002-11-29,0.005568,0.004192,0.001376
2002-11-30,0.003280,0.004195,-0.000915
2002-12-01,0.006014,0.004197,0.001817
2002-12-02,NaN,0.004200,NaN
2002-12-03,0.004234,0.004203,0.000031
2002-12-04,NaN,0.004205,NaN
2002-12-05,0.002532,0.004208,-0.001676
2002-12-06,0.005496,0.004211,0.001285
2002-12-07,NaN,0.004213,NaN
2002-12-08,NaN,0.004216,NaN
2002-12-09,NaN,0.004219,NaN
2002-12-10,0.004850,0.004221,0.000629
2002-12-11,NaN,0.004224,NaN
2002-12-12,0.004318,0.004227,0.000091
2002-12-13,NaN,0.004229,NaN
2002-12-14,NaN,0.004232,NaN
2002-12-15,0.002683,0.004235,-0.001552
2002-12-16,0.002462,0.004250,-0.001788
2002-12-17,0.005073,0.004265,0.000808
2002-12-18,NaN,0.004280,NaN
2002-12-19,0.004680,0.004295,0.000385
2002-12-20,NaN,0.004310,NaN
2002-12-21,0.008259,0.004326,0.003933
2002-12-22,0.006830,0.004341,0.002489
2002-12-23,NaN,0.004356,NaN
2002-12-24,0.005318,0.004371,0.000947
2002-12-25,NaN,0.004386,NaN
2002-12-26,0.008238,0.004401,0.003837
2002-12-27,NaN,0.004417,NaN
2002-12-28,0.007998,0.004432,0.003566
2002-12-29,0.005742,0.004447,0.001295
2002-12-30,NaN,0.004462,NaN
2002-12-31,NaN,0.004477,NaN
2003-01-01,NaN,0.004492,NaN
2003-01-02,NaN,0.004507,NaN
2003-01-03,NaN,0.004523,NaN
2003-01-04,0.007224,0.004538,0.002686
2003-01-05,0.005160,0.004553,0.000607
2003-01-06,0.005882,0.004568,0.001314
2003-01-07,0.008478,0.004583,0.003895
2003-01-08,0.005468,0.004598,0.000870
2003-01-09,0.005766,0.004614,0.001152
2003-01-10,NaN,0.004629,NaN
2003-01-11,0.005392,0.004644,0.000748
2003-01-12,0.004968,0.004659,0.000309
2003-01-13,NaN,0.004674,NaN
2003-01-14,NaN,0.004689,NaN
2003-01-15,0.007860,0.004704,0.003156
2003-01-16,0.011638,0.004694,0.006944
2003-01-17,NaN,0.004684,NaN
2003-01-18,NaN,0.004673,NaN
2003-01-19,0.008425,0.004663,0.003762
2003-01-20,0.005056,0.004652,0.000404
2003-01-21,0.006000,0.004642,0.001358
2003-01-22,0.004814,0.004632,0.000182
2003-01-23,NaN,0.004621,NaN
2003-01-24,NaN,0.004611,NaN
2003-01-25,0.012502,0.004600,0.007902
2003-01-26,NaN,0.004590,NaN
2003-01-27,0.011564,0.004580,0.006984
2003-01-28,NaN,0.004569,NaN
2003-01-29,NaN,0.004559,NaN
2003-01-30,NaN,0.004548,NaN
2003-01-31,NaN,0.004538,NaN
2003-02-01,0.006290,0.004528,0.001762
2003-02-02,0.005433,0.004517,0.000916
2003-02-03,NaN,0.004507,NaN
2003-02-04,NaN,0.004496,NaN
2003-02-05,0.006976,0.004486,0.002490
2003-02-06,0.005412,0.004475,0.000937
2003-02-07,0.005962,0.004465,0.001497
2003-02-08,0.006010,0.004455,0.001555
2003-02-09,0.004754,0.004444,0.000310
2003-02-10,0.005721,0.004434,0.001287
2003-02-11,0.004070,0.004423,-0.000353
2003-02-12,0.006426,0.004413,0.002013
2003-02-13,0.005450,0.004403,0.001047
2003-02-14,0.006852,0.004392,0.002460
2003-02-15,0.005534,0.004382,0.001152
