Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.000350,NaN
2002-07-05,NaN,0.000349,NaN
2002-07-06,NaN,0.000348,NaN
2002-07-07,NaN,0.000347,NaN
2002-07-08,NaN,0.000347,NaN
2002-07-09,NaN,0.000346,NaN
2002-07-10,NaN,0.000345,NaN
2002-07-11,NaN,0.000344,NaN
2002-07-12,NaN,0.000343,NaN
2002-07-13,0.000258,0.000342,-0.000084
2002-07-15,0.000228,0.000341,-0.000113
2002-07-16,0.000338,0.000341,-0.000003
2002-07-17,0.000343,0.000341,0.000002
2002-07-18,NaN,0.000341,NaN
2002-07-19,NaN,0.000341,NaN
2002-07-21,NaN,0.000341,NaN
2002-07-22,NaN,0.000341,NaN
2002-07-23,NaN,0.000341,NaN
2002-07-24,NaN,0.000341,NaN
2002-07-25,NaN,0.000341,NaN
2002-07-26,NaN,0.000341,NaN
2002-07-27,NaN,0.000341,NaN
2002-07-28,NaN,0.000341,NaN
2002-07-29,NaN,0.000341,NaN
2002-08-07,NaN,0.000342,NaN
2002-08-09,NaN,0.000342,NaN
2002-08-10,NaN,0.000342,NaN
2002-08-11,NaN,0.000342,NaN
2002-08-12,NaN,0.000342,NaN
2002-08-13,NaN,0.000342,NaN
2002-08-14,0.000252,0.000342,-0.000090
2002-08-16,NaN,0.000344,NaN
2002-08-17,0.000392,0.000346,0.000046
2002-08-18,0.000316,0.000348,-0.000032
2002-08-19,NaN,0.000350,NaN
2002-08-21,NaN,0.000354,NaN
2002-08-22,NaN,0.000356,NaN
2002-08-23,0.000364,0.000358,0.000006
2002-08-25,0.000212,0.000362,-0.000150
2002-08-26,NaN,0.000364,NaN
2002-08-27,NaN,0.000366,NaN
2002-08-28,NaN,0.000368,NaN
2002-08-29,NaN,0.000370,NaN
2002-08-30,NaN,0.000372,NaN
2002-08-31,0.000232,0.000374,-0.000142
2002-09-02,NaN,0.000378,NaN
2002-09-03,0.000352,0.000380,-0.000028
2002-09-04,NaN,0.000382,NaN
2002-09-06,NaN,0.000385,NaN
2002-09-07,NaN,0.000387,NaN
2002-09-08,NaN,0.000389,NaN
2002-09-10,NaN,0.000393,NaN
2002-09-11,NaN,0.000395,NaN
2002-09-13,NaN,0.000399,NaN
2002-09-14,NaN,0.000401,NaN
2002-09-15,0.000206,0.000403,-0.000197
2002-09-16,0.000362,0.000406,-0.000044
2002-09-17,0.000330,0.000409,-0.000079
2002-09-18,0.000362,0.000412,-0.000050
2002-09-19,NaN,0.000415,NaN
2002-09-20,NaN,0.000417,NaN
