Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.000210,NaN
2002-07-05,NaN,0.000210,NaN
2002-07-06,NaN,0.000209,NaN
2002-07-07,0.000165,0.000209,-0.000044
2002-07-08,NaN,0.000209,NaN
2002-07-09,NaN,0.000208,NaN
2002-07-10,NaN,0.000208,NaN
2002-07-11,NaN,0.000207,NaN
2002-07-12,NaN,0.000207,NaN
2002-07-13,NaN,0.000207,NaN
2002-07-15,NaN,0.000206,NaN
2002-07-16,NaN,0.000206,NaN
2002-07-17,0.000178,0.000206,-0.000028
2002-07-18,NaN,0.000206,NaN
2002-07-19,NaN,0.000206,NaN
2002-07-21,0.000250,0.000207,0.000043
2002-07-22,NaN,0.000207,NaN
2002-07-23,NaN,0.000207,NaN
2002-07-24,NaN,0.000207,NaN
2002-07-25,NaN,0.000208,NaN
2002-07-26,NaN,0.000208,NaN
2002-07-27,NaN,0.000208,NaN
2002-07-28,NaN,0.000208,NaN
2002-07-29,NaN,0.000208,NaN
2002-08-07,NaN,0.000210,NaN
2002-08-09,NaN,0.000210,NaN
2002-08-10,NaN,0.000210,NaN
2002-08-11,NaN,0.000211,NaN
2002-08-12,NaN,0.000211,NaN
2002-08-13,NaN,0.000211,NaN
2002-08-14,NaN,0.000211,NaN
2002-08-16,0.000254,0.000212,0.000042
2002-08-17,0.000184,0.000212,-0.000028
2002-08-18,NaN,0.000213,NaN
2002-08-19,NaN,0.000213,NaN
2002-08-21,NaN,0.000214,NaN
2002-08-22,NaN,0.000214,NaN
2002-08-23,NaN,0.000215,NaN
2002-08-25,NaN,0.000216,NaN
2002-08-26,NaN,0.000216,NaN
2002-08-27,NaN,0.000216,NaN
2002-08-28,NaN,0.000217,NaN
2002-08-29,NaN,0.000217,NaN
2002-08-30,NaN,0.000218,NaN
2002-08-31,NaN,0.000218,NaN
2002-09-02,NaN,0.000219,NaN
2002-09-03,NaN,0.000219,NaN
2002-09-04,NaN,0.000220,NaN
2002-09-06,NaN,0.000221,NaN
2002-09-07,NaN,0.000221,NaN
2002-09-08,NaN,0.000222,NaN
2002-09-10,0.000396,0.000222,0.000174
2002-09-11,0.000292,0.000223,0.000069
2002-09-13,NaN,0.000224,NaN
2002-09-14,NaN,0.000224,NaN
2002-09-15,NaN,0.000224,NaN
2002-09-16,NaN,0.000224,NaN
2002-09-17,0.000354,0.000223,0.000131
2002-09-18,0.000260,0.000222,0.000038
2002-09-19,NaN,0.000221,NaN
2002-09-20,NaN,0.000220,NaN
2002-09-21,NaN,0.000219,NaN
2002-09-22,NaN,0.000218,NaN
2002-09-23,NaN,0.000217,NaN
2002-09-24,NaN,0.000216,NaN
2002-09-25,NaN,0.000215,NaN
2002-09-26,NaN,0.000214,NaN
2002-09-27,0.000166,0.000213,-0.000047
2002-09-28,NaN,0.000212,NaN
2002-09-29,NaN,0.000212,NaN
2002-09-30,0.000358,0.000211,0.000147
2002-10-01,NaN,0.000210,NaN
2002-10-02,NaN,0.000209,NaN
2002-10-03,0.000384,0.000208,0.000176
2002-10-04,0.000166,0.000207,-0.000041
2002-10-05,NaN,0.000206,NaN
2002-10-06,NaN,0.000205,NaN
2002-10-07,NaN,0.000204,NaN
2002-10-08,NaN,0.000203,NaN
2002-10-09,NaN,0.000202,NaN
2002-10-10,NaN,0.000201,NaN
2002-10-11,NaN,0.000200,NaN
2002-10-12,0.000022,0.000200,-0.000178
2002-10-13,NaN,0.000199,NaN
2002-10-14,NaN,0.000198,NaN
2002-10-15,NaN,0.000197,NaN
2002-10-16,0.000294,0.000198,0.000096
2002-10-17,0.000276,0.000199,0.000077
2002-10-18,NaN,0.000200,NaN
2002-10-19,NaN,0.000201,NaN
2002-10-20,NaN,0.000202,NaN
2002-10-21,NaN,0.000203,NaN
2002-10-22,NaN,0.000204,NaN
2002-10-23,0.000068,0.000205,-0.000137
2002-10-24,NaN,0.000206,NaN
2002-10-25,NaN,0.000207,NaN
2002-10-26,NaN,0.000208,NaN
2002-10-27,NaN,0.000209,NaN
2002-10-28,NaN,0.000210,NaN
2002-10-29,NaN,0.000211,NaN
2002-10-30,NaN,0.000212,NaN
2002-10-31,0.000188,0.000213,-0.000025
2002-11-01,NaN,0.000214,NaN
2002-11-02,NaN,0.000215,NaN
2002-11-03,NaN,0.000216,NaN
2002-11-04,NaN,0.000217,NaN
2002-11-05,NaN,0.000218,NaN
2002-11-06,0.000146,0.000219,-0.000073
2002-11-07,0.000210,0.000220,-0.000010
2002-11-08,NaN,0.000221,NaN
2002-11-09,0.000254,0.000222,0.000032
2002-11-10,0.000450,0.000223,0.000227
2002-11-11,NaN,0.000224,NaN
2002-11-12,0.000298,0.000225,0.000073
2002-11-13,0.000134,0.000226,-0.000092
2002-11-14,NaN,0.000227,NaN
2002-11-15,NaN,0.000229,NaN
2002-11-16,0.000224,0.000229,-0.000005
2002-11-17,0.000306,0.000230,0.000076
2002-11-18,0.000285,0.000231,0.000054
2002-11-19,NaN,0.000232,NaN
2002-11-20,NaN,0.000233,NaN
2002-11-21,0.000238,0.000234,0.000004
2002-11-22,0.000004,0.000235,-0.000231
2002-11-23,0.000260,0.000236,0.000024
2002-11-24,NaN,0.000237,NaN
2002-11-25,0.000180,0.000238,-0.000058
2002-11-26,NaN,0.000239,NaN
2002-11-27,NaN,0.000240,NaN
2002-11-28,NaN,0.000240,NaN
2002-11-29,NaN,0.000241,NaN
2002-11-30,NaN,0.000242,NaN
2002-12-01,NaN,0.000243,NaN
2002-12-02,NaN,0.000244,NaN
2002-12-03,NaN,0.000245,NaN
2002-12-04,NaN,0.000246,NaN
2002-12-05,NaN,0.000247,NaN
2002-12-06,0.000104,0.000248,-0.000144
2002-12-07,NaN,0.000249,NaN
2002-12-08,NaN,0.000250,NaN
2002-12-09,NaN,0.000251,NaN
2002-12-10,NaN,0.000251,NaN
2002-12-11,NaN,0.000252,NaN
2002-12-12,NaN,0.000253,NaN
2002-12-13,0.000296,0.000254,0.000042
2002-12-14,0.000280,0.000255,0.000025
2002-12-15,NaN,0.000256,NaN
2002-12-16,0.000202,0.000256,-0.000054
2002-12-17,NaN,0.000255,NaN
2002-12-18,NaN,0.000255,NaN
2002-12-19,NaN,0.000255,NaN
2002-12-20,0.000188,0.000255,-0.000067
2002-12-21,NaN,0.000254,NaN
2002-12-22,0.000212,0.000254,-0.000042
2002-12-23,NaN,0.000254,NaN
2002-12-24,NaN,0.000253,NaN
2002-12-25,NaN,0.000253,NaN
2002-12-26,NaN,0.000253,NaN
2002-12-27,NaN,0.000252,NaN
2002-12-28,0.000230,0.000252,-0.000022
2002-12-29,0.000302,0.000252,0.000050
2002-12-30,NaN,0.000251,NaN
2002-12-31,NaN,0.000251,NaN
2003-01-01,0.000202,0.000251,-0.000049
2003-01-02,NaN,0.000250,NaN
2003-01-03,0.000286,0.000250,0.000036
2003-01-04,0.000354,0.000250,0.000104
2003-01-05,NaN,0.000250,NaN
2003-01-06,NaN,0.000249,NaN
2003-01-07,0.000236,0.000249,-0.000013
2003-01-08,0.000190,0.000249,-0.000059
2003-01-09,NaN,0.000248,NaN
2003-01-10,NaN,0.000248,NaN
2003-01-11,NaN,0.000248,NaN
2003-01-12,NaN,0.000247,NaN
2003-01-13,0.000284,0.000247,0.000037
2003-01-14,NaN,0.000247,NaN
2003-01-15,NaN,0.000246,NaN
2003-01-16,NaN,0.000246,NaN
2003-01-17,NaN,0.000246,NaN
2003-01-18,NaN,0.000246,NaN
2003-01-19,0.000260,0.000245,0.000015
2003-01-20,NaN,0.000245,NaN
2003-01-21,NaN,0.000245,NaN
2003-01-22,NaN,0.000244,NaN
2003-01-23,NaN,0.000244,NaN
2003-01-24,NaN,0.000244,NaN
2003-01-25,NaN,0.000244,NaN
2003-01-26,NaN,0.000243,NaN
2003-01-27,NaN,0.000243,NaN
2003-01-28,NaN,0.000243,NaN
2003-01-29,0.000206,0.000242,-0.000036
2003-01-30,NaN,0.000242,NaN
2003-01-31,NaN,0.000242,NaN
2003-02-01,NaN,0.000242,NaN
2003-02-02,NaN,0.000241,NaN
2003-02-03,NaN,0.000241,NaN
2003-02-04,0.000286,0.000241,0.000045
2003-02-05,NaN,0.000240,NaN
2003-02-06,NaN,0.000240,NaN
2003-02-07,NaN,0.000240,NaN
2003-02-08,NaN,0.000239,NaN
2003-02-09,NaN,0.000239,NaN
2003-02-10,0.000112,0.000239,-0.000127
2003-02-11,0.000212,0.000239,-0.000027
2003-02-12,NaN,0.000238,NaN
2003-02-13,NaN,0.000238,NaN
2003-02-14,NaN,0.000238,NaN
2003-02-15,NaN,0.000237,NaN
2003-02-16,NaN,0.000237,NaN
2003-02-17,0.000152,0.000236,-0.000084
2003-02-18,0.000244,0.000236,0.000008
2003-02-19,NaN,0.000235,NaN
