Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.000172,NaN
2002-07-05,NaN,0.000174,NaN
2002-07-06,NaN,0.000175,NaN
2002-07-07,NaN,0.000176,NaN
2002-07-08,NaN,0.000177,NaN
2002-07-09,NaN,0.000178,NaN
2002-07-10,NaN,0.000179,NaN
2002-07-11,NaN,0.000180,NaN
2002-07-12,NaN,0.000181,NaN
2002-07-13,NaN,0.000183,NaN
2002-07-15,NaN,0.000185,NaN
2002-07-16,NaN,0.000184,NaN
2002-07-17,NaN,0.000184,NaN
2002-07-18,NaN,0.000183,NaN
2002-07-19,NaN,0.000183,NaN
2002-07-21,NaN,0.000181,NaN
2002-07-22,NaN,0.000181,NaN
2002-07-23,NaN,0.000180,NaN
2002-07-24,0.000300,0.000180,0.000120
2002-07-25,NaN,0.000179,NaN
2002-07-26,NaN,0.000179,NaN
2002-07-27,NaN,0.000178,NaN
2002-07-28,NaN,0.000177,NaN
2002-07-29,NaN,0.000177,NaN
2002-08-07,NaN,0.000172,NaN
2002-08-09,NaN,0.000170,NaN
2002-08-10,NaN,0.000170,NaN
2002-08-11,NaN,0.000169,NaN
2002-08-12,NaN,0.000169,NaN
2002-08-13,NaN,0.000168,NaN
2002-08-14,NaN,0.000168,NaN
2002-08-16,NaN,0.000188,NaN
2002-08-17,NaN,0.000209,NaN
2002-08-18,0.000136,0.000229,-0.000093
2002-08-19,NaN,0.000250,NaN
2002-08-21,NaN,0.000292,NaN
2002-08-22,NaN,0.000313,NaN
2002-08-23,NaN,0.000333,NaN
2002-08-25,0.000018,0.000375,-0.000357
2002-08-26,NaN,0.000396,NaN
2002-08-27,0.000304,0.000417,-0.000113
2002-08-28,NaN,0.000437,NaN
2002-08-29,NaN,0.000458,NaN
2002-08-30,NaN,0.000479,NaN
2002-08-31,NaN,0.000500,NaN
2002-09-02,NaN,0.000541,NaN
2002-09-03,0.000162,0.000562,-0.000400
2002-09-04,NaN,0.000583,NaN
2002-09-06,NaN,0.000625,NaN
2002-09-07,NaN,0.000645,NaN
2002-09-08,NaN,0.000666,NaN
2002-09-10,0.000078,0.000708,-0.000630
2002-09-11,NaN,0.000729,NaN
2002-09-13,NaN,0.000770,NaN
2002-09-14,NaN,0.000791,NaN
2002-09-15,NaN,0.000812,NaN
2002-09-16,0.000085,0.000828,-0.000743
2002-09-17,0.000046,0.000843,-0.000797
2002-09-18,0.000124,0.000859,-0.000735
2002-09-19,0.000072,0.000875,-0.000803
2002-09-20,NaN,0.000891,NaN
2002-09-21,NaN,0.000907,NaN
2002-09-22,NaN,0.000923,NaN
2002-09-23,NaN,0.000939,NaN
2002-09-24,NaN,0.000954,NaN
2002-09-25,NaN,0.000970,NaN
2002-09-26,0.000066,0.000986,-0.000920
2002-09-27,NaN,0.001002,NaN
2002-09-28,0.000146,0.001018,-0.000872
2002-09-29,NaN,0.001034,NaN
2002-09-30,NaN,0.001050,NaN
2002-10-01,NaN,0.001066,NaN
2002-10-02,NaN,0.001081,NaN
2002-10-03,0.000282,0.001097,-0.000815
2002-10-04,NaN,0.001113,NaN
2002-10-05,0.000086,0.001129,-0.001043
2002-10-06,NaN,0.001145,NaN
2002-10-07,0.000606,0.001161,-0.000555
2002-10-08,NaN,0.001177,NaN
2002-10-09,0.000394,0.001192,-0.000798
2002-10-10,NaN,0.001208,NaN
2002-10-11,0.000596,0.001224,-0.000628
2002-10-12,0.000184,0.001240,-0.001056
2002-10-13,NaN,0.001256,NaN
2002-10-14,0.000904,0.001272,-0.000368
2002-10-15,NaN,0.001288,NaN
2002-10-16,NaN,0.001296,NaN
2002-10-17,NaN,0.001304,NaN
2002-10-18,NaN,0.001313,NaN
2002-10-19,NaN,0.001321,NaN
2002-10-20,NaN,0.001330,NaN
2002-10-21,NaN,0.001338,NaN
2002-10-22,NaN,0.001347,NaN
2002-10-23,0.000144,0.001355,-0.001211
2002-10-24,NaN,0.001363,NaN
2002-10-25,NaN,0.001372,NaN
2002-10-26,0.000174,0.001380,-0.001206
2002-10-27,0.000020,0.001389,-0.001369
2002-10-28,NaN,0.001397,NaN
2002-10-29,NaN,0.001406,NaN
2002-10-30,NaN,0.001414,NaN
2002-10-31,NaN,0.001422,NaN
2002-11-01,NaN,0.001431,NaN
2002-11-02,NaN,0.001439,NaN
2002-11-03,NaN,0.001448,NaN
2002-11-04,0.000072,0.001456,-0.001384
2002-11-05,0.000084,0.001465,-0.001381
2002-11-06,0.000124,0.001473,-0.001349
2002-11-07,NaN,0.001481,NaN
2002-11-08,NaN,0.001490,NaN
2002-11-09,NaN,0.001498,NaN
2002-11-10,0.000290,0.001507,-0.001217
2002-11-11,0.000010,0.001515,-0.001505
2002-11-12,NaN,0.001524,NaN
2002-11-13,0.000140,0.001532,-0.001392
2002-11-14,NaN,0.001540,NaN
2002-11-15,NaN,0.001549,NaN
2002-11-16,NaN,0.001528,NaN
2002-11-17,NaN,0.001507,NaN
2002-11-18,NaN,0.001486,NaN
2002-11-19,0.001586,0.001465,0.000121
2002-11-20,NaN,0.001444,NaN
2002-11-21,NaN,0.001422,NaN
2002-11-22,0.000066,0.001401,-0.001335
2002-11-23,NaN,0.001380,NaN
2002-11-24,NaN,0.001359,NaN
2002-11-25,NaN,0.001338,NaN
2002-11-26,NaN,0.001317,NaN
2002-11-27,NaN,0.001296,NaN
2002-11-28,NaN,0.001275,NaN
2002-11-29,0.000493,0.001254,-0.000761
2002-11-30,NaN,0.001233,NaN
2002-12-01,NaN,0.001212,NaN
2002-12-02,NaN,0.001191,NaN
2002-12-03,NaN,0.001170,NaN
2002-12-04,NaN,0.001149,NaN
2002-12-05,0.000253,0.001128,-0.000875
