Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.000576,NaN
2002-07-05,NaN,0.000577,NaN
2002-07-06,NaN,0.000578,NaN
2002-07-07,0.000326,0.000579,-0.000253
2002-07-08,NaN,0.000580,NaN
2002-07-09,NaN,0.000581,NaN
2002-07-10,NaN,0.000582,NaN
2002-07-11,NaN,0.000583,NaN
2002-07-12,NaN,0.000584,NaN
2002-07-13,0.000264,0.000585,-0.000321
2002-07-15,0.000440,0.000587,-0.000147
2002-07-16,NaN,0.000584,NaN
2002-07-17,NaN,0.000582,NaN
2002-07-18,NaN,0.000580,NaN
2002-07-19,NaN,0.000577,NaN
2002-07-21,NaN,0.000572,NaN
2002-07-22,NaN,0.000570,NaN
2002-07-23,0.001304,0.000568,0.000736
2002-07-24,NaN,0.000565,NaN
2002-07-25,NaN,0.000563,NaN
2002-07-26,NaN,0.000560,NaN
2002-07-27,NaN,0.000558,NaN
2002-07-28,NaN,0.000556,NaN
2002-07-29,NaN,0.000553,NaN
2002-08-07,NaN,0.000532,NaN
2002-08-09,0.000332,0.000527,-0.000195
2002-08-10,NaN,0.000524,NaN
2002-08-11,NaN,0.000522,NaN
2002-08-12,NaN,0.000520,NaN
2002-08-13,NaN,0.000517,NaN
2002-08-14,0.000865,0.000515,0.000350
2002-08-16,NaN,0.000516,NaN
2002-08-17,NaN,0.000519,NaN
2002-08-18,NaN,0.000522,NaN
2002-08-19,NaN,0.000526,NaN
2002-08-21,NaN,0.000532,NaN
2002-08-22,0.000254,0.000536,-0.000282
2002-08-23,0.000226,0.000539,-0.000313
2002-08-25,0.000248,0.000546,-0.000298
2002-08-26,NaN,0.000549,NaN
2002-08-27,NaN,0.000552,NaN
2002-08-28,NaN,0.000555,NaN
2002-08-29,NaN,0.000559,NaN
2002-08-30,NaN,0.000562,NaN
2002-08-31,NaN,0.000565,NaN
2002-09-02,NaN,0.000572,NaN
2002-09-03,0.001012,0.000575,0.000437
2002-09-04,NaN,0.000579,NaN
2002-09-06,NaN,0.000585,NaN
2002-09-07,0.000318,0.000589,-0.000271
2002-09-08,NaN,0.000592,NaN
2002-09-10,NaN,0.000599,NaN
2002-09-11,NaN,0.000602,NaN
2002-09-13,NaN,0.000609,NaN
2002-09-14,NaN,0.000612,NaN
2002-09-15,0.001494,0.000615,0.000879
2002-09-16,NaN,0.000619,NaN
2002-09-17,0.000287,0.000622,-0.000335
2002-09-18,NaN,0.000625,NaN
2002-09-19,NaN,0.000629,NaN
