Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.000585,NaN
2002-07-05,NaN,0.000586,NaN
2002-07-06,NaN,0.000588,NaN
2002-07-07,NaN,0.000589,NaN
2002-07-08,NaN,0.000590,NaN
2002-07-09,NaN,0.000591,NaN
2002-07-10,NaN,0.000592,NaN
2002-07-11,NaN,0.000593,NaN
2002-07-12,NaN,0.000594,NaN
2002-07-13,0.000344,0.000595,-0.000251
2002-07-15,0.000402,0.000598,-0.000196
2002-07-16,0.000890,0.000599,0.000291
2002-07-17,0.000388,0.000601,-0.000213
2002-07-18,NaN,0.000602,NaN
2002-07-19,NaN,0.000604,NaN
2002-07-21,NaN,0.000606,NaN
2002-07-22,0.000354,0.000608,-0.000254
2002-07-23,NaN,0.000609,NaN
2002-07-24,NaN,0.000611,NaN
2002-07-25,NaN,0.000612,NaN
2002-07-26,NaN,0.000614,NaN
2002-07-27,NaN,0.000615,NaN
2002-07-28,NaN,0.000617,NaN
2002-07-29,NaN,0.000618,NaN
2002-08-07,NaN,0.000631,NaN
2002-08-09,0.000994,0.000634,0.000360
2002-08-10,NaN,0.000636,NaN
2002-08-11,NaN,0.000637,NaN
2002-08-12,NaN,0.000639,NaN
2002-08-13,NaN,0.000640,NaN
2002-08-14,0.000601,0.000642,-0.000041
2002-08-16,NaN,0.000644,NaN
2002-08-17,NaN,0.000646,NaN
2002-08-18,0.000742,0.000647,0.000095
2002-08-19,NaN,0.000648,NaN
2002-08-21,NaN,0.000651,NaN
2002-08-22,NaN,0.000652,NaN
2002-08-23,0.000806,0.000653,0.000153
2002-08-25,0.000252,0.000656,-0.000404
2002-08-26,NaN,0.000657,NaN
2002-08-27,NaN,0.000658,NaN
2002-08-28,NaN,0.000659,NaN
2002-08-29,NaN,0.000661,NaN
2002-08-30,NaN,0.000662,NaN
2002-08-31,0.000276,0.000663,-0.000387
2002-09-02,NaN,0.000666,NaN
2002-09-03,NaN,0.000667,NaN
2002-09-04,NaN,0.000668,NaN
2002-09-06,NaN,0.000671,NaN
2002-09-07,NaN,0.000672,NaN
2002-09-08,NaN,0.000673,NaN
2002-09-10,NaN,0.000676,NaN
2002-09-11,NaN,0.000677,NaN
2002-09-13,NaN,0.000680,NaN
2002-09-14,NaN,0.000681,NaN
2002-09-15,0.000665,0.000682,-0.000017
2002-09-16,0.000520,0.000690,-0.000170
2002-09-17,0.000316,0.000697,-0.000381
2002-09-18,0.000443,0.000705,-0.000262
2002-09-19,NaN,0.000713,NaN
2002-09-20,NaN,0.000720,NaN
2002-09-21,NaN,0.000728,NaN
2002-09-22,NaN,0.000735,NaN
2002-09-23,NaN,0.000743,NaN
2002-09-24,0.001092,0.000750,0.000342
2002-09-25,NaN,0.000758,NaN
2002-09-26,0.000703,0.000766,-0.000063
2002-09-27,NaN,0.000773,NaN
2002-09-28,0.000580,0.000781,-0.000201
2002-09-29,NaN,0.000788,NaN
2002-09-30,NaN,0.000796,NaN
2002-10-01,NaN,0.000803,NaN
2002-10-02,0.001114,0.000811,0.000303
2002-10-03,0.000538,0.000819,-0.000281
2002-10-04,0.000532,0.000826,-0.000294
2002-10-05,0.000921,0.000834,0.000087
2002-10-06,NaN,0.000841,NaN
2002-10-07,0.001341,0.000849,0.000492
2002-10-08,0.000418,0.000856,-0.000438
2002-10-09,0.000602,0.000864,-0.000262
2002-10-10,0.000646,0.000872,-0.000226
2002-10-11,0.000331,0.000879,-0.000548
2002-10-12,0.000658,0.000887,-0.000229
2002-10-13,NaN,0.000894,NaN
2002-10-14,NaN,0.000902,NaN
2002-10-15,NaN,0.000909,NaN
2002-10-16,NaN,0.000912,NaN
2002-10-17,NaN,0.000914,NaN
2002-10-18,0.000768,0.000916,-0.000148
2002-10-19,0.000805,0.000918,-0.000113
2002-10-20,0.002796,0.000920,0.001876
2002-10-21,NaN,0.000923,NaN
2002-10-22,NaN,0.000925,NaN
2002-10-23,0.000617,0.000927,-0.000310
2002-10-24,0.000520,0.000929,-0.000409
2002-10-25,0.000564,0.000931,-0.000367
2002-10-26,0.000390,0.000933,-0.000543
2002-10-27,0.000368,0.000936,-0.000568
2002-10-28,0.000866,0.000938,-0.000072
2002-10-29,0.000278,0.000940,-0.000662
2002-10-30,0.000725,0.000942,-0.000217
2002-10-31,NaN,0.000944,NaN
2002-11-01,0.000584,0.000947,-0.000363
2002-11-02,0.001676,0.000949,0.000727
2002-11-03,NaN,0.000951,NaN
2002-11-04,0.002566,0.000953,0.001613
2002-11-05,NaN,0.000955,NaN
2002-11-06,0.000515,0.000958,-0.000443
2002-11-07,NaN,0.000960,NaN
2002-11-08,NaN,0.000962,NaN
2002-11-09,0.000352,0.000964,-0.000612
2002-11-10,NaN,0.000966,NaN
2002-11-11,0.000446,0.000968,-0.000522
2002-11-12,0.001813,0.000971,0.000842
2002-11-13,NaN,0.000973,NaN
2002-11-14,NaN,0.000975,NaN
2002-11-15,0.000730,0.000977,-0.000247
2002-11-16,NaN,0.000983,NaN
2002-11-17,NaN,0.000988,NaN
2002-11-18,0.001266,0.000994,0.000272
2002-11-19,0.001512,0.000999,0.000513
2002-11-20,0.001434,0.001005,0.000429
2002-11-21,NaN,0.001010,NaN
2002-11-22,0.000629,0.001016,-0.000387
2002-11-23,NaN,0.001021,NaN
2002-11-24,NaN,0.001027,NaN
2002-11-25,NaN,0.001033,NaN
2002-11-26,NaN,0.001038,NaN
2002-11-27,NaN,0.001044,NaN
