Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.002551,NaN
2002-07-05,NaN,0.002550,NaN
2002-07-06,NaN,0.002549,NaN
2002-07-07,NaN,0.002549,NaN
2002-07-08,NaN,0.002548,NaN
2002-07-09,NaN,0.002548,NaN
2002-07-10,NaN,0.002547,NaN
2002-07-11,NaN,0.002546,NaN
2002-07-12,NaN,0.002546,NaN
2002-07-13,0.002762,0.002545,0.000217
2002-07-15,0.003571,0.002544,0.001027
2002-07-16,NaN,0.002541,NaN
2002-07-17,0.003581,0.002537,0.001044
2002-07-18,NaN,0.002534,NaN
2002-07-19,NaN,0.002530,NaN
2002-07-21,NaN,0.002524,NaN
2002-07-22,NaN,0.002520,NaN
2002-07-23,NaN,0.002517,NaN
2002-07-24,NaN,0.002513,NaN
2002-07-25,NaN,0.002510,NaN
2002-07-26,NaN,0.002506,NaN
2002-07-27,NaN,0.002503,NaN
2002-07-28,NaN,0.002499,NaN
2002-07-29,NaN,0.002496,NaN
2002-08-07,NaN,0.002465,NaN
2002-08-09,NaN,0.002458,NaN
2002-08-10,NaN,0.002455,NaN
2002-08-11,NaN,0.002451,NaN
2002-08-12,NaN,0.002448,NaN
2002-08-13,NaN,0.002444,NaN
2002-08-14,0.003064,0.002441,0.000623
2002-08-16,NaN,0.002442,NaN
2002-08-17,NaN,0.002447,NaN
2002-08-18,NaN,0.002452,NaN
2002-08-19,NaN,0.002456,NaN
2002-08-21,NaN,0.002466,NaN
2002-08-22,0.001776,0.002471,-0.000695
2002-08-23,0.003478,0.002475,0.001003
2002-08-25,0.002958,0.002485,0.000473
2002-08-26,NaN,0.002490,NaN
2002-08-27,NaN,0.002494,NaN
2002-08-28,NaN,0.002499,NaN
2002-08-29,NaN,0.002504,NaN
2002-08-30,NaN,0.002509,NaN
2002-08-31,NaN,0.002513,NaN
2002-09-02,NaN,0.002523,NaN
2002-09-03,NaN,0.002528,NaN
2002-09-04,NaN,0.002532,NaN
2002-09-06,NaN,0.002542,NaN
2002-09-07,NaN,0.002546,NaN
2002-09-08,NaN,0.002551,NaN
2002-09-10,NaN,0.002561,NaN
2002-09-11,NaN,0.002565,NaN
2002-09-13,NaN,0.002575,NaN
2002-09-14,NaN,0.002580,NaN
2002-09-15,0.002796,0.002584,0.000212
2002-09-16,NaN,0.002586,NaN
2002-09-17,0.003650,0.002588,0.001062
2002-09-18,NaN,0.002590,NaN
2002-09-19,NaN,0.002592,NaN
2002-09-20,NaN,0.002593,NaN
2002-09-21,NaN,0.002595,NaN
2002-09-22,NaN,0.002597,NaN
2002-09-23,NaN,0.002599,NaN
2002-09-24,0.005166,0.002601,0.002565
2002-09-25,NaN,0.002602,NaN
2002-09-26,0.003468,0.002604,0.000864
2002-09-27,NaN,0.002606,NaN
2002-09-28,0.004001,0.002608,0.001393
2002-09-29,NaN,0.002610,NaN
2002-09-30,NaN,0.002611,NaN
2002-10-01,NaN,0.002613,NaN
2002-10-02,NaN,0.002615,NaN
2002-10-03,0.004211,0.002617,0.001594
2002-10-04,0.003688,0.002619,0.001069
2002-10-05,0.002634,0.002620,0.000014
2002-10-06,NaN,0.002622,NaN
2002-10-07,0.002752,0.002624,0.000128
2002-10-08,0.002908,0.002626,0.000282
2002-10-09,0.002318,0.002628,-0.000310
2002-10-10,NaN,0.002629,NaN
2002-10-11,NaN,0.002631,NaN
2002-10-12,0.003410,0.002633,0.000777
2002-10-13,NaN,0.002635,NaN
2002-10-14,NaN,0.002637,NaN
2002-10-15,NaN,0.002638,NaN
2002-10-16,0.003306,0.002661,0.000645
2002-10-17,0.001220,0.002684,-0.001464
2002-10-18,0.004256,0.002706,0.001550
2002-10-19,0.003266,0.002729,0.000537
2002-10-20,NaN,0.002752,NaN
2002-10-21,NaN,0.002774,NaN
2002-10-22,NaN,0.002797,NaN
2002-10-23,0.003234,0.002820,0.000414
2002-10-24,0.002646,0.002842,-0.000196
2002-10-25,0.002562,0.002865,-0.000303
2002-10-26,0.002690,0.002888,-0.000198
2002-10-27,0.003024,0.002910,0.000114
2002-10-28,0.003795,0.002933,0.000862
2002-10-29,0.002608,0.002956,-0.000348
2002-10-30,0.003276,0.002978,0.000298
2002-10-31,NaN,0.003001,NaN
2002-11-01,0.004084,0.003024,0.001060
2002-11-02,0.003572,0.003046,0.000526
2002-11-03,NaN,0.003069,NaN
2002-11-04,0.003132,0.003092,0.000040
2002-11-05,NaN,0.003114,NaN
2002-11-06,0.003996,0.003137,0.000859
2002-11-07,0.003390,0.003160,0.000230
2002-11-08,NaN,0.003182,NaN
2002-11-09,0.003290,0.003205,0.000085
2002-11-10,NaN,0.003228,NaN
2002-11-11,0.003454,0.003250,0.000204
2002-11-12,0.003380,0.003273,0.000107
2002-11-13,0.008419,0.003296,0.005123
2002-11-14,NaN,0.003318,NaN
2002-11-15,NaN,0.003341,NaN
2002-11-16,NaN,0.003351,NaN
2002-11-17,NaN,0.003361,NaN
2002-11-18,0.006360,0.003371,0.002989
2002-11-19,NaN,0.003381,NaN
2002-11-20,NaN,0.003391,NaN
2002-11-21,NaN,0.003402,NaN
2002-11-22,0.004324,0.003412,0.000912
2002-11-23,0.004388,0.003422,0.000966
2002-11-24,0.004548,0.003432,0.001116
2002-11-25,NaN,0.003442,NaN
2002-11-26,NaN,0.003452,NaN
2002-11-27,NaN,0.003462,NaN
2002-11-28,NaN,0.003472,NaN
2002-11-29,0.004718,0.003483,0.001235
2002-11-30,0.004854,0.003493,0.001361
2002-12-01,0.005152,0.003503,0.001649
2002-12-02,NaN,0.003513,NaN
2002-12-03,0.004066,0.003523,0.000543
2002-12-04,NaN,0.003533,NaN
2002-12-05,NaN,0.003543,NaN
2002-12-06,NaN,0.003553,NaN
2002-12-07,NaN,0.003563,NaN
2002-12-08,0.013517,0.003574,0.009943
2002-12-09,NaN,0.003584,NaN
2002-12-10,NaN,0.003594,NaN
2002-12-11,NaN,0.003604,NaN
2002-12-12,0.004548,0.003614,0.000934
2002-12-13,NaN,0.003624,NaN
2002-12-14,NaN,0.003634,NaN
2002-12-15,NaN,0.003644,NaN
2002-12-16,0.004504,0.003658,0.000846
2002-12-17,0.004176,0.003672,0.000504
2002-12-18,0.002632,0.003686,-0.001054
2002-12-19,0.003816,0.003699,0.000117
2002-12-20,NaN,0.003713,NaN
2002-12-21,0.006588,0.003727,0.002861
2002-12-22,0.004652,0.003740,0.000912
2002-12-23,NaN,0.003754,NaN
2002-12-24,0.005512,0.003768,0.001744
2002-12-25,NaN,0.003782,NaN
2002-12-26,0.005579,0.003795,0.001784
2002-12-27,NaN,0.003809,NaN
2002-12-28,0.006244,0.003823,0.002421
2002-12-29,0.010418,0.003837,0.006581
2002-12-30,NaN,0.003850,NaN
2002-12-31,NaN,0.003864,NaN
2003-01-01,NaN,0.003878,NaN
2003-01-02,NaN,0.003891,NaN
2003-01-03,NaN,0.003905,NaN
2003-01-04,0.009115,0.003919,0.005196
2003-01-05,0.005696,0.003933,0.001763
2003-01-06,NaN,0.003946,NaN
2003-01-07,0.008240,0.003960,0.004280
2003-01-08,0.005038,0.003974,0.001064
2003-01-09,0.006242,0.003988,0.002254
2003-01-10,NaN,0.004001,NaN
2003-01-11,NaN,0.004015,NaN
2003-01-12,0.005556,0.004029,0.001527
2003-01-13,NaN,0.004042,NaN
2003-01-14,NaN,0.004056,NaN
2003-01-15,0.007157,0.004070,0.003087
2003-01-16,0.007702,0.004057,0.003645
2003-01-17,NaN,0.004045,NaN
2003-01-18,NaN,0.004032,NaN
2003-01-19,NaN,0.004020,NaN
2003-01-20,0.007448,0.004007,0.003441
2003-01-21,0.007360,0.003994,0.003366
2003-01-22,0.006608,0.003982,0.002626
2003-01-23,NaN,0.003969,NaN
2003-01-24,NaN,0.003957,NaN
2003-01-25,0.011758,0.003944,0.007814
2003-01-26,NaN,0.003932,NaN
2003-01-27,0.007853,0.003919,0.003934
2003-01-28,NaN,0.003906,NaN
2003-01-29,NaN,0.003894,NaN
2003-01-30,NaN,0.003881,NaN
2003-01-31,NaN,0.003869,NaN
2003-02-01,0.006382,0.003856,0.002526
2003-02-02,0.005948,0.003844,0.002104
2003-02-03,NaN,0.003831,NaN
2003-02-04,NaN,0.003818,NaN
2003-02-05,NaN,0.003806,NaN
2003-02-06,0.004977,0.003793,0.001184
2003-02-07,0.004336,0.003781,0.000555
2003-02-08,0.005244,0.003768,0.001476
2003-02-09,0.004042,0.003755,0.000287
2003-02-10,0.004612,0.003743,0.000869
2003-02-11,0.002151,0.003730,-0.001579
2003-02-12,0.005718,0.003718,0.002000
2003-02-13,0.004570,0.003705,0.000865
2003-02-14,0.003028,0.003693,-0.000665
2003-02-15,0.004095,0.003680,0.000415
2003-02-16,0.004766,0.003665,0.001101
2003-02-17,NaN,0.003650,NaN
2003-02-18,NaN,0.003635,NaN
2003-02-19,0.005657,0.003620,0.002037
2003-02-20,0.001656,0.003605,-0.001949
2003-02-21,0.005957,0.003590,0.002367
2003-02-22,0.003726,0.003574,0.000152
2003-02-23,NaN,0.003559,NaN
2003-02-24,NaN,0.003544,NaN
2003-02-25,NaN,0.003529,NaN
2003-02-26,0.004698,0.003514,0.001184
2003-02-27,NaN,0.003499,NaN
2003-02-28,0.003682,0.003484,0.000198
2003-03-01,NaN,0.003469,NaN
2003-03-02,0.001682,0.003454,-0.001772
2003-03-03,NaN,0.003439,NaN
2003-03-04,0.002182,0.003424,-0.001242
2003-03-05,NaN,0.003409,NaN
2003-03-06,0.001818,0.003394,-0.001576
2003-03-07,0.004184,0.003379,0.000805
2003-03-08,0.002477,0.003363,-0.000886
2003-03-09,0.003711,0.003348,0.000363
2003-03-10,0.003077,0.003333,-0.000256
2003-03-11,NaN,0.003318,NaN
2003-03-12,0.003485,0.003303,0.000182
2003-03-13,NaN,0.003288,NaN
2003-03-14,NaN,0.003273,NaN
2003-03-15,NaN,0.003258,NaN
2003-03-16,NaN,0.003245,NaN
2003-03-17,NaN,0.003231,NaN
2003-03-18,NaN,0.003218,NaN
2003-03-19,NaN,0.003205,NaN
2003-03-20,0.002384,0.003192,-0.000808
