Time,mean,climatology,anomaly
1025740800,NaN,0.000511,NaN
1025827200,NaN,0.000511,NaN
1025913600,0.000326,0.000512,-0.000186
1026000000,0.000482,0.000512,-0.000030
1026086400,NaN,0.000513,NaN
1026172800,NaN,0.000513,NaN
1026259200,NaN,0.000514,NaN
1026345600,0.000392,0.000514,-0.000122
1026432000,NaN,0.000515,NaN
1026518400,0.000498,0.000515,-0.000017
1026691200,0.000412,0.000516,-0.000104
1026777600,0.000408,0.000519,-0.000111
1026864000,0.000753,0.000521,0.000232
1026950400,NaN,0.000523,NaN
1027036800,NaN,0.000526,NaN
1027209600,NaN,0.000531,NaN
1027296000,0.000424,0.000533,-0.000109
1027382400,0.000666,0.000536,0.000130
1027468800,0.000504,0.000538,-0.000034
1027555200,NaN,0.000540,NaN
1027641600,NaN,0.000543,NaN
1027728000,NaN,0.000545,NaN
1027814400,NaN,0.000548,NaN
1027900800,0.000428,0.000550,-0.000122
1028678400,NaN,0.000572,NaN
1028851200,0.000618,0.000577,0.000041
1028937600,NaN,0.000579,NaN
1029024000,NaN,0.000582,NaN
1029110400,NaN,0.000584,NaN
1029196800,NaN,0.000586,NaN
1029283200,0.000446,0.000589,-0.000143
1029456000,NaN,0.000597,NaN
1029542400,0.000588,0.000602,-0.000014
1029628800,0.000606,0.000607,-0.000001
1029715200,NaN,0.000613,NaN
1029888000,NaN,0.000624,NaN
1029974400,0.000418,0.000629,-0.000211
1030060800,0.000344,0.000634,-0.000290
1030233600,0.000412,0.000645,-0.000233
1030320000,NaN,0.000651,NaN
1030406400,NaN,0.000656,NaN
1030492800,NaN,0.000661,NaN
1030579200,0.000570,0.000667,-0.000097
1030665600,NaN,0.000672,NaN
1030752000,0.000568,0.000678,-0.000110
1030924800,NaN,0.000688,NaN
1031011200,0.001004,0.000694,0.000310
1031097600,0.000384,0.000699,-0.000315
1031270400,NaN,0.000710,NaN
1031356800,0.000766,0.000715,0.000051
1031443200,0.000474,0.000721,-0.000247
1031616000,0.000568,0.000731,-0.000163
1031702400,NaN,0.000737,NaN
1031875200,NaN,0.000748,NaN
1031961600,NaN,0.000753,NaN
1032048000,0.000481,0.000758,-0.000277
1032134400,0.000480,0.000766,-0.000286
1032220800,0.000348,0.000774,-0.000426
1032307200,0.000468,0.000782,-0.000314
1032393600,NaN,0.000789,NaN
1032480000,NaN,0.000797,NaN
1032566400,NaN,0.000805,NaN
1032652800,NaN,0.000813,NaN
1032739200,NaN,0.000820,NaN
1032825600,0.000958,0.000828,0.000130
1032912000,NaN,0.000836,NaN
1032998400,0.000967,0.000844,0.000123
1033084800,NaN,0.000852,NaN
1033171200,0.001052,0.000859,0.000193
1033257600,0.000598,0.000867,-0.000269
1033344000,NaN,0.000875,NaN
1033430400,NaN,0.000883,NaN
1033516800,0.001166,0.000890,0.000276
1033603200,0.000710,0.000898,-0.000188
1033689600,0.000542,0.000906,-0.000364
1033776000,0.000960,0.000914,0.000046
1033862400,0.000884,0.000921,-0.000037
1033948800,0.001023,0.000929,0.000094
1034035200,0.000742,0.000937,-0.000195
1034121600,0.001046,0.000945,0.000101
1034208000,0.000748,0.000952,-0.000204
1034294400,0.000674,0.000960,-0.000286
1034380800,0.000696,0.000968,-0.000272
