Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.000511,NaN
2002-07-05,NaN,0.000511,NaN
2002-07-06,0.000326,0.000512,-0.000186
2002-07-07,0.000482,0.000512,-0.000030
2002-07-08,NaN,0.000513,NaN
2002-07-09,NaN,0.000513,NaN
2002-07-10,NaN,0.000514,NaN
2002-07-11,0.000392,0.000514,-0.000122
2002-07-12,NaN,0.000515,NaN
2002-07-13,0.000498,0.000515,-0.000017
2002-07-15,0.000412,0.000516,-0.000104
2002-07-16,0.000408,0.000519,-0.000111
2002-07-17,0.000753,0.000521,0.000232
2002-07-18,NaN,0.000523,NaN
2002-07-19,NaN,0.000526,NaN
2002-07-21,NaN,0.000531,NaN
2002-07-22,0.000424,0.000533,-0.000109
2002-07-23,0.000666,0.000536,0.000130
2002-07-24,0.000504,0.000538,-0.000034
2002-07-25,NaN,0.000540,NaN
2002-07-26,NaN,0.000543,NaN
2002-07-27,NaN,0.000545,NaN
2002-07-28,NaN,0.000548,NaN
2002-07-29,0.000428,0.000550,-0.000122
2002-08-07,NaN,0.000572,NaN
2002-08-09,0.000618,0.000577,0.000041
2002-08-10,NaN,0.000579,NaN
2002-08-11,NaN,0.000582,NaN
2002-08-12,NaN,0.000584,NaN
2002-08-13,NaN,0.000586,NaN
2002-08-14,0.000446,0.000589,-0.000143
2002-08-16,NaN,0.000597,NaN
2002-08-17,0.000588,0.000602,-0.000014
2002-08-18,0.000606,0.000607,-0.000001
2002-08-19,NaN,0.000613,NaN
2002-08-21,NaN,0.000624,NaN
2002-08-22,0.000418,0.000629,-0.000211
2002-08-23,0.000344,0.000634,-0.000290
2002-08-25,0.000412,0.000645,-0.000233
2002-08-26,NaN,0.000651,NaN
2002-08-27,NaN,0.000656,NaN
2002-08-28,NaN,0.000661,NaN
2002-08-29,0.000570,0.000667,-0.000097
2002-08-30,NaN,0.000672,NaN
2002-08-31,0.000568,0.000678,-0.000110
2002-09-02,NaN,0.000688,NaN
2002-09-03,0.001004,0.000694,0.000310
2002-09-04,0.000384,0.000699,-0.000315
2002-09-06,NaN,0.000710,NaN
2002-09-07,0.000766,0.000715,0.000051
2002-09-08,0.000474,0.000721,-0.000247
2002-09-10,0.000568,0.000731,-0.000163
2002-09-11,NaN,0.000737,NaN
2002-09-13,NaN,0.000748,NaN
2002-09-14,NaN,0.000753,NaN
2002-09-15,0.000481,0.000758,-0.000277
2002-09-16,0.000480,0.000766,-0.000286
2002-09-17,0.000348,0.000774,-0.000426
2002-09-18,0.000468,0.000782,-0.000314
2002-09-19,NaN,0.000789,NaN
2002-09-20,NaN,0.000797,NaN
2002-09-21,NaN,0.000805,NaN
2002-09-22,NaN,0.000813,NaN
2002-09-23,NaN,0.000820,NaN
2002-09-24,0.000958,0.000828,0.000130
2002-09-25,NaN,0.000836,NaN
2002-09-26,0.000967,0.000844,0.000123
2002-09-27,NaN,0.000852,NaN
2002-09-28,0.001052,0.000859,0.000193
2002-09-29,0.000598,0.000867,-0.000269
2002-09-30,NaN,0.000875,NaN
2002-10-01,NaN,0.000883,NaN
2002-10-02,0.001166,0.000890,0.000276
2002-10-03,0.000710,0.000898,-0.000188
2002-10-04,0.000542,0.000906,-0.000364
2002-10-05,0.000960,0.000914,0.000046
2002-10-06,0.000884,0.000921,-0.000037
2002-10-07,0.001023,0.000929,0.000094
2002-10-08,0.000742,0.000937,-0.000195
2002-10-09,0.001046,0.000945,0.000101
2002-10-10,0.000748,0.000952,-0.000204
2002-10-11,0.000674,0.000960,-0.000286
2002-10-12,0.000696,0.000968,-0.000272
2002-10-13,NaN,0.000976,NaN
2002-10-14,0.000768,0.000983,-0.000215
2002-10-15,0.000594,0.000991,-0.000397
2002-10-16,0.001038,0.001006,0.000032
2002-10-17,0.002074,0.001020,0.001054
2002-10-18,0.001190,0.001035,0.000155
2002-10-19,0.000788,0.001049,-0.000261
2002-10-20,NaN,0.001064,NaN
2002-10-21,0.000656,0.001078,-0.000422
2002-10-22,0.000502,0.001093,-0.000591
2002-10-23,0.000690,0.001107,-0.000417
2002-10-24,0.000624,0.001122,-0.000498
2002-10-25,0.000818,0.001137,-0.000319
2002-10-26,0.000592,0.001151,-0.000559
2002-10-27,0.000762,0.001166,-0.000404
2002-10-28,0.000674,0.001180,-0.000506
2002-10-29,NaN,0.001195,NaN
2002-10-30,0.000632,0.001209,-0.000577
2002-10-31,NaN,0.001224,NaN
2002-11-01,0.000676,0.001238,-0.000562
2002-11-02,0.000780,0.001253,-0.000473
2002-11-03,0.000448,0.001267,-0.000819
2002-11-04,0.000896,0.001282,-0.000386
2002-11-05,0.000756,0.001296,-0.000540
2002-11-06,0.001270,0.001311,-0.000041
2002-11-07,0.004468,0.001326,0.003142
2002-11-08,NaN,0.001340,NaN
2002-11-09,0.001766,0.001355,0.000411
2002-11-10,0.001186,0.001369,-0.000183
2002-11-11,0.000922,0.001384,-0.000462
2002-11-12,0.000986,0.001398,-0.000412
2002-11-13,0.005103,0.001413,0.003690
2002-11-14,NaN,0.001427,NaN
2002-11-15,NaN,0.001442,NaN
2002-11-16,NaN,0.001461,NaN
2002-11-17,NaN,0.001481,NaN
2002-11-18,0.009182,0.001501,0.007681
2002-11-19,0.006872,0.001520,0.005352
2002-11-20,0.003234,0.001540,0.001694
2002-11-21,NaN,0.001559,NaN
2002-11-22,0.001958,0.001579,0.000379
2002-11-23,0.004561,0.001599,0.002962
2002-11-24,0.002222,0.001618,0.000604
2002-11-25,0.001265,0.001638,-0.000373
2002-11-26,NaN,0.001657,NaN
2002-11-27,0.000846,0.001677,-0.000831
2002-11-28,NaN,0.001697,NaN
2002-11-29,0.002196,0.001716,0.000480
2002-11-30,NaN,0.001736,NaN
2002-12-01,0.001992,0.001756,0.000236
2002-12-02,0.003268,0.001775,0.001493
2002-12-03,0.001295,0.001795,-0.000500
2002-12-04,0.000872,0.001814,-0.000942
2002-12-05,0.000698,0.001834,-0.001136
2002-12-06,NaN,0.001854,NaN
2002-12-07,NaN,0.001873,NaN
2002-12-08,0.000822,0.001893,-0.001071
2002-12-09,NaN,0.001912,NaN
2002-12-10,0.000892,0.001932,-0.001040
2002-12-11,NaN,0.001952,NaN
2002-12-12,0.001180,0.001971,-0.000791
2002-12-13,NaN,0.001991,NaN
2002-12-14,NaN,0.002010,NaN
2002-12-15,NaN,0.002030,NaN
2002-12-16,NaN,0.002039,NaN
2002-12-17,0.001666,0.002047,-0.000381
2002-12-18,0.001314,0.002056,-0.000742
2002-12-19,0.001234,0.002064,-0.000830
2002-12-20,NaN,0.002073,NaN
2002-12-21,0.007217,0.002081,0.005136
2002-12-22,0.002680,0.002090,0.000590
2002-12-23,0.001630,0.002098,-0.000468
2002-12-24,0.001304,0.002107,-0.000803
2002-12-25,NaN,0.002115,NaN
2002-12-26,0.004602,0.002124,0.002478
2002-12-27,NaN,0.002132,NaN
2002-12-28,0.003345,0.002141,0.001204
2002-12-29,0.001868,0.002149,-0.000281
2002-12-30,0.001502,0.002158,-0.000656
2002-12-31,NaN,0.002167,NaN
2003-01-01,NaN,0.002175,NaN
2003-01-02,NaN,0.002184,NaN
2003-01-03,NaN,0.002192,NaN
2003-01-04,0.012846,0.002201,0.010645
2003-01-05,0.002738,0.002209,0.000529
2003-01-06,0.002552,0.002218,0.000334
2003-01-07,0.003330,0.002226,0.001104
2003-01-08,0.002396,0.002235,0.000161
2003-01-09,0.001348,0.002243,-0.000895
2003-01-10,NaN,0.002252,NaN
2003-01-11,0.001072,0.002260,-0.001188
2003-01-12,0.001588,0.002269,-0.000681
2003-01-13,NaN,0.002277,NaN
2003-01-14,NaN,0.002286,NaN
2003-01-15,0.001220,0.002294,-0.001074
2003-01-16,0.000778,0.002264,-0.001486
2003-01-17,NaN,0.002233,NaN
2003-01-18,NaN,0.002202,NaN
2003-01-19,0.001840,0.002171,-0.000331
2003-01-20,0.001976,0.002141,-0.000165
2003-01-21,0.001076,0.002110,-0.001034
2003-01-22,0.000931,0.002079,-0.001148
2003-01-23,NaN,0.002048,NaN
2003-01-24,0.005694,0.002018,0.003676
2003-01-25,0.007549,0.001987,0.005562
2003-01-26,0.001444,0.001956,-0.000512
2003-01-27,NaN,0.001925,NaN
2003-01-28,NaN,0.001894,NaN
2003-01-29,0.000764,0.001864,-0.001100
2003-01-30,NaN,0.001833,NaN
2003-01-31,NaN,0.001802,NaN
2003-02-01,0.000618,0.001771,-0.001153
2003-02-02,NaN,0.001741,NaN
2003-02-03,NaN,0.001710,NaN
2003-02-04,0.000462,0.001679,-0.001217
2003-02-05,NaN,0.001648,NaN
2003-02-06,0.000430,0.001618,-0.001188
2003-02-07,0.000444,0.001587,-0.001143
2003-02-08,0.000470,0.001556,-0.001086
2003-02-09,0.000648,0.001525,-0.000877
2003-02-10,0.000352,0.001494,-0.001142
2003-02-11,0.000308,0.001464,-0.001156
2003-02-12,0.000458,0.001433,-0.000975
2003-02-13,0.000478,0.001402,-0.000924
2003-02-14,0.000400,0.001371,-0.000971
2003-02-15,0.000425,0.001341,-0.000916
2003-02-16,0.000436,0.001325,-0.000889
2003-02-17,0.000378,0.001310,-0.000932
2003-02-18,NaN,0.001295,NaN
2003-02-19,0.001112,0.001280,-0.000168
2003-02-20,0.000616,0.001264,-0.000648
2003-02-21,0.000534,0.001249,-0.000715
2003-02-22,0.000414,0.001234,-0.000820
2003-02-23,0.001287,0.001219,0.000068
2003-02-24,0.000858,0.001204,-0.000346
2003-02-25,NaN,0.001188,NaN
2003-02-26,0.000912,0.001173,-0.000261
2003-02-27,NaN,0.001158,NaN
2003-02-28,0.000610,0.001143,-0.000533
2003-03-01,NaN,0.001127,NaN
2003-03-02,0.000556,0.001112,-0.000556
2003-03-03,0.000366,0.001097,-0.000731
2003-03-04,0.000398,0.001082,-0.000684
2003-03-05,0.000318,0.001067,-0.000749
2003-03-06,NaN,0.001051,NaN
2003-03-07,0.000320,0.001036,-0.000716
2003-03-08,0.000256,0.001021,-0.000765
2003-03-09,0.000362,0.001006,-0.000644
2003-03-10,0.000460,0.000990,-0.000530
2003-03-11,0.000686,0.000975,-0.000289
2003-03-12,0.000210,0.000960,-0.000750
2003-03-13,NaN,0.000945,NaN
2003-03-14,0.000768,0.000930,-0.000162
2003-03-15,NaN,0.000914,NaN
2003-03-16,0.000276,0.000904,-0.000628
2003-03-17,0.000182,0.000894,-0.000712
2003-03-18,NaN,0.000884,NaN
2003-03-19,0.000204,0.000874,-0.000670
2003-03-20,0.000666,0.000864,-0.000198
2003-03-21,NaN,0.000854,NaN
2003-03-22,NaN,0.000844,NaN
2003-03-23,NaN,0.000835,NaN
2003-03-24,0.000381,0.000825,-0.000444
2003-03-25,0.000370,0.000815,-0.000445
2003-03-26,NaN,0.000805,NaN
2003-03-27,NaN,0.000795,NaN
2003-03-28,0.000238,0.000785,-0.000547
2003-03-29,0.000308,0.000775,-0.000467
2003-03-30,NaN,0.000765,NaN
2003-03-31,NaN,0.000755,NaN
2003-04-01,NaN,0.000745,NaN
2003-04-02,0.002018,0.000735,0.001283
2003-04-03,NaN,0.000725,NaN
2003-04-04,0.001144,0.000715,0.000429
2003-04-05,0.001004,0.000705,0.000299
2003-04-06,0.000748,0.000695,0.000053
2003-04-07,NaN,0.000685,NaN
2003-04-08,NaN,0.000675,NaN
2003-04-09,NaN,0.000665,NaN
2003-04-10,NaN,0.000655,NaN
2003-04-11,0.001944,0.000645,0.001299
2003-04-12,0.001808,0.000635,0.001173
2003-04-13,0.001334,0.000625,0.000709
2003-04-14,0.001596,0.000615,0.000981
2003-04-15,NaN,0.000605,NaN
2003-04-16,0.000486,0.000601,-0.000115
2003-04-17,NaN,0.000597,NaN
2003-04-18,0.000476,0.000593,-0.000117
2003-04-19,0.000421,0.000589,-0.000168
2003-04-20,0.000454,0.000584,-0.000130
2003-04-21,0.000610,0.000580,0.000030
2003-04-22,0.000364,0.000576,-0.000212
2003-04-23,NaN,0.000572,NaN
2003-04-24,NaN,0.000568,NaN
2003-04-25,0.000244,0.000564,-0.000320
2003-04-26,NaN,0.000560,NaN
2003-04-27,NaN,0.000556,NaN
2003-04-28,0.000648,0.000552,0.000096
2003-04-29,0.000620,0.000548,0.000072
2003-04-30,NaN,0.000543,NaN
2003-05-01,NaN,0.000539,NaN
2003-05-02,NaN,0.000535,NaN
2003-05-03,NaN,0.000531,NaN
2003-05-04,0.000286,0.000527,-0.000241
2003-05-05,0.000368,0.000523,-0.000155
2003-05-06,0.000378,0.000519,-0.000141
2003-05-07,0.000456,0.000515,-0.000059
2003-05-08,0.000406,0.000511,-0.000105
2003-05-09,NaN,0.000507,NaN
2003-05-10,NaN,0.000503,NaN
2003-05-11,0.000246,0.000498,-0.000252
2003-05-12,0.000272,0.000494,-0.000222
2003-05-13,0.000606,0.000490,0.000116
2003-05-14,NaN,0.000486,NaN
2003-05-15,0.000288,0.000482,-0.000194
2003-05-16,0.000290,0.000483,-0.000193
2003-05-17,NaN,0.000483,NaN
2003-05-18,0.000246,0.000484,-0.000238
2003-05-19,NaN,0.000485,NaN
2003-05-20,0.000278,0.000485,-0.000207
2003-05-21,0.000422,0.000486,-0.000064
2003-05-22,0.000228,0.000486,-0.000258
2003-05-23,NaN,0.000487,NaN
2003-05-24,0.000500,0.000488,0.000012
