Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.000154,NaN,NaN
1325721600,0.000225,NaN,NaN
1325808000,0.000370,NaN,NaN
1325894400,0.000416,NaN,NaN
1325980800,0.000359,NaN,NaN
1326067200,0.000546,NaN,NaN
1326153600,0.000356,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,0.000526,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.000357,0.000963,-0.000606
1326672000,NaN,0.000960,NaN
1326758400,0.000582,0.000957,-0.000375
1326844800,0.000400,0.000955,-0.000555
1326931200,0.000332,0.000952,-0.000620
1327017600,0.000276,0.000949,-0.000673
1327104000,0.000368,0.000947,-0.000579
1327190400,NaN,0.000944,NaN
1327276800,0.001696,0.000942,0.000754
1327363200,0.000424,0.000939,-0.000515
1327449600,0.000402,0.000936,-0.000534
1327536000,0.000569,0.000934,-0.000365
1327622400,0.000862,0.000931,-0.000069
1327708800,0.000420,0.000929,-0.000509
1327795200,NaN,0.000926,NaN
1327881600,NaN,0.000923,NaN
1327968000,NaN,0.000921,NaN
1328054400,NaN,0.000918,NaN
1328140800,NaN,0.000915,NaN
1328227200,NaN,0.000913,NaN
1328313600,NaN,0.000910,NaN
1328400000,NaN,0.000908,NaN
1328486400,NaN,0.000905,NaN
1328572800,0.001452,0.000902,0.000550
1328659200,NaN,0.000900,NaN
1328745600,NaN,0.000897,NaN
1328832000,0.001687,0.000895,0.000792
1328918400,NaN,0.000892,NaN
1329004800,0.002138,0.000889,0.001249
1329091200,0.000889,0.000887,0.000002
1329177600,0.000336,0.000884,-0.000548
1329264000,NaN,0.000881,NaN
1329350400,NaN,0.000877,NaN
1329436800,0.000324,0.000872,-0.000548
1329523200,0.000443,0.000868,-0.000425
1329609600,0.000438,0.000864,-0.000426
1329696000,NaN,0.000859,NaN
1329782400,0.000365,0.000855,-0.000490
1329868800,0.000344,0.000850,-0.000506
1329955200,0.000426,0.000846,-0.000420
1330041600,0.000513,0.000841,-0.000328
1330128000,0.000417,0.000837,-0.000420
1330214400,NaN,0.000832,NaN
1330300800,0.000957,0.000828,0.000129
1330387200,0.000517,0.000823,-0.000306
1330473600,0.001900,0.000819,0.001081
1330560000,0.000733,0.000814,-0.000081
1330646400,NaN,0.000810,NaN
1330732800,0.000410,0.000805,-0.000395
1330819200,NaN,0.000801,NaN
1330905600,0.000431,0.000796,-0.000365
1330992000,NaN,0.000792,NaN
1331078400,NaN,0.000787,NaN
1331164800,NaN,0.000783,NaN
1331251200,0.006852,0.000778,0.006074
1331337600,0.000604,0.000774,-0.000170
1331424000,NaN,0.000769,NaN
1331510400,NaN,0.000765,NaN
1331596800,0.000616,0.000760,-0.000144
1331683200,0.000445,0.000756,-0.000311
1331769600,NaN,0.000750,NaN
1331856000,0.000790,0.000744,0.000046
1331942400,0.001596,0.000739,0.000857
1332028800,0.000168,0.000733,-0.000565
1332115200,0.000784,0.000727,0.000057
1332201600,NaN,0.000721,NaN
1332288000,NaN,0.000716,NaN
1332374400,NaN,0.000710,NaN
1332460800,0.001211,0.000704,0.000507
1332720000,0.000472,0.000687,-0.000215
1332806400,NaN,0.000681,NaN
1332892800,0.001134,0.000675,0.000459
1332979200,0.000666,0.000669,-0.000003
1333065600,0.000118,0.000663,-0.000545
1333152000,0.000568,0.000658,-0.000090
1333238400,0.000260,0.000652,-0.000392
1333324800,0.000220,0.000646,-0.000426
1333411200,0.000236,0.000640,-0.000404
1333497600,0.000114,0.000635,-0.000521
1333584000,0.000373,0.000629,-0.000256
1333670400,0.000520,0.000623,-0.000103
1333756800,NaN,0.000617,NaN
1333843200,NaN,0.000611,NaN
1333929600,0.000171,0.000606,-0.000435
1334016000,0.000176,0.000600,-0.000424
1334102400,0.000329,0.000594,-0.000265
1334188800,NaN,0.000588,NaN
1334275200,0.000366,0.000583,-0.000217
1334361600,NaN,0.000577,NaN
1334448000,0.001234,0.000576,0.000658
1334534400,0.003492,0.000576,0.002916
1334620800,NaN,0.000575,NaN
1334707200,NaN,0.000575,NaN
1334793600,0.000657,0.000574,0.000083
1334880000,NaN,0.000574,NaN
