Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.000154,NaN,NaN
2012-01-05,0.000225,NaN,NaN
2012-01-06,0.000370,NaN,NaN
2012-01-07,0.000416,NaN,NaN
2012-01-08,0.000359,NaN,NaN
2012-01-09,0.000546,NaN,NaN
2012-01-10,0.000356,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,0.000526,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.000357,0.000963,-0.000606
2012-01-16,NaN,0.000960,NaN
2012-01-17,0.000582,0.000957,-0.000375
2012-01-18,0.000400,0.000955,-0.000555
2012-01-19,0.000332,0.000952,-0.000620
2012-01-20,0.000276,0.000949,-0.000673
2012-01-21,0.000368,0.000947,-0.000579
2012-01-22,NaN,0.000944,NaN
2012-01-23,0.001696,0.000942,0.000754
2012-01-24,0.000424,0.000939,-0.000515
2012-01-25,0.000402,0.000936,-0.000534
2012-01-26,0.000569,0.000934,-0.000365
2012-01-27,0.000862,0.000931,-0.000069
2012-01-28,0.000420,0.000929,-0.000509
2012-01-29,NaN,0.000926,NaN
2012-01-30,NaN,0.000923,NaN
2012-01-31,NaN,0.000921,NaN
2012-02-01,NaN,0.000918,NaN
2012-02-02,NaN,0.000915,NaN
2012-02-03,NaN,0.000913,NaN
2012-02-04,NaN,0.000910,NaN
2012-02-05,NaN,0.000908,NaN
2012-02-06,NaN,0.000905,NaN
2012-02-07,0.001452,0.000902,0.000550
2012-02-08,NaN,0.000900,NaN
2012-02-09,NaN,0.000897,NaN
2012-02-10,0.001687,0.000895,0.000792
2012-02-11,NaN,0.000892,NaN
2012-02-12,0.002138,0.000889,0.001249
2012-02-13,0.000889,0.000887,0.000002
2012-02-14,0.000336,0.000884,-0.000548
2012-02-15,NaN,0.000881,NaN
2012-02-16,NaN,0.000877,NaN
2012-02-17,0.000324,0.000872,-0.000548
2012-02-18,0.000443,0.000868,-0.000425
2012-02-19,0.000438,0.000864,-0.000426
2012-02-20,NaN,0.000859,NaN
2012-02-21,0.000365,0.000855,-0.000490
2012-02-22,0.000344,0.000850,-0.000506
2012-02-23,0.000426,0.000846,-0.000420
2012-02-24,0.000513,0.000841,-0.000328
2012-02-25,0.000417,0.000837,-0.000420
2012-02-26,NaN,0.000832,NaN
2012-02-27,0.000957,0.000828,0.000129
2012-02-28,0.000517,0.000823,-0.000306
2012-02-29,0.001900,0.000819,0.001081
2012-03-01,0.000733,0.000814,-0.000081
2012-03-02,NaN,0.000810,NaN
2012-03-03,0.000410,0.000805,-0.000395
2012-03-04,NaN,0.000801,NaN
2012-03-05,0.000431,0.000796,-0.000365
2012-03-06,NaN,0.000792,NaN
2012-03-07,NaN,0.000787,NaN
2012-03-08,NaN,0.000783,NaN
2012-03-09,0.006852,0.000778,0.006074
2012-03-10,0.000604,0.000774,-0.000170
2012-03-11,NaN,0.000769,NaN
2012-03-12,NaN,0.000765,NaN
2012-03-13,0.000616,0.000760,-0.000144
2012-03-14,0.000445,0.000756,-0.000311
2012-03-15,NaN,0.000750,NaN
