Date,Mean,Climatology,Anomaly
2012-01-03,0.002472,NaN,NaN
2012-01-04,0.002088,NaN,NaN
2012-01-05,0.001589,NaN,NaN
2012-01-06,0.000626,NaN,NaN
2012-01-07,0.001336,NaN,NaN
2012-01-08,0.001228,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,0.002406,NaN,NaN
2012-01-11,0.001526,NaN,NaN
2012-01-12,0.001963,NaN,NaN
2012-01-13,0.001020,NaN,NaN
2012-01-14,0.000804,NaN,NaN
2012-01-15,NaN,0.002705,NaN
2012-01-16,0.001080,0.002678,-0.001598
2012-01-17,NaN,0.002651,NaN
2012-01-18,0.000838,0.002623,-0.001785
2012-01-19,NaN,0.002596,NaN
2012-01-20,0.001236,0.002569,-0.001333
2012-01-21,NaN,0.002542,NaN
2012-01-22,NaN,0.002514,NaN
2012-01-23,NaN,0.002487,NaN
2012-01-24,NaN,0.002460,NaN
2012-01-25,0.000838,0.002433,-0.001595
2012-01-26,0.004988,0.002406,0.002582
2012-01-27,0.002530,0.002378,0.000152
2012-01-28,0.002076,0.002351,-0.000275
2012-01-29,NaN,0.002324,NaN
2012-01-30,NaN,0.002297,NaN
2012-01-31,NaN,0.002270,NaN
2012-02-01,NaN,0.002242,NaN
2012-02-02,NaN,0.002215,NaN
2012-02-03,0.001279,0.002188,-0.000909
2012-02-04,NaN,0.002161,NaN
2012-02-05,NaN,0.002133,NaN
2012-02-06,NaN,0.002106,NaN
2012-02-07,NaN,0.002079,NaN
2012-02-08,NaN,0.002052,NaN
2012-02-09,NaN,0.002025,NaN
2012-02-10,NaN,0.001997,NaN
2012-02-11,0.001970,0.001970,-0.000000
2012-02-12,NaN,0.001943,NaN
2012-02-13,NaN,0.001916,NaN
2012-02-14,0.002368,0.001888,0.000480
2012-02-15,NaN,0.001861,NaN
2012-02-16,NaN,0.001855,NaN
2012-02-17,NaN,0.001848,NaN
2012-02-18,0.003010,0.001841,0.001169
2012-02-19,0.001950,0.001835,0.000115
2012-02-20,NaN,0.001828,NaN
2012-02-21,0.001590,0.001822,-0.000232
