Time,mean,climatology,anomaly
1325548800,0.003984,NaN,NaN
1325635200,0.002762,NaN,NaN
1325721600,0.002743,NaN,NaN
1325808000,0.001912,NaN,NaN
1325894400,0.002282,NaN,NaN
1325980800,0.001863,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,0.002021,NaN,NaN
1326240000,0.008834,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,0.004744,NaN,NaN
1326499200,0.003578,NaN,NaN
1326585600,0.004294,0.004590,-0.000296
1326672000,0.002372,0.004560,-0.002188
1326758400,0.001190,0.004529,-0.003339
1326844800,0.005612,0.004499,0.001113
1326931200,0.002176,0.004468,-0.002292
1327017600,0.003544,0.004438,-0.000894
1327104000,0.001884,0.004408,-0.002524
1327190400,NaN,0.004377,NaN
1327276800,NaN,0.004347,NaN
1327363200,NaN,0.004316,NaN
1327449600,0.001632,0.004286,-0.002654
1327536000,NaN,0.004255,NaN
1327622400,0.006542,0.004225,0.002317
1327708800,0.002174,0.004194,-0.002020
1327795200,0.001708,0.004164,-0.002456
1327881600,NaN,0.004134,NaN
1327968000,0.002252,0.004103,-0.001851
1328054400,NaN,0.004073,NaN
1328140800,NaN,0.004042,NaN
1328227200,NaN,0.004012,NaN
1328313600,0.002628,0.003981,-0.001353
1328400000,0.002246,0.003951,-0.001705
1328486400,0.013047,0.003921,0.009126
1328572800,0.002792,0.003890,-0.001098
1328659200,0.004530,0.003860,0.000670
1328745600,NaN,0.003829,NaN
1328832000,NaN,0.003799,NaN
1328918400,0.003128,0.003768,-0.000640
1329004800,0.002038,0.003738,-0.001700
1329091200,0.001423,0.003707,-0.002284
1329177600,0.007746,0.003677,0.004069
1329264000,NaN,0.003647,NaN
1329350400,NaN,0.003645,NaN
1329436800,0.008598,0.003643,0.004955
1329523200,NaN,0.003642,NaN
1329609600,0.005356,0.003640,0.001716
1329696000,0.002666,0.003638,-0.000972
1329782400,0.007233,0.003637,0.003596
1329868800,NaN,0.003635,NaN
1329955200,NaN,0.003633,NaN
1330041600,NaN,0.003631,NaN
1330128000,NaN,0.003630,NaN
1330214400,0.015938,0.003628,0.012310
1330300800,NaN,0.003626,NaN
1330387200,0.002338,0.003625,-0.001287
1330473600,0.001572,0.003623,-0.002051
1330560000,0.002728,0.003621,-0.000893
1330646400,0.001756,0.003620,-0.001864
1330732800,NaN,0.003618,NaN
1330819200,0.003736,0.003616,0.000120
1330905600,0.002896,0.003615,-0.000719
1330992000,0.001671,0.003613,-0.001942
1331078400,NaN,0.003611,NaN
1331164800,0.001669,0.003610,-0.001941
1331251200,NaN,0.003608,NaN
1331337600,0.006234,0.003606,0.002628
1331424000,NaN,0.003605,NaN
1331510400,0.001301,0.003603,-0.002302
1331596800,0.001690,0.003601,-0.001911
1331683200,0.001572,0.003600,-0.002028
1331769600,0.001666,0.003594,-0.001928
1331856000,0.001664,0.003588,-0.001924
1331942400,0.001403,0.003582,-0.002179
1332028800,0.001791,0.003577,-0.001786
1332115200,0.008120,0.003571,0.004549
1332201600,NaN,0.003565,NaN
1332288000,NaN,0.003559,NaN
1332374400,NaN,0.003554,NaN
1332460800,0.005184,0.003548,0.001636
1332720000,0.002336,0.003531,-0.001195
1332806400,0.002005,0.003525,-0.001520
1332892800,0.001774,0.003519,-0.001745
1332979200,0.002484,0.003513,-0.001029
1333065600,NaN,0.003508,NaN
1333152000,0.003539,0.003502,0.000037
1333238400,0.002601,0.003496,-0.000895
1333324800,0.002977,0.003490,-0.000513
1333411200,0.002432,0.003485,-0.001053
1333497600,NaN,0.003479,NaN
1333584000,NaN,0.003473,NaN
1333670400,0.004802,0.003467,0.001335
1333756800,0.002068,0.003462,-0.001394
1333843200,0.002348,0.003456,-0.001108
1333929600,0.002668,0.003450,-0.000782
1334016000,0.003636,0.003444,0.000192
1334102400,0.003024,0.003439,-0.000415
1334188800,0.001915,0.003433,-0.001518
1334275200,0.002012,0.003427,-0.001415
1334361600,0.002058,0.003422,-0.001364
1334448000,NaN,0.003422,NaN
1334534400,NaN,0.003422,NaN
1334620800,NaN,0.003422,NaN
1334707200,0.005126,0.003423,0.001703
1334793600,0.002926,0.003423,-0.000497
