Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.009034,NaN,NaN
2012-01-05,0.002206,NaN,NaN
2012-01-06,0.000822,NaN,NaN
2012-01-07,0.000795,NaN,NaN
2012-01-08,0.000968,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,0.000983,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.001184,0.002864,-0.001680
2012-01-16,0.002564,0.002810,-0.000246
2012-01-17,0.000911,0.002757,-0.001846
2012-01-18,0.000747,0.002703,-0.001956
2012-01-19,0.000706,0.002650,-0.001944
2012-01-20,0.000882,0.002596,-0.001714
2012-01-21,0.000739,0.002543,-0.001804
2012-01-22,0.000675,0.002489,-0.001814
2012-01-23,NaN,0.002436,NaN
2012-01-24,NaN,0.002383,NaN
2012-01-25,0.000602,0.002329,-0.001728
2012-01-26,0.000210,0.002276,-0.002066
2012-01-27,NaN,0.002222,NaN
2012-01-28,0.000463,0.002169,-0.001706
2012-01-29,NaN,0.002115,NaN
2012-01-30,NaN,0.002062,NaN
2012-01-31,0.001306,0.002008,-0.000702
2012-02-01,0.000461,0.001955,-0.001494
2012-02-02,NaN,0.001902,NaN
2012-02-03,NaN,0.001848,NaN
2012-02-04,NaN,0.001795,NaN
2012-02-05,NaN,0.001741,NaN
2012-02-06,NaN,0.001688,NaN
2012-02-07,0.000580,0.001634,-0.001054
2012-02-08,NaN,0.001581,NaN
2012-02-09,0.000830,0.001527,-0.000697
2012-02-10,0.000552,0.001474,-0.000922
2012-02-11,NaN,0.001421,NaN
2012-02-12,0.007476,0.001367,0.006109
2012-02-13,NaN,0.001314,NaN
2012-02-14,0.001118,0.001260,-0.000142
2012-02-15,0.000486,0.001207,-0.000721
2012-02-16,NaN,0.001197,NaN
2012-02-17,NaN,0.001187,NaN
2012-02-18,0.000670,0.001177,-0.000507
