Time,mean,climatology,anomaly
1325548800,0.003660,NaN,NaN
1325635200,0.006035,NaN,NaN
1325721600,0.005410,NaN,NaN
1325808000,0.004820,NaN,NaN
1325894400,0.004044,NaN,NaN
1325980800,0.002932,NaN,NaN
1326067200,0.003232,NaN,NaN
1326153600,0.001520,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,0.005210,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.008170,0.004411,0.003758
1326672000,0.005708,0.004390,0.001318
1326758400,0.006507,0.004369,0.002138
1326844800,0.004662,0.004348,0.000314
1326931200,0.002424,0.004327,-0.001903
1327017600,0.003484,0.004305,-0.000821
1327104000,0.003822,0.004284,-0.000462
1327190400,0.004110,0.004263,-0.000153
1327276800,0.003540,0.004242,-0.000702
1327363200,0.003078,0.004221,-0.001143
1327449600,0.003350,0.004199,-0.000849
1327536000,NaN,0.004178,NaN
1327622400,0.004016,0.004157,-0.000141
1327708800,0.005086,0.004136,0.000950
1327795200,NaN,0.004115,NaN
1327881600,NaN,0.004094,NaN
1327968000,NaN,0.004072,NaN
1328054400,0.004840,0.004051,0.000789
1328140800,NaN,0.004030,NaN
1328227200,NaN,0.004009,NaN
1328313600,0.002102,0.003988,-0.001886
1328400000,NaN,0.003966,NaN
1328486400,0.005540,0.003945,0.001595
1328572800,NaN,0.003924,NaN
1328659200,NaN,0.003903,NaN
1328745600,NaN,0.003882,NaN
1328832000,NaN,0.003861,NaN
1328918400,NaN,0.003839,NaN
1329004800,0.012790,0.003818,0.008972
1329091200,NaN,0.003797,NaN
1329177600,NaN,0.003776,NaN
1329264000,0.003006,0.003755,-0.000749
1329350400,NaN,0.003750,NaN
1329436800,0.004128,0.003745,0.000383
1329523200,0.003750,0.003741,0.000009
1329609600,0.004088,0.003736,0.000352
1329696000,NaN,0.003731,NaN
1329782400,NaN,0.003727,NaN
1329868800,0.003300,0.003722,-0.000422
1329955200,0.003537,0.003718,-0.000181
1330041600,0.003940,0.003713,0.000227
1330128000,NaN,0.003708,NaN
1330214400,NaN,0.003704,NaN
1330300800,0.004136,0.003699,0.000437
1330387200,0.003734,0.003694,0.000040
