Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.004337,NaN,NaN
1325721600,0.001638,NaN,NaN
1325808000,0.001056,NaN,NaN
1325894400,0.001202,NaN,NaN
1325980800,0.001265,NaN,NaN
1326067200,0.002500,NaN,NaN
1326153600,0.001705,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,0.000302,NaN,NaN
1326412800,0.003274,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.001707,0.002415,-0.000708
1326672000,0.006872,0.002385,0.004487
1326758400,0.001580,0.002354,-0.000774
1326844800,0.000976,0.002323,-0.001347
1326931200,0.000490,0.002293,-0.001803
1327017600,0.001120,0.002262,-0.001142
1327104000,0.000770,0.002231,-0.001461
1327190400,0.000710,0.002201,-0.001491
1327276800,0.002228,0.002170,0.000058
1327363200,0.001052,0.002140,-0.001088
1327449600,0.000496,0.002109,-0.001613
1327536000,0.000318,0.002078,-0.001760
1327622400,0.001900,0.002048,-0.000148
1327708800,0.001386,0.002017,-0.000631
1327795200,0.000358,0.001986,-0.001628
1327881600,NaN,0.001956,NaN
1327968000,0.003287,0.001925,0.001362
1328054400,0.002142,0.001895,0.000247
1328140800,0.001361,0.001864,-0.000503
1328227200,0.000214,0.001833,-0.001619
1328313600,0.002102,0.001803,0.000299
1328400000,NaN,0.001772,NaN
1328486400,0.005108,0.001742,0.003366
1328572800,0.000546,0.001711,-0.001165
1328659200,NaN,0.001680,NaN
1328745600,0.002192,0.001650,0.000542
1328832000,0.000485,0.001619,-0.001134
1328918400,NaN,0.001588,NaN
1329004800,0.002340,0.001558,0.000782
1329091200,0.005168,0.001527,0.003641
1329177600,0.002344,0.001497,0.000847
1329264000,0.001075,0.001466,-0.000391
1329350400,0.000634,0.001467,-0.000833
1329436800,0.001365,0.001467,-0.000102
1329523200,0.001554,0.001468,0.000086
1329609600,0.000904,0.001469,-0.000565
1329696000,0.000879,0.001469,-0.000590
1329782400,0.000366,0.001470,-0.001104
1329868800,0.001448,0.001471,-0.000023
1329955200,0.001252,0.001471,-0.000219
1330041600,0.000819,0.001472,-0.000653
1330128000,0.000888,0.001473,-0.000585
1330214400,0.002076,0.001473,0.000603
1330300800,0.000672,0.001474,-0.000802
1330387200,0.000906,0.001475,-0.000569
1330473600,0.000578,0.001475,-0.000897
1330560000,0.000574,0.001476,-0.000902
1330646400,0.000576,0.001477,-0.000901
1330732800,0.000558,0.001477,-0.000919
1330819200,0.000518,0.001478,-0.000960
1330905600,0.006409,0.001479,0.004930
1330992000,0.002752,0.001479,0.001273
1331078400,0.001630,0.001480,0.000150
1331164800,0.003088,0.001481,0.001607
1331251200,0.000790,0.001481,-0.000691
1331337600,0.001264,0.001482,-0.000218
1331424000,NaN,0.001483,NaN
1331510400,0.004174,0.001483,0.002691
1331596800,0.002457,0.001484,0.000973
1331683200,0.000706,0.001485,-0.000779
1331769600,0.001198,0.001466,-0.000268
1331856000,0.001966,0.001447,0.000519
1331942400,0.001080,0.001428,-0.000348
1332028800,0.001034,0.001409,-0.000375
1332115200,0.001178,0.001390,-0.000212
1332201600,0.002160,0.001371,0.000789
1332288000,0.003144,0.001352,0.001792
1332374400,0.000426,0.001333,-0.000907
1332460800,0.000701,0.001314,-0.000613
1332720000,0.000737,0.001257,-0.000520
1332806400,NaN,0.001238,NaN
1332892800,0.000570,0.001219,-0.000649
1332979200,0.001558,0.001200,0.000358
1333065600,0.000065,0.001181,-0.001116
1333152000,0.000460,0.001162,-0.000702
1333238400,0.000221,0.001143,-0.000922
1333324800,0.000576,0.001124,-0.000548
1333411200,0.000369,0.001105,-0.000736
1333497600,0.000476,0.001086,-0.000610
1333584000,0.000868,0.001067,-0.000199
1333670400,0.000516,0.001048,-0.000532
1333756800,0.000426,0.001029,-0.000603
1333843200,0.002280,0.001010,0.001270
1333929600,0.001100,0.000991,0.000109
1334016000,0.000560,0.000972,-0.000412
1334102400,0.000744,0.000953,-0.000209
1334188800,NaN,0.000934,NaN
1334275200,0.000496,0.000915,-0.000419
1334361600,0.000423,0.000896,-0.000473
1334448000,0.001410,0.000890,0.000520
1334534400,0.001586,0.000883,0.000703
1334620800,NaN,0.000877,NaN
1334707200,0.000570,0.000870,-0.000300
1334793600,0.000453,0.000864,-0.000411
1334880000,0.001228,0.000857,0.000371
1334966400,NaN,0.000851,NaN
1335052800,NaN,0.000844,NaN
1335139200,NaN,0.000838,NaN
1335225600,0.003420,0.000831,0.002589
1335312000,0.002138,0.000825,0.001313
1335398400,0.001703,0.000818,0.000885
1335484800,NaN,0.000812,NaN
1335571200,NaN,0.000805,NaN
1335657600,NaN,0.000799,NaN
1335744000,NaN,0.000793,NaN
1335830400,0.000494,0.000786,-0.000292
1335916800,0.000739,0.000780,-0.000041
1336003200,NaN,0.000773,NaN
1336089600,0.000874,0.000767,0.000107
1336176000,0.000720,0.000760,-0.000040
1336262400,0.000568,0.000754,-0.000186
1336348800,0.000486,0.000747,-0.000261
1336435200,0.000590,0.000741,-0.000151
1336521600,NaN,0.000734,NaN
1336608000,0.000508,0.000728,-0.000220
1336694400,0.000316,0.000721,-0.000405
1336780800,0.000372,0.000715,-0.000343
1336867200,0.000824,0.000708,0.000116
1336953600,NaN,0.000702,NaN
1337040000,NaN,0.000697,NaN
1337126400,NaN,0.000691,NaN
1337212800,NaN,0.000686,NaN
1337299200,0.000754,0.000681,0.000073
1337385600,NaN,0.000676,NaN
1337472000,0.000510,0.000671,-0.000161
1337558400,NaN,0.000666,NaN
1337644800,0.000324,0.000661,-0.000337
1337731200,0.000392,0.000656,-0.000264
1337817600,NaN,0.000651,NaN
1337904000,0.000268,0.000646,-0.000378
1337990400,0.000701,0.000640,0.000060
1338076800,0.000522,0.000635,-0.000114
1338163200,0.000383,0.000630,-0.000247
1338249600,0.000688,0.000625,0.000063
1338336000,NaN,0.000620,NaN
1338422400,0.001442,0.000615,0.000827
1338508800,NaN,0.000610,NaN
1338595200,NaN,0.000605,NaN
1338681600,0.000423,0.000600,-0.000177
1338768000,NaN,0.000595,NaN
1338854400,NaN,0.000589,NaN
1338940800,NaN,0.000584,NaN
1339027200,NaN,0.000579,NaN
1339113600,0.000636,0.000574,0.000062
1339200000,NaN,0.000569,NaN
1339286400,NaN,0.000564,NaN
1339372800,0.000447,0.000559,-0.000112
1339459200,0.000638,0.000554,0.000084
1339545600,0.000308,0.000549,-0.000241
1339632000,0.001157,0.000544,0.000613
1339718400,0.000444,0.000544,-0.000100
1339804800,0.000408,0.000544,-0.000136
1339891200,0.000765,0.000545,0.000220
1339977600,0.000644,0.000545,0.000099
