Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.021094,NaN,NaN
1325721600,0.007894,NaN,NaN
1325808000,0.001433,NaN,NaN
1325894400,0.001481,NaN,NaN
1325980800,0.001832,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,0.001766,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.004516,0.005378,-0.000862
1326672000,0.006290,0.005293,0.000997
1326758400,0.002510,0.005208,-0.002698
1326844800,0.001860,0.005123,-0.003263
1326931200,0.002905,0.005039,-0.002134
1327017600,0.001802,0.004954,-0.003152
1327104000,0.001580,0.004869,-0.003289
1327190400,0.001583,0.004785,-0.003202
1327276800,0.002860,0.004700,-0.001840
1327363200,0.000538,0.004615,-0.004077
1327449600,0.001027,0.004530,-0.003503
1327536000,0.001500,0.004446,-0.002946
1327622400,NaN,0.004361,NaN
1327708800,0.001611,0.004276,-0.002665
1327795200,NaN,0.004191,NaN
1327881600,NaN,0.004107,NaN
1327968000,0.003464,0.004022,-0.000558
1328054400,0.001350,0.003937,-0.002587
1328140800,NaN,0.003853,NaN
1328227200,NaN,0.003768,NaN
1328313600,NaN,0.003683,NaN
1328400000,NaN,0.003598,NaN
1328486400,NaN,0.003514,NaN
1328572800,0.001288,0.003429,-0.002141
1328659200,NaN,0.003344,NaN
1328745600,0.002260,0.003259,-0.000999
1328832000,0.001402,0.003175,-0.001773
1328918400,NaN,0.003090,NaN
1329004800,0.008396,0.003005,0.005391
1329091200,0.007023,0.002921,0.004102
1329177600,NaN,0.002836,NaN
1329264000,0.000812,0.002751,-0.001939
1329350400,NaN,0.002759,NaN
1329436800,NaN,0.002766,NaN
1329523200,0.001274,0.002774,-0.001500
1329609600,0.001145,0.002781,-0.001636
1329696000,0.002160,0.002789,-0.000629
1329782400,NaN,0.002797,NaN
1329868800,0.001414,0.002804,-0.001390
1329955200,0.001182,0.002812,-0.001630
1330041600,0.001025,0.002819,-0.001794
1330128000,0.001164,0.002827,-0.001663
1330214400,NaN,0.002834,NaN
1330300800,0.001295,0.002842,-0.001547
1330387200,0.001158,0.002850,-0.001692
1330473600,NaN,0.002857,NaN
1330560000,0.000741,0.002865,-0.002124
1330646400,0.000816,0.002872,-0.002056
1330732800,0.000802,0.002880,-0.002078
1330819200,NaN,0.002888,NaN
1330905600,NaN,0.002895,NaN
1330992000,0.007414,0.002903,0.004511
1331078400,0.009507,0.002910,0.006597
1331164800,0.006344,0.002918,0.003426
1331251200,0.002256,0.002925,-0.000669
1331337600,0.001832,0.002933,-0.001101
1331424000,NaN,0.002941,NaN
1331510400,0.004122,0.002948,0.001174
1331596800,0.001038,0.002956,-0.001918
1331683200,0.001360,0.002963,-0.001603
1331769600,0.001624,0.002924,-0.001300
1331856000,NaN,0.002884,NaN
1331942400,0.001398,0.002844,-0.001446
1332028800,0.001158,0.002804,-0.001646
1332115200,0.001212,0.002765,-0.001553
1332201600,0.002724,0.002725,-0.000001
1332288000,NaN,0.002685,NaN
1332374400,NaN,0.002645,NaN
1332460800,0.001222,0.002606,-0.001384
1332720000,0.000928,0.002486,-0.001558
1332806400,NaN,0.002446,NaN
1332892800,NaN,0.002407,NaN
1332979200,NaN,0.002367,NaN
1333065600,NaN,0.002327,NaN
1333152000,NaN,0.002287,NaN
1333238400,NaN,0.002248,NaN
1333324800,0.000678,0.002208,-0.001530
1333411200,0.000590,0.002168,-0.001578
1333497600,0.000839,0.002128,-0.001289
1333584000,0.001913,0.002089,-0.000176
1333670400,NaN,0.002049,NaN
1333756800,0.001070,0.002009,-0.000939
1333843200,0.003656,0.001969,0.001687
1333929600,0.001486,0.001930,-0.000444
1334016000,0.000876,0.001890,-0.001014
1334102400,0.000725,0.001850,-0.001125
1334188800,NaN,0.001810,NaN
1334275200,0.000630,0.001771,-0.001141
1334361600,0.000813,0.001731,-0.000918
1334448000,0.004360,0.001728,0.002632
1334534400,0.001964,0.001725,0.000239
1334620800,NaN,0.001722,NaN
1334707200,0.002048,0.001720,0.000328
1334793600,0.000913,0.001717,-0.000804
1334880000,0.000934,0.001714,-0.000780
1334966400,NaN,0.001711,NaN
1335052800,NaN,0.001708,NaN
1335139200,NaN,0.001705,NaN
1335225600,0.011436,0.001703,0.009733
1335312000,0.005370,0.001700,0.003670
1335398400,0.001705,0.001697,0.000008
1335484800,NaN,0.001694,NaN
1335571200,NaN,0.001691,NaN
1335657600,NaN,0.001689,NaN
1335744000,NaN,0.001686,NaN
1335830400,0.002168,0.001683,0.000485
1335916800,NaN,0.001680,NaN
1336003200,NaN,0.001677,NaN
1336089600,0.002374,0.001675,0.000699
1336176000,0.001662,0.001672,-0.000010
1336262400,0.001455,0.001669,-0.000214
1336348800,0.000698,0.001666,-0.000968
1336435200,NaN,0.001663,NaN
1336521600,NaN,0.001661,NaN
1336608000,0.000646,0.001658,-0.001012
1336694400,NaN,0.001655,NaN
1336780800,0.001173,0.001652,-0.000479
1336867200,NaN,0.001649,NaN
1336953600,NaN,0.001647,NaN
1337040000,NaN,0.001624,NaN
1337126400,NaN,0.001601,NaN
1337212800,NaN,0.001578,NaN
1337299200,0.001117,0.001555,-0.000438
1337385600,NaN,0.001532,NaN
1337472000,0.001057,0.001509,-0.000452
1337558400,NaN,0.001486,NaN
1337644800,0.001107,0.001464,-0.000357
1337731200,0.000838,0.001441,-0.000603
1337817600,NaN,0.001418,NaN
1337904000,NaN,0.001395,NaN
1337990400,0.000698,0.001372,-0.000674
1338076800,0.000656,0.001349,-0.000693
1338163200,0.000732,0.001326,-0.000594
1338249600,0.000853,0.001304,-0.000451
1338336000,NaN,0.001281,NaN
1338422400,NaN,0.001258,NaN
1338508800,NaN,0.001235,NaN
1338595200,NaN,0.001212,NaN
1338681600,NaN,0.001189,NaN
1338768000,NaN,0.001166,NaN
1338854400,NaN,0.001144,NaN
1338940800,NaN,0.001121,NaN
1339027200,NaN,0.001098,NaN
1339113600,0.001002,0.001075,-0.000073
1339200000,NaN,0.001052,NaN
1339286400,NaN,0.001029,NaN
1339372800,0.000796,0.001006,-0.000210
1339459200,0.000743,0.000984,-0.000241
1339545600,0.000700,0.000961,-0.000261
1339632000,NaN,0.000938,NaN
1339718400,NaN,0.000942,NaN
1339804800,0.000652,0.000947,-0.000295
1339891200,0.000924,0.000951,-0.000027
1339977600,0.000728,0.000955,-0.000227
1340064000,NaN,0.000960,NaN
1340150400,NaN,0.000964,NaN
1340323200,NaN,0.000973,NaN
1340409600,NaN,0.000977,NaN
1340496000,NaN,0.000981,NaN
1340582400,NaN,0.000986,NaN
1340668800,NaN,0.000990,NaN
1340755200,0.004610,0.000994,0.003616
1340841600,0.002988,0.000999,0.001989
1340928000,0.001254,0.001003,0.000251
1341014400,0.001590,0.001008,0.000582
1341100800,NaN,0.001012,NaN
1341187200,0.001751,0.001016,0.000735
1341273600,NaN,0.001021,NaN
1341360000,0.002132,0.001025,0.001107
1341446400,0.001610,0.001029,0.000581
1341532800,NaN,0.001034,NaN
1341619200,NaN,0.001038,NaN
1341705600,0.000908,0.001042,-0.000134
1341792000,NaN,0.001047,NaN
1341878400,NaN,0.001051,NaN
1341964800,NaN,0.001055,NaN
1342051200,NaN,0.001060,NaN
1342137600,NaN,0.001064,NaN
1342224000,0.000884,0.001069,-0.000185
1342310400,NaN,0.001068,NaN
1342396800,NaN,0.001068,NaN
1342483200,NaN,0.001068,NaN
1342569600,NaN,0.001068,NaN
1342656000,NaN,0.001068,NaN
1342742400,0.001288,0.001068,0.000220
1342828800,NaN,0.001068,NaN
1342915200,NaN,0.001068,NaN
1343001600,0.000962,0.001068,-0.000106
1343088000,NaN,0.001067,NaN
1343174400,NaN,0.001067,NaN
1343260800,0.000978,0.001067,-0.000089
1343347200,NaN,0.001067,NaN
1343433600,0.001084,0.001067,0.000017
1343520000,NaN,0.001067,NaN
1343606400,0.001230,0.001067,0.000163
1343692800,0.001375,0.001067,0.000308
1343779200,0.001820,0.001066,0.000754
1343865600,0.001675,0.001066,0.000609
1343952000,0.001088,0.001066,0.000022
1344038400,0.001148,0.001066,0.000082
1344124800,0.000528,0.001066,-0.000538
1344211200,NaN,0.001066,NaN
1344297600,NaN,0.001066,NaN
1344384000,0.000608,0.001066,-0.000458
1344470400,0.000234,0.001066,-0.000832
1344556800,0.000826,0.001065,-0.000239
1344643200,NaN,0.001065,NaN
1344729600,NaN,0.001065,NaN
1344816000,0.000721,0.001065,-0.000344
1344902400,NaN,0.001065,NaN
1344988800,0.001012,0.001089,-0.000077
1345075200,0.001585,0.001113,0.000472
1345161600,0.001758,0.001137,0.000621
1345248000,NaN,0.001161,NaN
1345334400,0.000934,0.001185,-0.000251
1345420800,0.000752,0.001209,-0.000457
1345507200,0.000812,0.001233,-0.000421
1345593600,0.001144,0.001257,-0.000113
1345680000,NaN,0.001281,NaN
1345766400,0.001279,0.001305,-0.000026
1345852800,NaN,0.001329,NaN
1345939200,NaN,0.001353,NaN
1346025600,0.018818,0.001377,0.017441
1346112000,NaN,0.001401,NaN
1346198400,NaN,0.001425,NaN
1346284800,0.013762,0.001449,0.012313
1346371200,0.004372,0.001473,0.002899
1346457600,0.005272,0.001497,0.003775
1346544000,0.003163,0.001521,0.001642
1346630400,0.001582,0.001545,0.000037
1346716800,0.001370,0.001569,-0.000199
1346803200,0.000998,0.001593,-0.000595
1346889600,0.001196,0.001617,-0.000421
1346976000,0.001347,0.001641,-0.000294
1347062400,NaN,0.001665,NaN
1347148800,0.001441,0.001689,-0.000248
1347235200,0.001310,0.001713,-0.000403
1347321600,0.001327,0.001737,-0.000410
1347408000,NaN,0.001761,NaN
1347494400,NaN,0.001785,NaN
1347580800,NaN,0.001809,NaN
1347667200,0.002326,0.001833,0.000493
1347753600,NaN,0.001856,NaN
1347840000,NaN,0.001880,NaN
1347926400,0.001991,0.001904,0.000087
1348012800,NaN,0.001928,NaN
1348099200,0.001668,0.001951,-0.000283
1348185600,NaN,0.001975,NaN
1348272000,NaN,0.001999,NaN
1348358400,NaN,0.002022,NaN
1348444800,NaN,0.002046,NaN
1348531200,NaN,0.002070,NaN
1348617600,NaN,0.002094,NaN
1348704000,0.001786,0.002117,-0.000331
1348790400,0.002182,0.002141,0.000041
1348876800,0.002081,0.002165,-0.000084
1348963200,0.001389,0.002189,-0.000800
1349049600,0.001522,0.002212,-0.000690
1349136000,0.002192,0.002236,-0.000044
1349222400,0.001248,0.002260,-0.001012
1349308800,0.001020,0.002283,-0.001263
1349395200,0.001031,0.002307,-0.001276
1349481600,NaN,0.002331,NaN
1349568000,NaN,0.002355,NaN
1349654400,0.000732,0.002378,-0.001646
1349740800,0.000918,0.002402,-0.001484
1349827200,NaN,0.002426,NaN
1349913600,0.001749,0.002450,-0.000701
1350000000,0.002962,0.002473,0.000489
1350086400,0.008004,0.002497,0.005507
1350172800,0.002710,0.002521,0.000189
1350259200,0.003242,0.002547,0.000695
1350345600,0.001745,0.002573,-0.000828
1350432000,NaN,0.002599,NaN
1350518400,0.001962,0.002625,-0.000663
1350604800,0.001637,0.002652,-0.001015
1350691200,0.001379,0.002678,-0.001299
1350777600,0.002214,0.002704,-0.000490
1350864000,0.003636,0.002730,0.000906
1350950400,0.003939,0.002756,0.001183
1351036800,0.005201,0.002782,0.002419
1351123200,NaN,0.002808,NaN
1351209600,NaN,0.002835,NaN
1351296000,0.013227,0.002861,0.010366
1351382400,NaN,0.002887,NaN
1351468800,NaN,0.002913,NaN
1351555200,0.017399,0.002939,0.014460
1351641600,0.010424,0.002965,0.007459
1351728000,0.004966,0.002992,0.001974
1351814400,0.000883,0.003018,-0.002135
1351900800,0.003173,0.003044,0.000129
1351987200,0.001566,0.003070,-0.001504
1352073600,NaN,0.003096,NaN
1352160000,0.001120,0.003122,-0.002002
1352246400,0.001570,0.003148,-0.001578
1352332800,0.005698,0.003175,0.002523
1352419200,0.005110,0.003201,0.001909
1352505600,0.003120,0.003227,-0.000107
1352592000,0.005416,0.003253,0.002163
1352678400,0.004872,0.003279,0.001593
1352764800,0.003960,0.003305,0.000655
1352851200,NaN,0.003332,NaN
1352937600,0.001721,0.003328,-0.001607
1353024000,NaN,0.003324,NaN
1353110400,0.002440,0.003320,-0.000880
1353196800,NaN,0.003316,NaN
1353283200,0.003147,0.003312,-0.000165
1353369600,0.002125,0.003308,-0.001183
1353456000,0.002602,0.003304,-0.000702
1353628800,0.003426,0.003296,0.000130
1353715200,NaN,0.003292,NaN
1353801600,0.002984,0.003288,-0.000304
1353888000,0.001325,0.003285,-0.001960
1353974400,NaN,0.003281,NaN
1354060800,NaN,0.003277,NaN
1354147200,0.003052,0.003273,-0.000221
1354233600,NaN,0.003269,NaN
1354320000,0.002214,0.003265,-0.001051
1354406400,0.001952,0.003261,-0.001309
1354492800,0.002326,0.003257,-0.000931
1354579200,NaN,0.003253,NaN
1354665600,NaN,0.003249,NaN
1354752000,NaN,0.003245,NaN
1354838400,0.000832,0.003242,-0.002410
1354924800,NaN,0.003238,NaN
1355011200,0.000578,0.003234,-0.002656
1355097600,0.001246,0.003230,-0.001984
1355184000,0.002396,0.003226,-0.000830
1355270400,NaN,0.003222,NaN
1355356800,NaN,0.003218,NaN
1355443200,NaN,0.003214,NaN
1355529600,0.002296,0.003282,-0.000986
1355616000,0.000747,0.003349,-0.002602
1355702400,0.001466,0.003417,-0.001951
1355788800,0.001232,0.003485,-0.002253
1355875200,0.001174,0.003552,-0.002378
1355961600,0.000684,0.003620,-0.002936
1356048000,0.011700,0.003687,0.008013
1356134400,0.010385,0.003755,0.006630
1356220800,0.007068,0.003823,0.003245
1356307200,0.002977,0.003890,-0.000913
1356393600,0.004042,0.003958,0.000084
1356480000,0.003914,0.004025,-0.000111
1356566400,0.002466,0.004093,-0.001627
1356652800,0.000914,0.004161,-0.003247
1356739200,0.000612,0.004228,-0.003616
1356825600,0.004914,0.004296,0.000618
1356912000,0.007316,0.004363,0.002953
1356998400,0.001152,0.004431,-0.003279
1357084800,NaN,0.004499,NaN
1357171200,0.000871,0.004566,-0.003695
1357257600,NaN,0.004634,NaN
1357344000,NaN,0.004702,NaN
1357430400,0.000195,0.004769,-0.004574
1357516800,0.000834,0.004837,-0.004003
1357603200,0.001789,0.004904,-0.003115
1357689600,0.003276,0.004972,-0.001696
1357776000,NaN,0.005040,NaN
1357862400,0.001676,0.005107,-0.003431
1357948800,0.007174,0.005175,0.001999
1358035200,0.002351,0.005242,-0.002891
1358121600,0.004290,0.005310,-0.001020
1358208000,0.003091,0.005378,-0.002287
1358294400,0.002140,0.005293,-0.003153
1358380800,0.001928,0.005208,-0.003280
1358467200,NaN,0.005123,NaN
1358553600,0.004506,0.005039,-0.000533
1358640000,NaN,0.004954,NaN
1358726400,NaN,0.004869,NaN
1358812800,NaN,0.004785,NaN
1358899200,0.009996,0.004700,0.005296
1358985600,0.004252,0.004615,-0.000363
1359072000,0.003136,0.004530,-0.001394
1359158400,0.006613,0.004446,0.002167
1359244800,NaN,0.004361,NaN
1359331200,0.001698,0.004276,-0.002578
1359417600,0.002175,0.004191,-0.002016
1359504000,0.001842,0.004107,-0.002265
1359590400,NaN,0.004022,NaN
1359676800,0.010830,0.003937,0.006893
1359763200,0.005230,0.003853,0.001377
1359849600,0.003092,0.003768,-0.000676
1359936000,0.005482,0.003683,0.001799
1360022400,0.004616,0.003598,0.001018
1360108800,0.001242,0.003514,-0.002272
1360195200,0.001564,0.003429,-0.001865
1360281600,0.001387,0.003344,-0.001957
1360368000,0.001904,0.003259,-0.001355
1360454400,0.001970,0.003175,-0.001205
1360540800,0.001174,0.003090,-0.001916
1360627200,0.001601,0.003005,-0.001405
1360713600,0.001026,0.002921,-0.001895
1360800000,NaN,0.002836,NaN
1360886400,NaN,0.002751,NaN
1360972800,NaN,0.002759,NaN
1361059200,NaN,0.002766,NaN
1361145600,0.006517,0.002774,0.003743
1361232000,0.001432,0.002781,-0.001349
1361318400,NaN,0.002789,NaN
1361404800,0.001500,0.002797,-0.001297
1361491200,0.001130,0.002804,-0.001674
1361577600,0.001144,0.002812,-0.001668
1361664000,0.001198,0.002819,-0.001621
1361750400,0.001225,0.002827,-0.001602
1361836800,NaN,0.002834,NaN
1361923200,NaN,0.002842,NaN
1362009600,NaN,0.002850,NaN
1362096000,NaN,0.002857,NaN
1362182400,NaN,0.002865,NaN
1362268800,NaN,0.002872,NaN
1362355200,0.001814,0.002880,-0.001066
1362441600,0.002330,0.002888,-0.000558
1362528000,NaN,0.002895,NaN
1362614400,0.009857,0.002903,0.006954
1362700800,0.003991,0.002910,0.001081
1362787200,0.001600,0.002918,-0.001318
1362873600,0.002544,0.002925,-0.000381
1362960000,NaN,0.002933,NaN
1363046400,NaN,0.002941,NaN
1363132800,0.006620,0.002948,0.003672
1363219200,NaN,0.002956,NaN
1363305600,NaN,0.002963,NaN
1363392000,0.001874,0.002924,-0.001050
1363478400,0.001394,0.002884,-0.001490
1363564800,NaN,0.002844,NaN
1363651200,NaN,0.002804,NaN
1363737600,0.001126,0.002765,-0.001639
1363824000,0.001492,0.002725,-0.001233
1363910400,0.001062,0.002685,-0.001623
1363996800,0.001121,0.002645,-0.001524
1364083200,NaN,0.002606,NaN
1364169600,NaN,0.002566,NaN
1364256000,NaN,0.002526,NaN
1364342400,0.015125,0.002486,0.012638
1364428800,0.012370,0.002446,0.009924
1364515200,0.005643,0.002407,0.003236
1364601600,NaN,0.002367,NaN
1364688000,0.002006,0.002327,-0.000321
1364774400,0.001240,0.002287,-0.001047
1364860800,0.001193,0.002248,-0.001055
1364947200,0.001257,0.002208,-0.000951
1365033600,NaN,0.002168,NaN
1365120000,NaN,0.002128,NaN
1365206400,0.006019,0.002089,0.003930
1365292800,NaN,0.002049,NaN
1365379200,0.002371,0.002009,0.000362
1365465600,NaN,0.001969,NaN
1365552000,NaN,0.001930,NaN
1365638400,0.004224,0.001890,0.002334
1365724800,0.001488,0.001850,-0.000362
1365811200,0.001694,0.001810,-0.000116
1365897600,0.002194,0.001771,0.000423
1365984000,NaN,0.001731,NaN
1366070400,0.001260,0.001728,-0.000468
1366156800,0.001102,0.001725,-0.000623
1366243200,0.001004,0.001722,-0.000718
1366329600,0.001401,0.001720,-0.000319
1366416000,NaN,0.001717,NaN
1366502400,NaN,0.001714,NaN
1366588800,0.001160,0.001711,-0.000551
1366675200,0.001377,0.001708,-0.000331
1366761600,0.002214,0.001705,0.000509
1366848000,NaN,0.001703,NaN
1366934400,NaN,0.001700,NaN
1367020800,0.001204,0.001697,-0.000493
1367107200,0.002278,0.001694,0.000584
1367193600,NaN,0.001691,NaN
1367280000,0.001404,0.001689,-0.000285
1367366400,NaN,0.001686,NaN
1367452800,NaN,0.001683,NaN
1367539200,0.001094,0.001680,-0.000586
1367625600,0.001426,0.001677,-0.000251
1367712000,NaN,0.001675,NaN
1367798400,NaN,0.001672,NaN
1367884800,0.002848,0.001669,0.001179
1367971200,0.001498,0.001666,-0.000168
1368057600,0.001351,0.001663,-0.000312
1368144000,0.000899,0.001661,-0.000762
1368230400,NaN,0.001658,NaN
1368316800,0.000682,0.001655,-0.000973
1368403200,NaN,0.001652,NaN
1368489600,0.002713,0.001649,0.001064
1368576000,0.001866,0.001647,0.000219
1368662400,NaN,0.001624,NaN
1368748800,NaN,0.001601,NaN
1368835200,0.000884,0.001578,-0.000694
1368921600,0.000740,0.001555,-0.000815
1369008000,0.000778,0.001532,-0.000754
1369094400,0.000944,0.001509,-0.000565
1369180800,NaN,0.001486,NaN
1369267200,0.001126,0.001464,-0.000338
1369353600,0.000959,0.001441,-0.000482
1369440000,0.001087,0.001418,-0.000331
1369526400,0.001464,0.001395,0.000069
1369612800,NaN,0.001372,NaN
1369699200,NaN,0.001349,NaN
1369785600,0.000404,0.001326,-0.000922
1369872000,0.000456,0.001304,-0.000848
1369958400,0.000796,0.001281,-0.000485
1370044800,NaN,0.001258,NaN
1370131200,NaN,0.001235,NaN
1370217600,NaN,0.001212,NaN
1370304000,NaN,0.001189,NaN
1370390400,NaN,0.001166,NaN
1370476800,NaN,0.001144,NaN
1370563200,NaN,0.001121,NaN
1370649600,NaN,0.001098,NaN
1370736000,0.001146,0.001075,0.000071
1370822400,0.001178,0.001052,0.000126
1370908800,0.001024,0.001029,-0.000005
1370995200,NaN,0.001006,NaN
1371081600,0.000686,0.000984,-0.000298
1371168000,0.000460,0.000961,-0.000501
1371254400,0.000586,0.000938,-0.000352
1371340800,0.000688,0.000942,-0.000254
1371427200,NaN,0.000947,NaN
1371513600,NaN,0.000951,NaN
1371600000,NaN,0.000955,NaN
1371686400,NaN,0.000960,NaN
1371772800,0.000780,0.000964,-0.000184
1371859200,0.001414,0.000968,0.000446
1371945600,NaN,0.000973,NaN
1372032000,NaN,0.000977,NaN
1372118400,0.000821,0.000981,-0.000160
1372204800,0.000172,0.000986,-0.000814
1372291200,NaN,0.000990,NaN
1372377600,NaN,0.000994,NaN
1372464000,0.000732,0.000999,-0.000267
1372550400,0.001513,0.001003,0.000510
1372636800,NaN,0.001008,NaN
1372723200,NaN,0.001012,NaN
1372809600,NaN,0.001016,NaN
1372896000,NaN,0.001021,NaN
1372982400,NaN,0.001025,NaN
1373068800,NaN,0.001029,NaN
1373155200,0.001766,0.001034,0.000732
1373241600,0.000810,0.001038,-0.000228
1373328000,NaN,0.001042,NaN
1373414400,NaN,0.001047,NaN
1373500800,0.000694,0.001051,-0.000357
1373587200,0.000604,0.001055,-0.000451
1373673600,0.001502,0.001060,0.000442
1373760000,NaN,0.001064,NaN
1373846400,NaN,0.001069,NaN
1373932800,0.001191,0.001068,0.000123
1374019200,NaN,0.001068,NaN
1374105600,NaN,0.001068,NaN
1374192000,NaN,0.001068,NaN
1374278400,NaN,0.001068,NaN
1374364800,0.000964,0.001068,-0.000104
1374451200,0.001377,0.001068,0.000309
1374537600,0.001246,0.001068,0.000178
1374624000,0.001048,0.001068,-0.000020
1374710400,NaN,0.001067,NaN
1374796800,0.000713,0.001067,-0.000354
1374883200,0.000890,0.001067,-0.000177
1374969600,0.000796,0.001067,-0.000271
1375056000,0.000874,0.001067,-0.000193
1375142400,NaN,0.001067,NaN
1375228800,NaN,0.001067,NaN
1375315200,0.001026,0.001067,-0.000041
1375401600,0.000561,0.001066,-0.000505
1375488000,NaN,0.001066,NaN
1375574400,NaN,0.001066,NaN
1375660800,NaN,0.001066,NaN
1375747200,NaN,0.001066,NaN
1375833600,0.000732,0.001066,-0.000334
1375920000,0.001028,0.001066,-0.000038
1376006400,NaN,0.001066,NaN
1376092800,NaN,0.001066,NaN
1376179200,0.001514,0.001065,0.000449
1376265600,NaN,0.001065,NaN
1376352000,0.001208,0.001065,0.000143
1376438400,NaN,0.001065,NaN
1376524800,NaN,0.001065,NaN
1376611200,NaN,0.001089,NaN
1376697600,NaN,0.001113,NaN
1376784000,0.002012,0.001137,0.000875
1376870400,0.001732,0.001161,0.000571
1376956800,NaN,0.001185,NaN
1377043200,NaN,0.001209,NaN
1377129600,0.000472,0.001233,-0.000761
1377216000,NaN,0.001257,NaN
1377302400,0.001068,0.001281,-0.000213
1377388800,NaN,0.001305,NaN
1377475200,NaN,0.001329,NaN
1377561600,NaN,0.001353,NaN
1377648000,0.000309,0.001377,-0.001068
1377734400,0.000660,0.001401,-0.000741
1377820800,0.002526,0.001425,0.001101
1377907200,NaN,0.001449,NaN
1377993600,NaN,0.001473,NaN
1378080000,0.000822,0.001497,-0.000675
1378166400,NaN,0.001521,NaN
1378252800,0.001134,0.001545,-0.000411
1378339200,NaN,0.001569,NaN
1378425600,NaN,0.001593,NaN
1378512000,NaN,0.001617,NaN
1378598400,0.000932,0.001641,-0.000709
1378684800,0.000755,0.001665,-0.000910
1378771200,0.000930,0.001689,-0.000759
1378857600,NaN,0.001713,NaN
1378944000,NaN,0.001737,NaN
1379030400,NaN,0.001761,NaN
1379116800,NaN,0.001785,NaN
1379203200,0.000913,0.001809,-0.000896
1379289600,NaN,0.001833,NaN
1379376000,NaN,0.001856,NaN
1379462400,NaN,0.001880,NaN
1379548800,0.001388,0.001904,-0.000516
1379635200,NaN,0.001928,NaN
1379721600,0.000922,0.001951,-0.001029
1379808000,NaN,0.001975,NaN
1379894400,NaN,0.001999,NaN
1379980800,NaN,0.002022,NaN
1380067200,0.000890,0.002046,-0.001156
1380153600,0.000624,0.002070,-0.001446
1380240000,NaN,0.002094,NaN
1380326400,0.000580,0.002117,-0.001537
1380412800,0.000570,0.002141,-0.001571
1380499200,0.000754,0.002165,-0.001411
1380585600,0.000866,0.002189,-0.001323
1380672000,0.001531,0.002212,-0.000681
1380758400,NaN,0.002236,NaN
1380844800,NaN,0.002260,NaN
1380931200,NaN,0.002283,NaN
1381017600,0.000736,0.002307,-0.001571
1381104000,0.000765,0.002331,-0.001566
1381190400,0.000876,0.002355,-0.001479
1381276800,NaN,0.002378,NaN
1381363200,NaN,0.002402,NaN
1381449600,0.000834,0.002426,-0.001592
1381536000,0.000803,0.002450,-0.001647
1381622400,NaN,0.002473,NaN
1381708800,0.001388,0.002497,-0.001109
1381795200,0.001196,0.002521,-0.001325
1381881600,0.001179,0.002547,-0.001368
1381968000,0.001156,0.002573,-0.001417
1382054400,0.000834,0.002599,-0.001765
1382140800,0.001004,0.002625,-0.001621
1382227200,0.000916,0.002652,-0.001736
1382313600,0.000758,0.002678,-0.001920
1382400000,0.000887,0.002704,-0.001817
1382486400,0.000504,0.002730,-0.002226
1382572800,NaN,0.002756,NaN
1382659200,NaN,0.002782,NaN
1382745600,NaN,0.002808,NaN
1382832000,0.002464,0.002835,-0.000371
1382918400,0.002222,0.002861,-0.000639
1383004800,0.002811,0.002887,-0.000076
