Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.000274,NaN,NaN
2012-01-05,NaN,NaN,NaN
2012-01-06,NaN,NaN,NaN
2012-01-07,0.000160,NaN,NaN
2012-01-08,0.000208,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,NaN,NaN,NaN
2012-01-11,0.000350,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,0.000394,NaN,NaN
2012-01-15,NaN,0.000326,NaN
2012-01-16,0.000295,0.000325,-0.000030
2012-01-17,NaN,0.000324,NaN
2012-01-18,0.000151,0.000322,-0.000171
2012-01-19,NaN,0.000321,NaN
2012-01-20,NaN,0.000320,NaN
2012-01-21,NaN,0.000318,NaN
2012-01-22,NaN,0.000317,NaN
2012-01-23,NaN,0.000316,NaN
2012-01-24,NaN,0.000314,NaN
2012-01-25,NaN,0.000313,NaN
2012-01-26,NaN,0.000312,NaN
2012-01-27,0.000214,0.000310,-0.000096
2012-01-28,NaN,0.000309,NaN
2012-01-29,NaN,0.000308,NaN
2012-01-30,NaN,0.000306,NaN
2012-01-31,NaN,0.000305,NaN
2012-02-01,NaN,0.000303,NaN
2012-02-02,NaN,0.000302,NaN
2012-02-03,NaN,0.000301,NaN
2012-02-04,0.000276,0.000299,-0.000023
2012-02-05,NaN,0.000298,NaN
2012-02-06,NaN,0.000297,NaN
2012-02-07,NaN,0.000295,NaN
2012-02-08,NaN,0.000294,NaN
2012-02-09,NaN,0.000293,NaN
2012-02-10,NaN,0.000291,NaN
2012-02-11,NaN,0.000290,NaN
2012-02-12,NaN,0.000289,NaN
2012-02-13,NaN,0.000287,NaN
2012-02-14,0.000210,0.000286,-0.000076
2012-02-15,NaN,0.000285,NaN
2012-02-16,NaN,0.000284,NaN
2012-02-17,NaN,0.000283,NaN
2012-02-18,NaN,0.000282,NaN
2012-02-19,NaN,0.000281,NaN
2012-02-20,NaN,0.000280,NaN
2012-02-21,0.000222,0.000279,-0.000057
2012-02-22,NaN,0.000278,NaN
2012-02-23,NaN,0.000277,NaN
2012-02-24,NaN,0.000276,NaN
2012-02-25,NaN,0.000275,NaN
2012-02-26,0.000438,0.000274,0.000164
2012-02-27,NaN,0.000273,NaN
2012-02-28,NaN,0.000272,NaN
2012-02-29,NaN,0.000271,NaN
2012-03-01,0.000184,0.000270,-0.000086
2012-03-02,0.000236,0.000269,-0.000033
2012-03-03,NaN,0.000268,NaN
2012-03-04,0.000277,0.000267,0.000010
2012-03-05,0.000176,0.000266,-0.000090
2012-03-06,0.000144,0.000265,-0.000121
2012-03-07,NaN,0.000264,NaN
2012-03-08,0.000450,0.000263,0.000187
2012-03-09,NaN,0.000262,NaN
2012-03-10,NaN,0.000261,NaN
2012-03-11,NaN,0.000260,NaN
2012-03-12,0.000178,0.000259,-0.000081
2012-03-13,0.000262,0.000258,0.000004
2012-03-14,0.000240,0.000258,-0.000018
2012-03-15,0.000174,0.000256,-0.000082
2012-03-16,0.000107,0.000254,-0.000147
2012-03-17,NaN,0.000252,NaN
2012-03-18,NaN,0.000250,NaN
2012-03-19,NaN,0.000248,NaN
2012-03-20,NaN,0.000247,NaN
2012-03-21,NaN,0.000245,NaN
2012-03-22,0.000176,0.000243,-0.000067
2012-03-23,NaN,0.000241,NaN
2012-03-26,0.000279,0.000236,0.000043
2012-03-27,NaN,0.000234,NaN
2012-03-28,0.000106,0.000232,-0.000126
2012-03-29,NaN,0.000230,NaN
2012-03-30,NaN,0.000228,NaN
2012-03-31,NaN,0.000227,NaN
2012-04-01,0.000108,0.000225,-0.000117
2012-04-02,0.000115,0.000223,-0.000108
2012-04-03,NaN,0.000221,NaN
2012-04-04,NaN,0.000219,NaN
2012-04-05,NaN,0.000218,NaN
2012-04-06,0.000129,0.000216,-0.000087
2012-04-07,NaN,0.000214,NaN
2012-04-08,0.000178,0.000212,-0.000034
2012-04-09,NaN,0.000210,NaN
2012-04-10,0.000256,0.000208,0.000048
2012-04-11,0.000154,0.000207,-0.000053
2012-04-12,NaN,0.000205,NaN
2012-04-13,0.000173,0.000203,-0.000030
