Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.000954,NaN,NaN
1325721600,0.000256,NaN,NaN
1325808000,0.000374,NaN,NaN
1325894400,NaN,NaN,NaN
1325980800,0.000084,NaN,NaN
1326067200,0.000302,NaN,NaN
1326153600,0.000540,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,0.000248,NaN,NaN
1326412800,0.000135,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.000076,0.000966,-0.000890
1326672000,NaN,0.000955,NaN
1326758400,NaN,0.000944,NaN
1326844800,0.000384,0.000933,-0.000549
1326931200,0.000374,0.000921,-0.000547
1327017600,0.000089,0.000910,-0.000821
1327104000,0.000088,0.000899,-0.000811
1327190400,NaN,0.000888,NaN
1327276800,NaN,0.000877,NaN
1327363200,0.000291,0.000865,-0.000574
1327449600,0.000124,0.000854,-0.000730
1327536000,0.000229,0.000843,-0.000614
1327622400,NaN,0.000832,NaN
1327708800,0.000227,0.000820,-0.000593
1327795200,NaN,0.000809,NaN
1327881600,NaN,0.000798,NaN
1327968000,NaN,0.000787,NaN
1328054400,NaN,0.000776,NaN
1328140800,NaN,0.000764,NaN
1328227200,NaN,0.000753,NaN
1328313600,NaN,0.000742,NaN
1328400000,NaN,0.000731,NaN
1328486400,NaN,0.000719,NaN
1328572800,NaN,0.000708,NaN
1328659200,NaN,0.000697,NaN
1328745600,NaN,0.000686,NaN
1328832000,NaN,0.000675,NaN
1328918400,0.000044,0.000663,-0.000619
1329004800,NaN,0.000652,NaN
1329091200,NaN,0.000641,NaN
1329177600,0.000756,0.000630,0.000126
1329264000,NaN,0.000619,NaN
1329350400,NaN,0.000628,NaN
1329436800,NaN,0.000637,NaN
1329523200,NaN,0.000646,NaN
1329609600,NaN,0.000655,NaN
1329696000,NaN,0.000664,NaN
1329782400,NaN,0.000673,NaN
1329868800,0.000054,0.000682,-0.000628
1329955200,0.000202,0.000691,-0.000489
1330041600,0.000374,0.000700,-0.000326
1330128000,NaN,0.000709,NaN
1330214400,NaN,0.000718,NaN
1330300800,NaN,0.000727,NaN
1330387200,0.000118,0.000736,-0.000618
1330473600,NaN,0.000745,NaN
1330560000,NaN,0.000754,NaN
1330646400,NaN,0.000763,NaN
1330732800,NaN,0.000772,NaN
1330819200,NaN,0.000781,NaN
1330905600,0.001038,0.000790,0.000248
1330992000,NaN,0.000799,NaN
1331078400,NaN,0.000808,NaN
1331164800,NaN,0.000817,NaN
1331251200,0.000179,0.000827,-0.000648
1331337600,NaN,0.000836,NaN
1331424000,NaN,0.000845,NaN
1331510400,0.000490,0.000854,-0.000364
1331596800,NaN,0.000863,NaN
1331683200,0.000230,0.000872,-0.000642
1331769600,NaN,0.000852,NaN
1331856000,0.000208,0.000832,-0.000624
1331942400,0.000172,0.000812,-0.000640
1332028800,0.000095,0.000792,-0.000697
1332115200,NaN,0.000772,NaN
1332201600,0.000122,0.000752,-0.000630
1332288000,0.000321,0.000732,-0.000411
1332374400,NaN,0.000712,NaN
1332460800,0.000069,0.000692,-0.000623
1332720000,0.000105,0.000632,-0.000527
1332806400,NaN,0.000612,NaN
1332892800,NaN,0.000592,NaN
1332979200,0.000073,0.000573,-0.000500
1333065600,NaN,0.000553,NaN
1333152000,NaN,0.000533,NaN
1333238400,0.000332,0.000513,-0.000181
1333324800,NaN,0.000493,NaN
1333411200,NaN,0.000473,NaN
1333497600,NaN,0.000453,NaN
1333584000,NaN,0.000433,NaN
1333670400,0.000400,0.000413,-0.000013
1333756800,NaN,0.000393,NaN
1333843200,NaN,0.000373,NaN
1333929600,NaN,0.000353,NaN
1334016000,NaN,0.000333,NaN
1334102400,0.000146,0.000313,-0.000167
1334188800,NaN,0.000293,NaN
1334275200,NaN,0.000273,NaN
1334361600,NaN,0.000253,NaN
1334448000,NaN,0.000252,NaN
1334534400,NaN,0.000251,NaN
1334620800,NaN,0.000250,NaN
1334707200,NaN,0.000249,NaN
1334793600,NaN,0.000248,NaN
1334880000,NaN,0.000247,NaN
1334966400,NaN,0.000246,NaN
1335052800,0.000980,0.000245,0.000735
1335139200,NaN,0.000244,NaN
1335225600,0.000350,0.000243,0.000107
1335312000,NaN,0.000242,NaN
1335398400,0.000019,0.000240,-0.000221
1335484800,0.000442,0.000239,0.000203
1335571200,NaN,0.000238,NaN
1335657600,NaN,0.000237,NaN
1335744000,NaN,0.000236,NaN
1335830400,NaN,0.000235,NaN
1335916800,0.000244,0.000234,0.000010
1336003200,NaN,0.000233,NaN
1336089600,NaN,0.000232,NaN
1336176000,0.000069,0.000231,-0.000162
1336262400,NaN,0.000230,NaN
1336348800,0.000062,0.000229,-0.000167
1336435200,NaN,0.000228,NaN
1336521600,NaN,0.000227,NaN
1336608000,NaN,0.000226,NaN
1336694400,NaN,0.000224,NaN
1336780800,NaN,0.000223,NaN
1336867200,NaN,0.000222,NaN
1336953600,NaN,0.000221,NaN
1337040000,NaN,0.000220,NaN
1337126400,NaN,0.000220,NaN
1337212800,NaN,0.000219,NaN
1337299200,0.000039,0.000218,-0.000179
1337385600,NaN,0.000217,NaN
1337472000,NaN,0.000217,NaN
1337558400,0.000140,0.000216,-0.000076
1337644800,0.000064,0.000215,-0.000151
1337731200,0.000029,0.000214,-0.000185
1337817600,NaN,0.000214,NaN
1337904000,NaN,0.000213,NaN
1337990400,0.000033,0.000212,-0.000179
1338076800,NaN,0.000211,NaN
1338163200,NaN,0.000211,NaN
1338249600,NaN,0.000210,NaN
1338336000,NaN,0.000209,NaN
1338422400,NaN,0.000208,NaN
1338508800,NaN,0.000208,NaN
1338595200,NaN,0.000207,NaN
1338681600,NaN,0.000206,NaN
1338768000,NaN,0.000205,NaN
1338854400,NaN,0.000205,NaN
1338940800,NaN,0.000204,NaN
1339027200,NaN,0.000203,NaN
1339113600,NaN,0.000202,NaN
1339200000,NaN,0.000202,NaN
1339286400,NaN,0.000201,NaN
1339372800,0.000043,0.000200,-0.000157
1339459200,NaN,0.000199,NaN
1339545600,NaN,0.000199,NaN
1339632000,0.000028,0.000198,-0.000170
1339718400,NaN,0.000196,NaN
1339804800,NaN,0.000193,NaN
1339891200,NaN,0.000191,NaN
1339977600,0.000036,0.000189,-0.000153
1340064000,NaN,0.000186,NaN
1340150400,NaN,0.000184,NaN
1340323200,NaN,0.000180,NaN
1340409600,NaN,0.000177,NaN
1340496000,NaN,0.000175,NaN
1340582400,NaN,0.000173,NaN
1340668800,NaN,0.000171,NaN
1340755200,NaN,0.000168,NaN
1340841600,NaN,0.000166,NaN
1340928000,0.000096,0.000164,-0.000068
1341014400,0.000072,0.000161,-0.000089
1341100800,NaN,0.000159,NaN
1341187200,NaN,0.000157,NaN
1341273600,NaN,0.000155,NaN
1341360000,NaN,0.000152,NaN
1341446400,0.000062,0.000150,-0.000088
1341532800,NaN,0.000148,NaN
1341619200,NaN,0.000146,NaN
1341705600,0.000034,0.000143,-0.000109
1341792000,NaN,0.000141,NaN
1341878400,0.000026,0.000139,-0.000113
1341964800,NaN,0.000136,NaN
1342051200,NaN,0.000134,NaN
1342137600,0.000170,0.000132,0.000038
1342224000,0.000172,0.000130,0.000042
1342310400,NaN,0.000132,NaN
1342396800,NaN,0.000135,NaN
1342483200,NaN,0.000137,NaN
1342569600,NaN,0.000140,NaN
1342656000,NaN,0.000142,NaN
1342742400,NaN,0.000145,NaN
1342828800,NaN,0.000147,NaN
1342915200,NaN,0.000150,NaN
1343001600,NaN,0.000152,NaN
1343088000,NaN,0.000155,NaN
1343174400,NaN,0.000157,NaN
1343260800,NaN,0.000160,NaN
1343347200,NaN,0.000162,NaN
1343433600,NaN,0.000165,NaN
