Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.000954,NaN,NaN
2012-01-05,0.000256,NaN,NaN
2012-01-06,0.000374,NaN,NaN
2012-01-07,NaN,NaN,NaN
2012-01-08,0.000084,NaN,NaN
2012-01-09,0.000302,NaN,NaN
2012-01-10,0.000540,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,0.000248,NaN,NaN
2012-01-13,0.000135,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.000076,0.000966,-0.000890
2012-01-16,NaN,0.000955,NaN
2012-01-17,NaN,0.000944,NaN
2012-01-18,0.000384,0.000933,-0.000549
2012-01-19,0.000374,0.000921,-0.000547
2012-01-20,0.000089,0.000910,-0.000821
2012-01-21,0.000088,0.000899,-0.000811
2012-01-22,NaN,0.000888,NaN
2012-01-23,NaN,0.000877,NaN
2012-01-24,0.000291,0.000865,-0.000574
2012-01-25,0.000124,0.000854,-0.000730
2012-01-26,0.000229,0.000843,-0.000614
2012-01-27,NaN,0.000832,NaN
2012-01-28,0.000227,0.000820,-0.000593
2012-01-29,NaN,0.000809,NaN
2012-01-30,NaN,0.000798,NaN
2012-01-31,NaN,0.000787,NaN
2012-02-01,NaN,0.000776,NaN
2012-02-02,NaN,0.000764,NaN
2012-02-03,NaN,0.000753,NaN
2012-02-04,NaN,0.000742,NaN
2012-02-05,NaN,0.000731,NaN
2012-02-06,NaN,0.000719,NaN
2012-02-07,NaN,0.000708,NaN
2012-02-08,NaN,0.000697,NaN
2012-02-09,NaN,0.000686,NaN
2012-02-10,NaN,0.000675,NaN
2012-02-11,0.000044,0.000663,-0.000619
2012-02-12,NaN,0.000652,NaN
2012-02-13,NaN,0.000641,NaN
2012-02-14,0.000756,0.000630,0.000126
2012-02-15,NaN,0.000619,NaN
2012-02-16,NaN,0.000628,NaN
2012-02-17,NaN,0.000637,NaN
2012-02-18,NaN,0.000646,NaN
2012-02-19,NaN,0.000655,NaN
2012-02-20,NaN,0.000664,NaN
2012-02-21,NaN,0.000673,NaN
2012-02-22,0.000054,0.000682,-0.000628
2012-02-23,0.000202,0.000691,-0.000489
2012-02-24,0.000374,0.000700,-0.000326
2012-02-25,NaN,0.000709,NaN
2012-02-26,NaN,0.000718,NaN
