Time,mean,climatology,anomaly
1325548800,0.027718,NaN,NaN
1325635200,0.012490,NaN,NaN
1325721600,0.006156,NaN,NaN
1325808000,0.003300,NaN,NaN
1325894400,0.002576,NaN,NaN
1325980800,0.002048,NaN,NaN
1326067200,0.001550,NaN,NaN
1326153600,0.001983,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.005658,0.007804,-0.002146
1326672000,NaN,0.007726,NaN
1326758400,0.001979,0.007648,-0.005669
1326844800,0.002384,0.007571,-0.005187
1326931200,0.002185,0.007493,-0.005308
1327017600,0.001880,0.007415,-0.005535
1327104000,0.002318,0.007337,-0.005019
1327190400,0.002951,0.007259,-0.004308
1327276800,0.003493,0.007181,-0.003688
1327363200,0.003212,0.007103,-0.003891
1327449600,0.003348,0.007026,-0.003678
1327536000,0.003484,0.006948,-0.003464
1327622400,NaN,0.006870,NaN
1327708800,0.004879,0.006792,-0.001913
1327795200,NaN,0.006714,NaN
1327881600,NaN,0.006636,NaN
1327968000,0.004187,0.006558,-0.002371
1328054400,NaN,0.006481,NaN
1328140800,NaN,0.006403,NaN
1328227200,NaN,0.006325,NaN
1328313600,0.002567,0.006247,-0.003680
1328400000,NaN,0.006169,NaN
1328486400,NaN,0.006091,NaN
1328572800,0.003210,0.006013,-0.002803
1328659200,NaN,0.005936,NaN
1328745600,0.005546,0.005858,-0.000312
1328832000,0.003246,0.005780,-0.002534
1328918400,NaN,0.005702,NaN
1329004800,0.022158,0.005624,0.016534
1329091200,NaN,0.005546,NaN
1329177600,0.005268,0.005468,-0.000200
1329264000,0.003267,0.005391,-0.002124
1329350400,NaN,0.005392,NaN
1329436800,NaN,0.005393,NaN
1329523200,NaN,0.005395,NaN
1329609600,0.002297,0.005396,-0.003099
1329696000,NaN,0.005397,NaN
1329782400,NaN,0.005399,NaN
1329868800,0.002666,0.005400,-0.002734
1329955200,0.002620,0.005402,-0.002782
1330041600,0.002804,0.005403,-0.002599
1330128000,0.002608,0.005404,-0.002796
1330214400,NaN,0.005406,NaN
1330300800,0.002212,0.005407,-0.003195
1330387200,0.002692,0.005409,-0.002717
1330473600,0.002596,0.005410,-0.002814
1330560000,0.002072,0.005411,-0.003339
1330646400,0.001989,0.005413,-0.003424
1330732800,0.002232,0.005414,-0.003182
1330819200,NaN,0.005416,NaN
1330905600,0.016850,0.005417,0.011433
1330992000,NaN,0.005418,NaN
1331078400,NaN,0.005420,NaN
1331164800,0.002776,0.005421,-0.002645
1331251200,NaN,0.005422,NaN
1331337600,0.001914,0.005424,-0.003510
1331424000,NaN,0.005425,NaN
1331510400,0.002151,0.005427,-0.003276
1331596800,NaN,0.005428,NaN
1331683200,0.001996,0.005429,-0.003433
1331769600,0.003455,0.005401,-0.001946
1331856000,NaN,0.005373,NaN
1331942400,0.002536,0.005345,-0.002809
1332028800,0.003084,0.005317,-0.002233
1332115200,0.002401,0.005289,-0.002888
1332201600,0.003060,0.005261,-0.002201
1332288000,NaN,0.005233,NaN
1332374400,NaN,0.005205,NaN
1332460800,0.002898,0.005177,-0.002279
1332720000,0.005168,0.005092,0.000076
1332806400,NaN,0.005064,NaN
1332892800,0.003864,0.005036,-0.001172
1332979200,0.002463,0.005008,-0.002545
1333065600,NaN,0.004980,NaN
1333152000,0.003432,0.004952,-0.001520
1333238400,NaN,0.004924,NaN
1333324800,0.002888,0.004896,-0.002008
1333411200,0.002234,0.004868,-0.002634
1333497600,0.002590,0.004839,-0.002249
1333584000,0.003940,0.004811,-0.000871
1333670400,NaN,0.004783,NaN
1333756800,NaN,0.004755,NaN
1333843200,0.003106,0.004727,-0.001621
1333929600,0.002070,0.004699,-0.002629
1334016000,0.002980,0.004671,-0.001691
1334102400,0.003598,0.004643,-0.001045
1334188800,NaN,0.004615,NaN
1334275200,0.005036,0.004587,0.000449
1334361600,NaN,0.004558,NaN
1334448000,NaN,0.004584,NaN
1334534400,0.004660,0.004610,0.000050
1334620800,NaN,0.004635,NaN
1334707200,NaN,0.004661,NaN
1334793600,NaN,0.004687,NaN
1334880000,0.003046,0.004712,-0.001666
1334966400,NaN,0.004738,NaN
1335052800,NaN,0.004763,NaN
1335139200,NaN,0.004789,NaN
1335225600,0.020942,0.004815,0.016127
1335312000,0.011889,0.004840,0.007048
1335398400,0.007926,0.004866,0.003060
1335484800,NaN,0.004892,NaN
1335571200,NaN,0.004917,NaN
1335657600,NaN,0.004943,NaN
1335744000,NaN,0.004969,NaN
1335830400,NaN,0.004994,NaN
1335916800,0.008986,0.005020,0.003966
1336003200,NaN,0.005045,NaN
1336089600,NaN,0.005071,NaN
1336176000,0.003249,0.005097,-0.001848
1336262400,0.003494,0.005122,-0.001628
1336348800,0.003972,0.005148,-0.001176
1336435200,NaN,0.005174,NaN
1336521600,NaN,0.005199,NaN
1336608000,0.003941,0.005225,-0.001284
1336694400,0.003318,0.005250,-0.001932
1336780800,NaN,0.005276,NaN
1336867200,NaN,0.005302,NaN
1336953600,NaN,0.005327,NaN
1337040000,0.003364,0.005278,-0.001914
1337126400,NaN,0.005228,NaN
1337212800,NaN,0.005178,NaN
1337299200,0.002814,0.005128,-0.002314
1337385600,NaN,0.005079,NaN
1337472000,NaN,0.005029,NaN
1337558400,0.004374,0.004979,-0.000605
1337644800,0.002991,0.004929,-0.001938
1337731200,0.003606,0.004880,-0.001274
1337817600,NaN,0.004830,NaN
1337904000,NaN,0.004780,NaN
1337990400,0.002815,0.004730,-0.001915
1338076800,0.002854,0.004681,-0.001827
1338163200,0.003372,0.004631,-0.001259
1338249600,0.003998,0.004581,-0.000583
1338336000,NaN,0.004531,NaN
1338422400,NaN,0.004482,NaN
1338508800,NaN,0.004432,NaN
1338595200,NaN,0.004382,NaN
1338681600,NaN,0.004333,NaN
1338768000,NaN,0.004283,NaN
1338854400,NaN,0.004233,NaN
1338940800,NaN,0.004183,NaN
1339027200,NaN,0.004134,NaN
1339113600,0.005080,0.004084,0.000996
1339200000,NaN,0.004034,NaN
1339286400,NaN,0.003984,NaN
1339372800,NaN,0.003935,NaN
1339459200,0.003744,0.003885,-0.000141
1339545600,NaN,0.003835,NaN
