Time,mean,climatology,anomaly
1325548800,0.001424,NaN,NaN
1325635200,0.001304,NaN,NaN
1325721600,0.000584,NaN,NaN
1325808000,NaN,NaN,NaN
1325894400,NaN,NaN,NaN
1325980800,0.000226,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,NaN,NaN,NaN
1326240000,0.000558,NaN,NaN
1326326400,0.000564,NaN,NaN
1326412800,0.000648,NaN,NaN
1326499200,0.000518,NaN,NaN
1326585600,0.000448,0.001227,-0.000779
1326672000,0.000424,0.001217,-0.000793
1326758400,NaN,0.001208,NaN
1326844800,0.000224,0.001198,-0.000974
1326931200,0.000308,0.001189,-0.000881
1327017600,NaN,0.001179,NaN
1327104000,0.000374,0.001169,-0.000795
1327190400,NaN,0.001160,NaN
1327276800,NaN,0.001150,NaN
1327363200,NaN,0.001140,NaN
1327449600,NaN,0.001131,NaN
1327536000,NaN,0.001121,NaN
1327622400,0.000416,0.001111,-0.000695
1327708800,0.000409,0.001102,-0.000693
1327795200,NaN,0.001092,NaN
1327881600,NaN,0.001082,NaN
1327968000,NaN,0.001073,NaN
1328054400,NaN,0.001063,NaN
1328140800,NaN,0.001054,NaN
1328227200,NaN,0.001044,NaN
1328313600,NaN,0.001034,NaN
1328400000,NaN,0.001025,NaN
1328486400,NaN,0.001015,NaN
1328572800,0.000545,0.001005,-0.000460
1328659200,0.001091,0.000996,0.000095
1328745600,NaN,0.000986,NaN
1328832000,NaN,0.000976,NaN
1328918400,0.001683,0.000967,0.000716
1329004800,NaN,0.000957,NaN
1329091200,NaN,0.000948,NaN
1329177600,0.001574,0.000938,0.000636
1329264000,NaN,0.000928,NaN
1329350400,NaN,0.000922,NaN
1329436800,NaN,0.000915,NaN
1329523200,NaN,0.000908,NaN
1329609600,NaN,0.000902,NaN
1329696000,NaN,0.000895,NaN
1329782400,0.000782,0.000888,-0.000106
1329868800,NaN,0.000882,NaN
1329955200,NaN,0.000875,NaN
1330041600,NaN,0.000868,NaN
1330128000,NaN,0.000862,NaN
1330214400,NaN,0.000855,NaN
1330300800,NaN,0.000848,NaN
1330387200,NaN,0.000842,NaN
1330473600,NaN,0.000835,NaN
1330560000,0.000486,0.000828,-0.000342
1330646400,NaN,0.000822,NaN
1330732800,NaN,0.000815,NaN
1330819200,0.000784,0.000808,-0.000024
1330905600,0.000481,0.000802,-0.000321
1330992000,NaN,0.000795,NaN
1331078400,NaN,0.000788,NaN
1331164800,NaN,0.000782,NaN
1331251200,NaN,0.000775,NaN
1331337600,NaN,0.000768,NaN
1331424000,NaN,0.000762,NaN
1331510400,NaN,0.000755,NaN
1331596800,0.001250,0.000748,0.000502
1331683200,0.000552,0.000742,-0.000190
1331769600,0.001053,0.000735,0.000318
1331856000,0.000525,0.000728,-0.000203
1331942400,NaN,0.000722,NaN
1332028800,NaN,0.000715,NaN
1332115200,NaN,0.000708,NaN
1332201600,NaN,0.000702,NaN
1332288000,NaN,0.000695,NaN
1332374400,NaN,0.000688,NaN
1332460800,0.000540,0.000682,-0.000142
1332720000,0.000352,0.000662,-0.000310
1332806400,NaN,0.000655,NaN
1332892800,NaN,0.000648,NaN
1332979200,NaN,0.000642,NaN
1333065600,NaN,0.000635,NaN
1333152000,NaN,0.000628,NaN
1333238400,NaN,0.000622,NaN
1333324800,NaN,0.000615,NaN
1333411200,NaN,0.000608,NaN
1333497600,NaN,0.000602,NaN
1333584000,NaN,0.000595,NaN
1333670400,NaN,0.000588,NaN
1333756800,0.000174,0.000582,-0.000408
1333843200,0.000190,0.000575,-0.000385
1333929600,0.000286,0.000568,-0.000282
1334016000,0.000192,0.000562,-0.000370
1334102400,0.000197,0.000555,-0.000358
1334188800,NaN,0.000548,NaN
1334275200,0.000188,0.000542,-0.000354
1334361600,0.000298,0.000535,-0.000237
1334448000,NaN,0.000534,NaN
1334534400,NaN,0.000533,NaN
1334620800,NaN,0.000531,NaN
1334707200,0.001112,0.000530,0.000582
1334793600,0.000702,0.000529,0.000173
1334880000,NaN,0.000528,NaN
1334966400,NaN,0.000527,NaN
1335052800,0.001086,0.000526,0.000560
1335139200,0.001224,0.000524,0.000700
1335225600,0.000816,0.000523,0.000293
1335312000,NaN,0.000522,NaN
1335398400,NaN,0.000521,NaN
1335484800,0.000462,0.000520,-0.000058
1335571200,0.000254,0.000518,-0.000264
1335657600,NaN,0.000517,NaN
1335744000,0.000426,0.000516,-0.000090
1335830400,NaN,0.000515,NaN
1335916800,NaN,0.000514,NaN
1336003200,NaN,0.000513,NaN
1336089600,0.000225,0.000511,-0.000286
1336176000,NaN,0.000510,NaN
1336262400,NaN,0.000509,NaN
1336348800,NaN,0.000508,NaN
1336435200,NaN,0.000507,NaN
1336521600,NaN,0.000505,NaN
1336608000,NaN,0.000504,NaN
1336694400,NaN,0.000503,NaN
1336780800,NaN,0.000502,NaN
1336867200,NaN,0.000501,NaN
1336953600,0.000207,0.000500,-0.000293
1337040000,NaN,0.000496,NaN
1337126400,0.000455,0.000492,-0.000037
1337212800,NaN,0.000489,NaN
1337299200,0.000370,0.000485,-0.000115
1337385600,0.000168,0.000482,-0.000314
1337472000,0.000142,0.000478,-0.000336
1337558400,0.000302,0.000475,-0.000173
1337644800,NaN,0.000471,NaN
1337731200,NaN,0.000468,NaN
1337817600,NaN,0.000464,NaN
1337904000,NaN,0.000460,NaN
1337990400,0.000445,0.000457,-0.000012
1338076800,NaN,0.000453,NaN
1338163200,NaN,0.000450,NaN
1338249600,0.000336,0.000446,-0.000110
1338336000,0.000162,0.000443,-0.000281
1338422400,NaN,0.000439,NaN
1338508800,0.000590,0.000436,0.000154
1338595200,NaN,0.000432,NaN
1338681600,0.000568,0.000429,0.000139
1338768000,NaN,0.000425,NaN
1338854400,0.000400,0.000421,-0.000021
1338940800,NaN,0.000418,NaN
1339027200,NaN,0.000414,NaN
1339113600,NaN,0.000411,NaN
1339200000,NaN,0.000407,NaN
1339286400,0.000212,0.000404,-0.000192
1339372800,NaN,0.000400,NaN
1339459200,NaN,0.000397,NaN
1339545600,NaN,0.000393,NaN
1339632000,NaN,0.000389,NaN
1339718400,0.000171,0.000391,-0.000220
1339804800,0.000110,0.000393,-0.000283
1339891200,NaN,0.000395,NaN
1339977600,NaN,0.000397,NaN
1340064000,NaN,0.000398,NaN
1340150400,NaN,0.000400,NaN
1340323200,0.000308,0.000404,-0.000096
1340409600,NaN,0.000406,NaN
1340496000,NaN,0.000408,NaN
1340582400,NaN,0.000409,NaN
1340668800,NaN,0.000411,NaN
1340755200,0.000699,0.000413,0.000286
1340841600,NaN,0.000415,NaN
1340928000,NaN,0.000417,NaN
1341014400,NaN,0.000418,NaN
1341100800,NaN,0.000420,NaN
1341187200,NaN,0.000422,NaN
1341273600,NaN,0.000424,NaN
1341360000,NaN,0.000426,NaN
1341446400,NaN,0.000427,NaN
1341532800,NaN,0.000429,NaN
1341619200,NaN,0.000431,NaN
1341705600,NaN,0.000433,NaN
1341792000,NaN,0.000435,NaN
1341878400,NaN,0.000436,NaN
