Time,mean,climatology,anomaly
1325548800,NaN,NaN,NaN
1325635200,0.000358,NaN,NaN
1325721600,0.000250,NaN,NaN
1325808000,NaN,NaN,NaN
1325894400,NaN,NaN,NaN
1325980800,NaN,NaN,NaN
1326067200,NaN,NaN,NaN
1326153600,NaN,NaN,NaN
1326240000,0.000272,NaN,NaN
1326326400,NaN,NaN,NaN
1326412800,0.000406,NaN,NaN
1326499200,0.000264,NaN,NaN
1326585600,NaN,0.000421,NaN
1326672000,0.000594,0.000419,0.000175
1326758400,NaN,0.000417,NaN
1326844800,0.000488,0.000415,0.000073
1326931200,NaN,0.000413,NaN
1327017600,NaN,0.000411,NaN
1327104000,NaN,0.000409,NaN
1327190400,NaN,0.000408,NaN
1327276800,NaN,0.000406,NaN
1327363200,NaN,0.000404,NaN
1327449600,NaN,0.000402,NaN
1327536000,NaN,0.000400,NaN
1327622400,0.000254,0.000398,-0.000144
1327708800,0.000257,0.000396,-0.000139
1327795200,NaN,0.000394,NaN
1327881600,NaN,0.000392,NaN
1327968000,NaN,0.000391,NaN
1328054400,NaN,0.000389,NaN
1328140800,NaN,0.000387,NaN
1328227200,NaN,0.000385,NaN
1328313600,NaN,0.000383,NaN
1328400000,NaN,0.000381,NaN
1328486400,NaN,0.000379,NaN
1328572800,NaN,0.000377,NaN
1328659200,NaN,0.000375,NaN
1328745600,NaN,0.000374,NaN
1328832000,NaN,0.000372,NaN
1328918400,NaN,0.000370,NaN
1329004800,NaN,0.000368,NaN
1329091200,NaN,0.000366,NaN
1329177600,0.000377,0.000364,0.000013
1329264000,NaN,0.000362,NaN
1329350400,NaN,0.000359,NaN
1329436800,NaN,0.000357,NaN
1329523200,NaN,0.000354,NaN
1329609600,NaN,0.000351,NaN
1329696000,NaN,0.000349,NaN
1329782400,0.000306,0.000346,-0.000040
1329868800,NaN,0.000343,NaN
1329955200,NaN,0.000341,NaN
1330041600,NaN,0.000338,NaN
1330128000,NaN,0.000335,NaN
1330214400,NaN,0.000333,NaN
1330300800,NaN,0.000330,NaN
1330387200,NaN,0.000327,NaN
1330473600,NaN,0.000325,NaN
1330560000,NaN,0.000322,NaN
1330646400,NaN,0.000319,NaN
1330732800,NaN,0.000317,NaN
1330819200,0.000265,0.000314,-0.000049
1330905600,0.000194,0.000311,-0.000117
1330992000,0.000236,0.000309,-0.000073
1331078400,NaN,0.000306,NaN
1331164800,NaN,0.000303,NaN
1331251200,NaN,0.000301,NaN
1331337600,NaN,0.000298,NaN
1331424000,NaN,0.000295,NaN
1331510400,NaN,0.000293,NaN
1331596800,0.000328,0.000290,0.000038
1331683200,NaN,0.000287,NaN
1331769600,0.000252,0.000286,-0.000034
1331856000,0.000076,0.000284,-0.000208
1331942400,NaN,0.000282,NaN
1332028800,NaN,0.000280,NaN
1332115200,NaN,0.000278,NaN
1332201600,NaN,0.000277,NaN
1332288000,NaN,0.000275,NaN
1332374400,NaN,0.000273,NaN
1332460800,0.000164,0.000271,-0.000107
1332720000,0.000301,0.000266,0.000035
1332806400,NaN,0.000264,NaN
1332892800,0.000146,0.000262,-0.000116
1332979200,NaN,0.000260,NaN
1333065600,NaN,0.000259,NaN
1333152000,NaN,0.000257,NaN
1333238400,0.000120,0.000255,-0.000135
1333324800,0.000154,0.000253,-0.000099
1333411200,NaN,0.000251,NaN
1333497600,NaN,0.000250,NaN
1333584000,NaN,0.000248,NaN
1333670400,NaN,0.000246,NaN
1333756800,NaN,0.000244,NaN
1333843200,0.000272,0.000243,0.000029
1333929600,NaN,0.000241,NaN
1334016000,NaN,0.000239,NaN
1334102400,0.000097,0.000237,-0.000140
1334188800,NaN,0.000235,NaN
1334275200,0.000224,0.000234,-0.000010
1334361600,NaN,0.000232,NaN
1334448000,NaN,0.000232,NaN
1334534400,NaN,0.000231,NaN
1334620800,NaN,0.000231,NaN
1334707200,0.000154,0.000231,-0.000077
1334793600,0.000162,0.000231,-0.000069
1334880000,NaN,0.000230,NaN
1334966400,NaN,0.000230,NaN
1335052800,0.000076,0.000230,-0.000154
1335139200,0.000099,0.000230,-0.000131
1335225600,0.000126,0.000230,-0.000104
1335312000,NaN,0.000229,NaN
1335398400,NaN,0.000229,NaN
1335484800,0.000347,0.000229,0.000118
1335571200,0.000158,0.000229,-0.000071
1335657600,NaN,0.000228,NaN
1335744000,NaN,0.000228,NaN
1335830400,NaN,0.000228,NaN
1335916800,NaN,0.000228,NaN
1336003200,0.000164,0.000228,-0.000064
1336089600,NaN,0.000227,NaN
1336176000,NaN,0.000227,NaN
1336262400,NaN,0.000227,NaN
1336348800,0.000390,0.000227,0.000163
1336435200,NaN,0.000226,NaN
1336521600,0.000297,0.000226,0.000071
1336608000,NaN,0.000226,NaN
1336694400,NaN,0.000226,NaN
1336780800,NaN,0.000226,NaN
1336867200,NaN,0.000225,NaN
1336953600,0.000093,0.000225,-0.000132
