Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.000976,NaN,NaN
2012-01-05,0.000926,NaN,NaN
2012-01-06,0.001395,NaN,NaN
2012-01-07,0.001069,NaN,NaN
2012-01-08,0.000993,NaN,NaN
2012-01-09,NaN,NaN,NaN
2012-01-10,0.002657,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,0.000974,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.000661,0.001479,-0.000818
2012-01-16,NaN,0.001481,NaN
2012-01-17,0.002094,0.001483,0.000611
2012-01-18,0.000380,0.001485,-0.001105
2012-01-19,NaN,0.001486,NaN
2012-01-20,0.000299,0.001488,-0.001190
2012-01-21,0.000334,0.001490,-0.001156
2012-01-22,0.000222,0.001492,-0.001270
2012-01-23,0.000222,0.001493,-0.001271
2012-01-24,0.000294,0.001495,-0.001201
2012-01-25,0.002722,0.001497,0.001225
2012-01-26,NaN,0.001499,NaN
2012-01-27,0.000366,0.001500,-0.001134
2012-01-28,0.002912,0.001502,0.001410
2012-01-29,NaN,0.001504,NaN
2012-01-30,NaN,0.001506,NaN
2012-01-31,NaN,0.001507,NaN
2012-02-01,NaN,0.001509,NaN
2012-02-02,NaN,0.001511,NaN
2012-02-03,NaN,0.001513,NaN
2012-02-04,NaN,0.001514,NaN
2012-02-05,NaN,0.001516,NaN
2012-02-06,NaN,0.001518,NaN
2012-02-07,NaN,0.001520,NaN
2012-02-08,NaN,0.001521,NaN
2012-02-09,NaN,0.001523,NaN
2012-02-10,NaN,0.001525,NaN
2012-02-11,NaN,0.001527,NaN
2012-02-12,0.000555,0.001528,-0.000973
2012-02-13,0.001266,0.001530,-0.000264
2012-02-14,0.000340,0.001532,-0.001192
2012-02-15,0.000224,0.001534,-0.001310
2012-02-16,NaN,0.001514,NaN
2012-02-17,0.000257,0.001495,-0.001238
2012-02-18,0.000408,0.001475,-0.001067
2012-02-19,0.000593,0.001455,-0.000862
2012-02-20,NaN,0.001436,NaN
2012-02-21,NaN,0.001416,NaN
2012-02-22,0.000187,0.001397,-0.001210
2012-02-23,0.000349,0.001377,-0.001028
2012-02-24,0.000776,0.001357,-0.000581
2012-02-25,NaN,0.001338,NaN
2012-02-26,NaN,0.001318,NaN
2012-02-27,NaN,0.001299,NaN
2012-02-28,0.001344,0.001279,0.000065
2012-02-29,NaN,0.001259,NaN
2012-03-01,0.000712,0.001240,-0.000528
2012-03-02,0.000183,0.001220,-0.001037
2012-03-03,0.000482,0.001201,-0.000719
2012-03-04,NaN,0.001181,NaN
2012-03-05,NaN,0.001161,NaN
2012-03-06,NaN,0.001142,NaN
2012-03-07,NaN,0.001122,NaN
2012-03-08,0.006150,0.001103,0.005047
2012-03-09,NaN,0.001083,NaN
2012-03-10,0.000557,0.001063,-0.000506
2012-03-11,NaN,0.001044,NaN
2012-03-12,0.000274,0.001024,-0.000750
2012-03-13,0.000179,0.001005,-0.000826
2012-03-14,0.000123,0.000985,-0.000862
2012-03-15,NaN,0.000977,NaN
2012-03-16,NaN,0.000968,NaN
2012-03-17,0.000618,0.000960,-0.000342
2012-03-18,0.000862,0.000952,-0.000090
2012-03-19,NaN,0.000944,NaN
2012-03-20,0.002492,0.000935,0.001557
2012-03-21,NaN,0.000927,NaN
2012-03-22,NaN,0.000919,NaN
2012-03-23,NaN,0.000911,NaN
2012-03-26,0.000731,0.000886,-0.000155
2012-03-27,NaN,0.000877,NaN
2012-03-28,NaN,0.000869,NaN
2012-03-29,0.001262,0.000861,0.000401
2012-03-30,NaN,0.000853,NaN
2012-03-31,NaN,0.000844,NaN
2012-04-01,NaN,0.000836,NaN
2012-04-02,0.000232,0.000828,-0.000596
2012-04-03,NaN,0.000820,NaN
2012-04-04,NaN,0.000811,NaN
2012-04-05,0.000329,0.000803,-0.000474
2012-04-06,NaN,0.000795,NaN
2012-04-07,NaN,0.000786,NaN
2012-04-08,0.000919,0.000778,0.000141
2012-04-09,0.000713,0.000770,-0.000057
2012-04-10,0.000245,0.000762,-0.000517
2012-04-11,0.000554,0.000753,-0.000199
2012-04-12,NaN,0.000745,NaN
2012-04-13,0.000336,0.000737,-0.000401
2012-04-14,NaN,0.000729,NaN
2012-04-15,0.001178,0.000724,0.000454
2012-04-16,NaN,0.000720,NaN
2012-04-17,NaN,0.000715,NaN
2012-04-18,NaN,0.000711,NaN
2012-04-19,NaN,0.000707,NaN
2012-04-20,0.000346,0.000702,-0.000356
2012-04-21,NaN,0.000698,NaN
2012-04-22,NaN,0.000693,NaN
2012-04-23,NaN,0.000689,NaN
2012-04-24,0.003700,0.000685,0.003015
2012-04-25,0.001024,0.000680,0.000343
2012-04-26,0.000171,0.000676,-0.000505
2012-04-27,NaN,0.000671,NaN
2012-04-28,NaN,0.000667,NaN
2012-04-29,NaN,0.000663,NaN
2012-04-30,NaN,0.000658,NaN
2012-05-01,NaN,0.000654,NaN
2012-05-02,NaN,0.000649,NaN
2012-05-03,NaN,0.000645,NaN
2012-05-04,NaN,0.000641,NaN
2012-05-05,0.000589,0.000636,-0.000047
2012-05-06,0.000147,0.000632,-0.000485
2012-05-07,0.000224,0.000627,-0.000403
2012-05-08,NaN,0.000623,NaN
2012-05-09,NaN,0.000619,NaN
2012-05-10,0.000582,0.000614,-0.000032
2012-05-11,NaN,0.000610,NaN
2012-05-12,NaN,0.000606,NaN
2012-05-13,NaN,0.000601,NaN
2012-05-14,NaN,0.000597,NaN
2012-05-15,NaN,0.000592,NaN
2012-05-16,NaN,0.000588,NaN
2012-05-17,NaN,0.000583,NaN
2012-05-18,0.000333,0.000579,-0.000246
2012-05-19,NaN,0.000574,NaN
2012-05-20,0.000478,0.000570,-0.000092
2012-05-21,NaN,0.000565,NaN
2012-05-22,0.000344,0.000561,-0.000217
2012-05-23,NaN,0.000557,NaN
2012-05-24,NaN,0.000552,NaN
2012-05-25,NaN,0.000548,NaN
2012-05-26,0.001403,0.000543,0.000860
2012-05-27,0.000427,0.000539,-0.000112
2012-05-28,NaN,0.000534,NaN
2012-05-29,NaN,0.000530,NaN
2012-05-30,NaN,0.000525,NaN
2012-05-31,NaN,0.000521,NaN
2012-06-01,NaN,0.000516,NaN
2012-06-02,NaN,0.000512,NaN
2012-06-03,NaN,0.000507,NaN
2012-06-04,NaN,0.000503,NaN
2012-06-05,NaN,0.000498,NaN
2012-06-06,NaN,0.000494,NaN
2012-06-07,NaN,0.000490,NaN
2012-06-08,0.001226,0.000485,0.000741
2012-06-09,NaN,0.000481,NaN
2012-06-10,NaN,0.000476,NaN
2012-06-11,0.000832,0.000472,0.000360
2012-06-12,0.002015,0.000467,0.001548
2012-06-13,0.001856,0.000463,0.001393
2012-06-14,0.001378,0.000458,0.000920
2012-06-15,NaN,0.000462,NaN
2012-06-16,0.001490,0.000466,0.001024
2012-06-17,0.000264,0.000470,-0.000206
2012-06-18,0.000168,0.000473,-0.000305
2012-06-19,NaN,0.000477,NaN
2012-06-20,NaN,0.000481,NaN
2012-06-22,NaN,0.000488,NaN
2012-06-23,NaN,0.000492,NaN
2012-06-24,NaN,0.000496,NaN
2012-06-25,NaN,0.000500,NaN
2012-06-26,NaN,0.000504,NaN
