Date,Mean,Climatology,Anomaly
2012-01-03,NaN,NaN,NaN
2012-01-04,0.003647,NaN,NaN
2012-01-05,0.003425,NaN,NaN
2012-01-06,0.003075,NaN,NaN
2012-01-07,0.002788,NaN,NaN
2012-01-08,0.002156,NaN,NaN
2012-01-09,0.001867,NaN,NaN
2012-01-10,0.001250,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,NaN,NaN,NaN
2012-01-13,0.003020,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.004264,0.003979,0.000285
2012-01-16,0.003818,0.003967,-0.000149
2012-01-17,0.004704,0.003956,0.000748
2012-01-18,0.002448,0.003945,-0.001497
2012-01-19,NaN,0.003933,NaN
2012-01-20,0.001998,0.003922,-0.001924
2012-01-21,0.002266,0.003911,-0.001645
2012-01-22,0.002620,0.003899,-0.001279
2012-01-23,0.002094,0.003888,-0.001794
2012-01-24,0.001786,0.003877,-0.002091
2012-01-25,0.003010,0.003866,-0.000856
2012-01-26,NaN,0.003854,NaN
2012-01-27,0.003032,0.003843,-0.000811
2012-01-28,0.002800,0.003832,-0.001032
2012-01-29,NaN,0.003820,NaN
2012-01-30,NaN,0.003809,NaN
2012-01-31,NaN,0.003798,NaN
2012-02-01,NaN,0.003786,NaN
2012-02-02,NaN,0.003775,NaN
2012-02-03,NaN,0.003764,NaN
2012-02-04,NaN,0.003753,NaN
2012-02-05,NaN,0.003741,NaN
2012-02-06,NaN,0.003730,NaN
2012-02-07,NaN,0.003719,NaN
2012-02-08,NaN,0.003707,NaN
2012-02-09,NaN,0.003696,NaN
2012-02-10,0.003812,0.003685,0.000127
2012-02-11,NaN,0.003673,NaN
2012-02-12,0.008313,0.003662,0.004651
2012-02-13,0.004816,0.003651,0.001165
2012-02-14,0.002422,0.003640,-0.001218
2012-02-15,0.002289,0.003628,-0.001339
2012-02-16,NaN,0.003613,NaN
2012-02-17,0.002310,0.003598,-0.001288
2012-02-18,0.002645,0.003584,-0.000939
2012-02-19,0.002492,0.003569,-0.001077
2012-02-20,0.002246,0.003554,-0.001308
2012-02-21,NaN,0.003539,NaN
2012-02-22,0.002204,0.003524,-0.001320
2012-02-23,0.002410,0.003509,-0.001099
2012-02-24,0.002538,0.003494,-0.000956
2012-02-25,NaN,0.003480,NaN
2012-02-26,NaN,0.003465,NaN
2012-02-27,0.003506,0.003450,0.000056
2012-02-28,0.003106,0.003435,-0.000329
2012-02-29,0.002896,0.003420,-0.000524
2012-03-01,0.002414,0.003405,-0.000991
2012-03-02,NaN,0.003390,NaN
2012-03-03,0.002265,0.003376,-0.001111
2012-03-04,NaN,0.003361,NaN
2012-03-05,0.005979,0.003346,0.002633
2012-03-06,NaN,0.003331,NaN
2012-03-07,NaN,0.003316,NaN
2012-03-08,0.002590,0.003301,-0.000711
2012-03-09,0.002812,0.003286,-0.000474
2012-03-10,0.002612,0.003272,-0.000660
2012-03-11,NaN,0.003257,NaN
2012-03-12,0.003815,0.003242,0.000573
2012-03-13,0.002529,0.003227,-0.000698
2012-03-14,0.004000,0.003212,0.000788
2012-03-15,0.002758,0.003199,-0.000441
2012-03-16,NaN,0.003186,NaN
2012-03-17,0.002540,0.003173,-0.000633
2012-03-18,0.002129,0.003160,-0.001031
2012-03-19,0.002172,0.003146,-0.000974
2012-03-20,NaN,0.003133,NaN
2012-03-21,NaN,0.003120,NaN
2012-03-22,NaN,0.003107,NaN
2012-03-23,0.002016,0.003094,-0.001078
2012-03-26,0.002564,0.003055,-0.000491
2012-03-27,NaN,0.003041,NaN
2012-03-28,NaN,0.003028,NaN
2012-03-29,0.001896,0.003015,-0.001119
2012-03-30,NaN,0.003002,NaN
2012-03-31,NaN,0.002989,NaN
2012-04-01,NaN,0.002976,NaN
2012-04-02,0.002174,0.002963,-0.000789
2012-04-03,0.001554,0.002949,-0.001395
2012-04-04,NaN,0.002936,NaN
2012-04-05,0.002340,0.002923,-0.000583
2012-04-06,NaN,0.002910,NaN
2012-04-07,NaN,0.002897,NaN
2012-04-08,0.002214,0.002884,-0.000670
2012-04-09,0.001695,0.002871,-0.001176
2012-04-10,0.001910,0.002857,-0.000947
2012-04-11,0.002468,0.002844,-0.000376
2012-04-12,NaN,0.002831,NaN
2012-04-13,0.002526,0.002818,-0.000292
2012-04-14,NaN,0.002805,NaN
2012-04-15,NaN,0.002793,NaN
2012-04-16,0.003320,0.002780,0.000540
2012-04-17,NaN,0.002768,NaN
2012-04-18,NaN,0.002756,NaN
2012-04-19,NaN,0.002744,NaN
2012-04-20,NaN,0.002731,NaN
2012-04-21,NaN,0.002719,NaN
2012-04-22,NaN,0.002707,NaN
2012-04-23,NaN,0.002695,NaN
2012-04-24,0.002322,0.002682,-0.000360
2012-04-25,0.002268,0.002670,-0.000402
2012-04-26,0.002342,0.002658,-0.000316
2012-04-27,NaN,0.002646,NaN
2012-04-28,NaN,0.002633,NaN
2012-04-29,NaN,0.002621,NaN
2012-04-30,NaN,0.002609,NaN
2012-05-01,NaN,0.002597,NaN
2012-05-02,NaN,0.002584,NaN
2012-05-03,NaN,0.002572,NaN
2012-05-04,NaN,0.002560,NaN
2012-05-05,0.002014,0.002548,-0.000534
2012-05-06,0.002632,0.002535,0.000097
2012-05-07,0.002256,0.002523,-0.000267
2012-05-08,NaN,0.002511,NaN
2012-05-09,NaN,0.002499,NaN
2012-05-10,0.001988,0.002486,-0.000498
2012-05-11,0.002263,0.002474,-0.000211
2012-05-12,0.002432,0.002462,-0.000030
2012-05-13,NaN,0.002450,NaN
2012-05-14,NaN,0.002437,NaN
2012-05-15,NaN,0.002433,NaN
2012-05-16,NaN,0.002429,NaN
2012-05-17,NaN,0.002424,NaN
2012-05-18,0.002180,0.002420,-0.000240
2012-05-19,NaN,0.002416,NaN
2012-05-20,0.002050,0.002412,-0.000362
2012-05-21,NaN,0.002407,NaN
2012-05-22,0.002072,0.002403,-0.000331
2012-05-23,NaN,0.002399,NaN
2012-05-24,NaN,0.002394,NaN
2012-05-25,NaN,0.002390,NaN
2012-05-26,0.002189,0.002386,-0.000197
2012-05-27,0.001604,0.002381,-0.000778
2012-05-28,NaN,0.002377,NaN
2012-05-29,NaN,0.002373,NaN
2012-05-30,NaN,0.002369,NaN
2012-05-31,NaN,0.002364,NaN
2012-06-01,NaN,0.002360,NaN
2012-06-02,NaN,0.002356,NaN
2012-06-03,NaN,0.002351,NaN
2012-06-04,NaN,0.002347,NaN
2012-06-05,NaN,0.002343,NaN
2012-06-06,NaN,0.002338,NaN
2012-06-07,NaN,0.002334,NaN
2012-06-08,0.001756,0.002330,-0.000574
2012-06-09,NaN,0.002326,NaN
2012-06-10,NaN,0.002321,NaN
2012-06-11,NaN,0.002317,NaN
2012-06-12,0.001835,0.002313,-0.000478
2012-06-13,0.002064,0.002308,-0.000244
2012-06-14,0.002532,0.002304,0.000228
2012-06-15,NaN,0.002298,NaN
