Time,mean,climatology,anomaly
1325548800,0.015940,NaN,NaN
1325635200,0.005218,NaN,NaN
1325721600,0.003210,NaN,NaN
1325808000,0.001823,NaN,NaN
1325894400,0.001472,NaN,NaN
1325980800,0.001304,NaN,NaN
1326067200,0.000766,NaN,NaN
1326153600,0.000883,NaN,NaN
1326240000,NaN,NaN,NaN
1326326400,0.000894,NaN,NaN
1326412800,NaN,NaN,NaN
1326499200,NaN,NaN,NaN
1326585600,0.001657,0.002776,-0.001119
1326672000,0.001361,0.002731,-0.001370
1326758400,0.000878,0.002685,-0.001807
1326844800,0.000712,0.002639,-0.001927
1326931200,0.000518,0.002593,-0.002075
1327017600,0.000602,0.002547,-0.001945
1327104000,0.000578,0.002502,-0.001924
1327190400,0.000586,0.002456,-0.001870
1327276800,0.000637,0.002410,-0.001773
1327363200,0.000584,0.002364,-0.001780
1327449600,0.000557,0.002319,-0.001762
1327536000,0.000632,0.002273,-0.001641
1327622400,NaN,0.002227,NaN
1327708800,0.000638,0.002181,-0.001543
1327795200,0.000610,0.002135,-0.001525
1327881600,NaN,0.002090,NaN
1327968000,0.000544,0.002044,-0.001500
1328054400,0.000514,0.001998,-0.001484
1328140800,0.000886,0.001952,-0.001066
1328227200,NaN,0.001906,NaN
1328313600,0.001076,0.001861,-0.000785
1328400000,NaN,0.001815,NaN
1328486400,0.000726,0.001769,-0.001043
1328572800,0.000726,0.001723,-0.000997
1328659200,NaN,0.001678,NaN
1328745600,0.001301,0.001632,-0.000331
1328832000,0.000975,0.001586,-0.000611
1328918400,0.000346,0.001540,-0.001194
1329004800,0.009681,0.001494,0.008187
1329091200,0.003953,0.001449,0.002504
1329177600,0.002392,0.001403,0.000989
1329264000,0.001216,0.001357,-0.000141
1329350400,NaN,0.001343,NaN
1329436800,0.000698,0.001328,-0.000630
1329523200,0.000680,0.001314,-0.000634
1329609600,0.000812,0.001300,-0.000488
1329696000,0.001926,0.001285,0.000641
1329782400,0.001646,0.001271,0.000375
1329868800,0.000870,0.001257,-0.000387
1329955200,0.000844,0.001242,-0.000398
1330041600,0.000730,0.001228,-0.000498
1330128000,0.000714,0.001214,-0.000500
1330214400,NaN,0.001199,NaN
1330300800,0.000686,0.001185,-0.000499
1330387200,0.000578,0.001171,-0.000593
1330473600,0.000622,0.001156,-0.000534
1330560000,0.000438,0.001142,-0.000704
1330646400,0.000302,0.001128,-0.000826
1330732800,0.000354,0.001113,-0.000759
1330819200,0.003736,0.001099,0.002637
1330905600,0.007870,0.001085,0.006785
1330992000,0.001622,0.001070,0.000552
1331078400,0.002516,0.001056,0.001460
1331164800,0.001212,0.001042,0.000170
1331251200,0.000964,0.001027,-0.000063
1331337600,0.000972,0.001013,-0.000041
1331424000,0.000537,0.000999,-0.000462
1331510400,0.001313,0.000984,0.000329
1331596800,0.000871,0.000970,-0.000099
1331683200,0.000602,0.000956,-0.000354
1331769600,0.000562,0.000945,-0.000383
1331856000,NaN,0.000935,NaN
1331942400,0.000664,0.000924,-0.000260
1332028800,0.000624,0.000914,-0.000290
1332115200,0.000568,0.000903,-0.000335
1332201600,0.000810,0.000893,-0.000083
1332288000,NaN,0.000882,NaN
1332374400,NaN,0.000872,NaN
1332460800,0.000558,0.000861,-0.000303
1332720000,0.000591,0.000830,-0.000239
1332806400,NaN,0.000820,NaN
1332892800,0.000719,0.000809,-0.000090
1332979200,0.000531,0.000799,-0.000268
1333065600,0.000550,0.000788,-0.000238
1333152000,0.000724,0.000778,-0.000054
1333238400,NaN,0.000767,NaN
1333324800,0.000430,0.000757,-0.000327
1333411200,0.000224,0.000746,-0.000523
1333497600,0.000308,0.000736,-0.000428
1333584000,0.000510,0.000725,-0.000215
1333670400,NaN,0.000715,NaN
1333756800,NaN,0.000704,NaN
1333843200,0.000730,0.000694,0.000036
1333929600,0.000701,0.000683,0.000017
1334016000,0.000468,0.000673,-0.000205
1334102400,0.000470,0.000662,-0.000192
1334188800,NaN,0.000652,NaN
1334275200,0.000486,0.000641,-0.000155
1334361600,0.000598,0.000631,-0.000033
1334448000,0.000700,0.000629,0.000071
1334534400,0.000702,0.000627,0.000075
1334620800,NaN,0.000625,NaN
1334707200,0.000708,0.000622,0.000086
1334793600,0.000706,0.000620,0.000086
1334880000,0.000626,0.000618,0.000008
1334966400,NaN,0.000616,NaN
1335052800,NaN,0.000614,NaN
1335139200,NaN,0.000612,NaN
1335225600,0.005093,0.000610,0.004483
1335312000,0.001994,0.000607,0.001387
1335398400,0.001252,0.000605,0.000647
1335484800,0.001100,0.000603,0.000497
1335571200,NaN,0.000601,NaN
1335657600,NaN,0.000599,NaN
1335744000,0.001173,0.000597,0.000576
1335830400,0.001277,0.000595,0.000682
1335916800,0.000914,0.000592,0.000322
1336003200,NaN,0.000590,NaN
1336089600,NaN,0.000588,NaN
1336176000,0.000511,0.000586,-0.000076
1336262400,0.000628,0.000584,0.000044
1336348800,0.000622,0.000582,0.000040
1336435200,NaN,0.000580,NaN
1336521600,NaN,0.000577,NaN
1336608000,0.000464,0.000575,-0.000111
1336694400,0.000384,0.000573,-0.000189
1336780800,0.000642,0.000571,0.000071
1336867200,NaN,0.000569,NaN
1336953600,NaN,0.000567,NaN
1337040000,0.000594,0.000563,0.000031
1337126400,NaN,0.000559,NaN
1337212800,NaN,0.000555,NaN
1337299200,0.000618,0.000552,0.000066
1337385600,NaN,0.000548,NaN
1337472000,0.000538,0.000544,-0.000006
1337558400,0.000406,0.000540,-0.000134
1337644800,0.000326,0.000536,-0.000210
1337731200,0.000402,0.000533,-0.000131
1337817600,NaN,0.000529,NaN
1337904000,NaN,0.000525,NaN
1337990400,0.000448,0.000521,-0.000073
1338076800,0.000359,0.000517,-0.000158
1338163200,0.000290,0.000514,-0.000224
1338249600,0.000476,0.000510,-0.000034
1338336000,NaN,0.000506,NaN
1338422400,NaN,0.000502,NaN
1338508800,NaN,0.000498,NaN
1338595200,NaN,0.000495,NaN
1338681600,0.000457,0.000491,-0.000034
1338768000,NaN,0.000487,NaN
1338854400,NaN,0.000483,NaN
1338940800,NaN,0.000479,NaN
1339027200,NaN,0.000476,NaN
1339113600,0.000366,0.000472,-0.000106
1339200000,NaN,0.000468,NaN
1339286400,NaN,0.000464,NaN
1339372800,0.000500,0.000460,0.000040
1339459200,0.000394,0.000457,-0.000063
1339545600,0.000565,0.000453,0.000112
1339632000,0.000664,0.000449,0.000215
1339718400,NaN,0.000451,NaN
1339804800,0.000430,0.000453,-0.000023
1339891200,0.000506,0.000454,0.000052
1339977600,0.000796,0.000456,0.000340
1340064000,NaN,0.000458,NaN
1340150400,NaN,0.000460,NaN
1340323200,NaN,0.000463,NaN
1340409600,NaN,0.000465,NaN
1340496000,NaN,0.000467,NaN
1340582400,NaN,0.000469,NaN
1340668800,NaN,0.000470,NaN
1340755200,0.001506,0.000472,0.001034
1340841600,0.001723,0.000474,0.001249
1340928000,0.000662,0.000476,0.000186
1341014400,0.000580,0.000477,0.000103
1341100800,NaN,0.000479,NaN
1341187200,0.000424,0.000481,-0.000057
1341273600,0.000312,0.000483,-0.000171
1341360000,0.000590,0.000484,0.000106
1341446400,0.001034,0.000486,0.000548
1341532800,NaN,0.000488,NaN
1341619200,0.000550,0.000490,0.000060
