Date,Mean,Climatology,Anomaly
2012-01-03,0.015940,NaN,NaN
2012-01-04,0.005218,NaN,NaN
2012-01-05,0.003210,NaN,NaN
2012-01-06,0.001823,NaN,NaN
2012-01-07,0.001472,NaN,NaN
2012-01-08,0.001304,NaN,NaN
2012-01-09,0.000766,NaN,NaN
2012-01-10,0.000883,NaN,NaN
2012-01-11,NaN,NaN,NaN
2012-01-12,0.000894,NaN,NaN
2012-01-13,NaN,NaN,NaN
2012-01-14,NaN,NaN,NaN
2012-01-15,0.001657,0.002776,-0.001119
2012-01-16,0.001361,0.002731,-0.001370
2012-01-17,0.000878,0.002685,-0.001807
2012-01-18,0.000712,0.002639,-0.001927
2012-01-19,0.000518,0.002593,-0.002075
2012-01-20,0.000602,0.002547,-0.001945
2012-01-21,0.000578,0.002502,-0.001924
2012-01-22,0.000586,0.002456,-0.001870
2012-01-23,0.000637,0.002410,-0.001773
2012-01-24,0.000584,0.002364,-0.001780
2012-01-25,0.000557,0.002319,-0.001762
2012-01-26,0.000632,0.002273,-0.001641
2012-01-27,NaN,0.002227,NaN
2012-01-28,0.000638,0.002181,-0.001543
2012-01-29,0.000610,0.002135,-0.001525
2012-01-30,NaN,0.002090,NaN
2012-01-31,0.000544,0.002044,-0.001500
2012-02-01,0.000514,0.001998,-0.001484
2012-02-02,0.000886,0.001952,-0.001066
2012-02-03,NaN,0.001906,NaN
2012-02-04,0.001076,0.001861,-0.000785
2012-02-05,NaN,0.001815,NaN
2012-02-06,0.000726,0.001769,-0.001043
2012-02-07,0.000726,0.001723,-0.000997
2012-02-08,NaN,0.001678,NaN
2012-02-09,0.001301,0.001632,-0.000331
2012-02-10,0.000975,0.001586,-0.000611
2012-02-11,0.000346,0.001540,-0.001194
2012-02-12,0.009681,0.001494,0.008187
2012-02-13,0.003953,0.001449,0.002504
2012-02-14,0.002392,0.001403,0.000989
2012-02-15,0.001216,0.001357,-0.000141
2012-02-16,NaN,0.001343,NaN
2012-02-17,0.000698,0.001328,-0.000630
2012-02-18,0.000680,0.001314,-0.000634
2012-02-19,0.000812,0.001300,-0.000488
2012-02-20,0.001926,0.001285,0.000641
2012-02-21,0.001646,0.001271,0.000375
2012-02-22,0.000870,0.001257,-0.000387
2012-02-23,0.000844,0.001242,-0.000398
2012-02-24,0.000730,0.001228,-0.000498
2012-02-25,0.000714,0.001214,-0.000500
2012-02-26,NaN,0.001199,NaN
2012-02-27,0.000686,0.001185,-0.000499
2012-02-28,0.000578,0.001171,-0.000593
2012-02-29,0.000622,0.001156,-0.000534
2012-03-01,0.000438,0.001142,-0.000704
2012-03-02,0.000302,0.001128,-0.000826
2012-03-03,0.000354,0.001113,-0.000759
2012-03-04,0.003736,0.001099,0.002637
2012-03-05,0.007870,0.001085,0.006785
2012-03-06,0.001622,0.001070,0.000552
2012-03-07,0.002516,0.001056,0.001460
2012-03-08,0.001212,0.001042,0.000170
2012-03-09,0.000964,0.001027,-0.000063
2012-03-10,0.000972,0.001013,-0.000041
2012-03-11,0.000537,0.000999,-0.000462
2012-03-12,0.001313,0.000984,0.000329
2012-03-13,0.000871,0.000970,-0.000099
2012-03-14,0.000602,0.000956,-0.000354
2012-03-15,0.000562,0.000945,-0.000383
2012-03-16,NaN,0.000935,NaN
2012-03-17,0.000664,0.000924,-0.000260
2012-03-18,0.000624,0.000914,-0.000290
2012-03-19,0.000568,0.000903,-0.000335
2012-03-20,0.000810,0.000893,-0.000083
2012-03-21,NaN,0.000882,NaN
2012-03-22,NaN,0.000872,NaN
2012-03-23,0.000558,0.000861,-0.000303
2012-03-26,0.000591,0.000830,-0.000239
2012-03-27,NaN,0.000820,NaN
2012-03-28,0.000719,0.000809,-0.000090
2012-03-29,0.000531,0.000799,-0.000268
2012-03-30,0.000550,0.000788,-0.000238
2012-03-31,0.000724,0.000778,-0.000054
2012-04-01,NaN,0.000767,NaN
2012-04-02,0.000430,0.000757,-0.000327
2012-04-03,0.000224,0.000746,-0.000523
2012-04-04,0.000308,0.000736,-0.000428
2012-04-05,0.000510,0.000725,-0.000215
2012-04-06,NaN,0.000715,NaN
2012-04-07,NaN,0.000704,NaN
2012-04-08,0.000730,0.000694,0.000036
2012-04-09,0.000701,0.000683,0.000017
2012-04-10,0.000468,0.000673,-0.000205
2012-04-11,0.000470,0.000662,-0.000192
2012-04-12,NaN,0.000652,NaN
2012-04-13,0.000486,0.000641,-0.000155
2012-04-14,0.000598,0.000631,-0.000033
2012-04-15,0.000700,0.000629,0.000071
2012-04-16,0.000702,0.000627,0.000075
2012-04-17,NaN,0.000625,NaN
2012-04-18,0.000708,0.000622,0.000086
2012-04-19,0.000706,0.000620,0.000086
2012-04-20,0.000626,0.000618,0.000008
2012-04-21,NaN,0.000616,NaN
2012-04-22,NaN,0.000614,NaN
2012-04-23,NaN,0.000612,NaN
2012-04-24,0.005093,0.000610,0.004483
2012-04-25,0.001994,0.000607,0.001387
2012-04-26,0.001252,0.000605,0.000647
2012-04-27,0.001100,0.000603,0.000497
2012-04-28,NaN,0.000601,NaN
2012-04-29,NaN,0.000599,NaN
2012-04-30,0.001173,0.000597,0.000576
2012-05-01,0.001277,0.000595,0.000682
2012-05-02,0.000914,0.000592,0.000322
2012-05-03,NaN,0.000590,NaN
2012-05-04,NaN,0.000588,NaN
2012-05-05,0.000511,0.000586,-0.000076
2012-05-06,0.000628,0.000584,0.000044
2012-05-07,0.000622,0.000582,0.000040
2012-05-08,NaN,0.000580,NaN
2012-05-09,NaN,0.000577,NaN
2012-05-10,0.000464,0.000575,-0.000111
2012-05-11,0.000384,0.000573,-0.000189
2012-05-12,0.000642,0.000571,0.000071
2012-05-13,NaN,0.000569,NaN
2012-05-14,NaN,0.000567,NaN
2012-05-15,0.000594,0.000563,0.000031
2012-05-16,NaN,0.000559,NaN
2012-05-17,NaN,0.000555,NaN
2012-05-18,0.000618,0.000552,0.000066
2012-05-19,NaN,0.000548,NaN
2012-05-20,0.000538,0.000544,-0.000006
2012-05-21,0.000406,0.000540,-0.000134
2012-05-22,0.000326,0.000536,-0.000210
2012-05-23,0.000402,0.000533,-0.000131
2012-05-24,NaN,0.000529,NaN
2012-05-25,NaN,0.000525,NaN
2012-05-26,0.000448,0.000521,-0.000073
2012-05-27,0.000359,0.000517,-0.000158
2012-05-28,0.000290,0.000514,-0.000224
2012-05-29,0.000476,0.000510,-0.000034
2012-05-30,NaN,0.000506,NaN
2012-05-31,NaN,0.000502,NaN
2012-06-01,NaN,0.000498,NaN
2012-06-02,NaN,0.000495,NaN
2012-06-03,0.000457,0.000491,-0.000034
2012-06-04,NaN,0.000487,NaN
2012-06-05,NaN,0.000483,NaN
2012-06-06,NaN,0.000479,NaN
2012-06-07,NaN,0.000476,NaN
2012-06-08,0.000366,0.000472,-0.000106
2012-06-09,NaN,0.000468,NaN
2012-06-10,NaN,0.000464,NaN
2012-06-11,0.000500,0.000460,0.000040
2012-06-12,0.000394,0.000457,-0.000063
2012-06-13,0.000565,0.000453,0.000112
2012-06-14,0.000664,0.000449,0.000215
2012-06-15,NaN,0.000451,NaN
2012-06-16,0.000430,0.000453,-0.000023
2012-06-17,0.000506,0.000454,0.000052
2012-06-18,0.000796,0.000456,0.000340
2012-06-19,NaN,0.000458,NaN
2012-06-20,NaN,0.000460,NaN
2012-06-22,NaN,0.000463,NaN
2012-06-23,NaN,0.000465,NaN
2012-06-24,NaN,0.000467,NaN
2012-06-25,NaN,0.000469,NaN
2012-06-26,NaN,0.000470,NaN
2012-06-27,0.001506,0.000472,0.001034
2012-06-28,0.001723,0.000474,0.001249
2012-06-29,0.000662,0.000476,0.000186
2012-06-30,0.000580,0.000477,0.000103
2012-07-01,NaN,0.000479,NaN
2012-07-02,0.000424,0.000481,-0.000057
2012-07-03,0.000312,0.000483,-0.000171
2012-07-04,0.000590,0.000484,0.000106
2012-07-05,0.001034,0.000486,0.000548
