Time,mean,climatology,anomaly
1025740800,NaN,0.281809,NaN
1025827200,NaN,0.286567,NaN
1025913600,NaN,0.291326,NaN
1026000000,0.083734,0.296084,-0.212350
1026086400,NaN,0.300843,NaN
1026172800,0.083127,0.305601,-0.222474
1026259200,NaN,0.310360,NaN
1026345600,NaN,0.315118,NaN
1026432000,NaN,0.319876,NaN
1026518400,NaN,0.324635,NaN
1026691200,0.107059,0.334152,-0.227092
1026777600,0.139209,0.331729,-0.192520
1026864000,NaN,0.329306,NaN
1026950400,NaN,0.326883,NaN
1027036800,NaN,0.324460,NaN
1027209600,NaN,0.319614,NaN
1027296000,0.111489,0.317191,-0.205702
1027382400,NaN,0.314768,NaN
1027468800,NaN,0.312345,NaN
1027555200,NaN,0.309922,NaN
1027641600,NaN,0.307499,NaN
1027728000,NaN,0.305076,NaN
1027814400,NaN,0.302653,NaN
1027900800,NaN,0.300230,NaN
1028678400,NaN,0.278422,NaN
1028851200,NaN,0.273576,NaN
1028937600,NaN,0.271153,NaN
1029024000,NaN,0.268730,NaN
1029110400,NaN,0.266307,NaN
1029196800,NaN,0.263884,NaN
1029283200,NaN,0.261461,NaN
1029456000,NaN,0.257110,NaN
1029542400,NaN,0.255182,NaN
1029628800,NaN,0.253253,NaN
1029715200,NaN,0.251325,NaN
1029888000,NaN,0.247468,NaN
1029974400,NaN,0.245540,NaN
1030060800,NaN,0.243612,NaN
1030233600,NaN,0.239755,NaN
1030320000,NaN,0.237827,NaN
1030406400,NaN,0.235899,NaN
1030492800,NaN,0.233970,NaN
1030579200,NaN,0.232042,NaN
1030665600,NaN,0.230114,NaN
1030752000,NaN,0.228185,NaN
1030924800,NaN,0.224329,NaN
1031011200,NaN,0.222400,NaN
1031097600,NaN,0.220472,NaN
1031270400,NaN,0.216615,NaN
1031356800,NaN,0.214687,NaN
1031443200,NaN,0.212759,NaN
1031616000,NaN,0.208902,NaN
1031702400,0.183285,0.206974,-0.023688
1031875200,NaN,0.203117,NaN
1031961600,NaN,0.201189,NaN
1032048000,NaN,0.199261,NaN
1032134400,NaN,0.199785,NaN
1032220800,NaN,0.200308,NaN
1032307200,0.136230,0.200832,-0.064603
1032393600,NaN,0.201356,NaN
1032480000,NaN,0.201880,NaN
1032566400,NaN,0.202404,NaN
1032652800,NaN,0.202928,NaN
1032739200,NaN,0.203452,NaN
1032825600,NaN,0.203976,NaN
1032912000,NaN,0.204499,NaN
1032998400,NaN,0.205023,NaN
1033084800,0.316411,0.205547,0.110864
1033171200,NaN,0.206071,NaN
1033257600,NaN,0.206595,NaN
1033344000,NaN,0.207119,NaN
1033430400,NaN,0.207643,NaN
1033516800,NaN,0.208166,NaN
1033603200,NaN,0.208690,NaN
1033689600,NaN,0.209214,NaN
1033776000,NaN,0.209738,NaN
1033862400,0.203979,0.210262,-0.006283
1033948800,NaN,0.210786,NaN
1034035200,NaN,0.211310,NaN
1034121600,NaN,0.211834,NaN
1034208000,NaN,0.212357,NaN
1034294400,NaN,0.212881,NaN
1034380800,NaN,0.213405,NaN
1034467200,0.126986,0.213929,-0.086943
1034553600,NaN,0.214453,NaN
