Date,Mean,Climatology,Anomaly
2002-07-04,NaN,1.036863,NaN
2002-07-05,NaN,1.029050,NaN
2002-07-06,NaN,1.021236,NaN
2002-07-07,NaN,1.013422,NaN
2002-07-08,NaN,1.005609,NaN
2002-07-09,NaN,0.997795,NaN
2002-07-10,NaN,0.989981,NaN
2002-07-11,NaN,0.982168,NaN
2002-07-12,NaN,0.974354,NaN
2002-07-13,0.918477,0.966540,-0.048064
2002-07-15,0.856609,0.950913,-0.094304
2002-07-16,0.570708,0.951073,-0.380366
2002-07-17,0.745189,0.951234,-0.206045
2002-07-18,NaN,0.951394,NaN
2002-07-19,NaN,0.951555,NaN
2002-07-21,NaN,0.951875,NaN
2002-07-22,NaN,0.952036,NaN
2002-07-23,NaN,0.952196,NaN
2002-07-24,NaN,0.952357,NaN
2002-07-25,NaN,0.952517,NaN
2002-07-26,NaN,0.952677,NaN
2002-07-27,NaN,0.952838,NaN
2002-07-28,NaN,0.952998,NaN
2002-07-29,NaN,0.953159,NaN
2002-08-07,NaN,0.954602,NaN
2002-08-09,2.048981,0.954923,1.094058
2002-08-10,NaN,0.955083,NaN
2002-08-11,NaN,0.955244,NaN
2002-08-12,NaN,0.955404,NaN
2002-08-13,NaN,0.955564,NaN
2002-08-14,NaN,0.955725,NaN
2002-08-16,0.583002,0.955572,-0.372569
2002-08-17,NaN,0.955258,NaN
2002-08-18,1.148609,0.954945,0.193663
2002-08-19,NaN,0.954632,NaN
2002-08-21,NaN,0.954005,NaN
2002-08-22,NaN,0.953692,NaN
2002-08-23,1.469363,0.953379,0.515985
2002-08-25,1.419379,0.952752,0.466627
2002-08-26,NaN,0.952439,NaN
2002-08-27,NaN,0.952125,NaN
2002-08-28,NaN,0.951812,NaN
2002-08-29,NaN,0.951499,NaN
2002-08-30,NaN,0.951185,NaN
2002-08-31,0.462340,0.950872,-0.488532
2002-09-02,NaN,0.950245,NaN
2002-09-03,NaN,0.949932,NaN
2002-09-04,NaN,0.949619,NaN
2002-09-06,NaN,0.948992,NaN
2002-09-07,NaN,0.948679,NaN
2002-09-08,NaN,0.948365,NaN
2002-09-10,NaN,0.947739,NaN
2002-09-11,NaN,0.947425,NaN
2002-09-13,NaN,0.946799,NaN
2002-09-14,NaN,0.946485,NaN
2002-09-15,0.735910,0.946172,-0.210262
2002-09-16,1.203807,0.947289,0.256518
2002-09-17,1.293516,0.948406,0.345110
2002-09-18,NaN,0.949523,NaN
2002-09-19,NaN,0.950640,NaN
2002-09-20,NaN,0.951757,NaN
2002-09-21,NaN,0.952874,NaN
2002-09-22,NaN,0.953991,NaN
2002-09-23,NaN,0.955108,NaN
2002-09-24,0.840893,0.956225,-0.115332
2002-09-25,NaN,0.957342,NaN
2002-09-26,0.983848,0.958459,0.025388
2002-09-27,0.440181,0.959577,-0.519395
2002-09-28,1.285125,0.960694,0.324432
2002-09-29,0.238885,0.961811,-0.722926
2002-09-30,NaN,0.962928,NaN
2002-10-01,NaN,0.964045,NaN
2002-10-02,0.682842,0.965162,-0.282320
2002-10-03,NaN,0.966279,NaN
2002-10-04,0.755063,0.967396,-0.212333
2002-10-05,1.207907,0.968513,0.239395
2002-10-06,0.100782,0.969630,-0.868848
2002-10-07,1.500295,0.970747,0.529548
2002-10-08,0.669194,0.971864,-0.302670
2002-10-09,1.090197,0.972981,0.117216
2002-10-10,1.389580,0.974098,0.415482
2002-10-11,1.028260,0.975215,0.053045
2002-10-12,0.756786,0.976332,-0.219547
2002-10-13,0.175548,0.977449,-0.801901
2002-10-14,1.914570,0.978566,0.936004
2002-10-15,NaN,0.979683,NaN
2002-10-16,NaN,0.976985,NaN
2002-10-17,NaN,0.974286,NaN
2002-10-18,1.513191,0.971588,0.541603
2002-10-19,1.021283,0.968889,0.052394
2002-10-20,1.917739,0.966190,0.951549
2002-10-21,NaN,0.963492,NaN
2002-10-22,NaN,0.960793,NaN
2002-10-23,1.395762,0.958095,0.437668
2002-10-24,0.990026,0.955396,0.034630
2002-10-25,1.092538,0.952698,0.139841
2002-10-26,1.004260,0.949999,0.054261
2002-10-27,0.481740,0.947301,-0.465561
2002-10-28,0.792570,0.944602,-0.152032
2002-10-29,0.525158,0.941903,-0.416745
2002-10-30,1.176147,0.939205,0.236942
2002-10-31,NaN,0.936506,NaN
2002-11-01,1.137389,0.933808,0.203581
2002-11-02,NaN,0.931109,NaN
2002-11-03,0.135195,0.928411,-0.793216
2002-11-04,NaN,0.925712,NaN
2002-11-05,NaN,0.923014,NaN
2002-11-06,1.060941,0.920315,0.140626
2002-11-07,NaN,0.917616,NaN
2002-11-08,NaN,0.914918,NaN
2002-11-09,0.693720,0.912219,-0.218500
2002-11-10,0.791635,0.909521,-0.117886
2002-11-11,1.166081,0.906822,0.259259
2002-11-12,0.891611,0.904124,-0.012513
2002-11-13,NaN,0.901425,NaN
2002-11-14,NaN,0.898727,NaN
2002-11-15,0.522977,0.896028,-0.373051
2002-11-16,NaN,0.895685,NaN
2002-11-17,NaN,0.895342,NaN
2002-11-18,NaN,0.894998,NaN
2002-11-19,NaN,0.894655,NaN
2002-11-20,NaN,0.894312,NaN
2002-11-21,NaN,0.893969,NaN
2002-11-22,0.883825,0.893626,-0.009801
2002-11-23,NaN,0.893282,NaN
2002-11-24,0.368022,0.892939,-0.524917
2002-11-25,NaN,0.892596,NaN
2002-11-26,NaN,0.892253,NaN
2002-11-27,NaN,0.891909,NaN
2002-11-28,NaN,0.891566,NaN
2002-11-29,0.804572,0.891223,-0.086651
2002-11-30,0.476195,0.890880,-0.414685
2002-12-01,NaN,0.890537,NaN
2002-12-02,NaN,0.890193,NaN
2002-12-03,1.240136,0.889850,0.350286
2002-12-04,0.652686,0.889507,-0.236821
2002-12-05,0.809400,0.889164,-0.079763
2002-12-06,0.791560,0.888820,-0.097261
2002-12-07,NaN,0.888477,NaN
2002-12-08,NaN,0.888134,NaN
2002-12-09,NaN,0.887791,NaN
2002-12-10,NaN,0.887448,NaN
2002-12-11,NaN,0.887104,NaN
2002-12-12,1.295408,0.886761,0.408647
2002-12-13,NaN,0.886418,NaN
2002-12-14,0.964726,0.886075,0.078651
2002-12-15,0.347925,0.885732,-0.537806
2002-12-16,0.485203,0.882419,-0.397216
2002-12-17,1.671808,0.879107,0.792701
2002-12-18,NaN,0.875795,NaN
2002-12-19,1.177194,0.872483,0.304711
2002-12-20,NaN,0.869171,NaN
2002-12-21,1.087699,0.865859,0.221840
2002-12-22,1.168522,0.862547,0.305975
2002-12-23,NaN,0.859234,NaN
2002-12-24,1.273485,0.855922,0.417562
2002-12-25,NaN,0.852610,NaN
2002-12-26,0.995658,0.849298,0.146360
2002-12-27,NaN,0.845986,NaN
2002-12-28,0.809377,0.842674,-0.033297
2002-12-29,1.797098,0.839362,0.957736
2002-12-30,NaN,0.836049,NaN
2002-12-31,0.241675,0.832737,-0.591062
2003-01-01,NaN,0.829425,NaN
2003-01-02,NaN,0.826113,NaN
2003-01-03,NaN,0.822801,NaN
2003-01-04,1.063395,0.819489,0.243906
2003-01-05,0.770875,0.816177,-0.045302
2003-01-06,0.940084,0.812865,0.127220
2003-01-07,1.146994,0.809552,0.337441
2003-01-08,0.659213,0.806240,-0.147027
2003-01-09,0.906692,0.802928,0.103764
2003-01-10,NaN,0.799616,NaN
2003-01-11,0.919993,0.796304,0.123689
2003-01-12,1.355191,0.792992,0.562200
2003-01-13,NaN,0.789680,NaN
2003-01-14,NaN,0.786367,NaN
2003-01-15,0.832797,0.783055,0.049741
2003-01-16,0.185300,0.783141,-0.597840
2003-01-17,0.437325,0.783226,-0.345901
2003-01-18,NaN,0.783311,NaN
2003-01-19,0.704502,0.783396,-0.078894
2003-01-20,0.964933,0.783482,0.181451
2003-01-21,0.907356,0.783567,0.123789
2003-01-22,0.870470,0.783652,0.086818
2003-01-23,NaN,0.783737,NaN
2003-01-24,NaN,0.783823,NaN
2003-01-25,NaN,0.783908,NaN
2003-01-26,NaN,0.783993,NaN
2003-01-27,NaN,0.784079,NaN
2003-01-28,NaN,0.784164,NaN
2003-01-29,0.783535,0.784249,-0.000715
2003-01-30,NaN,0.784334,NaN
2003-01-31,0.712343,0.784420,-0.072076
2003-02-01,1.045681,0.784505,0.261176
2003-02-02,0.867188,0.784590,0.082598
2003-02-03,NaN,0.784675,NaN
2003-02-04,NaN,0.784761,NaN
2003-02-05,1.039490,0.784846,0.254644
2003-02-06,0.910470,0.784931,0.125538
2003-02-07,1.049221,0.785017,0.264204
2003-02-08,1.172457,0.785102,0.387355
2003-02-09,0.948776,0.785187,0.163589
2003-02-10,1.066075,0.785272,0.280803
2003-02-11,0.215246,0.785358,-0.570111
2003-02-12,1.356063,0.785443,0.570620
2003-02-13,1.544142,0.785528,0.758614
2003-02-14,NaN,0.785613,NaN
2003-02-15,1.212662,0.785699,0.426964
2003-02-16,NaN,0.783552,NaN
2003-02-17,NaN,0.781406,NaN
2003-02-18,NaN,0.779259,NaN
2003-02-19,1.126668,0.777113,0.349556
2003-02-20,0.679115,0.774966,-0.095851
2003-02-21,0.964223,0.772820,0.191403
2003-02-22,0.253544,0.770673,-0.517129
2003-02-23,NaN,0.768527,NaN
2003-02-24,NaN,0.766380,NaN
2003-02-25,NaN,0.764233,NaN
2003-02-26,1.187842,0.762087,0.425755
2003-02-27,NaN,0.759940,NaN
2003-02-28,0.647890,0.757794,-0.109904
2003-03-01,NaN,0.755647,NaN
2003-03-02,1.208288,0.753501,0.454787
2003-03-03,NaN,0.751354,NaN
2003-03-04,0.880166,0.749208,0.130958
2003-03-05,1.225858,0.747061,0.478797
2003-03-06,NaN,0.744915,NaN
2003-03-07,1.144099,0.742768,0.401331
2003-03-08,NaN,0.740622,NaN
2003-03-09,0.400863,0.738475,-0.337613
2003-03-10,NaN,0.736329,NaN
2003-03-11,NaN,0.734182,NaN
2003-03-12,1.154130,0.732036,0.422095
2003-03-13,NaN,0.729889,NaN
2003-03-14,1.114175,0.727742,0.386432
2003-03-15,NaN,0.725596,NaN
2003-03-16,0.247061,0.725640,-0.478579
2003-03-17,NaN,0.725684,NaN
2003-03-18,0.608086,0.725728,-0.117642
2003-03-19,1.122517,0.725772,0.396745
2003-03-20,NaN,0.725816,NaN
2003-03-21,1.311176,0.725860,0.585316
2003-03-22,0.567466,0.725904,-0.158438
2003-03-23,0.258674,0.725948,-0.467274
2003-03-24,0.699645,0.725992,-0.026346
2003-03-25,NaN,0.726036,NaN
2003-03-26,NaN,0.726080,NaN
2003-03-27,NaN,0.726124,NaN
2003-03-28,1.308671,0.726168,0.582503
2003-03-29,1.104593,0.726212,0.378382
2003-03-30,0.645400,0.726255,-0.080856
2003-03-31,NaN,0.726299,NaN
2003-04-01,NaN,0.726343,NaN
2003-04-02,NaN,0.726387,NaN
2003-04-03,NaN,0.726431,NaN
2003-04-04,0.740514,0.726475,0.014039
2003-04-05,0.604143,0.726519,-0.122377
2003-04-06,0.228224,0.726563,-0.498339
2003-04-07,NaN,0.726607,NaN
2003-04-08,NaN,0.726651,NaN
2003-04-09,NaN,0.726695,NaN
2003-04-10,NaN,0.726739,NaN
2003-04-11,NaN,0.726783,NaN
2003-04-12,0.873550,0.726827,0.146722
2003-04-13,1.226987,0.726871,0.500116
2003-04-14,1.670340,0.726915,0.943425
2003-04-15,1.167407,0.726959,0.440448
2003-04-16,NaN,0.730360,NaN
2003-04-17,NaN,0.733762,NaN
2003-04-18,0.539039,0.737163,-0.198124
2003-04-19,NaN,0.740565,NaN
2003-04-20,0.319490,0.743966,-0.424476
2003-04-21,0.842043,0.747368,0.094676
2003-04-22,0.681658,0.750769,-0.069111
2003-04-23,0.601872,0.754170,-0.152298
2003-04-24,NaN,0.757572,NaN
2003-04-25,NaN,0.760973,NaN
2003-04-26,NaN,0.764375,NaN
2003-04-27,NaN,0.767776,NaN
2003-04-28,0.138032,0.771178,-0.633145
2003-04-29,0.215691,0.774579,-0.558888
2003-04-30,NaN,0.777981,NaN
2003-05-01,NaN,0.781382,NaN
2003-05-02,NaN,0.784783,NaN
2003-05-03,NaN,0.788185,NaN
2003-05-04,1.079846,0.791586,0.288260
2003-05-05,NaN,0.794988,NaN
2003-05-06,NaN,0.798389,NaN
2003-05-07,NaN,0.801791,NaN
2003-05-08,0.964205,0.805192,0.159013
2003-05-09,NaN,0.808593,NaN
2003-05-10,NaN,0.811995,NaN
2003-05-11,0.698620,0.815396,-0.116777
2003-05-12,NaN,0.818798,NaN
2003-05-13,NaN,0.822199,NaN
2003-05-14,NaN,0.825601,NaN
2003-05-15,1.456971,0.829002,0.627969
2003-05-16,NaN,0.840496,NaN
2003-05-17,1.105637,0.851990,0.253646
2003-05-18,NaN,0.863485,NaN
2003-05-19,NaN,0.874979,NaN
2003-05-20,0.695622,0.886473,-0.190851
2003-05-21,NaN,0.897967,NaN
2003-05-22,NaN,0.909462,NaN
2003-05-23,0.806090,0.920956,-0.114866
2003-05-24,0.883719,0.932450,-0.048731
2003-05-25,0.402825,0.943944,-0.541119
2003-05-26,NaN,0.955438,NaN
2003-05-27,NaN,0.966933,NaN
2003-05-28,NaN,0.978427,NaN
2003-05-29,NaN,0.989921,NaN
2003-05-30,0.734337,1.001415,-0.267078
2003-05-31,0.936566,1.012909,-0.076343
2003-06-01,NaN,1.024404,NaN
2003-06-02,NaN,1.035898,NaN
2003-06-03,NaN,1.047392,NaN
2003-06-04,NaN,1.058886,NaN
2003-06-05,NaN,1.070380,NaN
2003-06-06,NaN,1.081875,NaN
2003-06-07,NaN,1.093369,NaN
2003-06-08,0.818382,1.104863,-0.286481
2003-06-09,NaN,1.116357,NaN
2003-06-10,NaN,1.127851,NaN
2003-06-11,NaN,1.139346,NaN
2003-06-12,0.659221,1.150840,-0.491619
2003-06-13,NaN,1.162334,NaN
2003-06-14,NaN,1.173828,NaN
2003-06-15,NaN,1.185323,NaN
2003-06-16,1.498798,1.177509,0.321289
2003-06-17,NaN,1.169695,NaN
2003-06-18,0.744391,1.161882,-0.417490
2003-06-19,NaN,1.154068,NaN
2003-06-20,NaN,1.146254,NaN
2003-06-21,NaN,1.138441,NaN
2003-06-22,NaN,1.130627,NaN
2003-06-23,NaN,1.122813,NaN
2003-06-24,NaN,1.115000,NaN
2003-06-25,1.533798,1.107186,0.426612
2003-06-26,NaN,1.099372,NaN
2003-06-27,NaN,1.091559,NaN
2003-06-28,NaN,1.083745,NaN
2003-06-29,NaN,1.075931,NaN
2003-06-30,NaN,1.068118,NaN
2003-07-01,NaN,1.060304,NaN
2003-07-02,NaN,1.052491,NaN
2003-07-03,0.354620,1.044677,-0.690057
2003-07-04,NaN,1.036863,NaN
2003-07-05,NaN,1.029050,NaN
2003-07-06,NaN,1.021236,NaN
2003-07-07,NaN,1.013422,NaN
2003-07-08,NaN,1.005609,NaN
2003-07-09,0.749539,0.997795,-0.248256
2003-07-10,NaN,0.989981,NaN
2003-07-11,1.350942,0.982168,0.368774
2003-07-12,NaN,0.974354,NaN
2003-07-13,NaN,0.966540,NaN
2003-07-14,NaN,0.958727,NaN
2003-07-15,NaN,0.950913,NaN
2003-07-16,0.669431,0.951073,-0.281642
2003-07-17,NaN,0.951234,NaN
2003-07-18,0.508213,0.951394,-0.443181
2003-07-19,0.814961,0.951555,-0.136593
2003-07-20,1.126995,0.951715,0.175280
2003-07-21,NaN,0.951875,NaN
2003-07-22,NaN,0.952036,NaN
2003-07-23,NaN,0.952196,NaN
2003-07-24,NaN,0.952357,NaN
2003-07-25,NaN,0.952517,NaN
2003-07-26,0.481699,0.952677,-0.470979
2003-07-27,1.578534,0.952838,0.625696
2003-07-28,0.625510,0.952998,-0.327488
2003-07-29,NaN,0.953159,NaN
2003-07-30,NaN,0.953319,NaN
2003-07-31,NaN,0.953479,NaN
