Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.250992,NaN
2002-07-05,NaN,0.254079,NaN
2002-07-06,NaN,0.257166,NaN
2002-07-07,NaN,0.260253,NaN
2002-07-08,NaN,0.263340,NaN
2002-07-09,0.114344,0.266427,-0.152084
2002-07-10,NaN,0.269515,NaN
2002-07-11,NaN,0.272602,NaN
2002-07-12,NaN,0.275689,NaN
2002-07-13,NaN,0.278776,NaN
2002-07-15,0.128892,0.284950,-0.156058
2002-07-16,NaN,0.283434,NaN
2002-07-17,0.142609,0.281917,-0.139308
2002-07-18,NaN,0.280400,NaN
2002-07-19,0.111272,0.278884,-0.167612
2002-07-21,NaN,0.275851,NaN
2002-07-22,0.118376,0.274334,-0.155958
2002-07-23,NaN,0.272817,NaN
2002-07-24,NaN,0.271301,NaN
2002-07-25,NaN,0.269784,NaN
2002-07-26,NaN,0.268268,NaN
2002-07-27,NaN,0.266751,NaN
2002-07-28,NaN,0.265234,NaN
2002-07-29,NaN,0.263718,NaN
2002-08-07,NaN,0.250069,NaN
2002-08-09,NaN,0.247035,NaN
2002-08-10,NaN,0.245519,NaN
2002-08-11,NaN,0.244002,NaN
2002-08-12,NaN,0.242486,NaN
2002-08-13,NaN,0.240969,NaN
2002-08-14,NaN,0.239453,NaN
2002-08-16,0.211305,0.235242,-0.023937
2002-08-17,NaN,0.232548,NaN
2002-08-18,NaN,0.229854,NaN
2002-08-19,NaN,0.227160,NaN
2002-08-21,NaN,0.221771,NaN
2002-08-22,NaN,0.219077,NaN
2002-08-23,0.162020,0.216383,-0.054363
2002-08-25,NaN,0.210995,NaN
2002-08-26,NaN,0.208301,NaN
2002-08-27,NaN,0.205607,NaN
2002-08-28,NaN,0.202913,NaN
2002-08-29,NaN,0.200219,NaN
2002-08-30,NaN,0.197525,NaN
2002-08-31,NaN,0.194830,NaN
2002-09-02,NaN,0.189442,NaN
2002-09-03,NaN,0.186748,NaN
2002-09-04,NaN,0.184054,NaN
2002-09-06,NaN,0.178666,NaN
2002-09-07,NaN,0.175972,NaN
2002-09-08,NaN,0.173278,NaN
2002-09-10,NaN,0.167890,NaN
2002-09-11,0.138136,0.165195,-0.027059
2002-09-13,NaN,0.159807,NaN
2002-09-14,NaN,0.157113,NaN
2002-09-15,NaN,0.154419,NaN
2002-09-16,NaN,0.155222,NaN
2002-09-17,NaN,0.156025,NaN
2002-09-18,0.121605,0.156828,-0.035222
2002-09-19,NaN,0.157630,NaN
2002-09-20,NaN,0.158433,NaN
2002-09-21,NaN,0.159236,NaN
2002-09-22,NaN,0.160039,NaN
2002-09-23,NaN,0.160842,NaN
2002-09-24,NaN,0.161645,NaN
2002-09-25,NaN,0.162447,NaN
2002-09-26,NaN,0.163250,NaN
2002-09-27,0.128127,0.164053,-0.035927
2002-09-28,0.108565,0.164856,-0.056291
2002-09-29,NaN,0.165659,NaN
2002-09-30,NaN,0.166462,NaN
2002-10-01,NaN,0.167264,NaN
2002-10-02,NaN,0.168067,NaN
2002-10-03,NaN,0.168870,NaN
2002-10-04,0.303743,0.169673,0.134070
2002-10-05,NaN,0.170476,NaN
2002-10-06,1.065853,0.171279,0.894574
2002-10-07,0.667026,0.172081,0.494945
2002-10-08,NaN,0.172884,NaN
2002-10-09,NaN,0.173687,NaN
2002-10-10,0.197317,0.174490,0.022827
2002-10-11,NaN,0.175293,NaN
2002-10-12,NaN,0.176096,NaN
2002-10-13,NaN,0.176898,NaN
2002-10-14,NaN,0.177701,NaN
2002-10-15,NaN,0.178504,NaN
2002-10-16,0.244806,0.180424,0.064383
2002-10-17,0.501937,0.182344,0.319593
