Time,mean,climatology,anomaly
1025740800,NaN,9.232392,NaN
1025827200,NaN,9.256573,NaN
1025913600,NaN,9.280754,NaN
1026000000,NaN,9.304935,NaN
1026086400,5.339233,9.329116,-3.989883
1026172800,9.207273,9.353297,-0.146024
1026259200,7.902565,9.377478,-1.474913
1026345600,7.933176,9.401659,-1.468483
1026432000,NaN,9.425840,NaN
1026518400,NaN,9.450021,NaN
1026691200,NaN,9.498383,NaN
1026777600,10.356227,9.453602,0.902625
1026864000,9.682784,9.408821,0.273963
1026950400,8.028212,9.364040,-1.335828
1027036800,14.386714,9.319259,5.067455
1027209600,5.338122,9.229697,-3.891575
1027296000,NaN,9.184916,NaN
1027382400,15.079763,9.140135,5.939629
1027468800,NaN,9.095354,NaN
1027555200,NaN,9.050573,NaN
1027641600,NaN,9.005792,NaN
1027728000,NaN,8.961011,NaN
1027814400,2.826605,8.916230,-6.089624
1027900800,NaN,8.871449,NaN
1028678400,3.980976,8.468420,-4.487443
1028851200,NaN,8.378857,NaN
1028937600,3.631172,8.334076,-4.702905
1029024000,NaN,8.289295,NaN
1029110400,NaN,8.244514,NaN
1029196800,NaN,8.199733,NaN
1029283200,NaN,8.154952,NaN
1029456000,5.867308,8.012237,-2.144929
1029542400,5.512689,7.914302,-2.401614
1029628800,5.066599,7.816368,-2.749768
1029715200,NaN,7.718433,NaN
1029888000,NaN,7.522564,NaN
1029974400,NaN,7.424629,NaN
1030060800,NaN,7.326695,NaN
1030233600,2.791945,7.130826,-4.338880
1030320000,NaN,7.032891,NaN
1030406400,NaN,6.934957,NaN
1030492800,NaN,6.837022,NaN
1030579200,NaN,6.739087,NaN
1030665600,NaN,6.641153,NaN
1030752000,NaN,6.543218,NaN
1030924800,NaN,6.347349,NaN
1031011200,NaN,6.249415,NaN
1031097600,NaN,6.151480,NaN
1031270400,NaN,5.955611,NaN
1031356800,NaN,5.857676,NaN
1031443200,NaN,5.759742,NaN
1031616000,3.731620,5.563873,-1.832253
1031702400,4.391690,5.465938,-1.074248
1031875200,NaN,5.270069,NaN
1031961600,1.425887,5.172134,-3.746248
1032048000,NaN,5.074200,NaN
1032134400,NaN,5.056921,NaN
1032220800,NaN,5.039641,NaN
1032307200,4.553257,5.022362,-0.469105
1032393600,2.792571,5.005083,-2.212512
1032480000,4.431711,4.987804,-0.556092
1032566400,NaN,4.970524,NaN
1032652800,2.584774,4.953245,-2.368471
1032739200,NaN,4.935966,NaN
1032825600,NaN,4.918687,NaN
1032912000,NaN,4.901407,NaN
1032998400,NaN,4.884128,NaN
1033084800,3.891609,4.866849,-0.975240
1033171200,5.027335,4.849570,0.177765
1033257600,7.357492,4.832290,2.525202
1033344000,3.225542,4.815011,-1.589469
1033430400,5.804102,4.797732,1.006371
1033516800,NaN,4.780453,NaN
1033603200,NaN,4.763173,NaN
1033689600,3.107693,4.745894,-1.638201
1033776000,4.033075,4.728615,-0.695539
1033862400,5.955363,4.711335,1.244027
1033948800,3.747297,4.694056,-0.946760
1034035200,3.269898,4.676777,-1.406879
1034121600,NaN,4.659498,NaN
1034208000,4.986097,4.642218,0.343878
1034294400,4.178532,4.624939,-0.446408
1034380800,5.229105,4.607660,0.621445
1034467200,4.347676,4.590381,-0.242704
1034553600,NaN,4.573101,NaN
1034640000,4.830865,4.555822,0.275043
1034726400,3.910393,4.560928,-0.650536
1034812800,4.196773,4.566035,-0.369262
1034899200,6.245990,4.571141,1.674849
1034985600,2.706100,4.576247,-1.870148
1035072000,1.771303,4.581353,-2.810050
1035158400,2.296580,4.586459,-2.289879
1035244800,4.320262,4.591566,-0.271304
1035331200,NaN,4.596672,NaN
1035417600,3.918022,4.601778,-0.683756
1035504000,NaN,4.606884,NaN
1035590400,NaN,4.611991,NaN
1035676800,3.872493,4.617097,-0.744604
1035763200,2.835092,4.622203,-1.787111
1035849600,NaN,4.627309,NaN
1035936000,NaN,4.632415,NaN
1036022400,3.095014,4.637522,-1.542508
1036108800,3.798157,4.642628,-0.844471
1036195200,NaN,4.647734,NaN
1036281600,NaN,4.652840,NaN
1036368000,NaN,4.657946,NaN
1036454400,NaN,4.663053,NaN
1036540800,2.771048,4.668159,-1.897111
1036627200,3.211669,4.673265,-1.461596
1036713600,NaN,4.678371,NaN
1036800000,4.337108,4.683478,-0.346370
1036886400,2.451667,4.688584,-2.236916
1036972800,NaN,4.693690,NaN
1037059200,3.829594,4.698796,-0.869202
1037145600,3.017949,4.703902,-1.685954
1037232000,3.486805,4.709009,-1.222204
1037318400,3.249565,4.714115,-1.464549
1037404800,NaN,4.721028,NaN
1037491200,3.491997,4.727941,-1.235944
1037577600,5.299150,4.734854,0.564296
1037664000,NaN,4.741767,NaN
1037750400,NaN,4.748680,NaN
1037836800,4.908804,4.755593,0.153211
1037923200,3.635552,4.762506,-1.126954
1038009600,4.253491,4.769419,-0.515928
1038096000,3.965691,4.776332,-0.810641
1038182400,5.710413,4.783245,0.927167
1038268800,NaN,4.790159,NaN
1038355200,NaN,4.797072,NaN
1038441600,4.311218,4.803985,-0.492767
1038528000,4.017146,4.810898,-0.793752
1038614400,NaN,4.817811,NaN
1038700800,5.259943,4.824724,0.435219
1038787200,4.334821,4.831637,-0.496816
1038873600,NaN,4.838550,NaN
1038960000,4.560215,4.845463,-0.285249
1039046400,NaN,4.852376,NaN
1039132800,4.086872,4.859289,-0.772417
1039219200,NaN,4.866202,NaN
1039305600,NaN,4.873115,NaN
1039392000,NaN,4.880028,NaN
1039478400,NaN,4.886941,NaN
1039564800,NaN,4.893854,NaN
1039651200,NaN,4.900768,NaN
1039737600,3.754436,4.907681,-1.153245
1039824000,4.521830,4.914594,-0.392764
1039910400,4.410365,4.921507,-0.511142
1039996800,4.685097,4.944712,-0.259615
1040083200,5.935408,4.967918,0.967490
1040169600,4.117846,4.991123,-0.873276
1040256000,NaN,5.014328,NaN
1040342400,4.214873,5.037534,-0.822661
1040428800,4.327291,5.060739,-0.733448
1040515200,4.222173,5.083945,-0.861772
1040601600,NaN,5.107150,NaN
1040688000,NaN,5.130355,NaN
1040774400,4.675093,5.153561,-0.478468
1040860800,NaN,5.176766,NaN
1040947200,4.197969,5.199972,-1.002002
1041033600,4.817324,5.223177,-0.405853
1041120000,4.252372,5.246382,-0.994010
1041206400,NaN,5.269588,NaN
1041292800,4.295614,5.292793,-0.997180
1041379200,3.775370,5.315999,-1.540629
1041465600,2.911538,5.339204,-2.427666
1041552000,3.464360,5.362410,-1.898049
1041638400,4.187771,5.385615,-1.197844
1041724800,5.007217,5.408820,-0.401603
1041811200,8.977726,5.432026,3.545700
1041897600,4.810544,5.455231,-0.644687
1041984000,6.172380,5.478437,0.693943
1042070400,4.483659,5.501642,-1.017983
1042156800,NaN,5.524847,NaN
1042243200,NaN,5.548053,NaN
1042329600,NaN,5.571258,NaN
1042416000,5.360056,5.594464,-0.234407
1042502400,4.648457,5.617669,-0.969212
1042588800,4.891411,5.640874,-0.749463
1042675200,4.229606,5.646155,-1.416549
1042761600,4.425846,5.651436,-1.225590
1042848000,4.541121,5.656716,-1.115596
1042934400,4.701035,5.661997,-0.960962
1043020800,4.054222,5.667278,-1.613056
1043107200,4.247184,5.672558,-1.425374
1043193600,NaN,5.677839,NaN
1043280000,3.882835,5.683119,-1.800284
1043366400,6.330284,5.688400,0.641884
1043452800,4.016884,5.693681,-1.676796
1043539200,NaN,5.698961,NaN
1043625600,5.484368,5.704242,-0.219874
1043712000,5.728787,5.709523,0.019264
1043798400,7.172154,5.714803,1.457351
1043884800,NaN,5.720084,NaN
1043971200,NaN,5.725364,NaN
1044057600,4.879717,5.730645,-0.850928
1044144000,5.075764,5.735926,-0.660161
1044230400,NaN,5.741206,NaN
1044316800,4.571093,5.746487,-1.175394
1044403200,NaN,5.751767,NaN
1044489600,NaN,5.757048,NaN
1044576000,NaN,5.762329,NaN
1044662400,NaN,5.767609,NaN
1044748800,NaN,5.772890,NaN
1044835200,3.328504,5.778171,-2.449667
1044921600,3.878070,5.783451,-1.905381
1045008000,4.267315,5.788732,-1.521416
1045094400,13.570636,5.794012,7.776623
1045180800,6.328336,5.799293,0.529043
1045267200,5.850349,5.804574,0.045776
1045353600,NaN,5.873241,NaN
1045440000,NaN,5.941908,NaN
1045526400,5.702376,6.010575,-0.308198
1045612800,NaN,6.079242,NaN
1045699200,10.207117,6.147909,4.059208
1045785600,NaN,6.216576,NaN
1045872000,NaN,6.285243,NaN
1045958400,5.727771,6.353910,-0.626139
1046044800,5.773028,6.422577,-0.649549
1046131200,NaN,6.491244,NaN
1046217600,NaN,6.559911,NaN
1046304000,NaN,6.628578,NaN
1046390400,NaN,6.697245,NaN
1046476800,NaN,6.765912,NaN
1046563200,NaN,6.834579,NaN
1046649600,NaN,6.903246,NaN
1046736000,NaN,6.971913,NaN
1046822400,NaN,7.040580,NaN
1046908800,NaN,7.109247,NaN
1046995200,1.498014,7.177915,-5.679900
1047081600,NaN,7.246582,NaN
1047168000,NaN,7.315249,NaN
1047254400,8.244529,7.383916,0.860613
1047340800,NaN,7.452583,NaN
1047427200,NaN,7.521250,NaN
1047513600,NaN,7.589917,NaN
1047600000,7.419849,7.658584,-0.238735
1047686400,8.439651,7.727251,0.712400
1047772800,NaN,7.750601,NaN
1047859200,7.266337,7.773951,-0.507613
1047945600,NaN,7.797300,NaN
1048032000,5.628815,7.820650,-2.191835
1048118400,18.441589,7.844000,10.597589
1048204800,10.825232,7.867350,2.957882
1048291200,12.840630,7.890700,4.949930
1048377600,10.033759,7.914050,2.119709
1048464000,9.174975,7.937400,1.237576
1048550400,NaN,7.960749,NaN
1048636800,NaN,7.984099,NaN
1048723200,12.539874,8.007449,4.532425
1048809600,10.818224,8.030799,2.787425
1048896000,NaN,8.054149,NaN
1048982400,9.621155,8.077499,1.543656
1049068800,9.056984,8.100849,0.956135
1049155200,14.608003,8.124199,6.483804
1049241600,NaN,8.147548,NaN
1049328000,NaN,8.170898,NaN
1049414400,NaN,8.194248,NaN
1049500800,NaN,8.217598,NaN
1049587200,NaN,8.240948,NaN
1049673600,NaN,8.264298,NaN
1049760000,NaN,8.287648,NaN
1049846400,NaN,8.310997,NaN
1049932800,5.400962,8.334347,-2.933385
1050019200,NaN,8.357697,NaN
1050105600,6.912621,8.381047,-1.468426
1050192000,5.825810,8.404397,-2.578586
1050278400,10.809102,8.427747,2.381355
1050364800,5.649842,8.451097,-2.801255
1050451200,4.143806,8.415289,-4.271483
1050537600,NaN,8.379482,NaN
1050624000,8.268022,8.343675,-0.075653
1050710400,NaN,8.307867,NaN
1050796800,NaN,8.272060,NaN
1050883200,NaN,8.236253,NaN
1050969600,NaN,8.200445,NaN
1051056000,1.223717,8.164638,-6.940921
1051142400,NaN,8.128831,NaN
1051228800,7.955192,8.093023,-0.137831
1051315200,7.194950,8.057216,-0.862266
1051401600,NaN,8.021409,NaN
1051488000,6.030016,7.985601,-1.955585
1051574400,NaN,7.949794,NaN
1051660800,5.725743,7.913987,-2.188243
1051747200,3.964043,7.878179,-3.914137
1051833600,6.074963,7.842372,-1.767409
1051920000,NaN,7.806565,NaN
1052006400,NaN,7.770757,NaN
1052092800,NaN,7.734950,NaN
1052179200,NaN,7.699143,NaN
1052265600,6.112581,7.663336,-1.550755
1052352000,NaN,7.627528,NaN
1052438400,NaN,7.591721,NaN
1052524800,1.658368,7.555914,-5.897546
1052611200,8.274910,7.520106,0.754804
1052697600,NaN,7.484299,NaN
1052784000,NaN,7.448492,NaN
1052870400,4.394769,7.412684,-3.017916
1052956800,NaN,7.376877,NaN
1053043200,5.580414,7.421912,-1.841498
1053129600,NaN,7.466946,NaN
1053216000,NaN,7.511981,NaN
1053302400,NaN,7.557016,NaN
1053388800,NaN,7.602050,NaN
1053475200,NaN,7.647085,NaN
1053561600,NaN,7.692120,NaN
1053648000,6.963475,7.737154,-0.773680
1053734400,6.302669,7.782189,-1.479520
