Time,mean,climatology,anomaly
1025740800,NaN,0.366409,NaN
1025827200,NaN,0.367011,NaN
1025913600,NaN,0.367612,NaN
1026000000,NaN,0.368213,NaN
1026086400,NaN,0.368815,NaN
1026172800,NaN,0.369416,NaN
1026259200,NaN,0.370018,NaN
1026345600,NaN,0.370619,NaN
1026432000,NaN,0.371220,NaN
1026518400,NaN,0.371822,NaN
1026691200,0.204855,0.373024,-0.168169
1026777600,0.212663,0.374326,-0.161663
1026864000,NaN,0.375628,NaN
1026950400,NaN,0.376929,NaN
1027036800,NaN,0.378231,NaN
1027209600,NaN,0.380834,NaN
1027296000,0.243173,0.382135,-0.138962
1027382400,NaN,0.383437,NaN
1027468800,NaN,0.384739,NaN
1027555200,0.344177,0.386040,-0.041863
1027641600,NaN,0.387342,NaN
1027728000,NaN,0.388643,NaN
1027814400,NaN,0.389945,NaN
1027900800,NaN,0.391246,NaN
1028678400,NaN,0.402961,NaN
1028851200,NaN,0.405564,NaN
1028937600,NaN,0.406865,NaN
1029024000,NaN,0.408167,NaN
1029110400,NaN,0.409468,NaN
1029196800,NaN,0.410770,NaN
1029283200,0.377448,0.412072,-0.034624
1029456000,NaN,0.413977,NaN
1029542400,NaN,0.414581,NaN
1029628800,NaN,0.415186,NaN
1029715200,NaN,0.415790,NaN
1029888000,NaN,0.416998,NaN
1029974400,0.415551,0.417602,-0.002051
1030060800,0.531574,0.418206,0.113367
1030233600,0.549522,0.419414,0.130108
1030320000,NaN,0.420019,NaN
1030406400,NaN,0.420623,NaN
1030492800,NaN,0.421227,NaN
1030579200,0.229257,0.421831,-0.192573
1030665600,NaN,0.422435,NaN
1030752000,0.324152,0.423039,-0.098887
1030924800,NaN,0.424247,NaN
1031011200,NaN,0.424852,NaN
1031097600,NaN,0.425456,NaN
1031270400,NaN,0.426664,NaN
1031356800,0.692641,0.427268,0.265373
1031443200,NaN,0.427872,NaN
1031616000,NaN,0.429080,NaN
1031702400,NaN,0.429685,NaN
1031875200,NaN,0.430893,NaN
1031961600,NaN,0.431497,NaN
1032048000,0.634744,0.432101,0.202642
1032134400,0.453552,0.438017,0.015535
1032220800,0.526503,0.443933,0.082569
1032307200,0.689983,0.449850,0.240134
1032393600,NaN,0.455766,NaN
1032480000,NaN,0.461682,NaN
1032566400,NaN,0.467598,NaN
1032652800,NaN,0.473514,NaN
1032739200,NaN,0.479431,NaN
1032825600,NaN,0.485347,NaN
1032912000,NaN,0.491263,NaN
1032998400,0.535333,0.497179,0.038153
1033084800,NaN,0.503095,NaN
1033171200,NaN,0.509012,NaN
1033257600,0.481852,0.514928,-0.033076
1033344000,NaN,0.520844,NaN
1033430400,NaN,0.526760,NaN
1033516800,NaN,0.532676,NaN
1033603200,0.678417,0.538593,0.139825
1033689600,0.482045,0.544509,-0.062464
1033776000,0.487306,0.550425,-0.063119
1033862400,NaN,0.556341,NaN
1033948800,0.375575,0.562257,-0.186683
1034035200,0.360209,0.568174,-0.207965
1034121600,NaN,0.574090,NaN
1034208000,0.384658,0.580006,-0.195348
1034294400,0.415156,0.585922,-0.170766
1034380800,0.399776,0.591838,-0.192062
1034467200,0.389551,0.597755,-0.208204
1034553600,0.327433,0.603671,-0.276238
1034640000,0.325623,0.609587,-0.283964
1034726400,0.420155,0.613792,-0.193637
1034812800,NaN,0.617997,NaN
1034899200,0.515109,0.622202,-0.107092
1034985600,0.424828,0.626406,-0.201578
1035072000,NaN,0.630611,NaN
1035158400,0.382537,0.634816,-0.252280
1035244800,0.395358,0.639021,-0.243663
1035331200,0.521742,0.643226,-0.121483
1035417600,0.370812,0.647431,-0.276619
1035504000,0.460407,0.651636,-0.191229
1035590400,0.600546,0.655840,-0.055295
1035676800,0.582412,0.660045,-0.077633
1035763200,0.437208,0.664250,-0.227042
1035849600,0.420489,0.668455,-0.247966
1035936000,0.368064,0.672660,-0.304596
1036022400,NaN,0.676865,NaN
1036108800,0.254876,0.681069,-0.426194
1036195200,NaN,0.685274,NaN
1036281600,0.451300,0.689479,-0.238180
1036368000,0.362458,0.693684,-0.331226
1036454400,NaN,0.697889,NaN
1036540800,0.416845,0.702094,-0.285248
1036627200,NaN,0.706299,NaN
1036713600,NaN,0.710503,NaN
1036800000,NaN,0.714708,NaN
1036886400,NaN,0.718913,NaN
1036972800,0.371293,0.723118,-0.351825
1037059200,0.348506,0.727323,-0.378817
1037145600,NaN,0.731528,NaN
1037232000,0.553015,0.735732,-0.182718
1037318400,NaN,0.739937,NaN
1037404800,NaN,0.736911,NaN
1037491200,NaN,0.733885,NaN
1037577600,NaN,0.730859,NaN
1037664000,NaN,0.727833,NaN
1037750400,NaN,0.724807,NaN
1037836800,NaN,0.721781,NaN
1037923200,0.882926,0.718755,0.164171
1038009600,NaN,0.715729,NaN
1038096000,0.858689,0.712703,0.145986
1038182400,0.565952,0.709677,-0.143726
1038268800,NaN,0.706651,NaN
1038355200,NaN,0.703625,NaN
1038441600,NaN,0.700599,NaN
1038528000,0.692098,0.697573,-0.005475
1038614400,0.560720,0.694547,-0.133827
1038700800,0.416888,0.691521,-0.274633
1038787200,NaN,0.688495,NaN
1038873600,0.664395,0.685469,-0.021074
1038960000,NaN,0.682443,NaN
1039046400,0.511151,0.679417,-0.168266
1039132800,NaN,0.676391,NaN
1039219200,NaN,0.673365,NaN
1039305600,NaN,0.670339,NaN
1039392000,NaN,0.667313,NaN
1039478400,0.468835,0.664287,-0.195452
1039564800,NaN,0.661261,NaN
1039651200,0.449327,0.658235,-0.208908
1039737600,NaN,0.655209,NaN
1039824000,NaN,0.652183,NaN
1039910400,NaN,0.649157,NaN
1039996800,0.600392,0.648501,-0.048109
1040083200,0.463220,0.647845,-0.184624
1040169600,0.463679,0.647188,-0.183509
1040256000,0.456764,0.646532,-0.189768
1040342400,NaN,0.645876,NaN
1040428800,0.837747,0.645220,0.192527
1040515200,0.523803,0.644564,-0.120761
1040601600,0.805112,0.643908,0.161205
1040688000,0.446842,0.643251,-0.196409
1040774400,NaN,0.642595,NaN
1040860800,0.864630,0.641939,0.222691
1040947200,NaN,0.641283,NaN
1041033600,0.668095,0.640627,0.027468
1041120000,0.652333,0.639971,0.012362
1041206400,0.411366,0.639314,-0.227948
1041292800,NaN,0.638658,NaN
1041379200,NaN,0.638002,NaN
1041465600,NaN,0.637346,NaN
1041552000,NaN,0.636690,NaN
1041638400,NaN,0.636034,NaN
1041724800,0.732234,0.635377,0.096857
1041811200,0.803351,0.634721,0.168630
1041897600,1.004755,0.634065,0.370689
1041984000,NaN,0.633409,NaN
1042070400,1.165823,0.632753,0.533070
1042156800,NaN,0.632097,NaN
1042243200,0.765214,0.631440,0.133773
1042329600,0.746390,0.630784,0.115606
1042416000,NaN,0.630128,NaN
1042502400,NaN,0.629472,NaN
1042588800,0.645731,0.628816,0.016915
