Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.366409,NaN
2002-07-05,NaN,0.367011,NaN
2002-07-06,NaN,0.367612,NaN
2002-07-07,NaN,0.368213,NaN
2002-07-08,NaN,0.368815,NaN
2002-07-09,NaN,0.369416,NaN
2002-07-10,NaN,0.370018,NaN
2002-07-11,NaN,0.370619,NaN
2002-07-12,NaN,0.371220,NaN
2002-07-13,NaN,0.371822,NaN
2002-07-15,0.204855,0.373024,-0.168169
2002-07-16,0.212663,0.374326,-0.161663
2002-07-17,NaN,0.375628,NaN
2002-07-18,NaN,0.376929,NaN
2002-07-19,NaN,0.378231,NaN
2002-07-21,NaN,0.380834,NaN
2002-07-22,0.243173,0.382135,-0.138962
2002-07-23,NaN,0.383437,NaN
2002-07-24,NaN,0.384739,NaN
2002-07-25,0.344177,0.386040,-0.041863
2002-07-26,NaN,0.387342,NaN
2002-07-27,NaN,0.388643,NaN
2002-07-28,NaN,0.389945,NaN
2002-07-29,NaN,0.391246,NaN
2002-08-07,NaN,0.402961,NaN
2002-08-09,NaN,0.405564,NaN
2002-08-10,NaN,0.406865,NaN
2002-08-11,NaN,0.408167,NaN
2002-08-12,NaN,0.409468,NaN
2002-08-13,NaN,0.410770,NaN
2002-08-14,0.377448,0.412072,-0.034624
2002-08-16,NaN,0.413977,NaN
2002-08-17,NaN,0.414581,NaN
2002-08-18,NaN,0.415186,NaN
2002-08-19,NaN,0.415790,NaN
2002-08-21,NaN,0.416998,NaN
2002-08-22,0.415551,0.417602,-0.002051
2002-08-23,0.531574,0.418206,0.113367
2002-08-25,0.549522,0.419414,0.130108
2002-08-26,NaN,0.420019,NaN
2002-08-27,NaN,0.420623,NaN
2002-08-28,NaN,0.421227,NaN
2002-08-29,0.229257,0.421831,-0.192573
2002-08-30,NaN,0.422435,NaN
2002-08-31,0.324152,0.423039,-0.098887
2002-09-02,NaN,0.424247,NaN
2002-09-03,NaN,0.424852,NaN
2002-09-04,NaN,0.425456,NaN
2002-09-06,NaN,0.426664,NaN
2002-09-07,0.692641,0.427268,0.265373
2002-09-08,NaN,0.427872,NaN
2002-09-10,NaN,0.429080,NaN
2002-09-11,NaN,0.429685,NaN
2002-09-13,NaN,0.430893,NaN
2002-09-14,NaN,0.431497,NaN
2002-09-15,0.634744,0.432101,0.202642
2002-09-16,0.453552,0.438017,0.015535
2002-09-17,0.526503,0.443933,0.082569
2002-09-18,0.689983,0.449850,0.240134
2002-09-19,NaN,0.455766,NaN
2002-09-20,NaN,0.461682,NaN
2002-09-21,NaN,0.467598,NaN
2002-09-22,NaN,0.473514,NaN
2002-09-23,NaN,0.479431,NaN
2002-09-24,NaN,0.485347,NaN
2002-09-25,NaN,0.491263,NaN
2002-09-26,0.535333,0.497179,0.038153
2002-09-27,NaN,0.503095,NaN
2002-09-28,NaN,0.509012,NaN
2002-09-29,0.481852,0.514928,-0.033076
2002-09-30,NaN,0.520844,NaN
2002-10-01,NaN,0.526760,NaN
2002-10-02,NaN,0.532676,NaN
2002-10-03,0.678417,0.538593,0.139825
2002-10-04,0.482045,0.544509,-0.062464
2002-10-05,0.487306,0.550425,-0.063119
2002-10-06,NaN,0.556341,NaN
2002-10-07,0.375575,0.562257,-0.186683
2002-10-08,0.360209,0.568174,-0.207965
2002-10-09,NaN,0.574090,NaN
2002-10-10,0.384658,0.580006,-0.195348
2002-10-11,0.415156,0.585922,-0.170766
2002-10-12,0.399776,0.591838,-0.192062
2002-10-13,0.389551,0.597755,-0.208204
2002-10-14,0.327433,0.603671,-0.276238
2002-10-15,0.325623,0.609587,-0.283964
2002-10-16,0.420155,0.613792,-0.193637
2002-10-17,NaN,0.617997,NaN
2002-10-18,0.515109,0.622202,-0.107092
2002-10-19,0.424828,0.626406,-0.201578
2002-10-20,NaN,0.630611,NaN
2002-10-21,0.382537,0.634816,-0.252280
2002-10-22,0.395358,0.639021,-0.243663
2002-10-23,0.521742,0.643226,-0.121483
2002-10-24,0.370812,0.647431,-0.276619
2002-10-25,0.460407,0.651636,-0.191229
2002-10-26,0.600546,0.655840,-0.055295
2002-10-27,0.582412,0.660045,-0.077633
2002-10-28,0.437208,0.664250,-0.227042
2002-10-29,0.420489,0.668455,-0.247966
2002-10-30,0.368064,0.672660,-0.304596
2002-10-31,NaN,0.676865,NaN
2002-11-01,0.254876,0.681069,-0.426194
2002-11-02,NaN,0.685274,NaN
2002-11-03,0.451300,0.689479,-0.238180
2002-11-04,0.362458,0.693684,-0.331226
2002-11-05,NaN,0.697889,NaN
2002-11-06,0.416845,0.702094,-0.285248
2002-11-07,NaN,0.706299,NaN
2002-11-08,NaN,0.710503,NaN
2002-11-09,NaN,0.714708,NaN
2002-11-10,NaN,0.718913,NaN
2002-11-11,0.371293,0.723118,-0.351825
2002-11-12,0.348506,0.727323,-0.378817
2002-11-13,NaN,0.731528,NaN
2002-11-14,0.553015,0.735732,-0.182718
2002-11-15,NaN,0.739937,NaN
2002-11-16,NaN,0.736911,NaN
2002-11-17,NaN,0.733885,NaN
2002-11-18,NaN,0.730859,NaN
2002-11-19,NaN,0.727833,NaN
2002-11-20,NaN,0.724807,NaN
2002-11-21,NaN,0.721781,NaN
2002-11-22,0.882926,0.718755,0.164171
2002-11-23,NaN,0.715729,NaN
2002-11-24,0.858689,0.712703,0.145986
2002-11-25,0.565952,0.709677,-0.143726
2002-11-26,NaN,0.706651,NaN
2002-11-27,NaN,0.703625,NaN
2002-11-28,NaN,0.700599,NaN
2002-11-29,0.692098,0.697573,-0.005475
2002-11-30,0.560720,0.694547,-0.133827
2002-12-01,0.416888,0.691521,-0.274633
2002-12-02,NaN,0.688495,NaN
2002-12-03,0.664395,0.685469,-0.021074
2002-12-04,NaN,0.682443,NaN
2002-12-05,0.511151,0.679417,-0.168266
2002-12-06,NaN,0.676391,NaN
2002-12-07,NaN,0.673365,NaN
2002-12-08,NaN,0.670339,NaN
2002-12-09,NaN,0.667313,NaN
2002-12-10,0.468835,0.664287,-0.195452
2002-12-11,NaN,0.661261,NaN
2002-12-12,0.449327,0.658235,-0.208908
2002-12-13,NaN,0.655209,NaN
2002-12-14,NaN,0.652183,NaN
2002-12-15,NaN,0.649157,NaN
2002-12-16,0.600392,0.648501,-0.048109
2002-12-17,0.463220,0.647845,-0.184624
2002-12-18,0.463679,0.647188,-0.183509
2002-12-19,0.456764,0.646532,-0.189768
2002-12-20,NaN,0.645876,NaN
2002-12-21,0.837747,0.645220,0.192527
2002-12-22,0.523803,0.644564,-0.120761
2002-12-23,0.805112,0.643908,0.161205
2002-12-24,0.446842,0.643251,-0.196409
2002-12-25,NaN,0.642595,NaN
2002-12-26,0.864630,0.641939,0.222691
2002-12-27,NaN,0.641283,NaN
2002-12-28,0.668095,0.640627,0.027468
2002-12-29,0.652333,0.639971,0.012362
2002-12-30,0.411366,0.639314,-0.227948
2002-12-31,NaN,0.638658,NaN
2003-01-01,NaN,0.638002,NaN
2003-01-02,NaN,0.637346,NaN
2003-01-03,NaN,0.636690,NaN
2003-01-04,NaN,0.636034,NaN
2003-01-05,0.732234,0.635377,0.096857
2003-01-06,0.803351,0.634721,0.168630
2003-01-07,1.004755,0.634065,0.370689
2003-01-08,NaN,0.633409,NaN
2003-01-09,1.165823,0.632753,0.533070
2003-01-10,NaN,0.632097,NaN
2003-01-11,0.765214,0.631440,0.133773
2003-01-12,0.746390,0.630784,0.115606
2003-01-13,NaN,0.630128,NaN
2003-01-14,NaN,0.629472,NaN
2003-01-15,0.645731,0.628816,0.016915
2003-01-16,0.494699,0.625844,-0.131145
2003-01-17,NaN,0.622872,NaN
2003-01-18,NaN,0.619900,NaN
2003-01-19,0.654776,0.616929,0.037847
2003-01-20,0.654870,0.613957,0.040913
2003-01-21,0.569426,0.610985,-0.041559
2003-01-22,0.584667,0.608013,-0.023346
2003-01-23,NaN,0.605042,NaN
2003-01-24,NaN,0.602070,NaN
2003-01-25,NaN,0.599098,NaN
2003-01-26,0.723438,0.596126,0.127311
2003-01-27,NaN,0.593155,NaN
2003-01-28,0.716815,0.590183,0.126632
2003-01-29,0.670075,0.587211,0.082864
2003-01-30,NaN,0.584239,NaN
2003-01-31,NaN,0.581267,NaN
2003-02-01,0.491483,0.578296,-0.086813
2003-02-02,0.520771,0.575324,-0.054553
2003-02-03,NaN,0.572352,NaN
2003-02-04,0.412079,0.569380,-0.157302
2003-02-05,NaN,0.566409,NaN
2003-02-06,0.380957,0.563437,-0.182480
2003-02-07,0.453613,0.560465,-0.106852
2003-02-08,0.565723,0.557493,0.008230
2003-02-09,0.691203,0.554522,0.136681
2003-02-10,0.599814,0.551550,0.048264
2003-02-11,0.607123,0.548578,0.058545
2003-02-12,0.797113,0.545606,0.251506
2003-02-13,0.758793,0.542634,0.216158
2003-02-14,0.635804,0.539663,0.096141
2003-02-15,0.622570,0.536691,0.085879
2003-02-16,0.647663,0.530125,0.117538
2003-02-17,NaN,0.523559,NaN
2003-02-18,0.643951,0.516993,0.126958
2003-02-19,0.686199,0.510427,0.175772
2003-02-20,NaN,0.503861,NaN
2003-02-21,0.594403,0.497295,0.097108
2003-02-22,0.665015,0.490729,0.174286
2003-02-23,0.540537,0.484163,0.056375
2003-02-24,0.682700,0.477597,0.205103
2003-02-25,NaN,0.471031,NaN
2003-02-26,0.571050,0.464465,0.106585
2003-02-27,NaN,0.457899,NaN
2003-02-28,0.567591,0.451333,0.116258
2003-03-01,0.578668,0.444767,0.133901
2003-03-02,0.475669,0.438201,0.037468
2003-03-03,0.530006,0.431635,0.098371
2003-03-04,0.315127,0.425069,-0.109942
2003-03-05,0.243210,0.418503,-0.175293
2003-03-06,NaN,0.411937,NaN
2003-03-07,0.278077,0.405371,-0.127294
2003-03-08,0.291018,0.398805,-0.107787
2003-03-09,0.291856,0.392239,-0.100382
2003-03-10,0.319270,0.385673,-0.066403
2003-03-11,NaN,0.379107,NaN
2003-03-12,0.334035,0.372541,-0.038505
2003-03-13,NaN,0.365975,NaN
2003-03-14,NaN,0.359409,NaN
2003-03-15,NaN,0.352843,NaN
2003-03-16,NaN,0.352347,NaN
2003-03-17,0.288651,0.351852,-0.063201
2003-03-18,NaN,0.351357,NaN
2003-03-19,0.378648,0.350862,0.027786
2003-03-20,NaN,0.350367,NaN
2003-03-21,NaN,0.349872,NaN
2003-03-22,NaN,0.349377,NaN
2003-03-23,NaN,0.348882,NaN
2003-03-24,0.351996,0.348387,0.003610
2003-03-25,0.337561,0.347891,-0.010331
2003-03-26,NaN,0.347396,NaN
2003-03-27,NaN,0.346901,NaN
2003-03-28,0.225494,0.346406,-0.120912
2003-03-29,NaN,0.345911,NaN
2003-03-30,NaN,0.345416,NaN
2003-03-31,NaN,0.344921,NaN
2003-04-01,NaN,0.344426,NaN
2003-04-02,NaN,0.343931,NaN
2003-04-03,NaN,0.343435,NaN
2003-04-04,0.753317,0.342940,0.410376
2003-04-05,0.500255,0.342445,0.157810
2003-04-06,0.590994,0.341950,0.249044
2003-04-07,0.085624,0.341455,-0.255831
2003-04-08,NaN,0.340960,NaN
2003-04-09,NaN,0.340465,NaN
2003-04-10,NaN,0.339970,NaN
2003-04-11,0.488618,0.339475,0.149144
2003-04-12,NaN,0.338980,NaN
2003-04-13,0.457427,0.338484,0.118942
2003-04-14,0.369973,0.337989,0.031983
2003-04-15,NaN,0.337494,NaN
2003-04-16,0.368788,0.337718,0.031071
2003-04-17,NaN,0.337942,NaN
2003-04-18,0.362008,0.338165,0.023843
2003-04-19,0.353381,0.338389,0.014992
2003-04-20,0.291005,0.338613,-0.047608
2003-04-21,0.414948,0.338836,0.076112
2003-04-22,0.307037,0.339060,-0.032023
2003-04-23,NaN,0.339284,NaN
2003-04-24,NaN,0.339507,NaN
2003-04-25,NaN,0.339731,NaN
2003-04-26,NaN,0.339955,NaN
2003-04-27,NaN,0.340178,NaN
2003-04-28,NaN,0.340402,NaN
2003-04-29,NaN,0.340626,NaN
2003-04-30,NaN,0.340849,NaN
2003-05-01,NaN,0.341073,NaN
2003-05-02,NaN,0.341297,NaN
2003-05-03,NaN,0.341520,NaN
2003-05-04,0.396044,0.341744,0.054300
2003-05-05,NaN,0.341967,NaN
2003-05-06,0.371914,0.342191,0.029723
2003-05-07,0.254119,0.342415,-0.088296
2003-05-08,NaN,0.342638,NaN
2003-05-09,NaN,0.342862,NaN
2003-05-10,NaN,0.343086,NaN
2003-05-11,0.371295,0.343309,0.027986
2003-05-12,0.383130,0.343533,0.039597
2003-05-13,NaN,0.343757,NaN
2003-05-14,0.363768,0.343980,0.019788
2003-05-15,0.444561,0.344204,0.100357
2003-05-16,0.415929,0.344552,0.071377
2003-05-17,NaN,0.344900,NaN
2003-05-18,0.377320,0.345247,0.032073
2003-05-19,NaN,0.345595,NaN
2003-05-20,NaN,0.345943,NaN
2003-05-21,0.386834,0.346290,0.040544
2003-05-22,0.384321,0.346638,0.037683
2003-05-23,NaN,0.346986,NaN
2003-05-24,0.173991,0.347333,-0.173342
2003-05-25,0.303995,0.347681,-0.043686
2003-05-26,NaN,0.348029,NaN
2003-05-27,NaN,0.348377,NaN
2003-05-28,NaN,0.348724,NaN
2003-05-29,0.522440,0.349072,0.173368
2003-05-30,0.081562,0.349420,-0.267858
2003-05-31,0.515612,0.349767,0.165845
2003-06-01,NaN,0.350115,NaN
2003-06-02,NaN,0.350463,NaN
2003-06-03,NaN,0.350810,NaN
2003-06-04,NaN,0.351158,NaN
2003-06-05,0.389517,0.351506,0.038011
2003-06-06,0.452085,0.351854,0.100231
2003-06-07,0.429999,0.352201,0.077798
2003-06-08,0.484531,0.352549,0.131982
