Date,Mean,Climatology,Anomaly
2002-07-04,NaN,6.444576,NaN
2002-07-05,NaN,6.469250,NaN
2002-07-06,NaN,6.493924,NaN
2002-07-07,NaN,6.518598,NaN
2002-07-08,NaN,6.543272,NaN
2002-07-09,NaN,6.567946,NaN
2002-07-10,NaN,6.592620,NaN
2002-07-11,NaN,6.617294,NaN
2002-07-12,NaN,6.641968,NaN
2002-07-13,5.977499,6.666642,-0.689143
2002-07-15,5.453300,6.715990,-1.262690
2002-07-16,7.076231,6.718378,0.357854
2002-07-17,5.126545,6.720765,-1.594220
2002-07-18,NaN,6.723153,NaN
2002-07-19,NaN,6.725541,NaN
2002-07-21,NaN,6.730317,NaN
2002-07-22,3.806293,6.732705,-2.926412
2002-07-23,NaN,6.735093,NaN
2002-07-24,NaN,6.737480,NaN
2002-07-25,NaN,6.739868,NaN
2002-07-26,NaN,6.742256,NaN
2002-07-27,NaN,6.744644,NaN
2002-07-28,NaN,6.747032,NaN
2002-07-29,NaN,6.749420,NaN
2002-08-07,NaN,6.770910,NaN
2002-08-09,3.790474,6.775686,-2.985212
2002-08-10,NaN,6.778074,NaN
2002-08-11,NaN,6.780462,NaN
2002-08-12,NaN,6.782850,NaN
2002-08-13,NaN,6.785238,NaN
2002-08-14,6.211689,6.787626,-0.575937
2002-08-16,NaN,6.772554,NaN
2002-08-17,NaN,6.755094,NaN
2002-08-18,4.611788,6.737634,-2.125846
2002-08-19,NaN,6.720174,NaN
2002-08-21,NaN,6.685255,NaN
2002-08-22,NaN,6.667795,NaN
2002-08-23,4.619277,6.650335,-2.031058
2002-08-25,4.543187,6.615415,-2.072228
2002-08-26,NaN,6.597955,NaN
2002-08-27,NaN,6.580496,NaN
2002-08-28,NaN,6.563036,NaN
2002-08-29,NaN,6.545576,NaN
2002-08-30,NaN,6.528116,NaN
2002-08-31,NaN,6.510656,NaN
2002-09-02,NaN,6.475737,NaN
2002-09-03,NaN,6.458277,NaN
2002-09-04,NaN,6.440817,NaN
2002-09-06,NaN,6.405898,NaN
2002-09-07,NaN,6.388438,NaN
2002-09-08,NaN,6.370978,NaN
2002-09-10,NaN,6.336058,NaN
2002-09-11,NaN,6.318599,NaN
2002-09-13,NaN,6.283679,NaN
2002-09-14,NaN,6.266219,NaN
2002-09-15,5.703825,6.248759,-0.544934
2002-09-16,5.303699,6.244653,-0.940954
2002-09-17,5.401303,6.240546,-0.839243
2002-09-18,4.528889,6.236439,-1.707550
2002-09-19,NaN,6.232332,NaN
2002-09-20,NaN,6.228226,NaN
2002-09-21,NaN,6.224119,NaN
2002-09-22,NaN,6.220012,NaN
2002-09-23,NaN,6.215905,NaN
2002-09-24,NaN,6.211798,NaN
2002-09-25,NaN,6.207692,NaN
2002-09-26,4.414060,6.203585,-1.789525
2002-09-27,NaN,6.199478,NaN
2002-09-28,4.262804,6.195371,-1.932568
2002-09-29,NaN,6.191265,NaN
2002-09-30,NaN,6.187158,NaN
2002-10-01,NaN,6.183051,NaN
2002-10-02,2.963932,6.178944,-3.215013
2002-10-03,3.376951,6.174838,-2.797886
2002-10-04,3.646665,6.170731,-2.524066
2002-10-05,4.369081,6.166624,-1.797543
2002-10-06,NaN,6.162517,NaN
2002-10-07,3.110878,6.158411,-3.047533
2002-10-08,NaN,6.154304,NaN
2002-10-09,4.351587,6.150197,-1.798610
2002-10-10,3.742820,6.146090,-2.403271
2002-10-11,NaN,6.141984,NaN
2002-10-12,5.132733,6.137877,-1.005144
2002-10-13,NaN,6.133770,NaN
2002-10-14,NaN,6.129663,NaN
2002-10-15,NaN,6.125557,NaN
2002-10-16,NaN,6.147337,NaN
2002-10-17,NaN,6.169117,NaN
2002-10-18,3.501258,6.190897,-2.689639
2002-10-19,4.524862,6.212677,-1.687814
2002-10-20,NaN,6.234456,NaN
2002-10-21,NaN,6.256236,NaN
2002-10-22,5.244927,6.278016,-1.033090
2002-10-23,4.573654,6.299796,-1.726142
2002-10-24,4.678402,6.321576,-1.643174
2002-10-25,3.867738,6.343356,-2.475618
2002-10-26,4.832463,6.365136,-1.532673
2002-10-27,3.197093,6.386916,-3.189823
2002-10-28,5.513614,6.408696,-0.895083
2002-10-29,NaN,6.430476,NaN
2002-10-30,6.079380,6.452256,-0.372877
2002-10-31,NaN,6.474036,NaN
2002-11-01,3.841433,6.495816,-2.654383
2002-11-02,3.737520,6.517596,-2.780076
2002-11-03,NaN,6.539376,NaN
2002-11-04,4.729505,6.561156,-1.831651
2002-11-05,NaN,6.582936,NaN
2002-11-06,4.228088,6.604716,-2.376628
2002-11-07,3.456501,6.626496,-3.169994
2002-11-08,NaN,6.648276,NaN
2002-11-09,4.424901,6.670056,-2.245155
2002-11-10,NaN,6.691836,NaN
2002-11-11,4.668954,6.713616,-2.044661
2002-11-12,3.725136,6.735396,-3.010260
2002-11-13,3.329280,6.757176,-3.427896
2002-11-14,3.229204,6.778956,-3.549752
2002-11-15,4.052600,6.800736,-2.748136
2002-11-16,NaN,6.781401,NaN
2002-11-17,NaN,6.762066,NaN
2002-11-18,3.088674,6.742731,-3.654058
2002-11-19,NaN,6.723396,NaN
2002-11-20,6.320070,6.704062,-0.383992
2002-11-21,NaN,6.684727,NaN
2002-11-22,3.367704,6.665392,-3.297688
2002-11-23,3.004184,6.646057,-3.641873
2002-11-24,3.608575,6.626722,-3.018148
2002-11-25,NaN,6.607388,NaN
2002-11-26,NaN,6.588053,NaN
2002-11-27,NaN,6.568718,NaN
2002-11-28,NaN,6.549383,NaN
2002-11-29,4.405525,6.530048,-2.124523
2002-11-30,5.358082,6.510714,-1.152632
2002-12-01,4.142158,6.491379,-2.349221
2002-12-02,NaN,6.472044,NaN
2002-12-03,4.872817,6.452709,-1.579893
2002-12-04,NaN,6.433374,NaN
2002-12-05,4.742341,6.414039,-1.671698
2002-12-06,4.963426,6.394705,-1.431279
2002-12-07,NaN,6.375370,NaN
2002-12-08,NaN,6.356035,NaN
2002-12-09,NaN,6.336700,NaN
2002-12-10,4.253643,6.317365,-2.063722
2002-12-11,NaN,6.298031,NaN
2002-12-12,4.067844,6.278696,-2.210852
2002-12-13,NaN,6.259361,NaN
2002-12-14,NaN,6.240026,NaN
2002-12-15,27.135702,6.220691,20.915011
2002-12-16,4.952560,6.194922,-1.242362
2002-12-17,4.904160,6.169152,-1.264991
2002-12-18,NaN,6.143382,NaN
2002-12-19,4.551112,6.117612,-1.566500
2002-12-20,NaN,6.091842,NaN
2002-12-21,3.242138,6.066073,-2.823934
2002-12-22,4.567300,6.040303,-1.473003
2002-12-23,NaN,6.014533,NaN
2002-12-24,5.045129,5.988763,-0.943634
2002-12-25,NaN,5.962994,NaN
2002-12-26,4.010112,5.937224,-1.927111
2002-12-27,NaN,5.911454,NaN
2002-12-28,3.673583,5.885684,-2.212101
2002-12-29,5.161944,5.859914,-0.697970
2002-12-30,NaN,5.834145,NaN
2002-12-31,NaN,5.808375,NaN
2003-01-01,NaN,5.782605,NaN
2003-01-02,NaN,5.756835,NaN
2003-01-03,NaN,5.731065,NaN
2003-01-04,3.931342,5.705296,-1.773954
2003-01-05,4.774631,5.679526,-0.904895
2003-01-06,3.575958,5.653756,-2.077798
2003-01-07,3.841907,5.627986,-1.786080
2003-01-08,3.519106,5.602216,-2.083110
2003-01-09,4.808501,5.576447,-0.767946
2003-01-10,NaN,5.550677,NaN
2003-01-11,4.959966,5.524907,-0.564941
2003-01-12,4.983327,5.499137,-0.515810
2003-01-13,NaN,5.473368,NaN
2003-01-14,NaN,5.447598,NaN
2003-01-15,3.479264,5.421828,-1.942564
2003-01-16,3.222684,5.411824,-2.189141
2003-01-17,NaN,5.401820,NaN
2003-01-18,NaN,5.391817,NaN
2003-01-19,3.964306,5.381813,-1.417507
2003-01-20,5.553835,5.371809,0.182026
2003-01-21,4.792232,5.361805,-0.569573
2003-01-22,4.788799,5.351801,-0.563002
2003-01-23,NaN,5.341798,NaN
2003-01-24,NaN,5.331794,NaN
2003-01-25,3.622745,5.321790,-1.699045
2003-01-26,NaN,5.311786,NaN
2003-01-27,3.563941,5.301783,-1.737841
2003-01-28,NaN,5.291779,NaN
2003-01-29,NaN,5.281775,NaN
2003-01-30,NaN,5.271771,NaN
2003-01-31,NaN,5.261767,NaN
