Time,mean,climatology,anomaly
1025740800,NaN,0.269275,NaN
1025827200,NaN,0.270447,NaN
1025913600,NaN,0.271619,NaN
1026000000,NaN,0.272790,NaN
1026086400,NaN,0.273962,NaN
1026172800,NaN,0.275134,NaN
1026259200,NaN,0.276305,NaN
1026345600,NaN,0.277477,NaN
1026432000,0.144292,0.278649,-0.134357
1026518400,NaN,0.279820,NaN
1026691200,NaN,0.282164,NaN
1026777600,NaN,0.278001,NaN
1026864000,0.213485,0.273838,-0.060353
1026950400,NaN,0.269675,NaN
1027036800,NaN,0.265512,NaN
1027209600,NaN,0.257187,NaN
1027296000,NaN,0.253024,NaN
1027382400,0.845492,0.248861,0.596631
1027468800,NaN,0.244698,NaN
1027555200,NaN,0.240536,NaN
1027641600,NaN,0.236373,NaN
1027728000,NaN,0.232210,NaN
1027814400,NaN,0.228047,NaN
1027900800,NaN,0.223884,NaN
1028678400,NaN,0.186419,NaN
1028851200,NaN,0.178093,NaN
1028937600,NaN,0.173931,NaN
1029024000,NaN,0.169768,NaN
1029110400,NaN,0.165605,NaN
1029196800,NaN,0.161442,NaN
1029283200,NaN,0.157279,NaN
1029456000,NaN,0.152655,NaN
1029542400,0.169355,0.152194,0.017160
1029628800,NaN,0.151733,NaN
1029715200,NaN,0.151272,NaN
1029888000,NaN,0.150349,NaN
1029974400,NaN,0.149888,NaN
1030060800,0.110065,0.149427,-0.039362
1030233600,0.151426,0.148505,0.002921
1030320000,NaN,0.148044,NaN
1030406400,NaN,0.147582,NaN
1030492800,NaN,0.147121,NaN
1030579200,NaN,0.146660,NaN
1030665600,NaN,0.146199,NaN
1030752000,NaN,0.145738,NaN
1030924800,NaN,0.144815,NaN
1031011200,NaN,0.144354,NaN
1031097600,NaN,0.143893,NaN
1031270400,NaN,0.142971,NaN
1031356800,NaN,0.142509,NaN
1031443200,NaN,0.142048,NaN
1031616000,0.199163,0.141126,0.058037
1031702400,NaN,0.140665,NaN
1031875200,NaN,0.139742,NaN
1031961600,NaN,0.139281,NaN
1032048000,NaN,0.138820,NaN
1032134400,NaN,0.140095,NaN
1032220800,0.139398,0.141370,-0.001971
1032307200,NaN,0.142645,NaN
1032393600,NaN,0.143920,NaN
1032480000,NaN,0.145195,NaN
1032566400,NaN,0.146470,NaN
1032652800,NaN,0.147745,NaN
1032739200,NaN,0.149020,NaN
1032825600,NaN,0.150295,NaN
1032912000,NaN,0.151570,NaN
1032998400,NaN,0.152845,NaN
1033084800,0.123260,0.154120,-0.030859
1033171200,NaN,0.155395,NaN
1033257600,NaN,0.156670,NaN
1033344000,NaN,0.157945,NaN
1033430400,NaN,0.159220,NaN
1033516800,NaN,0.160495,NaN
1033603200,0.119039,0.161770,-0.042730
1033689600,0.132165,0.163045,-0.030880
1033776000,NaN,0.164320,NaN
1033862400,0.102154,0.165595,-0.063441
1033948800,NaN,0.166870,NaN
1034035200,NaN,0.168145,NaN
1034121600,NaN,0.169420,NaN
1034208000,NaN,0.170695,NaN
1034294400,0.394140,0.171970,0.222170
1034380800,0.271116,0.173245,0.097872
1034467200,0.207337,0.174520,0.032817
1034553600,NaN,0.175795,NaN
1034640000,NaN,0.177070,NaN
1034726400,0.633309,0.179678,0.453631
1034812800,0.521955,0.182287,0.339668
1034899200,NaN,0.184896,NaN
1034985600,NaN,0.187504,NaN
1035072000,NaN,0.190113,NaN
1035158400,NaN,0.192722,NaN
1035244800,NaN,0.195330,NaN
1035331200,NaN,0.197939,NaN
1035417600,NaN,0.200547,NaN
1035504000,NaN,0.203156,NaN
1035590400,NaN,0.205765,NaN
1035676800,NaN,0.208373,NaN
1035763200,NaN,0.210982,NaN
1035849600,NaN,0.213591,NaN
1035936000,NaN,0.216199,NaN
1036022400,NaN,0.218808,NaN
1036108800,NaN,0.221416,NaN
1036195200,NaN,0.224025,NaN
1036281600,NaN,0.226634,NaN
1036368000,NaN,0.229242,NaN
1036454400,NaN,0.231851,NaN
1036540800,0.290780,0.234460,0.056321
1036627200,0.249805,0.237068,0.012737
1036713600,NaN,0.239677,NaN
1036800000,0.233785,0.242285,-0.008500
1036886400,NaN,0.244894,NaN
1036972800,NaN,0.247503,NaN
1037059200,0.218414,0.250111,-0.031697
1037145600,NaN,0.252720,NaN
1037232000,NaN,0.255329,NaN
1037318400,NaN,0.257937,NaN
1037404800,NaN,0.260266,NaN
1037491200,0.325543,0.262594,0.062949
1037577600,0.244587,0.264922,-0.020335
1037664000,NaN,0.267251,NaN
1037750400,NaN,0.269579,NaN
1037836800,0.266856,0.271907,-0.005052
1037923200,NaN,0.274236,NaN
1038009600,0.245287,0.276564,-0.031277
1038096000,0.141506,0.278892,-0.137387
1038182400,0.188981,0.281221,-0.092239
1038268800,NaN,0.283549,NaN
1038355200,NaN,0.285877,NaN
1038441600,NaN,0.288206,NaN
1038528000,NaN,0.290534,NaN
1038614400,NaN,0.292862,NaN
1038700800,0.255483,0.295191,-0.039708
1038787200,NaN,0.297519,NaN
1038873600,NaN,0.299847,NaN
1038960000,NaN,0.302176,NaN
1039046400,NaN,0.304504,NaN
1039132800,0.235012,0.306832,-0.071820
1039219200,NaN,0.309161,NaN
1039305600,NaN,0.311489,NaN
1039392000,NaN,0.313817,NaN
1039478400,NaN,0.316146,NaN
1039564800,NaN,0.318474,NaN
1039651200,NaN,0.320803,NaN
1039737600,0.373341,0.323131,0.050210
1039824000,0.509121,0.325459,0.183661
1039910400,0.446633,0.327788,0.118845
1039996800,0.777662,0.328869,0.448793
1040083200,0.349296,0.329951,0.019345
1040169600,NaN,0.331033,NaN
1040256000,NaN,0.332115,NaN
1040342400,0.262833,0.333196,-0.070364
1040428800,NaN,0.334278,NaN
1040515200,0.283687,0.335360,-0.051673
1040601600,NaN,0.336442,NaN
1040688000,NaN,0.337523,NaN
1040774400,NaN,0.338605,NaN
1040860800,NaN,0.339687,NaN
1040947200,NaN,0.340769,NaN
1041033600,0.320238,0.341850,-0.021612
1041120000,NaN,0.342932,NaN
1041206400,NaN,0.344014,NaN
1041292800,NaN,0.345096,NaN
1041379200,NaN,0.346177,NaN
1041465600,0.613096,0.347259,0.265837
1041552000,0.501461,0.348341,0.153120
1041638400,0.499361,0.349423,0.149938
1041724800,NaN,0.350504,NaN
1041811200,NaN,0.351586,NaN
1041897600,0.356081,0.352668,0.003413
1041984000,0.386873,0.353750,0.033123
1042070400,NaN,0.354831,NaN
1042156800,NaN,0.355913,NaN
1042243200,NaN,0.356995,NaN
1042329600,NaN,0.358077,NaN
1042416000,0.356540,0.359158,-0.002618
1042502400,NaN,0.360240,NaN
1042588800,NaN,0.361322,NaN
1042675200,NaN,0.360313,NaN
1042761600,NaN,0.359304,NaN
1042848000,0.525969,0.358296,0.167674
1042934400,0.453483,0.357287,0.096196
1043020800,0.477929,0.356278,0.121651
1043107200,NaN,0.355269,NaN
1043193600,NaN,0.354261,NaN
1043280000,NaN,0.353252,NaN
1043366400,NaN,0.352243,NaN
1043452800,NaN,0.351235,NaN
1043539200,NaN,0.350226,NaN
1043625600,NaN,0.349217,NaN
1043712000,NaN,0.348208,NaN
1043798400,0.319183,0.347200,-0.028016
1043884800,NaN,0.346191,NaN
1043971200,NaN,0.345182,NaN
1044057600,0.545610,0.344173,0.201436
1044144000,0.539347,0.343165,0.196183
1044230400,NaN,0.342156,NaN
1044316800,0.431573,0.341147,0.090426
1044403200,NaN,0.340138,NaN
1044489600,NaN,0.339130,NaN
1044576000,NaN,0.338121,NaN
1044662400,NaN,0.337112,NaN
1044748800,NaN,0.336104,NaN
1044835200,0.229285,0.335095,-0.105810
1044921600,0.304033,0.334086,-0.030053
1045008000,NaN,0.333077,NaN
1045094400,NaN,0.332069,NaN
1045180800,NaN,0.331060,NaN
1045267200,NaN,0.330051,NaN
1045353600,NaN,0.327816,NaN
1045440000,0.360886,0.325581,0.035305
1045526400,0.333469,0.323346,0.010123
1045612800,NaN,0.321110,NaN
1045699200,NaN,0.318875,NaN
1045785600,NaN,0.316640,NaN
1045872000,0.324309,0.314405,0.009904
1045958400,0.307420,0.312170,-0.004750
1046044800,NaN,0.309935,NaN
1046131200,NaN,0.307700,NaN
1046217600,NaN,0.305464,NaN
1046304000,NaN,0.303229,NaN
1046390400,NaN,0.300994,NaN
1046476800,NaN,0.298759,NaN
1046563200,NaN,0.296524,NaN
1046649600,NaN,0.294289,NaN
1046736000,NaN,0.292053,NaN
1046822400,NaN,0.289818,NaN
1046908800,NaN,0.287583,NaN
1046995200,NaN,0.285348,NaN
1047081600,NaN,0.283113,NaN
1047168000,0.292323,0.280878,0.011445
1047254400,NaN,0.278642,NaN
1047340800,NaN,0.276407,NaN
1047427200,NaN,0.274172,NaN
1047513600,NaN,0.271937,NaN
1047600000,NaN,0.269702,NaN
1047686400,NaN,0.267467,NaN
1047772800,NaN,0.265460,NaN
1047859200,0.208712,0.263454,-0.054742
1047945600,NaN,0.261447,NaN
1048032000,0.244177,0.259441,-0.015264
1048118400,NaN,0.257434,NaN
1048204800,0.197624,0.255428,-0.057804
