Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.611207,NaN
2002-07-05,NaN,0.611851,NaN
2002-07-06,NaN,0.612496,NaN
2002-07-07,0.133093,0.613141,-0.480048
2002-07-08,NaN,0.613786,NaN
2002-07-09,NaN,0.614430,NaN
2002-07-10,NaN,0.615075,NaN
2002-07-11,NaN,0.615720,NaN
2002-07-12,0.086138,0.616365,-0.530227
2002-07-13,0.625599,0.617010,0.008589
2002-07-15,0.464707,0.618299,-0.153592
2002-07-16,0.424544,0.620991,-0.196448
2002-07-17,1.794343,0.623684,1.170659
2002-07-18,NaN,0.626376,NaN
2002-07-19,NaN,0.629068,NaN
2002-07-21,NaN,0.634453,NaN
2002-07-22,0.219398,0.637145,-0.417748
2002-07-23,0.551833,0.639838,-0.088004
2002-07-24,NaN,0.642530,NaN
2002-07-25,0.241517,0.645222,-0.403705
2002-07-26,NaN,0.647915,NaN
2002-07-27,NaN,0.650607,NaN
2002-07-28,NaN,0.653299,NaN
2002-07-29,0.098864,0.655992,-0.557128
2002-08-07,0.272489,0.680223,-0.407734
2002-08-09,1.362675,0.685607,0.677067
2002-08-10,NaN,0.688300,NaN
2002-08-11,NaN,0.690992,NaN
2002-08-12,NaN,0.693684,NaN
2002-08-13,NaN,0.696377,NaN
2002-08-14,0.374646,0.699069,-0.324423
2002-08-16,NaN,0.706035,NaN
2002-08-17,0.093785,0.710308,-0.616523
2002-08-18,0.258407,0.714582,-0.456174
2002-08-19,NaN,0.718855,NaN
2002-08-21,NaN,0.727402,NaN
2002-08-22,0.616030,0.731676,-0.115645
2002-08-23,1.092328,0.735949,0.356379
2002-08-25,0.744601,0.744496,0.000105
2002-08-26,NaN,0.748770,NaN
2002-08-27,NaN,0.753043,NaN
2002-08-28,NaN,0.757316,NaN
2002-08-29,0.553621,0.761590,-0.207969
2002-08-30,NaN,0.765863,NaN
2002-08-31,0.546263,0.770137,-0.223874
2002-09-02,NaN,0.778684,NaN
2002-09-03,0.218139,0.782957,-0.564819
2002-09-04,0.088070,0.787231,-0.699160
2002-09-06,NaN,0.795778,NaN
2002-09-07,0.719371,0.800051,-0.080680
2002-09-08,0.991293,0.804325,0.186968
2002-09-10,NaN,0.812872,NaN
2002-09-11,NaN,0.817145,NaN
2002-09-13,NaN,0.825692,NaN
2002-09-14,NaN,0.829965,NaN
2002-09-15,0.997191,0.834239,0.162952
2002-09-16,0.505671,0.839906,-0.334235
2002-09-17,1.190753,0.845572,0.345181
2002-09-18,1.172416,0.851239,0.321177
2002-09-19,NaN,0.856906,NaN
2002-09-20,NaN,0.862573,NaN
2002-09-21,NaN,0.868239,NaN
2002-09-22,NaN,0.873906,NaN
2002-09-23,NaN,0.879573,NaN
2002-09-24,0.126649,0.885239,-0.758590
2002-09-25,NaN,0.890906,NaN
2002-09-26,0.448895,0.896573,-0.447678
2002-09-27,0.432022,0.902240,-0.470218
2002-09-28,1.130536,0.907906,0.222630
2002-09-29,0.447535,0.913573,-0.466038
2002-09-30,NaN,0.919240,NaN
2002-10-01,NaN,0.924906,NaN
2002-10-02,0.563444,0.930573,-0.367129
2002-10-03,1.004842,0.936240,0.068602
2002-10-04,1.263256,0.941907,0.321349
2002-10-05,1.121997,0.947573,0.174423
2002-10-06,NaN,0.953240,NaN
2002-10-07,0.681432,0.958907,-0.277474
2002-10-08,0.541051,0.964574,-0.423522
2002-10-09,1.046815,0.970240,0.076575
2002-10-10,0.426100,0.975907,-0.549807
2002-10-11,0.404680,0.981574,-0.576894
2002-10-12,0.709803,0.987240,-0.277438
2002-10-13,0.157926,0.992907,-0.834981
2002-10-14,0.395448,0.998574,-0.603126
2002-10-15,0.204355,1.004241,-0.799886
2002-10-16,0.460859,1.006240,-0.545381
2002-10-17,1.437191,1.008240,0.428951
2002-10-18,0.788898,1.010239,-0.221341
2002-10-19,0.799325,1.012239,-0.212914
2002-10-20,1.989763,1.014238,0.975524
2002-10-21,0.579037,1.016238,-0.437201
2002-10-22,0.384008,1.018238,-0.634230
2002-10-23,1.429552,1.020237,0.409315
2002-10-24,0.883412,1.022237,-0.138825
2002-10-25,0.552395,1.024236,-0.471841
2002-10-26,1.262276,1.026236,0.236041
2002-10-27,0.744704,1.028235,-0.283531
2002-10-28,0.583799,1.030235,-0.446436
2002-10-29,0.446724,1.032234,-0.585511
2002-10-30,0.488010,1.034234,-0.546224
2002-10-31,NaN,1.036234,NaN
2002-11-01,1.140219,1.038233,0.101986
2002-11-02,0.749192,1.040233,-0.291041
2002-11-03,0.872662,1.042232,-0.169570
2002-11-04,0.724996,1.044232,-0.319236
2002-11-05,1.184380,1.046231,0.138148
2002-11-06,1.017123,1.048231,-0.031108
2002-11-07,1.245965,1.050230,0.195734
2002-11-08,NaN,1.052230,NaN
2002-11-09,0.989973,1.054230,-0.064256
2002-11-10,1.047384,1.056229,-0.008846
2002-11-11,1.090953,1.058229,0.032724
2002-11-12,0.514930,1.060228,-0.545298
2002-11-13,1.369344,1.062228,0.307116
2002-11-14,0.523497,1.064227,-0.540731
2002-11-15,1.241753,1.066227,0.175526
2002-11-16,NaN,1.065624,NaN
2002-11-17,NaN,1.065021,NaN
2002-11-18,0.787965,1.064418,-0.276453
2002-11-19,0.800415,1.063814,-0.263399
2002-11-20,0.873906,1.063211,-0.189305
2002-11-21,NaN,1.062608,NaN
2002-11-22,1.180018,1.062005,0.118013
2002-11-23,0.869842,1.061402,-0.191560
2002-11-24,1.599283,1.060799,0.538484
2002-11-25,0.765144,1.060196,-0.295051
2002-11-26,NaN,1.059593,NaN
2002-11-27,0.387987,1.058989,-0.671002
2002-11-28,0.886308,1.058386,-0.172079
2002-11-29,0.834333,1.057783,-0.223450
2002-11-30,0.619954,1.057180,-0.437226
2002-12-01,1.239840,1.056577,0.183263
2002-12-02,0.619641,1.055974,-0.436333
2002-12-03,1.249322,1.055371,0.193951
2002-12-04,1.127559,1.054768,0.072792
2002-12-05,0.952163,1.054164,-0.102002
2002-12-06,0.866580,1.053561,-0.186982
2002-12-07,NaN,1.052958,NaN
2002-12-08,3.926204,1.052355,2.873849
2002-12-09,NaN,1.051752,NaN
2002-12-10,0.414597,1.051149,-0.636552
2002-12-11,NaN,1.050546,NaN
2002-12-12,0.562285,1.049943,-0.487657
2002-12-13,0.267454,1.049339,-0.781886
2002-12-14,0.237495,1.048736,-0.811242
