Time,mean,climatology,anomaly
1025740800,NaN,0.195905,NaN
1025827200,NaN,0.196595,NaN
1025913600,NaN,0.197286,NaN
1026000000,0.169805,0.197977,-0.028172
1026086400,NaN,0.198668,NaN
1026172800,NaN,0.199358,NaN
1026259200,NaN,0.200049,NaN
1026345600,NaN,0.200740,NaN
1026432000,NaN,0.201431,NaN
1026518400,NaN,0.202121,NaN
1026691200,NaN,0.203503,NaN
1026777600,NaN,0.202245,NaN
1026864000,0.143656,0.200987,-0.057331
1026950400,NaN,0.199729,NaN
1027036800,0.117179,0.198472,-0.081293
1027209600,0.122877,0.195956,-0.073079
1027296000,0.123495,0.194698,-0.071204
1027382400,0.132122,0.193440,-0.061319
1027468800,NaN,0.192182,NaN
1027555200,0.157396,0.190925,-0.033529
1027641600,NaN,0.189667,NaN
1027728000,NaN,0.188409,NaN
1027814400,0.219343,0.187151,0.032192
1027900800,NaN,0.185893,NaN
1028678400,NaN,0.174573,NaN
1028851200,NaN,0.172057,NaN
1028937600,NaN,0.170799,NaN
1029024000,NaN,0.169541,NaN
1029110400,NaN,0.168284,NaN
1029196800,NaN,0.167026,NaN
1029283200,NaN,0.165768,NaN
1029456000,NaN,0.163079,NaN
1029542400,NaN,0.161648,NaN
1029628800,NaN,0.160217,NaN
1029715200,NaN,0.158786,NaN
1029888000,NaN,0.155924,NaN
1029974400,NaN,0.154493,NaN
1030060800,0.210230,0.153062,0.057168
1030233600,NaN,0.150200,NaN
1030320000,NaN,0.148769,NaN
1030406400,NaN,0.147338,NaN
1030492800,NaN,0.145907,NaN
1030579200,NaN,0.144476,NaN
1030665600,NaN,0.143045,NaN
1030752000,NaN,0.141614,NaN
1030924800,NaN,0.138751,NaN
1031011200,NaN,0.137320,NaN
1031097600,NaN,0.135889,NaN
1031270400,NaN,0.133027,NaN
1031356800,NaN,0.131596,NaN
1031443200,NaN,0.130165,NaN
1031616000,NaN,0.127303,NaN
1031702400,NaN,0.125872,NaN
1031875200,NaN,0.123010,NaN
1031961600,NaN,0.121579,NaN
1032048000,NaN,0.120148,NaN
1032134400,NaN,0.120889,NaN
1032220800,NaN,0.121630,NaN
1032307200,NaN,0.122371,NaN
1032393600,NaN,0.123112,NaN
1032480000,NaN,0.123854,NaN
