Time,mean,climatology,anomaly
1025740800,NaN,0.240284,NaN
1025827200,NaN,0.239797,NaN
1025913600,NaN,0.239310,NaN
1026000000,0.149193,0.238823,-0.089630
1026086400,NaN,0.238336,NaN
1026172800,NaN,0.237848,NaN
1026259200,NaN,0.237361,NaN
1026345600,NaN,0.236874,NaN
1026432000,0.136428,0.236387,-0.099959
1026518400,NaN,0.235900,NaN
1026691200,NaN,0.234926,NaN
1026777600,NaN,0.231747,NaN
1026864000,NaN,0.228568,NaN
1026950400,NaN,0.225389,NaN
1027036800,NaN,0.222210,NaN
1027209600,NaN,0.215853,NaN
1027296000,0.650267,0.212674,0.437593
1027382400,0.662276,0.209495,0.452781
1027468800,NaN,0.206316,NaN
1027555200,NaN,0.203137,NaN
1027641600,NaN,0.199958,NaN
1027728000,NaN,0.196779,NaN
1027814400,NaN,0.193600,NaN
1027900800,NaN,0.190422,NaN
1028678400,NaN,0.161812,NaN
1028851200,NaN,0.155454,NaN
1028937600,NaN,0.152275,NaN
1029024000,NaN,0.149096,NaN
1029110400,NaN,0.145917,NaN
1029196800,NaN,0.142738,NaN
1029283200,NaN,0.139559,NaN
1029456000,0.134302,0.136012,-0.001710
1029542400,NaN,0.135644,NaN
1029628800,NaN,0.135276,NaN
1029715200,NaN,0.134908,NaN
1029888000,NaN,0.134172,NaN
1029974400,NaN,0.133804,NaN
1030060800,NaN,0.133436,NaN
1030233600,0.097705,0.132699,-0.034995
1030320000,NaN,0.132331,NaN
1030406400,NaN,0.131963,NaN
1030492800,NaN,0.131595,NaN
1030579200,NaN,0.131227,NaN
1030665600,NaN,0.130859,NaN
1030752000,NaN,0.130491,NaN
1030924800,NaN,0.129755,NaN
1031011200,NaN,0.129386,NaN
1031097600,NaN,0.129018,NaN
1031270400,NaN,0.128282,NaN
1031356800,NaN,0.127914,NaN
1031443200,NaN,0.127546,NaN
1031616000,NaN,0.126810,NaN
1031702400,0.197670,0.126442,0.071228
1031875200,NaN,0.125705,NaN
1031961600,NaN,0.125337,NaN
1032048000,NaN,0.124969,NaN
1032134400,NaN,0.126025,NaN
1032220800,0.128494,0.127081,0.001413
1032307200,NaN,0.128137,NaN
1032393600,NaN,0.129192,NaN
1032480000,NaN,0.130248,NaN
1032566400,NaN,0.131304,NaN
1032652800,NaN,0.132360,NaN
1032739200,NaN,0.133416,NaN
1032825600,NaN,0.134472,NaN
1032912000,NaN,0.135527,NaN
1032998400,NaN,0.136583,NaN
1033084800,0.128030,0.137639,-0.009609
1033171200,NaN,0.138695,NaN
1033257600,NaN,0.139751,NaN
1033344000,NaN,0.140806,NaN
1033430400,NaN,0.141862,NaN
1033516800,NaN,0.142918,NaN
1033603200,0.115845,0.143974,-0.028129
1033689600,0.115030,0.145030,-0.029999
1033776000,NaN,0.146086,NaN
1033862400,0.087687,0.147141,-0.059455
1033948800,NaN,0.148197,NaN
1034035200,NaN,0.149253,NaN
1034121600,NaN,0.150309,NaN
1034208000,NaN,0.151365,NaN
1034294400,NaN,0.152421,NaN
1034380800,0.263168,0.153476,0.109692
1034467200,NaN,0.154532,NaN
1034553600,NaN,0.155588,NaN
1034640000,NaN,0.156644,NaN
1034726400,0.268298,0.159424,0.108874
1034812800,0.438137,0.162205,0.275932
1034899200,NaN,0.164985,NaN
1034985600,NaN,0.167766,NaN
1035072000,NaN,0.170547,NaN
1035158400,NaN,0.173327,NaN
1035244800,NaN,0.176108,NaN
1035331200,NaN,0.178888,NaN
1035417600,NaN,0.181669,NaN
1035504000,NaN,0.184449,NaN
1035590400,NaN,0.187230,NaN
1035676800,NaN,0.190010,NaN
1035763200,NaN,0.192791,NaN
1035849600,NaN,0.195571,NaN
1035936000,NaN,0.198352,NaN
1036022400,NaN,0.201132,NaN
1036108800,NaN,0.203913,NaN
1036195200,NaN,0.206694,NaN
1036281600,NaN,0.209474,NaN
1036368000,NaN,0.212255,NaN
1036454400,NaN,0.215035,NaN
1036540800,0.279589,0.217816,0.061774
1036627200,0.226710,0.220596,0.006114
1036713600,NaN,0.223377,NaN
1036800000,0.235329,0.226157,0.009172
1036886400,NaN,0.228938,NaN
1036972800,NaN,0.231718,NaN
1037059200,0.219977,0.234499,-0.014522
1037145600,NaN,0.237280,NaN
1037232000,NaN,0.240060,NaN
1037318400,NaN,0.242841,NaN
1037404800,NaN,0.244927,NaN
1037491200,0.255557,0.247013,0.008544
1037577600,0.215281,0.249099,-0.033819
1037664000,NaN,0.251185,NaN
1037750400,NaN,0.253272,NaN
1037836800,0.276367,0.255358,0.021009
1037923200,0.321443,0.257444,0.063999
1038009600,0.223067,0.259530,-0.036463
1038096000,NaN,0.261616,NaN
1038182400,0.183008,0.263702,-0.080695
1038268800,NaN,0.265789,NaN
1038355200,NaN,0.267875,NaN
1038441600,NaN,0.269961,NaN
1038528000,NaN,0.272047,NaN
1038614400,NaN,0.274133,NaN
1038700800,NaN,0.276220,NaN
1038787200,NaN,0.278306,NaN
1038873600,NaN,0.280392,NaN
1038960000,NaN,0.282478,NaN
1039046400,NaN,0.284564,NaN
1039132800,NaN,0.286651,NaN
