Time,mean,climatology,anomaly
1025740800,NaN,0.685383,NaN
1025827200,NaN,0.684076,NaN
1025913600,NaN,0.682768,NaN
1026000000,NaN,0.681461,NaN
1026086400,NaN,0.680154,NaN
1026172800,NaN,0.678846,NaN
1026259200,NaN,0.677539,NaN
1026345600,NaN,0.676231,NaN
1026432000,NaN,0.674924,NaN
1026518400,0.586490,0.673617,-0.087126
1026691200,1.912381,0.671002,1.241379
1026777600,1.092331,0.670549,0.421782
1026864000,NaN,0.670097,NaN
1026950400,NaN,0.669644,NaN
1027036800,NaN,0.669191,NaN
1027209600,NaN,0.668286,NaN
1027296000,0.192951,0.667833,-0.474882
1027382400,NaN,0.667380,NaN
1027468800,NaN,0.666927,NaN
1027555200,NaN,0.666475,NaN
1027641600,NaN,0.666022,NaN
1027728000,NaN,0.665569,NaN
1027814400,NaN,0.665117,NaN
1027900800,0.089989,0.664664,-0.574675
1028678400,NaN,0.660589,NaN
1028851200,0.542232,0.659684,-0.117452
1028937600,NaN,0.659231,NaN
1029024000,NaN,0.658779,NaN
1029110400,NaN,0.658326,NaN
1029196800,NaN,0.657873,NaN
1029283200,0.733760,0.657420,0.076340
1029456000,NaN,0.659081,NaN
1029542400,0.092054,0.661194,-0.569140
1029628800,NaN,0.663307,NaN
1029715200,NaN,0.665420,NaN
1029888000,NaN,0.669646,NaN
1029974400,0.436449,0.671759,-0.235310
1030060800,0.076881,0.673872,-0.596991
1030233600,0.380741,0.678098,-0.297357
1030320000,NaN,0.680211,NaN
1030406400,NaN,0.682324,NaN
1030492800,NaN,0.684437,NaN
1030579200,0.688422,0.686550,0.001872
1030665600,NaN,0.688663,NaN
1030752000,NaN,0.690776,NaN
1030924800,NaN,0.695002,NaN
1031011200,NaN,0.697115,NaN
1031097600,NaN,0.699228,NaN
1031270400,NaN,0.703454,NaN
1031356800,0.156638,0.705567,-0.548929
1031443200,0.199772,0.707680,-0.507908
1031616000,NaN,0.711906,NaN
1031702400,NaN,0.714019,NaN
1031875200,NaN,0.718245,NaN
1031961600,NaN,0.720358,NaN
1032048000,0.672234,0.722471,-0.050238
1032134400,0.764790,0.718834,0.045956
1032220800,0.499337,0.715197,-0.215860
1032307200,NaN,0.711560,NaN
1032393600,NaN,0.707922,NaN
1032480000,NaN,0.704285,NaN
1032566400,NaN,0.700648,NaN
1032652800,NaN,0.697011,NaN
1032739200,NaN,0.693374,NaN
1032825600,NaN,0.689736,NaN
1032912000,NaN,0.686099,NaN
1032998400,0.124492,0.682462,-0.557970
1033084800,NaN,0.678825,NaN
1033171200,NaN,0.675188,NaN
1033257600,NaN,0.671550,NaN
