Time,mean,climatology,anomaly
1025740800,NaN,0.723298,NaN
1025827200,NaN,0.722406,NaN
1025913600,NaN,0.721513,NaN
1026000000,0.598788,0.720620,-0.121832
1026086400,NaN,0.719728,NaN
1026172800,NaN,0.718835,NaN
1026259200,NaN,0.717942,NaN
1026345600,NaN,0.717049,NaN
1026432000,NaN,0.716157,NaN
1026518400,1.367059,0.715264,0.651794
1026691200,0.620656,0.713479,-0.092823
1026777600,0.433747,0.712571,-0.278825
1026864000,NaN,0.711664,NaN
1026950400,NaN,0.710756,NaN
1027036800,NaN,0.709849,NaN
1027209600,NaN,0.708034,NaN
1027296000,0.106032,0.707126,-0.601094
1027382400,1.114648,0.706218,0.408429
1027468800,NaN,0.705311,NaN
1027555200,NaN,0.704403,NaN
1027641600,NaN,0.703496,NaN
1027728000,NaN,0.702588,NaN
1027814400,NaN,0.701681,NaN
1027900800,0.098313,0.700773,-0.602460
1028678400,NaN,0.692605,NaN
1028851200,0.231519,0.690790,-0.459272
1028937600,NaN,0.689883,NaN
1029024000,NaN,0.688975,NaN
1029110400,NaN,0.688068,NaN
1029196800,NaN,0.687160,NaN
1029283200,0.726424,0.686253,0.040171
1029456000,NaN,0.686532,NaN
1029542400,0.093673,0.687719,-0.594046
1029628800,NaN,0.688906,NaN
1029715200,NaN,0.690093,NaN
1029888000,NaN,0.692467,NaN
1029974400,0.487934,0.693655,-0.205720
1030060800,0.430894,0.694842,-0.263948
1030233600,0.468304,0.697216,-0.228912
1030320000,NaN,0.698403,NaN
1030406400,NaN,0.699590,NaN
1030492800,NaN,0.700777,NaN
1030579200,0.688422,0.701964,-0.013542
1030665600,NaN,0.703151,NaN
1030752000,0.621422,0.704338,-0.082916
1030924800,NaN,0.706712,NaN
1031011200,0.222795,0.707899,-0.485104
1031097600,NaN,0.709086,NaN
1031270400,NaN,0.711460,NaN
1031356800,0.195408,0.712648,-0.517239
1031443200,0.743120,0.713835,0.029286
1031616000,NaN,0.716209,NaN
1031702400,NaN,0.717396,NaN
1031875200,NaN,0.719770,NaN
1031961600,NaN,0.720957,NaN
1032048000,0.788642,0.722144,0.066498
1032134400,0.864388,0.720451,0.143937
1032220800,0.744431,0.718757,0.025674
1032307200,NaN,0.717064,NaN
1032393600,NaN,0.715370,NaN
1032480000,NaN,0.713677,NaN
1032566400,NaN,0.711984,NaN
1032652800,NaN,0.710290,NaN
1032739200,NaN,0.708597,NaN
1032825600,0.114285,0.706904,-0.592618
1032912000,NaN,0.705210,NaN
1032998400,0.136013,0.703517,-0.567504
1033084800,NaN,0.701823,NaN
1033171200,0.547044,0.700130,-0.153086
1033257600,0.079368,0.698437,-0.619068
1033344000,NaN,0.696743,NaN
1033430400,NaN,0.695050,NaN
1033516800,0.090470,0.693357,-0.602886
1033603200,0.567278,0.691663,-0.124385
1033689600,0.096276,0.689970,-0.593694
1033776000,0.721016,0.688276,0.032739
1033862400,NaN,0.686583,NaN
1033948800,0.618291,0.684890,-0.066599
1034035200,0.571801,0.683196,-0.111396
1034121600,0.719242,0.681503,0.037739
1034208000,0.549853,0.679810,-0.129957
1034294400,0.519926,0.678116,-0.158190
1034380800,0.693354,0.676423,0.016931
1034467200,NaN,0.674729,NaN
1034553600,NaN,0.673036,NaN
1034640000,0.229055,0.671343,-0.442288
1034726400,0.171111,0.673639,-0.502528
1034812800,0.743580,0.675935,0.067645
1034899200,0.619267,0.678232,-0.058965
1034985600,0.621426,0.680528,-0.059102
1035072000,NaN,0.682825,NaN
1035158400,0.547521,0.685121,-0.137600
1035244800,0.129191,0.687417,-0.558226
1035331200,0.471452,0.689714,-0.218262
1035417600,0.447876,0.692010,-0.244134
1035504000,0.108734,0.694306,-0.585572
1035590400,0.467760,0.696603,-0.228843
1035676800,0.533028,0.698899,-0.165871
1035763200,0.408717,0.701196,-0.292479
1035849600,NaN,0.703492,NaN
1035936000,0.493659,0.705788,-0.212130
1036022400,NaN,0.708085,NaN
1036108800,0.602906,0.710381,-0.107475
1036195200,0.577269,0.712678,-0.135408
1036281600,0.176587,0.714974,-0.538387
1036368000,0.627785,0.717270,-0.089486
1036454400,0.592944,0.719567,-0.126622
1036540800,0.684770,0.721863,-0.037093
1036627200,0.873937,0.724160,0.149777
1036713600,NaN,0.726456,NaN
1036800000,0.593709,0.728752,-0.135043
1036886400,0.573460,0.731049,-0.157589
1036972800,0.560093,0.733345,-0.173252
1037059200,0.574860,0.735641,-0.160782
1037145600,0.780947,0.737938,0.043009
1037232000,NaN,0.740234,NaN
1037318400,NaN,0.742531,NaN
1037404800,NaN,0.742718,NaN
1037491200,NaN,0.742905,NaN
1037577600,0.741640,0.743092,-0.001452
1037664000,NaN,0.743279,NaN
1037750400,0.941100,0.743466,0.197635
1037836800,NaN,0.743653,NaN
1037923200,0.771391,0.743840,0.027551
1038009600,0.580860,0.744027,-0.163166
1038096000,0.653078,0.744214,-0.091136
1038182400,NaN,0.744401,NaN
1038268800,NaN,0.744588,NaN
1038355200,0.235822,0.744775,-0.508952
1038441600,NaN,0.744962,NaN
1038528000,0.711086,0.745149,-0.034062
1038614400,NaN,0.745336,NaN
1038700800,0.755433,0.745523,0.009911
1038787200,0.422410,0.745710,-0.323300
1038873600,0.818328,0.745897,0.072431
1038960000,0.257082,0.746084,-0.489002
1039046400,0.952163,0.746271,0.205892
1039132800,0.835274,0.746458,0.088817
1039219200,NaN,0.746645,NaN
1039305600,NaN,0.746832,NaN
1039392000,NaN,0.747019,NaN
1039478400,0.269593,0.747206,-0.477613
1039564800,NaN,0.747393,NaN
1039651200,0.662955,0.747580,-0.084625
1039737600,NaN,0.747767,NaN
1039824000,NaN,0.747954,NaN
1039910400,NaN,0.748141,NaN
