Time,mean,climatology,anomaly
1025740800,NaN,0.414619,NaN
1025827200,NaN,0.398721,NaN
1025913600,NaN,0.382824,NaN
1026000000,NaN,0.366926,NaN
1026086400,NaN,0.351028,NaN
1026172800,NaN,0.335131,NaN
1026259200,NaN,0.319233,NaN
1026345600,NaN,0.303335,NaN
1026432000,NaN,0.287438,NaN
1026518400,0.211005,0.271540,-0.060535
1026691200,0.136797,0.239745,-0.102948
1026777600,0.166992,0.241697,-0.074704
1026864000,0.161070,0.243649,-0.082579
1026950400,NaN,0.245601,NaN
1027036800,NaN,0.247553,NaN
1027209600,NaN,0.251457,NaN
1027296000,NaN,0.253409,NaN
1027382400,NaN,0.255362,NaN
1027468800,NaN,0.257314,NaN
1027555200,NaN,0.259266,NaN
1027641600,NaN,0.261218,NaN
1027728000,NaN,0.263170,NaN
1027814400,NaN,0.265122,NaN
1027900800,NaN,0.267074,NaN
1028678400,NaN,0.284643,NaN
1028851200,0.110553,0.288548,-0.177995
1028937600,NaN,0.290500,NaN
1029024000,NaN,0.292452,NaN
1029110400,NaN,0.294404,NaN
1029196800,NaN,0.296356,NaN
1029283200,NaN,0.298308,NaN
1029456000,0.383451,0.304959,0.078492
1029542400,NaN,0.309657,NaN
1029628800,0.510826,0.314355,0.196470
1029715200,NaN,0.319054,NaN
1029888000,NaN,0.328451,NaN
1029974400,NaN,0.333149,NaN
1030060800,0.106766,0.337847,-0.231081
1030233600,0.538181,0.347244,0.190937
1030320000,NaN,0.351942,NaN
1030406400,NaN,0.356641,NaN
1030492800,NaN,0.361339,NaN
1030579200,NaN,0.366037,NaN
1030665600,NaN,0.370736,NaN
1030752000,NaN,0.375434,NaN
1030924800,NaN,0.384831,NaN
1031011200,NaN,0.389529,NaN
1031097600,NaN,0.394228,NaN
1031270400,NaN,0.403624,NaN
1031356800,NaN,0.408323,NaN
1031443200,NaN,0.413021,NaN
1031616000,NaN,0.422418,NaN
1031702400,NaN,0.427116,NaN
1031875200,NaN,0.436513,NaN
1031961600,NaN,0.441211,NaN
1032048000,NaN,0.445910,NaN
1032134400,1.065131,0.446221,0.618910
1032220800,0.585773,0.446533,0.139240
1032307200,NaN,0.446844,NaN
1032393600,NaN,0.447156,NaN
1032480000,NaN,0.447467,NaN
1032566400,NaN,0.447779,NaN
1032652800,NaN,0.448090,NaN
1032739200,NaN,0.448402,NaN
1032825600,0.213670,0.448713,-0.235043
1032912000,NaN,0.449025,NaN
1032998400,0.366739,0.449336,-0.082597
1033084800,NaN,0.449648,NaN
1033171200,0.474079,0.449959,0.024120
1033257600,0.100374,0.450271,-0.349896
1033344000,NaN,0.450582,NaN
1033430400,NaN,0.450894,NaN
1033516800,0.106377,0.451205,-0.344828
1033603200,NaN,0.451517,NaN
1033689600,0.240836,0.451828,-0.210992
1033776000,NaN,0.452140,NaN
1033862400,0.097649,0.452451,-0.354802
1033948800,0.236141,0.452763,-0.216622
1034035200,NaN,0.453074,NaN
1034121600,0.759580,0.453386,0.306195
1034208000,NaN,0.453697,NaN
1034294400,0.312194,0.454009,-0.141814
1034380800,0.790740,0.454320,0.336420
1034467200,0.160936,0.454632,-0.293696
1034553600,0.100008,0.454943,-0.354936
1034640000,NaN,0.455255,NaN
1034726400,NaN,0.454027,NaN
1034812800,NaN,0.452799,NaN
1034899200,NaN,0.451571,NaN
1034985600,0.238127,0.450343,-0.212217
1035072000,NaN,0.449115,NaN
1035158400,NaN,0.447887,NaN
1035244800,NaN,0.446660,NaN
1035331200,0.201898,0.445432,-0.243534
1035417600,0.216521,0.444204,-0.227683
1035504000,0.364132,0.442976,-0.078843
