Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.285336,NaN
2002-07-05,NaN,0.287510,NaN
2002-07-06,NaN,0.289684,NaN
2002-07-07,NaN,0.291859,NaN
2002-07-08,NaN,0.294033,NaN
2002-07-09,NaN,0.296207,NaN
2002-07-10,NaN,0.298382,NaN
2002-07-11,NaN,0.300556,NaN
2002-07-12,NaN,0.302730,NaN
2002-07-13,NaN,0.304904,NaN
2002-07-15,NaN,0.309253,NaN
2002-07-16,NaN,0.304981,NaN
2002-07-17,0.179792,0.300709,-0.120917
2002-07-18,NaN,0.296437,NaN
2002-07-19,NaN,0.292166,NaN
2002-07-21,0.413927,0.283622,0.130306
2002-07-22,NaN,0.279350,NaN
2002-07-23,0.650116,0.275078,0.375038
2002-07-24,NaN,0.270806,NaN
2002-07-25,NaN,0.266534,NaN
2002-07-26,NaN,0.262263,NaN
2002-07-27,NaN,0.257991,NaN
2002-07-28,NaN,0.253719,NaN
2002-07-29,NaN,0.249447,NaN
2002-08-07,NaN,0.211000,NaN
2002-08-09,NaN,0.202456,NaN
2002-08-10,NaN,0.198185,NaN
2002-08-11,NaN,0.193913,NaN
2002-08-12,NaN,0.189641,NaN
2002-08-13,NaN,0.185369,NaN
2002-08-14,NaN,0.181097,NaN
2002-08-16,0.162961,0.176027,-0.013066
2002-08-17,0.165421,0.175229,-0.009808
2002-08-18,NaN,0.174431,NaN
2002-08-19,NaN,0.173633,NaN
2002-08-21,NaN,0.172037,NaN
2002-08-22,NaN,0.171239,NaN
2002-08-23,0.126741,0.170441,-0.043700
2002-08-25,0.258102,0.168845,0.089257
2002-08-26,NaN,0.168047,NaN
2002-08-27,NaN,0.167249,NaN
2002-08-28,NaN,0.166451,NaN
2002-08-29,NaN,0.165653,NaN
2002-08-30,NaN,0.164854,NaN
2002-08-31,NaN,0.164056,NaN
2002-09-02,NaN,0.162460,NaN
2002-09-03,NaN,0.161662,NaN
2002-09-04,NaN,0.160864,NaN
2002-09-06,NaN,0.159268,NaN
2002-09-07,NaN,0.158470,NaN
2002-09-08,NaN,0.157672,NaN
2002-09-10,0.171877,0.156076,0.015802
2002-09-11,0.201055,0.155278,0.045777
2002-09-13,NaN,0.153682,NaN
2002-09-14,NaN,0.152884,NaN
2002-09-15,NaN,0.152086,NaN
2002-09-16,NaN,0.152850,NaN
2002-09-17,0.161546,0.153615,0.007931
2002-09-18,0.157458,0.154380,0.003078
2002-09-19,NaN,0.155145,NaN
2002-09-20,NaN,0.155910,NaN
2002-09-21,NaN,0.156675,NaN
2002-09-22,NaN,0.157440,NaN
2002-09-23,NaN,0.158205,NaN
2002-09-24,NaN,0.158969,NaN
2002-09-25,NaN,0.159734,NaN
2002-09-26,NaN,0.160499,NaN
2002-09-27,0.127701,0.161264,-0.033563
2002-09-28,NaN,0.162029,NaN
2002-09-29,NaN,0.162794,NaN
2002-09-30,NaN,0.163559,NaN
2002-10-01,NaN,0.164323,NaN
2002-10-02,NaN,0.165088,NaN
2002-10-03,0.125979,0.165853,-0.039874
2002-10-04,0.133152,0.166618,-0.033466
2002-10-05,NaN,0.167383,NaN
2002-10-06,0.148328,0.168148,-0.019820
2002-10-07,NaN,0.168913,NaN
2002-10-08,NaN,0.169678,NaN
2002-10-09,NaN,0.170442,NaN
2002-10-10,NaN,0.171207,NaN
2002-10-11,0.404663,0.171972,0.232691
2002-10-12,0.271865,0.172737,0.099128
2002-10-13,0.431659,0.173502,0.258157
2002-10-14,NaN,0.174267,NaN
2002-10-15,NaN,0.175032,NaN
2002-10-16,0.696572,0.177949,0.518623
2002-10-17,0.513602,0.180866,0.332736
2002-10-18,NaN,0.183783,NaN
2002-10-19,NaN,0.186701,NaN
2002-10-20,NaN,0.189618,NaN
2002-10-21,NaN,0.192535,NaN
2002-10-22,NaN,0.195452,NaN
2002-10-23,NaN,0.198370,NaN
2002-10-24,NaN,0.201287,NaN
2002-10-25,NaN,0.204204,NaN
2002-10-26,NaN,0.207121,NaN
2002-10-27,NaN,0.210039,NaN
2002-10-28,NaN,0.212956,NaN
2002-10-29,NaN,0.215873,NaN
2002-10-30,NaN,0.218790,NaN
2002-10-31,NaN,0.221708,NaN
2002-11-01,NaN,0.224625,NaN
2002-11-02,NaN,0.227542,NaN
2002-11-03,NaN,0.230459,NaN
2002-11-04,NaN,0.233377,NaN
2002-11-05,NaN,0.236294,NaN
2002-11-06,0.317335,0.239211,0.078124
2002-11-07,0.296370,0.242128,0.054242
2002-11-08,NaN,0.245046,NaN
2002-11-09,0.229518,0.247963,-0.018445
2002-11-10,NaN,0.250880,NaN
2002-11-11,NaN,0.253797,NaN
2002-11-12,0.221025,0.256715,-0.035690
2002-11-13,0.251669,0.259632,-0.007963
2002-11-14,NaN,0.262549,NaN
2002-11-15,NaN,0.265466,NaN
2002-11-16,NaN,0.268787,NaN
2002-11-17,0.280968,0.272107,0.008860
2002-11-18,0.246564,0.275428,-0.028864
2002-11-19,NaN,0.278748,NaN
2002-11-20,NaN,0.282069,NaN
2002-11-21,0.270590,0.285389,-0.014799
2002-11-22,NaN,0.288709,NaN
2002-11-23,NaN,0.292030,NaN
2002-11-24,NaN,0.295350,NaN
2002-11-25,0.227506,0.298671,-0.071165
2002-11-26,NaN,0.301991,NaN
2002-11-27,NaN,0.305312,NaN
2002-11-28,NaN,0.308632,NaN
2002-11-29,NaN,0.311953,NaN
2002-11-30,NaN,0.315273,NaN
2002-12-01,NaN,0.318593,NaN
2002-12-02,NaN,0.321914,NaN
2002-12-03,NaN,0.325234,NaN
2002-12-04,NaN,0.328555,NaN
2002-12-05,NaN,0.331875,NaN
2002-12-06,0.224977,0.335196,-0.110219
2002-12-07,NaN,0.338516,NaN
2002-12-08,NaN,0.341837,NaN
2002-12-09,NaN,0.345157,NaN
2002-12-10,NaN,0.348478,NaN
2002-12-11,NaN,0.351798,NaN
2002-12-12,NaN,0.355118,NaN
2002-12-13,0.399126,0.358439,0.040687
2002-12-14,0.464625,0.361759,0.102866
2002-12-15,0.429976,0.365080,0.064896
2002-12-16,NaN,0.366101,NaN
2002-12-17,NaN,0.367121,NaN
2002-12-18,NaN,0.368142,NaN
2002-12-19,NaN,0.369163,NaN
2002-12-20,0.346600,0.370183,-0.023584
2002-12-21,NaN,0.371204,NaN
2002-12-22,NaN,0.372225,NaN
2002-12-23,NaN,0.373246,NaN
2002-12-24,NaN,0.374266,NaN
2002-12-25,NaN,0.375287,NaN
2002-12-26,NaN,0.376308,NaN
2002-12-27,NaN,0.377328,NaN
2002-12-28,NaN,0.378349,NaN
2002-12-29,0.361187,0.379370,-0.018183
2002-12-30,NaN,0.380391,NaN
2002-12-31,NaN,0.381411,NaN
2003-01-01,NaN,0.382432,NaN
2003-01-02,NaN,0.383453,NaN
2003-01-03,0.689015,0.384474,0.304541
2003-01-04,0.620133,0.385494,0.234639
2003-01-05,NaN,0.386515,NaN
2003-01-06,NaN,0.387536,NaN
2003-01-07,NaN,0.388556,NaN
2003-01-08,0.367938,0.389577,-0.021639
2003-01-09,NaN,0.390598,NaN
2003-01-10,NaN,0.391619,NaN
2003-01-11,NaN,0.392639,NaN
2003-01-12,NaN,0.393660,NaN
2003-01-13,0.360884,0.394681,-0.033797
2003-01-14,NaN,0.395701,NaN
2003-01-15,NaN,0.396722,NaN
2003-01-16,NaN,0.395836,NaN
2003-01-17,NaN,0.394949,NaN
2003-01-18,NaN,0.394062,NaN
2003-01-19,0.522130,0.393176,0.128955
2003-01-20,0.585160,0.392289,0.192871
2003-01-21,NaN,0.391402,NaN
2003-01-22,NaN,0.390516,NaN
2003-01-23,NaN,0.389629,NaN
2003-01-24,NaN,0.388742,NaN
2003-01-25,NaN,0.387856,NaN
2003-01-26,NaN,0.386969,NaN
2003-01-27,NaN,0.386082,NaN
2003-01-28,NaN,0.385195,NaN
2003-01-29,0.393693,0.384309,0.009384
2003-01-30,NaN,0.383422,NaN
2003-01-31,NaN,0.382535,NaN
2003-02-01,0.684235,0.381649,0.302586
2003-02-02,0.441464,0.380762,0.060702
2003-02-03,NaN,0.379875,NaN
2003-02-04,0.477304,0.378989,0.098316
2003-02-05,NaN,0.378102,NaN
2003-02-06,NaN,0.377215,NaN
