Time,mean,climatology,anomaly
1025740800,NaN,0.154667,NaN
1025827200,NaN,0.155868,NaN
1025913600,NaN,0.157069,NaN
1026000000,NaN,0.158270,NaN
1026086400,NaN,0.159472,NaN
1026172800,NaN,0.160673,NaN
1026259200,NaN,0.161874,NaN
1026345600,NaN,0.163075,NaN
1026432000,NaN,0.164276,NaN
1026518400,0.137958,0.165478,-0.027519
1026691200,0.093286,0.167880,-0.074594
1026777600,0.097294,0.169707,-0.072413
1026864000,0.112258,0.171535,-0.059277
1026950400,NaN,0.173362,NaN
1027036800,NaN,0.175190,NaN
1027209600,NaN,0.178845,NaN
1027296000,NaN,0.180672,NaN
1027382400,NaN,0.182500,NaN
1027468800,0.080940,0.184327,-0.103387
1027555200,NaN,0.186155,NaN
1027641600,NaN,0.187982,NaN
1027728000,NaN,0.189810,NaN
1027814400,NaN,0.191637,NaN
1027900800,NaN,0.193465,NaN
1028678400,NaN,0.209912,NaN
1028851200,0.186590,0.213567,-0.026978
1028937600,NaN,0.215395,NaN
1029024000,NaN,0.217222,NaN
1029110400,NaN,0.219050,NaN
1029196800,NaN,0.220877,NaN
1029283200,NaN,0.222705,NaN
1029456000,NaN,0.224465,NaN
1029542400,NaN,0.224399,NaN
1029628800,0.112023,0.224332,-0.112309
1029715200,NaN,0.224265,NaN
1029888000,NaN,0.224131,NaN
1029974400,NaN,0.224064,NaN
1030060800,NaN,0.223997,NaN
1030233600,0.111900,0.223863,-0.111963
1030320000,NaN,0.223796,NaN
1030406400,NaN,0.223729,NaN
1030492800,NaN,0.223662,NaN
1030579200,NaN,0.223595,NaN
1030665600,NaN,0.223528,NaN
1030752000,NaN,0.223461,NaN
1030924800,NaN,0.223328,NaN
1031011200,NaN,0.223261,NaN
1031097600,NaN,0.223194,NaN
1031270400,NaN,0.223060,NaN
1031356800,NaN,0.222993,NaN
1031443200,0.184594,0.222926,-0.038332
1031616000,0.103060,0.222792,-0.119733
1031702400,NaN,0.222725,NaN
1031875200,NaN,0.222591,NaN
