Time,mean,climatology,anomaly
1025740800,NaN,0.218949,NaN
1025827200,NaN,0.221512,NaN
1025913600,NaN,0.224075,NaN
1026000000,0.102892,0.226639,-0.123747
1026086400,NaN,0.229202,NaN
1026172800,0.120065,0.231765,-0.111699
1026259200,NaN,0.234328,NaN
1026345600,NaN,0.236891,NaN
1026432000,NaN,0.239454,NaN
1026518400,NaN,0.242017,NaN
1026691200,0.133026,0.247143,-0.114117
1026777600,NaN,0.246085,NaN
1026864000,0.136565,0.245026,-0.108461
1026950400,NaN,0.243967,NaN
1027036800,0.116348,0.242909,-0.126561
1027209600,NaN,0.240791,NaN
1027296000,0.106267,0.239733,-0.133466
1027382400,0.109649,0.238674,-0.129025
1027468800,NaN,0.237615,NaN
1027555200,NaN,0.236557,NaN
1027641600,NaN,0.235498,NaN
1027728000,NaN,0.234439,NaN
1027814400,NaN,0.233381,NaN
1027900800,NaN,0.232322,NaN
1028678400,NaN,0.222794,NaN
1028851200,NaN,0.220676,NaN
1028937600,NaN,0.219618,NaN
1029024000,NaN,0.218559,NaN
1029110400,NaN,0.217500,NaN
1029196800,NaN,0.216442,NaN
1029283200,NaN,0.215383,NaN
1029456000,NaN,0.212049,NaN
1029542400,NaN,0.209775,NaN
1029628800,NaN,0.207500,NaN
1029715200,NaN,0.205225,NaN
1029888000,NaN,0.200676,NaN
1029974400,NaN,0.198401,NaN
1030060800,0.193556,0.196126,-0.002570
1030233600,0.157947,0.191577,-0.033630
1030320000,NaN,0.189302,NaN
1030406400,NaN,0.187027,NaN
1030492800,NaN,0.184753,NaN
1030579200,NaN,0.182478,NaN
1030665600,NaN,0.180203,NaN
1030752000,NaN,0.177929,NaN
1030924800,NaN,0.173379,NaN
1031011200,NaN,0.171104,NaN
1031097600,NaN,0.168830,NaN
1031270400,NaN,0.164280,NaN
1031356800,NaN,0.162005,NaN
1031443200,NaN,0.159731,NaN
1031616000,NaN,0.155181,NaN
1031702400,0.146887,0.152907,-0.006020
1031875200,NaN,0.148357,NaN
1031961600,NaN,0.146082,NaN
1032048000,NaN,0.143808,NaN
1032134400,NaN,0.144442,NaN
1032220800,0.133065,0.145077,-0.012012
1032307200,0.122760,0.145711,-0.022952
1032393600,NaN,0.146346,NaN
1032480000,NaN,0.146980,NaN
1032566400,NaN,0.147615,NaN
1032652800,NaN,0.148249,NaN
1032739200,NaN,0.148884,NaN
1032825600,NaN,0.149518,NaN
1032912000,NaN,0.150153,NaN
1032998400,NaN,0.150788,NaN
1033084800,0.127060,0.151422,-0.024362
1033171200,0.094525,0.152057,-0.057532
1033257600,NaN,0.152691,NaN
1033344000,NaN,0.153326,NaN
1033430400,NaN,0.153960,NaN
1033516800,NaN,0.154595,NaN
1033603200,NaN,0.155229,NaN
1033689600,0.177489,0.155864,0.021625
1033776000,NaN,0.156498,NaN
1033862400,0.727344,0.157133,0.570211
1033948800,0.840463,0.157767,0.682696
1034035200,NaN,0.158402,NaN
1034121600,NaN,0.159036,NaN
1034208000,NaN,0.159671,NaN
1034294400,NaN,0.160306,NaN
1034380800,NaN,0.160940,NaN
1034467200,NaN,0.161575,NaN
1034553600,NaN,0.162209,NaN
1034640000,NaN,0.162844,NaN
1034726400,0.209324,0.164607,0.044717
1034812800,0.174029,0.166370,0.007660
1034899200,NaN,0.168132,NaN
1034985600,NaN,0.169895,NaN
1035072000,0.169928,0.171658,-0.001731
1035158400,NaN,0.173421,NaN
1035244800,NaN,0.175184,NaN
1035331200,NaN,0.176947,NaN
1035417600,NaN,0.178710,NaN
1035504000,NaN,0.180473,NaN
1035590400,NaN,0.182236,NaN
1035676800,NaN,0.183999,NaN
1035763200,NaN,0.185762,NaN
