Time,mean,climatology,anomaly
1025740800,NaN,0.415509,NaN
1025827200,NaN,0.415509,NaN
1025913600,NaN,0.415509,NaN
1026000000,NaN,0.415509,NaN
1026086400,NaN,0.415509,NaN
1026172800,NaN,0.415510,NaN
1026259200,NaN,0.415510,NaN
1026345600,NaN,0.415510,NaN
1026432000,NaN,0.415510,NaN
1026518400,0.211761,0.415510,-0.203749
1026691200,1.111550,0.415511,0.696039
1026777600,0.454126,0.418808,0.035318
1026864000,0.506462,0.422105,0.084357
1026950400,NaN,0.425403,NaN
1027036800,NaN,0.428700,NaN
1027209600,NaN,0.435294,NaN
1027296000,0.437146,0.438592,-0.001445
1027382400,0.137211,0.441889,-0.304677
1027468800,NaN,0.445186,NaN
1027555200,NaN,0.448483,NaN
1027641600,NaN,0.451781,NaN
1027728000,NaN,0.455078,NaN
1027814400,NaN,0.458375,NaN
1027900800,NaN,0.461672,NaN
1028678400,NaN,0.491348,NaN
1028851200,NaN,0.497942,NaN
1028937600,NaN,0.501240,NaN
1029024000,NaN,0.504537,NaN
1029110400,NaN,0.507834,NaN
1029196800,NaN,0.511132,NaN
1029283200,0.091445,0.514429,-0.422984
1029456000,NaN,0.519233,NaN
1029542400,NaN,0.520739,NaN
1029628800,NaN,0.522246,NaN
1029715200,NaN,0.523752,NaN
1029888000,NaN,0.526765,NaN
1029974400,NaN,0.528271,NaN
1030060800,0.078397,0.529778,-0.451381
1030233600,NaN,0.532791,NaN
1030320000,NaN,0.534297,NaN
1030406400,NaN,0.535804,NaN
1030492800,NaN,0.537310,NaN
1030579200,NaN,0.538817,NaN
1030665600,NaN,0.540323,NaN
1030752000,0.968626,0.541830,0.426797
1030924800,NaN,0.544843,NaN
1031011200,0.064356,0.546349,-0.481993
1031097600,NaN,0.547856,NaN
1031270400,NaN,0.550869,NaN
1031356800,NaN,0.552375,NaN
1031443200,NaN,0.553882,NaN
1031616000,NaN,0.556895,NaN
1031702400,NaN,0.558401,NaN
1031875200,NaN,0.561414,NaN
1031961600,NaN,0.562921,NaN
1032048000,0.255523,0.564427,-0.308904
1032134400,NaN,0.559632,NaN
1032220800,0.299772,0.554837,-0.255065
1032307200,NaN,0.550041,NaN
1032393600,NaN,0.545246,NaN
1032480000,NaN,0.540451,NaN
1032566400,NaN,0.535656,NaN
1032652800,NaN,0.530860,NaN
