Date,Mean,Climatology,Anomaly
2002-07-04,NaN,4.390871,NaN
2002-07-05,NaN,4.421720,NaN
2002-07-06,NaN,4.452569,NaN
2002-07-07,NaN,4.483418,NaN
2002-07-08,NaN,4.514267,NaN
2002-07-09,NaN,4.545116,NaN
2002-07-10,NaN,4.575965,NaN
2002-07-11,NaN,4.606815,NaN
2002-07-12,NaN,4.637664,NaN
2002-07-13,NaN,4.668513,NaN
2002-07-15,8.656523,4.730211,3.926312
2002-07-16,NaN,4.732322,NaN
2002-07-17,NaN,4.734432,NaN
2002-07-18,NaN,4.736543,NaN
2002-07-19,NaN,4.738654,NaN
2002-07-21,NaN,4.742876,NaN
2002-07-22,NaN,4.744987,NaN
2002-07-23,NaN,4.747098,NaN
2002-07-24,NaN,4.749208,NaN
2002-07-25,NaN,4.751319,NaN
2002-07-26,NaN,4.753430,NaN
2002-07-27,NaN,4.755541,NaN
2002-07-28,NaN,4.757652,NaN
2002-07-29,NaN,4.759763,NaN
2002-08-07,NaN,4.778760,NaN
2002-08-09,NaN,4.782982,NaN
2002-08-10,NaN,4.785093,NaN
2002-08-11,NaN,4.787203,NaN
2002-08-12,NaN,4.789314,NaN
2002-08-13,NaN,4.791425,NaN
2002-08-14,NaN,4.793536,NaN
2002-08-16,5.809447,4.835652,0.973795
2002-08-17,NaN,4.875656,NaN
2002-08-18,NaN,4.915661,NaN
2002-08-19,NaN,4.955666,NaN
2002-08-21,NaN,5.035675,NaN
2002-08-22,6.306729,5.075680,1.231049
2002-08-23,9.774562,5.115685,4.658877
2002-08-25,7.692912,5.195695,2.497218
2002-08-26,NaN,5.235699,NaN
2002-08-27,NaN,5.275704,NaN
2002-08-28,NaN,5.315709,NaN
2002-08-29,NaN,5.355714,NaN
2002-08-30,NaN,5.395718,NaN
2002-08-31,NaN,5.435723,NaN
2002-09-02,NaN,5.515733,NaN
2002-09-03,NaN,5.555738,NaN
2002-09-04,NaN,5.595742,NaN
2002-09-06,NaN,5.675752,NaN
2002-09-07,4.893843,5.715757,-0.821914
2002-09-08,NaN,5.755762,NaN
2002-09-10,NaN,5.835771,NaN
2002-09-11,NaN,5.875776,NaN
2002-09-13,NaN,5.955785,NaN
2002-09-14,NaN,5.995790,NaN
2002-09-15,3.622952,6.035795,-2.412843
2002-09-16,NaN,6.071216,NaN
2002-09-17,NaN,6.106637,NaN
2002-09-18,NaN,6.142057,NaN
2002-09-19,NaN,6.177478,NaN
2002-09-20,NaN,6.212899,NaN
2002-09-21,NaN,6.248320,NaN
2002-09-22,NaN,6.283740,NaN
2002-09-23,NaN,6.319161,NaN
2002-09-24,NaN,6.354582,NaN
2002-09-25,NaN,6.390003,NaN
2002-09-26,NaN,6.425424,NaN
2002-09-27,NaN,6.460844,NaN
2002-09-28,4.472450,6.496265,-2.023815
2002-09-29,NaN,6.531686,NaN
2002-09-30,NaN,6.567107,NaN
2002-10-01,NaN,6.602528,NaN
2002-10-02,NaN,6.637948,NaN
2002-10-03,3.770238,6.673369,-2.903131
2002-10-04,4.751322,6.708790,-1.957468
2002-10-05,NaN,6.744211,NaN
2002-10-06,NaN,6.779632,NaN
2002-10-07,4.060743,6.815052,-2.754309
2002-10-08,NaN,6.850473,NaN
2002-10-09,3.244802,6.885894,-3.641091
2002-10-10,4.424994,6.921315,-2.496321
2002-10-11,4.303974,6.956735,-2.652761
2002-10-12,NaN,6.992156,NaN
2002-10-13,NaN,7.027577,NaN
2002-10-14,8.921933,7.062998,1.858935
2002-10-15,NaN,7.098419,NaN
2002-10-16,NaN,7.078405,NaN
2002-10-17,5.447950,7.058391,-1.610441
2002-10-18,5.381676,7.038377,-1.656701
2002-10-19,7.754228,7.018363,0.735866
2002-10-20,NaN,6.998349,NaN
2002-10-21,NaN,6.978335,NaN
2002-10-22,9.699212,6.958321,2.740892
2002-10-23,5.858799,6.938307,-1.079507
2002-10-24,6.933815,6.918293,0.015522
2002-10-25,5.099612,6.898279,-1.798666
2002-10-26,5.709301,6.878265,-1.168964
2002-10-27,6.164198,6.858251,-0.694053
2002-10-28,5.287835,6.838237,-1.550401
2002-10-29,4.359327,6.818222,-2.458896
2002-10-30,5.266004,6.798208,-1.532205
2002-10-31,NaN,6.778194,NaN
2002-11-01,4.603219,6.758180,-2.154961
2002-11-02,4.650287,6.738166,-2.087879
2002-11-03,3.855788,6.718152,-2.862364
2002-11-04,5.457293,6.698138,-1.240846
2002-11-05,NaN,6.678124,NaN
2002-11-06,3.797123,6.658110,-2.860987
2002-11-07,NaN,6.638096,NaN
2002-11-08,NaN,6.618082,NaN
2002-11-09,7.987128,6.598068,1.389060
2002-11-10,5.014843,6.578054,-1.563211
2002-11-11,7.028022,6.558040,0.469981
2002-11-12,5.714341,6.538026,-0.823686
2002-11-13,NaN,6.518012,NaN
2002-11-14,NaN,6.497998,NaN
2002-11-15,NaN,6.477984,NaN
2002-11-16,NaN,6.463355,NaN
2002-11-17,NaN,6.448726,NaN
2002-11-18,NaN,6.434097,NaN
2002-11-19,NaN,6.419468,NaN
2002-11-20,NaN,6.404839,NaN
2002-11-21,NaN,6.390210,NaN
2002-11-22,NaN,6.375581,NaN
2002-11-23,NaN,6.360952,NaN
2002-11-24,4.977320,6.346323,-1.369004
2002-11-25,NaN,6.331694,NaN
2002-11-26,NaN,6.317065,NaN
2002-11-27,NaN,6.302436,NaN
2002-11-28,NaN,6.287807,NaN
2002-11-29,NaN,6.273178,NaN
2002-11-30,7.696879,6.258549,1.438330
2002-12-01,NaN,6.243920,NaN
2002-12-02,NaN,6.229291,NaN
2002-12-03,5.714506,6.214662,-0.500156
2002-12-04,NaN,6.200033,NaN
2002-12-05,NaN,6.185404,NaN
2002-12-06,NaN,6.170775,NaN
2002-12-07,NaN,6.156146,NaN
2002-12-08,NaN,6.141517,NaN
2002-12-09,NaN,6.126888,NaN
2002-12-10,4.701398,6.112259,-1.410861
2002-12-11,NaN,6.097630,NaN
2002-12-12,4.717799,6.083001,-1.365202
2002-12-13,NaN,6.068372,NaN
2002-12-14,NaN,6.053743,NaN
2002-12-15,NaN,6.039114,NaN
2002-12-16,6.063787,5.988234,0.075553
2002-12-17,6.478625,5.937355,0.541271
2002-12-18,8.067100,5.886475,2.180625
2002-12-19,6.376735,5.835595,0.541139
2002-12-20,NaN,5.784716,NaN
2002-12-21,3.426493,5.733836,-2.307343
2002-12-22,NaN,5.682956,NaN
2002-12-23,NaN,5.632077,NaN
2002-12-24,5.814687,5.581197,0.233490
2002-12-25,NaN,5.530317,NaN
2002-12-26,3.680325,5.479438,-1.799112
2002-12-27,NaN,5.428558,NaN
2002-12-28,2.961710,5.377678,-2.415968
2002-12-29,4.927665,5.326799,-0.399134
2002-12-30,NaN,5.275919,NaN
2002-12-31,NaN,5.225040,NaN
2003-01-01,NaN,5.174160,NaN
2003-01-02,NaN,5.123280,NaN
2003-01-03,NaN,5.072401,NaN
2003-01-04,2.878919,5.021521,-2.142602
2003-01-05,NaN,4.970641,NaN
2003-01-06,3.755317,4.919762,-1.164445
2003-01-07,3.658172,4.868882,-1.210710
2003-01-08,4.190951,4.818002,-0.627051
2003-01-09,5.114356,4.767123,0.347233
2003-01-10,NaN,4.716243,NaN
2003-01-11,6.435504,4.665363,1.770141
2003-01-12,4.673026,4.614484,0.058542
2003-01-13,NaN,4.563604,NaN
2003-01-14,NaN,4.512724,NaN
2003-01-15,3.471758,4.461845,-0.990087
2003-01-16,4.658568,4.444376,0.214192
2003-01-17,NaN,4.426908,NaN
2003-01-18,NaN,4.409439,NaN
2003-01-19,NaN,4.391971,NaN
2003-01-20,3.395671,4.374502,-0.978832
2003-01-21,3.649370,4.357034,-0.707664
2003-01-22,4.506191,4.339565,0.166626
2003-01-23,NaN,4.322097,NaN
2003-01-24,NaN,4.304629,NaN
2003-01-25,2.917491,4.287160,-1.369669
2003-01-26,NaN,4.269692,NaN
2003-01-27,NaN,4.252223,NaN
2003-01-28,NaN,4.234755,NaN
2003-01-29,NaN,4.217286,NaN
2003-01-30,NaN,4.199818,NaN
2003-01-31,3.211249,4.182349,-0.971101
2003-02-01,3.859206,4.164881,-0.305674
2003-02-02,3.489424,4.147412,-0.657988
2003-02-03,NaN,4.129944,NaN
2003-02-04,NaN,4.112476,NaN
2003-02-05,NaN,4.095007,NaN
2003-02-06,3.442634,4.077539,-0.634905
2003-02-07,3.596551,4.060070,-0.463519
2003-02-08,3.639767,4.042602,-0.402835
2003-02-09,3.246545,4.025133,-0.778589
2003-02-10,NaN,4.007665,NaN
2003-02-11,4.426365,3.990196,0.436169
2003-02-12,3.238978,3.972728,-0.733749
2003-02-13,3.629633,3.955259,-0.325626
2003-02-14,NaN,3.937791,NaN
2003-02-15,3.286477,3.920322,-0.633845
2003-02-16,2.596337,3.893889,-1.297552
2003-02-17,NaN,3.867455,NaN
2003-02-18,NaN,3.841022,NaN
2003-02-19,3.019692,3.814588,-0.794896
2003-02-20,NaN,3.788154,NaN
2003-02-21,3.210674,3.761721,-0.551047
