Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.813113,NaN
2002-07-05,NaN,0.827980,NaN
2002-07-06,NaN,0.842846,NaN
2002-07-07,NaN,0.857713,NaN
2002-07-08,NaN,0.872579,NaN
2002-07-09,0.099064,0.887446,-0.788381
2002-07-10,NaN,0.902312,NaN
2002-07-11,NaN,0.917179,NaN
2002-07-12,NaN,0.932045,NaN
2002-07-13,NaN,0.946912,NaN
2002-07-15,0.114708,0.976645,-0.861937
2002-07-16,0.108397,0.964412,-0.856015
2002-07-17,0.101711,0.952179,-0.850468
2002-07-18,0.086113,0.939946,-0.853833
2002-07-19,0.084785,0.927713,-0.842929
2002-07-21,NaN,0.903247,NaN
2002-07-22,NaN,0.891014,NaN
2002-07-23,NaN,0.878781,NaN
2002-07-24,NaN,0.866548,NaN
2002-07-25,NaN,0.854315,NaN
2002-07-26,NaN,0.842082,NaN
2002-07-27,NaN,0.829849,NaN
2002-07-28,NaN,0.817616,NaN
2002-07-29,NaN,0.805384,NaN
2002-08-07,NaN,0.695287,NaN
2002-08-09,NaN,0.670821,NaN
2002-08-10,NaN,0.658588,NaN
2002-08-11,NaN,0.646355,NaN
2002-08-12,NaN,0.634122,NaN
2002-08-13,NaN,0.621889,NaN
2002-08-14,NaN,0.609656,NaN
2002-08-16,NaN,0.589273,NaN
2002-08-17,0.881863,0.581123,0.300740
2002-08-18,NaN,0.572974,NaN
2002-08-19,NaN,0.564824,NaN
2002-08-21,NaN,0.548524,NaN
2002-08-22,NaN,0.540374,NaN
2002-08-23,0.922969,0.532224,0.390745
2002-08-25,NaN,0.515924,NaN
2002-08-26,NaN,0.507774,NaN
2002-08-27,NaN,0.499624,NaN
2002-08-28,NaN,0.491474,NaN
2002-08-29,NaN,0.483324,NaN
2002-08-30,NaN,0.475175,NaN
2002-08-31,NaN,0.467025,NaN
2002-09-02,NaN,0.450725,NaN
2002-09-03,NaN,0.442575,NaN
2002-09-04,NaN,0.434425,NaN
2002-09-06,NaN,0.418125,NaN
2002-09-07,NaN,0.409975,NaN
2002-09-08,NaN,0.401825,NaN
2002-09-10,NaN,0.385526,NaN
2002-09-11,0.637010,0.377376,0.259634
2002-09-13,NaN,0.361076,NaN
2002-09-14,NaN,0.352926,NaN
2002-09-15,NaN,0.344776,NaN
2002-09-16,NaN,0.347168,NaN
2002-09-17,NaN,0.349560,NaN
2002-09-18,0.148281,0.351951,-0.203671
2002-09-19,NaN,0.354343,NaN
2002-09-20,NaN,0.356735,NaN
2002-09-21,NaN,0.359127,NaN
2002-09-22,NaN,0.361518,NaN
2002-09-23,NaN,0.363910,NaN
2002-09-24,NaN,0.366302,NaN
2002-09-25,NaN,0.368694,NaN
2002-09-26,NaN,0.371086,NaN
