Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.686609,NaN
2002-07-05,NaN,0.685572,NaN
2002-07-06,NaN,0.684535,NaN
2002-07-07,0.075126,0.683498,-0.608372
2002-07-08,NaN,0.682461,NaN
2002-07-09,NaN,0.681424,NaN
2002-07-10,NaN,0.680387,NaN
2002-07-11,NaN,0.679350,NaN
2002-07-12,NaN,0.678312,NaN
2002-07-13,0.181934,0.677275,-0.495342
2002-07-15,0.491021,0.675201,-0.184180
2002-07-16,NaN,0.675097,NaN
2002-07-17,NaN,0.674993,NaN
2002-07-18,NaN,0.674889,NaN
2002-07-19,NaN,0.674785,NaN
2002-07-21,NaN,0.674577,NaN
2002-07-22,NaN,0.674473,NaN
2002-07-23,0.561444,0.674369,-0.112925
2002-07-24,NaN,0.674265,NaN
2002-07-25,NaN,0.674161,NaN
2002-07-26,NaN,0.674057,NaN
2002-07-27,NaN,0.673953,NaN
2002-07-28,NaN,0.673849,NaN
2002-07-29,NaN,0.673745,NaN
2002-08-07,NaN,0.672808,NaN
2002-08-09,0.132108,0.672600,-0.540492
2002-08-10,NaN,0.672496,NaN
2002-08-11,NaN,0.672392,NaN
2002-08-12,NaN,0.672288,NaN
2002-08-13,NaN,0.672184,NaN
2002-08-14,0.653497,0.672080,-0.018582
2002-08-16,NaN,0.674003,NaN
2002-08-17,NaN,0.676031,NaN
2002-08-18,NaN,0.678059,NaN
2002-08-19,NaN,0.680086,NaN
2002-08-21,NaN,0.684142,NaN
2002-08-22,0.167008,0.686169,-0.519162
2002-08-23,0.259380,0.688197,-0.428817
2002-08-25,0.073977,0.692252,-0.618276
2002-08-26,NaN,0.694280,NaN
2002-08-27,NaN,0.696308,NaN
2002-08-28,NaN,0.698336,NaN
2002-08-29,NaN,0.700363,NaN
2002-08-30,NaN,0.702391,NaN
2002-08-31,NaN,0.704419,NaN
2002-09-02,NaN,0.708474,NaN
2002-09-03,0.673700,0.710502,-0.036802
2002-09-04,NaN,0.712529,NaN
2002-09-06,NaN,0.716585,NaN
2002-09-07,0.113461,0.718612,-0.605152
2002-09-08,NaN,0.720640,NaN
2002-09-10,NaN,0.724696,NaN
2002-09-11,NaN,0.726723,NaN
2002-09-13,NaN,0.730779,NaN
2002-09-14,NaN,0.732806,NaN
2002-09-15,0.901286,0.734834,0.166452
2002-09-16,NaN,0.731648,NaN
2002-09-17,0.247994,0.728462,-0.480467
2002-09-18,NaN,0.725275,NaN
2002-09-19,NaN,0.722089,NaN
2002-09-20,NaN,0.718903,NaN
2002-09-21,NaN,0.715717,NaN
2002-09-22,NaN,0.712530,NaN
2002-09-23,NaN,0.709344,NaN
2002-09-24,0.115470,0.706158,-0.590688
2002-09-25,NaN,0.702972,NaN
2002-09-26,0.118118,0.699786,-0.581667
2002-09-27,NaN,0.696599,NaN
2002-09-28,0.224946,0.693413,-0.468467
2002-09-29,0.071485,0.690227,-0.618742
2002-09-30,NaN,0.687041,NaN
2002-10-01,NaN,0.683854,NaN
2002-10-02,0.059913,0.680668,-0.620755
2002-10-03,0.365210,0.677482,-0.312272
2002-10-04,0.095422,0.674296,-0.578874
2002-10-05,0.797176,0.671110,0.126066
2002-10-06,NaN,0.667923,NaN
2002-10-07,0.093886,0.664737,-0.570851
2002-10-08,0.468286,0.661551,-0.193265
2002-10-09,0.585634,0.658365,-0.072731
2002-10-10,NaN,0.655178,NaN
2002-10-11,0.976847,0.651992,0.324855
2002-10-12,0.254359,0.648806,-0.394447
2002-10-13,NaN,0.645620,NaN
2002-10-14,NaN,0.642434,NaN
2002-10-15,0.598025,0.639247,-0.041223
2002-10-16,0.186124,0.640212,-0.454088
2002-10-17,0.199641,0.641177,-0.441536
2002-10-18,0.432421,0.642142,-0.209720
2002-10-19,0.193626,0.643106,-0.449480
2002-10-20,NaN,0.644071,NaN
2002-10-21,0.357353,0.645036,-0.287683
2002-10-22,NaN,0.646001,NaN
2002-10-23,0.527113,0.646965,-0.119853
2002-10-24,0.170645,0.647930,-0.477285
2002-10-25,0.102443,0.648895,-0.546452
2002-10-26,0.304748,0.649860,-0.345112
2002-10-27,0.374080,0.650824,-0.276744
2002-10-28,0.105273,0.651789,-0.546516
2002-10-29,NaN,0.652754,NaN
2002-10-30,0.219174,0.653719,-0.434545
2002-10-31,NaN,0.654683,NaN
2002-11-01,0.941119,0.655648,0.285471
2002-11-02,NaN,0.656613,NaN
2002-11-03,NaN,0.657578,NaN
2002-11-04,0.108734,0.658542,-0.549808
2002-11-05,NaN,0.659507,NaN
2002-11-06,0.151989,0.660472,-0.508483
2002-11-07,0.847158,0.661437,0.185722
2002-11-08,NaN,0.662401,NaN
2002-11-09,0.318777,0.663366,-0.344589
2002-11-10,0.067079,0.664331,-0.597252
2002-11-11,0.143404,0.665296,-0.521892
2002-11-12,NaN,0.666260,NaN
2002-11-13,0.417987,0.667225,-0.249238
2002-11-14,NaN,0.668190,NaN
2002-11-15,NaN,0.669155,NaN
2002-11-16,NaN,0.669864,NaN
2002-11-17,NaN,0.670573,NaN
2002-11-18,0.584424,0.671283,-0.086858
2002-11-19,NaN,0.671992,NaN
2002-11-20,1.396582,0.672701,0.723881
2002-11-21,NaN,0.673411,NaN
2002-11-22,NaN,0.674120,NaN
2002-11-23,0.551513,0.674829,-0.123317
2002-11-24,0.448730,0.675539,-0.226809
2002-11-25,NaN,0.676248,NaN
2002-11-26,NaN,0.676957,NaN
2002-11-27,NaN,0.677667,NaN
2002-11-28,NaN,0.678376,NaN
2002-11-29,0.428284,0.679086,-0.250802
2002-11-30,NaN,0.679795,NaN
2002-12-01,0.490585,0.680504,-0.189920
2002-12-02,0.197896,0.681214,-0.483318
2002-12-03,0.429912,0.681923,-0.252011
2002-12-04,0.192329,0.682632,-0.490303
2002-12-05,NaN,0.683342,NaN
2002-12-06,0.850743,0.684051,0.166692
2002-12-07,NaN,0.684760,NaN
2002-12-08,NaN,0.685470,NaN
2002-12-09,NaN,0.686179,NaN
2002-12-10,NaN,0.686888,NaN
2002-12-11,NaN,0.687598,NaN
2002-12-12,0.662955,0.688307,-0.025352
2002-12-13,NaN,0.689017,NaN
2002-12-14,NaN,0.689726,NaN
2002-12-15,NaN,0.690435,NaN
2002-12-16,NaN,0.690083,NaN
2002-12-17,0.507457,0.689730,-0.182273
2002-12-18,NaN,0.689378,NaN
2002-12-19,0.352777,0.689025,-0.336248
2002-12-20,NaN,0.688673,NaN
2002-12-21,0.622097,0.688320,-0.066223
2002-12-22,0.185188,0.687968,-0.502780
2002-12-23,NaN,0.687615,NaN
2002-12-24,0.491788,0.687263,-0.195475
2002-12-25,NaN,0.686910,NaN
2002-12-26,0.525200,0.686558,-0.161358
2002-12-27,NaN,0.686205,NaN
2002-12-28,0.228793,0.685853,-0.457060
2002-12-29,NaN,0.685500,NaN
2002-12-30,NaN,0.685148,NaN
2002-12-31,0.342829,0.684795,-0.341966
2003-01-01,NaN,0.684443,NaN
2003-01-02,NaN,0.684090,NaN
2003-01-03,NaN,0.683738,NaN
2003-01-04,0.874735,0.683385,0.191349
2003-01-05,NaN,0.683033,NaN
2003-01-06,0.397255,0.682680,-0.285426
2003-01-07,0.676929,0.682328,-0.005399
2003-01-08,NaN,0.681975,NaN
2003-01-09,0.565094,0.681623,-0.116529
2003-01-10,NaN,0.681270,NaN
2003-01-11,0.478350,0.680918,-0.202568
2003-01-12,0.535688,0.680565,-0.144877
2003-01-13,NaN,0.680213,NaN
2003-01-14,NaN,0.679860,NaN
2003-01-15,0.804802,0.679508,0.125294
2003-01-16,1.084528,0.679856,0.404672
2003-01-17,NaN,0.680204,NaN
2003-01-18,NaN,0.680552,NaN
2003-01-19,1.296132,0.680900,0.615232
2003-01-20,0.834073,0.681249,0.152824
2003-01-21,0.814399,0.681597,0.132802
2003-01-22,0.841231,0.681945,0.159286
2003-01-23,NaN,0.682293,NaN
2003-01-24,NaN,0.682641,NaN
2003-01-25,1.728116,0.682989,1.045127
2003-01-26,0.632812,0.683337,-0.050525
2003-01-27,NaN,0.683686,NaN
