Time,mean,climatology,anomaly
1025740800,NaN,0.207003,NaN
1025827200,NaN,0.209398,NaN
1025913600,NaN,0.211794,NaN
1026000000,NaN,0.214189,NaN
1026086400,NaN,0.216585,NaN
1026172800,0.127955,0.218980,-0.091025
1026259200,NaN,0.221375,NaN
1026345600,NaN,0.223771,NaN
1026432000,NaN,0.226166,NaN
1026518400,NaN,0.228562,NaN
1026691200,0.125566,0.233353,-0.107787
1026777600,NaN,0.232703,NaN
1026864000,0.131085,0.232054,-0.100969
1026950400,NaN,0.231404,NaN
1027036800,0.110913,0.230755,-0.119842
1027209600,NaN,0.229456,NaN
1027296000,0.106167,0.228807,-0.122639
1027382400,0.108756,0.228157,-0.119402
1027468800,NaN,0.227508,NaN
1027555200,NaN,0.226858,NaN
1027641600,NaN,0.226209,NaN
1027728000,NaN,0.225559,NaN
1027814400,NaN,0.224910,NaN
1027900800,NaN,0.224260,NaN
1028678400,NaN,0.218415,NaN
1028851200,NaN,0.217116,NaN
1028937600,NaN,0.216467,NaN
1029024000,NaN,0.215817,NaN
1029110400,NaN,0.215168,NaN
1029196800,NaN,0.214518,NaN
1029283200,NaN,0.213869,NaN
1029456000,NaN,0.210892,NaN
1029542400,NaN,0.208565,NaN
1029628800,NaN,0.206238,NaN
1029715200,NaN,0.203911,NaN
1029888000,NaN,0.199256,NaN
1029974400,NaN,0.196929,NaN
1030060800,0.221342,0.194602,0.026740
1030233600,0.157947,0.189948,-0.032000
1030320000,NaN,0.187620,NaN
1030406400,NaN,0.185293,NaN
1030492800,NaN,0.182966,NaN
1030579200,NaN,0.180639,NaN
1030665600,NaN,0.178312,NaN
1030752000,NaN,0.175984,NaN
1030924800,NaN,0.171330,NaN
1031011200,NaN,0.169003,NaN
1031097600,NaN,0.166676,NaN
1031270400,NaN,0.162021,NaN
1031356800,NaN,0.159694,NaN
1031443200,NaN,0.157367,NaN
1031616000,NaN,0.152713,NaN
1031702400,0.142611,0.150385,-0.007774
1031875200,NaN,0.145731,NaN
1031961600,NaN,0.143404,NaN
1032048000,NaN,0.141077,NaN
1032134400,NaN,0.141648,NaN
1032220800,0.117506,0.142219,-0.024713
1032307200,NaN,0.142790,NaN
1032393600,NaN,0.143362,NaN
1032480000,NaN,0.143933,NaN
1032566400,NaN,0.144504,NaN
1032652800,NaN,0.145075,NaN
1032739200,NaN,0.145647,NaN
1032825600,NaN,0.146218,NaN
1032912000,NaN,0.146789,NaN
1032998400,NaN,0.147360,NaN
1033084800,0.130220,0.147931,-0.017711
1033171200,0.097940,0.148503,-0.050563
1033257600,NaN,0.149074,NaN
1033344000,NaN,0.149645,NaN
1033430400,NaN,0.150216,NaN
1033516800,NaN,0.150788,NaN
1033603200,NaN,0.151359,NaN
1033689600,0.151957,0.151930,0.000027
1033776000,NaN,0.152501,NaN
1033862400,NaN,0.153072,NaN
1033948800,NaN,0.153644,NaN
1034035200,NaN,0.154215,NaN
1034121600,NaN,0.154786,NaN
1034208000,NaN,0.155357,NaN
1034294400,NaN,0.155929,NaN
1034380800,NaN,0.156500,NaN
1034467200,NaN,0.157071,NaN
1034553600,NaN,0.157642,NaN
1034640000,NaN,0.158213,NaN
1034726400,0.280132,0.159910,0.120222
1034812800,0.180093,0.161607,0.018487
1034899200,NaN,0.163303,NaN
1034985600,NaN,0.165000,NaN
1035072000,0.181298,0.166696,0.014602
1035158400,NaN,0.168393,NaN
1035244800,NaN,0.170089,NaN
1035331200,NaN,0.171786,NaN
1035417600,NaN,0.173482,NaN
1035504000,NaN,0.175179,NaN
1035590400,NaN,0.176875,NaN
1035676800,NaN,0.178572,NaN
1035763200,NaN,0.180268,NaN
1035849600,NaN,0.181965,NaN
1035936000,NaN,0.183661,NaN
1036022400,NaN,0.185358,NaN
1036108800,NaN,0.187055,NaN
1036195200,NaN,0.188751,NaN
1036281600,NaN,0.190448,NaN
1036368000,NaN,0.192144,NaN
1036454400,NaN,0.193841,NaN
1036540800,0.242852,0.195537,0.047315
1036627200,0.255674,0.197234,0.058440
1036713600,NaN,0.198930,NaN
1036800000,0.188475,0.200627,-0.012152
1036886400,NaN,0.202323,NaN
1036972800,NaN,0.204020,NaN
1037059200,0.266413,0.205716,0.060697
1037145600,0.284486,0.207413,0.077074
1037232000,NaN,0.209109,NaN
1037318400,NaN,0.210806,NaN
1037404800,NaN,0.214951,NaN
1037491200,0.486828,0.219096,0.267732
1037577600,0.249973,0.223241,0.026733
1037664000,NaN,0.227385,NaN
1037750400,NaN,0.231530,NaN
1037836800,0.316025,0.235675,0.080349
1037923200,0.385189,0.239820,0.145369
1038009600,NaN,0.243965,NaN
1038096000,0.430680,0.248110,0.182571
1038182400,0.207842,0.252255,-0.044413
1038268800,NaN,0.256399,NaN
1038355200,NaN,0.260544,NaN
1038441600,NaN,0.264689,NaN
1038528000,NaN,0.268834,NaN
1038614400,NaN,0.272979,NaN
1038700800,NaN,0.277124,NaN
1038787200,NaN,0.281269,NaN
