Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.207003,NaN
2002-07-05,NaN,0.209398,NaN
2002-07-06,NaN,0.211794,NaN
2002-07-07,NaN,0.214189,NaN
2002-07-08,NaN,0.216585,NaN
2002-07-09,0.127955,0.218980,-0.091025
2002-07-10,NaN,0.221375,NaN
2002-07-11,NaN,0.223771,NaN
2002-07-12,NaN,0.226166,NaN
2002-07-13,NaN,0.228562,NaN
2002-07-15,0.125566,0.233353,-0.107787
2002-07-16,NaN,0.232703,NaN
2002-07-17,0.131085,0.232054,-0.100969
2002-07-18,NaN,0.231404,NaN
2002-07-19,0.110913,0.230755,-0.119842
2002-07-21,NaN,0.229456,NaN
2002-07-22,0.106167,0.228807,-0.122639
2002-07-23,0.108756,0.228157,-0.119402
2002-07-24,NaN,0.227508,NaN
2002-07-25,NaN,0.226858,NaN
2002-07-26,NaN,0.226209,NaN
2002-07-27,NaN,0.225559,NaN
2002-07-28,NaN,0.224910,NaN
2002-07-29,NaN,0.224260,NaN
2002-08-07,NaN,0.218415,NaN
2002-08-09,NaN,0.217116,NaN
2002-08-10,NaN,0.216467,NaN
2002-08-11,NaN,0.215817,NaN
2002-08-12,NaN,0.215168,NaN
2002-08-13,NaN,0.214518,NaN
2002-08-14,NaN,0.213869,NaN
2002-08-16,NaN,0.210892,NaN
2002-08-17,NaN,0.208565,NaN
2002-08-18,NaN,0.206238,NaN
2002-08-19,NaN,0.203911,NaN
2002-08-21,NaN,0.199256,NaN
2002-08-22,NaN,0.196929,NaN
2002-08-23,0.221342,0.194602,0.026740
2002-08-25,0.157947,0.189948,-0.032000
2002-08-26,NaN,0.187620,NaN
2002-08-27,NaN,0.185293,NaN
2002-08-28,NaN,0.182966,NaN
2002-08-29,NaN,0.180639,NaN
2002-08-30,NaN,0.178312,NaN
2002-08-31,NaN,0.175984,NaN
2002-09-02,NaN,0.171330,NaN
2002-09-03,NaN,0.169003,NaN
2002-09-04,NaN,0.166676,NaN
2002-09-06,NaN,0.162021,NaN
2002-09-07,NaN,0.159694,NaN
2002-09-08,NaN,0.157367,NaN
2002-09-10,NaN,0.152713,NaN
2002-09-11,0.142611,0.150385,-0.007774
2002-09-13,NaN,0.145731,NaN
2002-09-14,NaN,0.143404,NaN
2002-09-15,NaN,0.141077,NaN
2002-09-16,NaN,0.141648,NaN
2002-09-17,0.117506,0.142219,-0.024713
2002-09-18,NaN,0.142790,NaN
2002-09-19,NaN,0.143362,NaN
2002-09-20,NaN,0.143933,NaN
2002-09-21,NaN,0.144504,NaN
2002-09-22,NaN,0.145075,NaN
2002-09-23,NaN,0.145647,NaN
2002-09-24,NaN,0.146218,NaN
2002-09-25,NaN,0.146789,NaN
2002-09-26,NaN,0.147360,NaN
2002-09-27,0.130220,0.147931,-0.017711
2002-09-28,0.097940,0.148503,-0.050563
2002-09-29,NaN,0.149074,NaN
2002-09-30,NaN,0.149645,NaN
2002-10-01,NaN,0.150216,NaN
2002-10-02,NaN,0.150788,NaN
2002-10-03,NaN,0.151359,NaN
2002-10-04,0.151957,0.151930,0.000027
2002-10-05,NaN,0.152501,NaN
2002-10-06,NaN,0.153072,NaN
2002-10-07,NaN,0.153644,NaN
2002-10-08,NaN,0.154215,NaN
2002-10-09,NaN,0.154786,NaN
2002-10-10,NaN,0.155357,NaN
2002-10-11,NaN,0.155929,NaN
2002-10-12,NaN,0.156500,NaN
2002-10-13,NaN,0.157071,NaN
2002-10-14,NaN,0.157642,NaN
2002-10-15,NaN,0.158213,NaN
2002-10-16,0.280132,0.159910,0.120222
2002-10-17,0.180093,0.161607,0.018487
